zoneid,siteid,dateobservation,humiditemin,humiditemax,note
Z01,S01,2017-08-22,58.49,89.57,Variations mineures.
Z01,S01,2017-08-23,53.91,82.76,Conditions stables.
Z01,S01,2017-08-24,39.07,86.54,Conditions stables.
Z01,S01,2017-08-25,39.91,72.02,Journée représentative.
Z01,S01,2017-08-26,44.14,71.21,Variations mineures.
Z01,S01,2017-08-27,30.99,75.46,Variations mineures.
Z01,S01,2017-08-28,39.34,70.88,Conditions stables.
Z01,S01,2017-08-29,34.93,80.15,Variations mineures.
Z01,S01,2017-08-30,33.66,79.26,Variations mineures.
Z01,S01,2017-08-31,59.59,87.97,Journée représentative.
Z01,S01,2017-09-01,35.89,73.43,Conditions stables.
Z01,S01,2017-09-02,37.30,85.54,Variations mineures.
Z01,S01,2017-09-03,32.55,77.33,Variations mineures.
Z01,S01,2017-09-04,34.91,89.32,Variations mineures.
Z01,S01,2017-09-05,42.39,84.46,Variations mineures.
Z01,S01,2017-09-06,50.65,83.63,Conditions stables.
Z01,S01,2017-09-07,59.12,82.95,Variations mineures.
Z01,S01,2017-09-08,49.16,70.29,Journée représentative.
Z01,S01,2017-09-09,30.53,73.24,Variations mineures.
Z01,S01,2017-09-10,46.26,77.08,Journée représentative.
Z01,S01,2017-09-11,52.47,72.96,Conditions stables.
Z01,S01,2017-09-12,30.82,87.94,Conditions stables.
Z01,S01,2017-09-13,38.41,83.14,Variations mineures.
Z01,S01,2017-09-14,41.37,89.72,Conditions stables.
Z01,S01,2017-09-15,52.13,86.90,Conditions stables.
Z01,S01,2017-09-16,43.41,85.03,Variations mineures.
Z01,S01,2017-09-17,36.33,85.46,Conditions stables.
Z01,S01,2017-09-18,44.05,87.57,Conditions stables.
Z01,S01,2017-09-19,35.36,82.55,Variations mineures.
Z01,S01,2017-09-20,48.34,79.85,Journée représentative.
Z01,S01,2017-09-21,37.83,89.67,Variations mineures.
Z01,S01,2017-09-22,56.42,87.04,Variations mineures.
Z01,S01,2017-09-23,58.82,88.77,Journée représentative.
Z01,S01,2017-09-24,33.96,72.19,Journée représentative.
Z01,S01,2017-09-25,32.71,70.77,Journée représentative.
Z01,S01,2017-09-26,46.29,80.44,Variations mineures.
Z01,S01,2017-09-27,39.97,80.94,Conditions stables.
Z01,S01,2017-09-28,36.06,77.69,Journée représentative.
Z01,S01,2017-09-29,46.59,83.98,Variations mineures.
Z01,S01,2017-09-30,53.79,83.52,Variations mineures.
Z01,S01,2017-10-01,32.78,73.42,Journée représentative.
Z01,S01,2017-10-02,38.19,86.63,Journée représentative.
Z01,S01,2017-10-03,45.50,81.61,Variations mineures.
Z01,S01,2017-10-04,47.68,72.75,Variations mineures.
Z01,S01,2017-10-05,52.95,80.10,Journée représentative.
Z01,S01,2017-10-06,59.15,76.47,Variations mineures.
Z01,S01,2017-10-07,51.86,83.19,Variations mineures.
Z01,S01,2017-10-08,56.42,85.20,Variations mineures.
Z01,S01,2017-10-09,51.02,71.31,Journée représentative.
Z01,S01,2017-10-10,44.16,72.64,Variations mineures.
Z01,S01,2017-10-11,50.02,84.24,Variations mineures.
Z01,S01,2017-10-12,33.50,89.57,Variations mineures.
Z01,S01,2017-10-13,40.89,77.72,Variations mineures.
Z01,S01,2017-10-14,34.18,87.90,Conditions stables.
Z01,S01,2017-10-15,33.94,84.01,Journée représentative.
Z01,S01,2017-10-16,35.09,83.76,Conditions stables.
Z01,S01,2017-10-17,41.49,78.61,Variations mineures.
Z01,S01,2017-10-18,30.51,83.14,Variations mineures.
Z01,S01,2017-10-19,48.19,78.56,Journée représentative.
Z01,S01,2017-10-20,31.46,71.33,Journée représentative.
Z01,S01,2017-10-21,58.97,81.55,Journée représentative.
Z01,S01,2017-10-22,57.66,80.31,Conditions stables.
Z01,S01,2017-10-23,44.56,84.88,Variations mineures.
Z01,S01,2017-10-24,36.65,74.09,Variations mineures.
Z01,S01,2017-10-25,30.41,84.71,Variations mineures.
Z01,S01,2017-10-26,49.51,80.42,Journée représentative.
Z01,S01,2017-10-27,52.33,71.73,Journée représentative.
Z01,S01,2017-10-28,43.06,85.11,Conditions stables.
Z01,S01,2017-10-29,50.58,83.32,Variations mineures.
Z01,S01,2017-10-30,47.56,74.02,Variations mineures.
Z01,S01,2017-10-31,36.52,83.97,Journée représentative.
Z02,S01,2017-05-01,30.13,85.17,Variations mineures.
Z02,S01,2017-05-02,46.51,88.89,Variations mineures.
Z02,S01,2017-05-03,43.36,83.82,Variations mineures.
Z02,S01,2017-05-04,36.44,74.23,Journée représentative.
Z02,S01,2017-05-05,46.90,84.06,Variations mineures.
Z02,S01,2017-05-06,52.52,74.84,Conditions stables.
Z02,S01,2017-05-07,54.39,84.27,Conditions stables.
Z02,S01,2017-05-08,48.12,86.23,Journée représentative.
Z02,S01,2017-05-09,33.73,74.94,Conditions stables.
Z02,S01,2017-05-10,53.49,78.33,Conditions stables.
Z02,S01,2017-05-11,48.37,78.59,Variations mineures.
Z02,S01,2017-05-12,30.71,89.13,Variations mineures.
Z02,S01,2017-05-13,33.27,70.11,Conditions stables.
Z02,S01,2017-05-14,37.48,84.00,Journée représentative.
Z02,S01,2017-05-15,35.68,83.07,Variations mineures.
Z02,S01,2017-05-16,34.45,89.71,Conditions stables.
Z02,S01,2017-05-17,56.26,88.80,Conditions stables.
Z02,S01,2017-05-18,58.71,85.15,Variations mineures.
Z02,S01,2017-05-19,33.33,76.14,Variations mineures.
Z02,S01,2017-05-20,50.51,75.65,Journée représentative.
Z02,S01,2017-05-21,33.08,70.59,Variations mineures.
Z02,S01,2017-05-22,33.11,71.54,Journée représentative.
Z02,S01,2017-05-23,54.06,76.08,Conditions stables.
Z02,S01,2017-05-24,52.33,76.90,Journée représentative.
Z02,S01,2017-05-25,30.22,84.05,Variations mineures.
Z02,S01,2017-05-26,38.78,83.59,Variations mineures.
Z02,S01,2017-05-27,50.86,87.41,Variations mineures.
Z02,S01,2017-05-28,33.27,77.44,Conditions stables.
Z02,S01,2017-05-29,47.43,79.39,Journée représentative.
Z02,S01,2017-05-30,35.90,76.76,Variations mineures.
Z02,S01,2017-05-31,32.61,84.40,Conditions stables.
Z02,S01,2017-06-01,59.02,87.37,Variations mineures.
Z02,S01,2017-06-02,54.27,71.75,Journée représentative.
Z02,S01,2017-06-03,31.17,73.26,Journée représentative.
Z02,S01,2017-06-04,39.02,73.16,Variations mineures.
Z02,S01,2017-06-05,49.59,74.19,Journée représentative.
Z02,S01,2017-06-06,52.08,79.51,Conditions stables.
Z02,S01,2017-06-07,42.82,83.00,Variations mineures.
Z02,S01,2017-06-08,46.93,89.10,Variations mineures.
Z02,S01,2017-06-09,58.44,82.29,Variations mineures.
Z02,S01,2017-06-10,59.26,75.55,Variations mineures.
Z02,S01,2017-06-11,45.09,75.53,Journée représentative.
Z02,S01,2017-06-12,33.09,73.66,Variations mineures.
Z02,S01,2017-06-13,53.24,89.51,Variations mineures.
Z02,S01,2017-06-14,45.57,74.35,Journée représentative.
Z02,S01,2017-06-15,56.73,75.65,Journée représentative.
Z02,S01,2017-06-16,43.06,72.23,Variations mineures.
Z02,S01,2017-06-17,52.21,76.56,Variations mineures.
Z02,S01,2017-06-18,45.92,74.79,Journée représentative.
Z02,S01,2017-06-19,32.76,82.58,Variations mineures.
Z02,S01,2017-06-20,39.05,78.43,Journée représentative.
Z02,S01,2017-06-21,32.83,74.92,Conditions stables.
Z02,S01,2017-06-22,59.20,71.64,Variations mineures.
Z02,S01,2017-06-23,36.50,72.44,Journée représentative.
Z02,S01,2017-06-24,32.05,84.98,Conditions stables.
Z02,S01,2017-06-25,49.68,85.53,Variations mineures.
Z02,S01,2017-06-26,33.87,76.66,Variations mineures.
Z02,S01,2017-06-27,31.75,75.72,Variations mineures.
Z02,S01,2017-06-28,50.34,77.61,Conditions stables.
Z02,S01,2017-06-29,42.14,70.23,Conditions stables.
Z02,S01,2017-06-30,54.52,81.62,Variations mineures.
Z02,S01,2017-07-01,50.22,88.76,Variations mineures.
Z02,S01,2017-07-02,45.73,71.57,Variations mineures.
Z02,S01,2017-07-03,37.39,80.04,Variations mineures.
Z02,S01,2017-07-04,43.18,89.20,Journée représentative.
Z02,S01,2017-07-05,48.43,71.12,Variations mineures.
Z02,S01,2017-07-06,32.74,73.41,Conditions stables.
Z02,S01,2017-07-07,55.66,76.66,Conditions stables.
Z02,S01,2017-07-08,55.72,83.87,Variations mineures.
Z02,S01,2017-07-09,58.99,88.17,Variations mineures.
Z02,S01,2017-07-10,53.99,78.53,Conditions stables.
Z02,S01,2017-07-11,30.35,86.71,Conditions stables.
Z02,S01,2017-07-12,59.86,70.08,Variations mineures.
Z02,S01,2017-07-13,33.36,80.19,Conditions stables.
Z02,S01,2017-07-14,52.07,71.25,Journée représentative.
Z02,S01,2017-07-15,51.95,70.95,Journée représentative.
Z02,S01,2017-07-16,50.47,72.64,Journée représentative.
Z02,S01,2017-07-17,46.48,78.18,Journée représentative.
Z02,S01,2017-07-18,31.60,86.70,Journée représentative.
Z02,S01,2017-07-19,54.37,79.01,Variations mineures.
Z02,S01,2017-07-20,31.77,89.44,Variations mineures.
Z02,S01,2017-07-21,45.94,88.55,Variations mineures.
Z02,S01,2017-07-22,58.12,84.35,Variations mineures.
Z02,S01,2017-07-23,47.44,88.85,Variations mineures.
Z02,S01,2017-07-24,48.74,80.73,Journée représentative.
Z02,S01,2017-07-25,32.74,80.96,Variations mineures.
Z02,S01,2017-07-26,36.79,88.43,Variations mineures.
Z02,S01,2017-07-27,37.34,89.77,Variations mineures.
Z02,S01,2017-07-28,59.88,82.64,Variations mineures.
Z02,S01,2017-07-29,57.55,77.78,Variations mineures.
Z02,S01,2017-07-30,42.02,81.55,Variations mineures.
Z02,S01,2017-07-31,46.18,72.08,Variations mineures.
Z02,S01,2017-08-01,58.68,80.62,Journée représentative.
Z02,S01,2017-08-02,40.68,80.88,Conditions stables.
Z02,S01,2017-08-03,59.49,75.43,Journée représentative.
Z02,S01,2017-08-04,53.65,87.75,Variations mineures.
Z02,S01,2017-08-05,30.09,73.07,Journée représentative.
Z02,S01,2017-08-06,58.65,79.60,Conditions stables.
Z02,S01,2017-08-07,59.04,75.31,Conditions stables.
Z02,S01,2017-08-08,41.38,80.16,Journée représentative.
Z02,S01,2017-08-09,59.85,70.52,Variations mineures.
Z02,S01,2017-08-10,48.13,86.04,Variations mineures.
Z02,S01,2017-08-11,34.88,83.31,Variations mineures.
Z02,S01,2017-08-12,51.27,81.88,Journée représentative.
Z02,S01,2017-08-13,44.74,71.32,Variations mineures.
Z02,S01,2017-08-14,35.96,71.85,Variations mineures.
Z02,S01,2017-08-15,52.41,81.61,Conditions stables.
Z02,S01,2017-08-16,42.01,81.59,Journée représentative.
Z02,S01,2017-08-17,30.55,75.32,Conditions stables.
Z02,S01,2017-08-18,31.88,88.53,Journée représentative.
Z02,S01,2017-08-19,42.03,79.79,Variations mineures.
Z02,S01,2017-08-20,58.38,88.62,Journée représentative.
Z02,S01,2017-08-21,48.64,84.36,Variations mineures.
Z02,S01,2017-08-22,57.17,85.91,Conditions stables.
Z02,S01,2017-08-23,35.04,76.84,Variations mineures.
Z02,S01,2017-08-24,39.69,85.37,Variations mineures.
Z02,S01,2017-08-25,41.57,78.45,Conditions stables.
Z02,S01,2017-08-26,54.65,73.79,Variations mineures.
Z02,S01,2017-08-27,57.83,76.70,Conditions stables.
Z02,S01,2017-08-28,40.49,82.61,Conditions stables.
Z02,S01,2017-08-29,30.32,71.84,Journée représentative.
Z02,S01,2017-08-30,54.04,87.49,Journée représentative.
Z02,S01,2017-08-31,32.65,79.19,Variations mineures.
Z02,S01,2017-09-01,31.55,79.87,Journée représentative.
Z02,S01,2017-09-02,55.98,89.67,Conditions stables.
Z02,S01,2017-09-03,50.21,80.12,Journée représentative.
Z02,S01,2017-09-04,44.90,83.60,Journée représentative.
Z02,S01,2017-09-05,56.62,77.29,Conditions stables.
Z02,S01,2017-09-06,30.14,86.78,Conditions stables.
Z02,S01,2017-09-07,44.11,72.39,Variations mineures.
Z02,S01,2017-09-08,48.75,73.99,Journée représentative.
Z02,S01,2017-09-09,56.59,81.52,Variations mineures.
Z02,S01,2017-09-10,57.44,77.36,Variations mineures.
Z02,S01,2017-09-11,31.15,83.83,Journée représentative.
Z02,S01,2017-09-12,44.38,84.64,Variations mineures.
Z02,S01,2017-09-13,37.64,71.06,Journée représentative.
Z02,S01,2017-09-14,50.85,81.07,Variations mineures.
Z02,S01,2017-09-15,30.35,76.81,Variations mineures.
Z02,S01,2017-09-16,33.35,82.31,Variations mineures.
Z02,S01,2017-09-17,42.52,71.86,Variations mineures.
Z02,S01,2017-09-18,58.47,85.33,Variations mineures.
Z02,S01,2017-09-19,58.45,78.36,Variations mineures.
Z02,S01,2017-09-20,32.96,70.04,Variations mineures.
Z02,S01,2017-09-21,40.23,73.34,Journée représentative.
Z02,S01,2017-09-22,55.45,86.07,Journée représentative.
Z02,S01,2017-09-23,41.16,81.24,Variations mineures.
Z02,S01,2017-09-24,37.27,74.74,Variations mineures.
Z02,S01,2017-09-25,47.05,70.88,Journée représentative.
Z02,S01,2017-09-26,42.21,80.27,Journée représentative.
Z02,S01,2017-09-27,54.51,82.95,Variations mineures.
Z02,S01,2017-09-28,47.42,88.91,Conditions stables.
Z02,S01,2017-09-29,56.01,86.55,Variations mineures.
Z02,S01,2017-09-30,32.87,73.59,Journée représentative.
Z02,S01,2017-10-01,49.68,83.94,Conditions stables.
Z02,S01,2017-10-02,43.10,76.08,Conditions stables.
Z02,S01,2017-10-03,43.14,88.05,Variations mineures.
Z02,S01,2017-10-04,38.55,76.17,Variations mineures.
Z02,S01,2017-10-05,54.85,84.59,Conditions stables.
Z02,S01,2017-10-06,33.00,84.94,Journée représentative.
Z02,S01,2017-10-07,39.92,77.14,Conditions stables.
Z02,S01,2017-10-08,39.19,83.44,Variations mineures.
Z02,S01,2017-10-09,34.77,78.12,Journée représentative.
Z02,S01,2017-10-10,43.91,71.93,Variations mineures.
Z02,S01,2017-10-11,31.87,84.84,Variations mineures.
Z02,S01,2017-10-12,45.11,72.75,Journée représentative.
Z02,S01,2017-10-13,54.73,85.06,Conditions stables.
Z02,S01,2017-10-14,54.37,73.91,Variations mineures.
Z02,S01,2017-10-15,56.20,85.39,Conditions stables.
Z02,S01,2017-10-16,48.61,72.40,Journée représentative.
Z02,S01,2017-10-17,43.76,82.81,Journée représentative.
Z02,S01,2017-10-18,44.43,72.85,Variations mineures.
Z02,S01,2017-10-19,52.26,83.54,Variations mineures.
Z02,S01,2017-10-20,55.46,86.91,Variations mineures.
Z02,S01,2017-10-21,36.51,83.82,Variations mineures.
Z02,S01,2017-10-22,33.28,74.29,Conditions stables.
Z02,S01,2017-10-23,40.96,88.02,Conditions stables.
Z02,S01,2017-10-24,48.63,80.89,Conditions stables.
Z02,S01,2017-10-25,32.62,70.58,Variations mineures.
Z02,S01,2017-10-26,56.99,73.81,Variations mineures.
Z02,S01,2017-10-27,58.56,80.80,Variations mineures.
Z02,S01,2017-10-28,30.14,88.23,Journée représentative.
Z02,S01,2017-10-29,48.11,87.10,Variations mineures.
Z02,S01,2017-10-30,47.66,85.70,Variations mineures.
Z02,S01,2017-10-31,37.87,88.34,Conditions stables.
