plantid,dateobservation,typefloraison,note
MMB4005,2017-06-15,FR,Rien à signaler.
MMB4008,2017-06-15,FR,Condition normale pour la saison.
MMB4011,2017-06-15,FL,Légère variabilité observée.
MMB4014,2017-06-15,FR,Condition normale pour la saison.
MMB4017,2017-06-15,FL,Condition normale pour la saison.
MMB4020,2017-06-15,FL,Légère variabilité observée.
MMB4023,2017-06-15,FL,Condition normale pour la saison.
MMB4026,2017-06-15,FR,Condition normale pour la saison.
MMB4029,2017-06-15,FL,Légère variabilité observée.
MMB4032,2017-06-15,FL,Légère variabilité observée.
MMB4035,2017-06-15,FL,Rien à signaler.
MMB4038,2017-06-15,FL,Rien à signaler.
MMB4041,2017-06-15,FR,Condition normale pour la saison.
MMB4044,2017-06-15,FL,Condition normale pour la saison.
MMB4047,2017-06-15,FL,Condition normale pour la saison.
MMB4050,2017-06-15,FR,Condition normale pour la saison.
MMB4053,2017-06-15,FL,Condition normale pour la saison.
MMB4056,2017-06-15,FR,Condition normale pour la saison.
MMB4059,2017-06-15,NA,Condition normale pour la saison.
MMB4062,2017-06-15,FR,Condition normale pour la saison.
MMB4065,2017-06-15,FR,Condition normale pour la saison.
MMB4068,2017-06-15,FL,Condition normale pour la saison.
MMB4071,2017-06-15,NA,Légère variabilité observée.
MMB4074,2017-06-15,FR,Légère variabilité observée.
MMB4077,2017-06-15,FL,Rien à signaler.
MMB4080,2017-06-15,FR,Condition normale pour la saison.
MMB4083,2017-06-15,FL,Rien à signaler.
MMB4086,2017-06-15,FR,Condition normale pour la saison.
MMB4089,2017-06-15,FR,Légère variabilité observée.
MMB4092,2017-06-15,FR,Légère variabilité observée.
MMB4095,2017-06-15,FL,Condition normale pour la saison.
MMB4098,2017-06-15,FR,Condition normale pour la saison.
