plantid,dateobservation,longueur,largeur,note
MMA1018,2017-06-15,87.28,192.55,Condition normale pour la saison.
MMA1018,2017-07-15,194.83,169.36,Condition normale pour la saison.
MMA1018,2017-08-15,59.59,199.39,Rien à signaler.
MMA1018,2017-09-15,124.10,131.05,Condition normale pour la saison.
MMA1018,2017-10-15,130.16,70.11,Condition normale pour la saison.
MMA1020,2017-05-15,108.89,66.71,Condition normale pour la saison.
MMA1020,2017-06-15,108.55,141.77,Condition normale pour la saison.
MMA1020,2017-07-15,103.94,167.93,Légère variabilité observée.
MMA1020,2017-08-15,94.74,131.93,Légère variabilité observée.
MMA1020,2017-09-15,94.67,166.65,Légère variabilité observée.
MMA1020,2017-10-15,138.90,170.05,Condition normale pour la saison.
MMA1022,2017-05-15,61.57,183.80,Condition normale pour la saison.
MMA1022,2017-06-15,168.87,126.58,Condition normale pour la saison.
MMA1022,2017-07-15,149.86,163.86,Rien à signaler.
MMA1022,2017-08-15,54.66,76.67,Rien à signaler.
MMA1022,2017-09-15,139.00,144.19,Légère variabilité observée.
MMA1022,2017-10-15,100.04,183.54,Condition normale pour la saison.
MMA1024,2017-05-15,85.29,59.65,Légère variabilité observée.
MMA1024,2017-06-15,54.29,158.87,Rien à signaler.
MMA1024,2017-07-15,145.92,191.71,Rien à signaler.
MMA1024,2017-08-15,119.92,99.24,Condition normale pour la saison.
MMA1024,2017-09-15,151.57,176.92,Rien à signaler.
MMA1024,2017-10-15,170.83,89.48,Condition normale pour la saison.
MMA1026,2017-05-15,188.12,108.35,Rien à signaler.
MMA1026,2017-06-15,187.77,111.67,Légère variabilité observée.
MMA1026,2017-07-15,119.08,56.34,Rien à signaler.
MMA1026,2017-08-15,195.95,82.02,Rien à signaler.
MMA1026,2017-09-15,106.63,77.02,Condition normale pour la saison.
MMA1026,2017-10-15,158.20,194.83,Condition normale pour la saison.
MMA1028,2017-05-15,87.16,83.59,Condition normale pour la saison.
MMA1028,2017-06-15,186.41,77.69,Condition normale pour la saison.
MMA1028,2017-07-15,69.70,190.41,Légère variabilité observée.
MMA1028,2017-08-15,68.44,88.35,Rien à signaler.
MMA1028,2017-09-15,77.80,152.36,Condition normale pour la saison.
MMA1028,2017-10-15,157.44,167.26,Rien à signaler.
MMA1030,2017-05-15,84.67,151.37,Condition normale pour la saison.
MMA1030,2017-06-15,58.51,158.04,Condition normale pour la saison.
MMA1030,2017-07-15,141.88,65.81,Légère variabilité observée.
MMA1030,2017-08-15,107.96,170.50,Condition normale pour la saison.
MMA1030,2017-09-15,52.20,80.88,Condition normale pour la saison.
MMA1030,2017-10-15,143.67,81.71,Légère variabilité observée.
MMA1032,2017-05-15,121.27,134.08,Condition normale pour la saison.
MMA1032,2017-06-15,116.57,160.66,Condition normale pour la saison.
MMA1032,2017-07-15,54.51,145.53,Rien à signaler.
MMA1032,2017-08-15,153.19,138.79,Légère variabilité observée.
MMA1032,2017-09-15,84.29,146.13,Condition normale pour la saison.
MMA1032,2017-10-15,91.63,65.79,Condition normale pour la saison.
MMA1034,2017-05-15,112.06,197.18,Légère variabilité observée.
MMA1034,2017-06-15,63.66,58.92,Condition normale pour la saison.
MMA1034,2017-07-15,84.55,152.90,Légère variabilité observée.
MMA1034,2017-08-15,99.33,191.86,Légère variabilité observée.
MMA1034,2017-09-15,173.15,91.75,Condition normale pour la saison.
MMA1034,2017-10-15,153.77,87.76,Condition normale pour la saison.
MMA1036,2017-05-15,166.80,98.92,Légère variabilité observée.
MMA1036,2017-06-15,130.54,162.45,Condition normale pour la saison.
MMA1036,2017-07-15,171.13,94.40,Condition normale pour la saison.
MMA1036,2017-08-15,109.83,130.63,Légère variabilité observée.
MMA1036,2017-09-15,114.62,95.28,Rien à signaler.
MMA1036,2017-10-15,129.48,172.13,Légère variabilité observée.
MMA1038,2017-05-15,110.61,101.29,Légère variabilité observée.
MMA1038,2017-06-15,73.03,116.26,Légère variabilité observée.
MMA1038,2017-07-15,199.71,99.39,Rien à signaler.
MMA1038,2017-08-15,99.70,193.68,Condition normale pour la saison.
MMA1038,2017-09-15,111.95,130.51,Condition normale pour la saison.
MMA1038,2017-10-15,97.58,199.15,Condition normale pour la saison.
MMA1040,2017-05-15,66.13,175.11,Condition normale pour la saison.
MMA1040,2017-06-15,64.45,192.37,Condition normale pour la saison.
MMA1040,2017-07-15,86.31,97.91,Condition normale pour la saison.
MMA1040,2017-08-15,147.20,127.59,Légère variabilité observée.
MMA1040,2017-09-15,197.39,137.86,Condition normale pour la saison.
MMA1040,2017-10-15,187.03,99.17,Condition normale pour la saison.
MMA1042,2017-05-15,125.64,89.92,Rien à signaler.
MMB4094,2017-08-15,87.52,100.59,Rien à signaler.
MMA1042,2017-06-15,159.69,161.97,Légère variabilité observée.
MMA1042,2017-07-15,143.72,84.63,Rien à signaler.
MMA1042,2017-08-15,79.65,51.34,Condition normale pour la saison.
MMA1042,2017-09-15,165.36,60.15,Condition normale pour la saison.
MMA1042,2017-10-15,119.80,72.45,Rien à signaler.
MMA1044,2017-05-15,112.88,144.65,Condition normale pour la saison.
MMA1044,2017-06-15,117.56,54.40,Condition normale pour la saison.
MMA1044,2017-07-15,176.38,68.42,Condition normale pour la saison.
MMA1044,2017-08-15,101.04,62.60,Condition normale pour la saison.
MMA1044,2017-09-15,58.23,113.52,Condition normale pour la saison.
MMA1044,2017-10-15,187.09,125.79,Légère variabilité observée.
MMA1046,2017-05-15,188.56,95.27,Rien à signaler.
MMA1046,2017-06-15,98.44,105.27,Condition normale pour la saison.
MMA1046,2017-07-15,110.75,103.76,Condition normale pour la saison.
MMA1046,2017-08-15,160.69,163.98,Légère variabilité observée.
MMA1046,2017-09-15,125.34,179.89,Condition normale pour la saison.
MMA1046,2017-10-15,105.36,97.75,Condition normale pour la saison.
MMA1048,2017-05-15,105.90,118.08,Condition normale pour la saison.
MMA1048,2017-06-15,67.72,199.03,Rien à signaler.
MMA1048,2017-07-15,135.54,184.75,Condition normale pour la saison.
MMA1048,2017-08-15,52.74,156.53,Condition normale pour la saison.
MMA1048,2017-09-15,129.92,92.65,Légère variabilité observée.
MMA1048,2017-10-15,121.87,169.19,Rien à signaler.
MMA1050,2017-05-15,87.85,151.70,Condition normale pour la saison.
MMA1050,2017-06-15,156.80,167.31,Rien à signaler.
MMA1050,2017-07-15,67.37,123.93,Condition normale pour la saison.
MMA1050,2017-08-15,133.53,184.68,Condition normale pour la saison.
MMA1050,2017-09-15,82.98,164.94,Condition normale pour la saison.
MMA1050,2017-10-15,101.22,93.93,Condition normale pour la saison.
MMA1052,2017-05-15,78.59,101.41,Légère variabilité observée.
MMA1052,2017-06-15,108.57,164.02,Légère variabilité observée.
MMA1052,2017-07-15,197.54,141.52,Légère variabilité observée.
MMA1052,2017-08-15,188.97,59.30,Condition normale pour la saison.
MMA1052,2017-09-15,69.12,67.91,Rien à signaler.
MMA1052,2017-10-15,90.05,195.25,Rien à signaler.
MMA1054,2017-05-15,99.76,95.20,Légère variabilité observée.
MMA1054,2017-06-15,71.82,172.99,Condition normale pour la saison.
MMA1054,2017-07-15,102.22,123.02,Condition normale pour la saison.
MMA1054,2017-08-15,181.52,96.92,Condition normale pour la saison.
MMA1054,2017-09-15,171.86,96.97,Condition normale pour la saison.
MMA1054,2017-10-15,140.74,105.48,Condition normale pour la saison.
MMA1056,2017-05-15,133.40,199.17,Condition normale pour la saison.
MMA1056,2017-06-15,68.56,106.28,Légère variabilité observée.
MMA1056,2017-07-15,107.10,112.03,Condition normale pour la saison.
MMA1056,2017-08-15,125.82,75.71,Rien à signaler.
MMA1056,2017-09-15,131.07,180.52,Condition normale pour la saison.
MMA1056,2017-10-15,192.80,126.52,Condition normale pour la saison.
MMA1058,2017-05-15,61.39,159.38,Rien à signaler.
MMA1058,2017-06-15,135.28,109.04,Condition normale pour la saison.
MMA1058,2017-07-15,119.59,98.28,Rien à signaler.
MMA1058,2017-08-15,132.38,122.28,Condition normale pour la saison.
MMA1058,2017-09-15,158.71,92.49,Condition normale pour la saison.
MMA1058,2017-10-15,61.24,198.86,Légère variabilité observée.
MMA1060,2017-05-15,88.85,94.47,Condition normale pour la saison.
MMA1060,2017-06-15,75.65,152.14,Condition normale pour la saison.
MMA1060,2017-07-15,182.39,149.31,Légère variabilité observée.
MMA1060,2017-08-15,199.52,131.24,Condition normale pour la saison.
MMA1060,2017-09-15,64.75,194.61,Condition normale pour la saison.
MMA1060,2017-10-15,198.42,63.20,Légère variabilité observée.
MMA1062,2017-05-15,78.90,162.21,Condition normale pour la saison.
MMA1062,2017-06-15,191.41,121.76,Rien à signaler.
MMA1062,2017-07-15,171.30,72.98,Rien à signaler.
MMA1062,2017-08-15,153.81,64.74,Rien à signaler.
MMA1062,2017-09-15,126.88,111.73,Condition normale pour la saison.
MMA1062,2017-10-15,182.68,170.44,Rien à signaler.
MMA1064,2017-05-15,75.74,87.13,Condition normale pour la saison.
MMA1064,2017-06-15,107.15,177.32,Condition normale pour la saison.
MMA1064,2017-07-15,110.90,93.00,Condition normale pour la saison.
MMA1064,2017-08-15,71.56,103.14,Condition normale pour la saison.
MMA1064,2017-09-15,132.45,100.45,Légère variabilité observée.
MMA1064,2017-10-15,110.16,158.16,Légère variabilité observée.
MMA1066,2017-05-15,198.04,135.41,Légère variabilité observée.
MMA1066,2017-06-15,178.69,96.12,Condition normale pour la saison.
MMA1066,2017-07-15,181.65,68.64,Rien à signaler.
MMA1066,2017-08-15,68.71,127.84,Rien à signaler.
MMA1066,2017-09-15,153.85,151.79,Légère variabilité observée.
MMA1066,2017-10-15,170.70,69.74,Condition normale pour la saison.
MMA1068,2017-05-15,106.16,140.25,Condition normale pour la saison.
MMA1068,2017-06-15,180.75,95.06,Condition normale pour la saison.
MMA1068,2017-07-15,61.16,180.94,Condition normale pour la saison.
MMA1068,2017-08-15,166.32,187.98,Rien à signaler.
MMA1068,2017-09-15,62.59,104.48,Légère variabilité observée.
MMA1068,2017-10-15,126.94,85.69,Légère variabilité observée.
MMA1070,2017-05-15,121.64,67.54,Condition normale pour la saison.
MMA1070,2017-06-15,182.98,68.86,Condition normale pour la saison.
MMA1070,2017-07-15,107.44,125.14,Condition normale pour la saison.
MMA1070,2017-08-15,87.05,149.81,Rien à signaler.
MMA1070,2017-09-15,178.56,82.93,Rien à signaler.
MMA1070,2017-10-15,51.32,186.97,Condition normale pour la saison.
MMA1072,2017-05-15,132.49,109.77,Légère variabilité observée.
MMA1072,2017-06-15,65.70,157.12,Légère variabilité observée.
MMA1072,2017-07-15,119.72,102.03,Condition normale pour la saison.
MMA1072,2017-08-15,194.21,173.63,Condition normale pour la saison.
MMA1072,2017-09-15,158.79,61.76,Rien à signaler.
MMA1072,2017-10-15,111.63,195.55,Rien à signaler.
MMA1074,2017-05-15,187.22,86.16,Condition normale pour la saison.
MMA1074,2017-06-15,139.30,129.84,Condition normale pour la saison.
MMA1074,2017-07-15,156.27,114.18,Légère variabilité observée.
MMA1074,2017-08-15,142.91,129.09,Condition normale pour la saison.
MMA1074,2017-09-15,184.92,50.57,Condition normale pour la saison.
MMA1074,2017-10-15,127.55,104.30,Rien à signaler.
MMA1076,2017-05-15,146.97,175.15,Rien à signaler.
MMA1076,2017-06-15,108.34,109.41,Condition normale pour la saison.
MMA1076,2017-07-15,187.88,160.22,Condition normale pour la saison.
MMA1076,2017-08-15,129.03,111.54,Légère variabilité observée.
MMA1076,2017-09-15,109.53,176.99,Rien à signaler.
MMA1076,2017-10-15,105.29,145.30,Condition normale pour la saison.
MMA1078,2017-05-15,147.04,175.10,Légère variabilité observée.
MMA1078,2017-06-15,91.62,70.93,Rien à signaler.
MMA1078,2017-07-15,179.66,199.15,Condition normale pour la saison.
MMA1078,2017-08-15,73.72,135.17,Condition normale pour la saison.
MMA1078,2017-09-15,143.74,198.63,Rien à signaler.
MMA1078,2017-10-15,152.49,172.61,Condition normale pour la saison.
MMA1080,2017-05-15,54.00,191.20,Condition normale pour la saison.
MMA1080,2017-06-15,193.06,118.65,Condition normale pour la saison.
MMA1080,2017-07-15,127.64,92.25,Rien à signaler.
MMA1080,2017-08-15,152.58,149.65,Légère variabilité observée.
MMA1080,2017-09-15,116.17,119.63,Condition normale pour la saison.
MMA1080,2017-10-15,91.40,70.57,Condition normale pour la saison.
MMA1082,2017-05-15,184.89,110.95,Rien à signaler.
MMA1082,2017-06-15,156.90,158.98,Rien à signaler.
MMA1082,2017-07-15,198.72,188.06,Condition normale pour la saison.
MMA1082,2017-08-15,184.88,194.06,Condition normale pour la saison.
MMA1082,2017-09-15,198.18,177.77,Rien à signaler.
MMA1082,2017-10-15,92.14,147.22,Condition normale pour la saison.
MMA1084,2017-05-15,177.71,80.07,Légère variabilité observée.
MMA1084,2017-06-15,68.76,78.02,Légère variabilité observée.
MMA1084,2017-07-15,161.58,119.33,Rien à signaler.
MMA1084,2017-08-15,186.50,73.84,Rien à signaler.
MMA1084,2017-09-15,60.36,188.09,Condition normale pour la saison.
MMA1084,2017-10-15,175.05,112.39,Condition normale pour la saison.
MMA1086,2017-05-15,86.23,196.24,Condition normale pour la saison.
MMA1086,2017-06-15,69.25,183.61,Légère variabilité observée.
MMA1086,2017-07-15,85.78,88.23,Condition normale pour la saison.
MMA1086,2017-08-15,56.16,185.66,Rien à signaler.
MMA1086,2017-09-15,92.30,199.46,Rien à signaler.
MMA1086,2017-10-15,186.51,148.33,Rien à signaler.
MMA1088,2017-05-15,137.50,110.14,Légère variabilité observée.
MMA1088,2017-06-15,112.17,146.09,Rien à signaler.
MMA1088,2017-07-15,183.82,170.76,Rien à signaler.
MMA1088,2017-08-15,182.62,198.92,Rien à signaler.
MMA1088,2017-09-15,138.32,114.70,Condition normale pour la saison.
MMA1088,2017-10-15,192.82,193.77,Condition normale pour la saison.
MMA1090,2017-05-15,162.24,183.67,Condition normale pour la saison.
MMA1090,2017-06-15,161.35,106.76,Condition normale pour la saison.
MMA1090,2017-07-15,151.06,160.60,Légère variabilité observée.
MMA1090,2017-08-15,98.93,161.24,Rien à signaler.
MMA1090,2017-09-15,91.00,96.80,Rien à signaler.
MMA1090,2017-10-15,167.82,68.70,Rien à signaler.
MMA1092,2017-05-15,96.14,110.52,Condition normale pour la saison.
MMA1092,2017-06-15,189.52,165.51,Rien à signaler.
MMA1092,2017-07-15,169.29,88.60,Condition normale pour la saison.
MMA1092,2017-08-15,89.97,158.92,Rien à signaler.
MMA1092,2017-09-15,159.54,124.95,Rien à signaler.
MMA1092,2017-10-15,127.33,198.28,Légère variabilité observée.
MMA1094,2017-05-15,171.77,66.80,Rien à signaler.
MMA1094,2017-06-15,53.72,191.21,Condition normale pour la saison.
MMA1094,2017-07-15,122.66,84.99,Condition normale pour la saison.
MMA1094,2017-08-15,76.87,79.94,Condition normale pour la saison.
MMA1094,2017-09-15,70.77,107.83,Légère variabilité observée.
MMA1094,2017-10-15,184.11,68.71,Condition normale pour la saison.
MMA1096,2017-05-15,149.13,110.83,Condition normale pour la saison.
MMA1096,2017-06-15,56.08,85.45,Rien à signaler.
MMA1096,2017-07-15,197.25,79.12,Condition normale pour la saison.
MMA1096,2017-08-15,158.66,87.26,Condition normale pour la saison.
MMA1096,2017-09-15,119.77,140.20,Condition normale pour la saison.
MMA1096,2017-10-15,57.53,85.45,Condition normale pour la saison.
MMA1098,2017-05-15,135.62,129.04,Condition normale pour la saison.
MMA1098,2017-06-15,51.95,89.80,Légère variabilité observée.
MMA1098,2017-07-15,165.84,109.29,Condition normale pour la saison.
MMA1098,2017-08-15,75.85,166.35,Condition normale pour la saison.
MMA1098,2017-09-15,146.67,152.13,Rien à signaler.
MMA1098,2017-10-15,130.93,125.75,Condition normale pour la saison.
MMA1100,2017-05-15,164.37,53.56,Légère variabilité observée.
MMA1100,2017-06-15,83.07,139.47,Légère variabilité observée.
MMA1100,2017-07-15,103.26,105.47,Rien à signaler.
MMA1100,2017-08-15,103.47,132.99,Condition normale pour la saison.
MMA1100,2017-09-15,104.53,164.60,Condition normale pour la saison.
MMA1100,2017-10-15,163.34,190.17,Condition normale pour la saison.
MMA2002,2017-05-15,67.21,124.28,Légère variabilité observée.
MMA2002,2017-06-15,186.67,152.55,Condition normale pour la saison.
MMA2002,2017-07-15,65.16,133.58,Condition normale pour la saison.
MMA2002,2017-08-15,115.91,122.93,Condition normale pour la saison.
MMA2002,2017-09-15,132.36,53.86,Rien à signaler.
MMA2002,2017-10-15,95.27,199.47,Légère variabilité observée.
MMA2004,2017-05-15,141.72,166.87,Condition normale pour la saison.
MMA2004,2017-06-15,178.63,128.52,Condition normale pour la saison.
MMA2004,2017-07-15,91.42,62.30,Condition normale pour la saison.
MMA2004,2017-08-15,144.71,193.73,Condition normale pour la saison.
MMA2004,2017-09-15,74.60,57.48,Condition normale pour la saison.
MMA2004,2017-10-15,76.82,93.78,Légère variabilité observée.
MMA2006,2017-05-15,153.89,124.77,Condition normale pour la saison.
MMA2006,2017-06-15,133.46,148.58,Légère variabilité observée.
MMA2006,2017-07-15,143.97,88.73,Rien à signaler.
MMA2006,2017-08-15,120.54,112.06,Condition normale pour la saison.
MMA2006,2017-09-15,101.89,182.26,Légère variabilité observée.
MMA2006,2017-10-15,77.77,51.02,Condition normale pour la saison.
MMA2008,2017-05-15,96.13,96.32,Condition normale pour la saison.
MMA2008,2017-06-15,159.73,163.90,Condition normale pour la saison.
MMA2008,2017-07-15,167.73,83.19,Condition normale pour la saison.
MMA2008,2017-08-15,51.77,76.79,Condition normale pour la saison.
MMA2008,2017-09-15,142.39,121.97,Légère variabilité observée.
MMA2008,2017-10-15,161.81,59.54,Légère variabilité observée.
MMA2010,2017-05-15,99.46,157.01,Condition normale pour la saison.
MMA2010,2017-06-15,82.21,191.39,Condition normale pour la saison.
MMA2010,2017-07-15,103.12,87.58,Condition normale pour la saison.
MMA2010,2017-08-15,129.36,59.29,Condition normale pour la saison.
MMA2010,2017-09-15,68.38,186.23,Condition normale pour la saison.
MMA2010,2017-10-15,79.85,74.45,Légère variabilité observée.
MMA2012,2017-05-15,182.90,157.82,Condition normale pour la saison.
MMA2012,2017-06-15,158.61,99.17,Condition normale pour la saison.
MMA2012,2017-07-15,154.82,56.68,Condition normale pour la saison.
MMA2012,2017-08-15,133.78,198.02,Condition normale pour la saison.
MMA2012,2017-09-15,159.54,96.05,Légère variabilité observée.
MMA2012,2017-10-15,118.94,148.97,Condition normale pour la saison.
MMA2014,2017-05-15,167.67,118.31,Condition normale pour la saison.
MMA2014,2017-06-15,78.80,140.13,Condition normale pour la saison.
MMA2014,2017-07-15,99.70,154.66,Rien à signaler.
MMA2014,2017-08-15,121.74,87.54,Légère variabilité observée.
MMA2014,2017-09-15,133.03,110.59,Condition normale pour la saison.
MMA2014,2017-10-15,168.95,130.56,Rien à signaler.
MMA2016,2017-05-15,113.80,194.92,Légère variabilité observée.
MMA2016,2017-06-15,179.33,51.79,Rien à signaler.
MMA2016,2017-07-15,126.20,77.40,Rien à signaler.
MMA2016,2017-08-15,186.53,161.79,Légère variabilité observée.
MMA2016,2017-09-15,50.79,56.69,Rien à signaler.
MMA2016,2017-10-15,157.56,183.29,Rien à signaler.
MMA2018,2017-05-15,67.17,171.67,Légère variabilité observée.
MMA2018,2017-06-15,164.87,183.45,Condition normale pour la saison.
MMA2018,2017-07-15,175.07,148.95,Condition normale pour la saison.
MMA2018,2017-08-15,155.30,171.80,Légère variabilité observée.
MMA2018,2017-09-15,144.31,148.80,Condition normale pour la saison.
MMA2018,2017-10-15,198.22,56.33,Condition normale pour la saison.
MMA2020,2017-05-15,198.38,172.53,Condition normale pour la saison.
MMA2020,2017-06-15,104.97,73.92,Légère variabilité observée.
MMA2020,2017-07-15,91.26,89.85,Légère variabilité observée.
MMA2020,2017-08-15,168.86,107.79,Condition normale pour la saison.
MMA2020,2017-09-15,77.00,141.38,Rien à signaler.
MMA2020,2017-10-15,60.45,121.01,Condition normale pour la saison.
MMA2022,2017-05-15,101.92,92.59,Condition normale pour la saison.
MMA2022,2017-06-15,91.91,122.43,Condition normale pour la saison.
MMA2022,2017-07-15,152.68,144.05,Rien à signaler.
MMA2022,2017-08-15,152.98,110.08,Condition normale pour la saison.
MMA2022,2017-09-15,183.64,115.19,Condition normale pour la saison.
MMA2022,2017-10-15,187.72,116.71,Rien à signaler.
MMA2024,2017-05-15,61.71,182.31,Condition normale pour la saison.
MMA2024,2017-06-15,129.51,54.51,Condition normale pour la saison.
MMA2024,2017-07-15,150.06,111.10,Condition normale pour la saison.
MMA2024,2017-08-15,149.85,72.96,Condition normale pour la saison.
MMA2024,2017-09-15,123.27,194.31,Condition normale pour la saison.
MMA2024,2017-10-15,131.68,163.76,Condition normale pour la saison.
MMA2026,2017-05-15,56.21,168.90,Condition normale pour la saison.
MMA2026,2017-06-15,80.34,156.76,Rien à signaler.
MMA2026,2017-07-15,195.19,155.84,Condition normale pour la saison.
MMA2026,2017-08-15,92.90,180.25,Condition normale pour la saison.
MMA2026,2017-09-15,176.76,160.14,Condition normale pour la saison.
MMA2026,2017-10-15,98.85,81.35,Rien à signaler.
MMA2028,2017-05-15,68.99,71.57,Condition normale pour la saison.
MMA2028,2017-06-15,129.63,98.89,Condition normale pour la saison.
MMA2028,2017-07-15,87.71,149.86,Condition normale pour la saison.
MMA2028,2017-08-15,65.33,54.19,Condition normale pour la saison.
MMA2028,2017-09-15,90.19,67.52,Condition normale pour la saison.
MMA2028,2017-10-15,82.24,100.69,Légère variabilité observée.
MMA2030,2017-05-15,149.42,131.85,Condition normale pour la saison.
MMA2030,2017-06-15,52.13,75.01,Rien à signaler.
MMA2030,2017-07-15,167.73,147.84,Condition normale pour la saison.
MMA2030,2017-08-15,106.56,76.12,Rien à signaler.
MMA2030,2017-09-15,59.08,194.32,Légère variabilité observée.
MMA2030,2017-10-15,94.90,116.11,Condition normale pour la saison.
MMA2032,2017-05-15,90.57,73.17,Condition normale pour la saison.
MMA2032,2017-06-15,77.38,137.46,Rien à signaler.
MMA2032,2017-07-15,66.80,82.01,Condition normale pour la saison.
MMA2032,2017-08-15,100.27,56.86,Légère variabilité observée.
MMA2032,2017-09-15,84.94,103.83,Rien à signaler.
MMA2032,2017-10-15,167.16,135.48,Rien à signaler.
MMA2034,2017-05-15,58.10,190.81,Condition normale pour la saison.
MMA2034,2017-06-15,124.32,86.25,Condition normale pour la saison.
MMA2034,2017-07-15,137.41,97.04,Rien à signaler.
MMA2034,2017-08-15,105.99,179.03,Rien à signaler.
MMA2034,2017-09-15,147.67,60.28,Condition normale pour la saison.
MMA2034,2017-10-15,135.22,197.64,Condition normale pour la saison.
MMA2036,2017-05-15,71.61,109.62,Condition normale pour la saison.
MMA2036,2017-06-15,174.72,187.08,Condition normale pour la saison.
MMA2036,2017-07-15,177.59,58.22,Légère variabilité observée.
MMA2036,2017-08-15,118.87,72.57,Condition normale pour la saison.
MMA2036,2017-09-15,98.22,147.94,Condition normale pour la saison.
MMA2036,2017-10-15,189.12,112.60,Condition normale pour la saison.
MMA2038,2017-05-15,99.54,59.41,Rien à signaler.
MMA2038,2017-06-15,87.93,119.84,Condition normale pour la saison.
MMA2038,2017-07-15,101.40,91.59,Condition normale pour la saison.
MMA2038,2017-08-15,100.21,63.48,Rien à signaler.
MMA2038,2017-09-15,58.93,142.83,Condition normale pour la saison.
MMA2038,2017-10-15,70.80,82.82,Légère variabilité observée.
MMA2040,2017-05-15,187.64,161.87,Condition normale pour la saison.
MMA2040,2017-06-15,149.19,138.30,Rien à signaler.
MMA2040,2017-07-15,183.64,150.26,Légère variabilité observée.
MMA2040,2017-08-15,125.44,197.74,Condition normale pour la saison.
MMA2040,2017-09-15,199.37,167.15,Légère variabilité observée.
MMA2040,2017-10-15,88.13,114.02,Condition normale pour la saison.
MMA2042,2017-05-15,124.95,177.25,Condition normale pour la saison.
MMA2042,2017-06-15,160.76,69.87,Condition normale pour la saison.
MMA2042,2017-07-15,59.20,131.85,Légère variabilité observée.
MMA2042,2017-08-15,92.60,85.38,Condition normale pour la saison.
MMA2042,2017-09-15,103.48,168.45,Rien à signaler.
MMA2042,2017-10-15,53.22,196.00,Condition normale pour la saison.
MMA2044,2017-05-15,102.76,171.80,Condition normale pour la saison.
MMA2044,2017-06-15,143.06,162.13,Condition normale pour la saison.
MMA2044,2017-07-15,59.17,69.67,Condition normale pour la saison.
MMA2044,2017-08-15,106.06,176.29,Légère variabilité observée.
MMA2044,2017-09-15,67.63,179.64,Légère variabilité observée.
MMA2044,2017-10-15,137.49,116.20,Légère variabilité observée.
MMA2046,2017-05-15,182.43,123.20,Rien à signaler.
MMA2046,2017-06-15,146.50,116.54,Condition normale pour la saison.
