zoneid,siteid,dateobservation,pressionmin,pressionmax,note
Z02,S01,2017-05-04,997.00,1012.82,Variations mineures.
Z02,S01,2017-05-05,1008.35,1011.97,Variations mineures.
Z02,S01,2017-05-06,998.98,1025.34,Journée représentative.
Z02,S01,2017-05-07,1002.36,1023.83,Variations mineures.
Z02,S01,2017-05-08,994.51,1025.64,Variations mineures.
Z02,S01,2017-05-09,1000.81,1025.26,Variations mineures.
Z02,S01,2017-05-10,1007.55,1014.81,Variations mineures.
Z02,S01,2017-05-11,993.39,1012.95,Variations mineures.
Z02,S01,2017-05-12,1000.32,1019.22,Variations mineures.
Z02,S01,2017-05-13,995.11,1026.24,Conditions stables.
Z02,S01,2017-05-14,994.96,1011.32,Variations mineures.
Z02,S01,2017-05-15,1007.00,1017.72,Variations mineures.
Z02,S01,2017-05-16,990.95,1023.39,Journée représentative.
Z02,S01,2017-05-17,991.42,1019.51,Journée représentative.
Z02,S01,2017-05-18,1001.78,1028.57,Variations mineures.
Z02,S01,2017-05-19,1002.21,1017.80,Variations mineures.
Z02,S01,2017-05-20,997.09,1010.01,Journée représentative.
Z02,S01,2017-05-21,999.94,1018.12,Journée représentative.
Z02,S01,2017-05-22,993.38,1029.44,Variations mineures.
Z02,S01,2017-05-23,998.95,1012.08,Variations mineures.
Z02,S01,2017-05-24,1009.12,1016.60,Journée représentative.
Z02,S01,2017-05-25,993.34,1025.28,Journée représentative.
Z02,S01,2017-05-26,998.24,1021.47,Variations mineures.
Z02,S01,2017-05-27,992.51,1018.57,Conditions stables.
Z02,S01,2017-05-28,1003.84,1017.99,Journée représentative.
Z02,S01,2017-05-29,999.03,1015.27,Variations mineures.
Z02,S01,2017-05-30,994.21,1021.45,Conditions stables.
Z02,S01,2017-05-31,1004.15,1022.54,Journée représentative.
Z02,S01,2017-06-01,1007.69,1015.80,Variations mineures.
Z02,S01,2017-06-02,994.98,1021.35,Conditions stables.
Z02,S01,2017-06-03,994.47,1021.84,Variations mineures.
Z02,S01,2017-06-04,1007.05,1027.50,Variations mineures.
Z02,S01,2017-06-05,1007.00,1011.68,Variations mineures.
Z02,S01,2017-06-06,1003.99,1019.33,Variations mineures.
Z02,S01,2017-06-07,1000.46,1022.17,Conditions stables.
Z02,S01,2017-06-08,996.59,1014.16,Journée représentative.
Z02,S01,2017-06-09,993.93,1017.91,Variations mineures.
Z02,S01,2017-06-10,1004.07,1015.60,Variations mineures.
Z02,S01,2017-06-11,1005.26,1013.98,Variations mineures.
Z02,S01,2017-06-12,1008.10,1027.50,Variations mineures.
Z02,S01,2017-06-13,993.03,1025.96,Conditions stables.
Z02,S01,2017-06-14,1006.48,1026.97,Variations mineures.
Z02,S01,2017-06-15,996.23,1013.95,Journée représentative.
Z02,S01,2017-06-16,1004.93,1024.69,Variations mineures.
Z02,S01,2017-06-17,1007.04,1022.87,Journée représentative.
Z02,S01,2017-06-18,1008.55,1027.05,Variations mineures.
Z02,S01,2017-06-19,1003.47,1016.18,Conditions stables.
Z02,S01,2017-06-20,1005.35,1021.50,Variations mineures.
Z02,S01,2017-06-21,1004.02,1010.89,Variations mineures.
Z02,S01,2017-06-22,1007.35,1026.05,Variations mineures.
Z02,S01,2017-06-23,999.97,1016.83,Conditions stables.
Z02,S01,2017-06-24,995.34,1012.15,Journée représentative.
Z02,S01,2017-06-25,999.27,1021.40,Variations mineures.
Z02,S01,2017-06-26,997.84,1010.45,Conditions stables.
Z02,S01,2017-06-27,1008.46,1013.04,Conditions stables.
Z02,S01,2017-06-28,990.93,1027.15,Conditions stables.
Z02,S01,2017-06-29,994.05,1013.57,Journée représentative.
Z02,S01,2017-06-30,1001.94,1028.16,Journée représentative.
Z02,S01,2017-07-01,990.30,1023.01,Variations mineures.
Z02,S01,2017-07-02,1002.18,1019.55,Variations mineures.
Z02,S01,2017-07-03,1002.47,1012.85,Variations mineures.
Z02,S01,2017-07-04,1000.06,1011.33,Conditions stables.
Z02,S01,2017-07-05,1009.05,1026.38,Variations mineures.
Z02,S01,2017-07-06,997.48,1022.96,Journée représentative.
Z02,S01,2017-07-07,1008.41,1010.76,Conditions stables.
Z02,S01,2017-07-08,1004.91,1015.54,Conditions stables.
Z02,S01,2017-07-09,990.48,1015.50,Variations mineures.
Z02,S01,2017-07-10,1003.42,1022.17,Variations mineures.
Z02,S01,2017-07-11,1002.96,1020.67,Conditions stables.
Z02,S01,2017-07-12,993.53,1026.44,Variations mineures.
Z02,S01,2017-07-13,992.85,1020.91,Variations mineures.
Z02,S01,2017-07-14,1005.48,1015.65,Variations mineures.
Z02,S01,2017-07-15,994.13,1013.90,Journée représentative.
Z02,S01,2017-07-16,1007.37,1012.79,Variations mineures.
Z02,S01,2017-07-17,1001.60,1025.09,Variations mineures.
Z02,S01,2017-07-18,1008.16,1025.00,Variations mineures.
Z02,S01,2017-07-19,1001.93,1024.25,Journée représentative.
Z02,S01,2017-07-20,1006.87,1014.84,Variations mineures.
Z02,S01,2017-07-21,992.75,1022.36,Journée représentative.
Z02,S01,2017-07-22,1004.89,1027.84,Variations mineures.
Z02,S01,2017-07-23,996.01,1021.98,Conditions stables.
Z02,S01,2017-07-24,1008.51,1017.06,Journée représentative.
Z02,S01,2017-07-25,1004.66,1021.67,Variations mineures.
Z02,S01,2017-07-26,1004.76,1011.52,Conditions stables.
Z02,S01,2017-07-27,1006.73,1016.91,Conditions stables.
Z02,S01,2017-07-28,1000.80,1025.77,Variations mineures.
Z02,S01,2017-07-29,991.14,1013.55,Variations mineures.
Z02,S01,2017-07-30,996.80,1018.85,Variations mineures.
Z02,S01,2017-07-31,993.19,1027.69,Journée représentative.
Z02,S01,2017-08-01,991.43,1019.13,Variations mineures.
Z02,S01,2017-08-02,1000.16,1019.63,Variations mineures.
Z02,S01,2017-08-03,1008.15,1018.00,Journée représentative.
Z02,S01,2017-08-04,1008.44,1013.93,Conditions stables.
Z02,S01,2017-08-05,993.92,1026.26,Conditions stables.
Z02,S01,2017-08-06,1002.20,1017.77,Variations mineures.
Z02,S01,2017-08-07,996.68,1029.41,Variations mineures.
Z02,S01,2017-08-08,994.79,1019.95,Variations mineures.
Z02,S01,2017-08-09,1009.29,1029.96,Journée représentative.
Z02,S01,2017-08-10,1006.56,1025.65,Variations mineures.
Z02,S01,2017-08-11,1007.24,1011.48,Conditions stables.
Z02,S01,2017-08-12,1008.82,1014.54,Journée représentative.
Z02,S01,2017-08-13,1002.22,1018.57,Variations mineures.
Z02,S01,2017-08-14,999.37,1015.60,Journée représentative.
Z02,S01,2017-08-15,994.31,1018.22,Variations mineures.
Z02,S01,2017-08-16,1002.06,1017.02,Variations mineures.
Z02,S01,2017-08-17,994.17,1017.74,Journée représentative.
Z02,S01,2017-08-18,998.92,1015.36,Journée représentative.
Z02,S01,2017-08-19,997.97,1011.92,Variations mineures.
Z02,S01,2017-08-20,1008.72,1014.12,Variations mineures.
Z02,S01,2017-08-21,1001.95,1019.27,Variations mineures.
Z02,S01,2017-08-22,992.01,1027.12,Variations mineures.
Z02,S01,2017-08-23,1007.72,1023.31,Variations mineures.
Z02,S01,2017-08-24,1009.16,1015.00,Conditions stables.
Z02,S01,2017-08-25,991.78,1010.90,Conditions stables.
Z02,S01,2017-08-26,996.77,1027.06,Conditions stables.
Z02,S01,2017-08-27,1008.88,1024.13,Variations mineures.
Z02,S01,2017-08-28,990.96,1026.58,Variations mineures.
Z02,S01,2017-08-29,995.53,1028.52,Variations mineures.
Z02,S01,2017-08-30,1001.91,1015.57,Variations mineures.
Z02,S01,2017-08-31,1004.90,1015.15,Conditions stables.
Z02,S01,2017-09-01,994.66,1011.66,Variations mineures.
Z02,S01,2017-09-02,991.96,1022.12,Variations mineures.
Z02,S01,2017-09-03,1004.32,1012.05,Conditions stables.
Z02,S01,2017-09-04,1006.74,1021.03,Variations mineures.
Z02,S01,2017-09-05,992.54,1012.02,Variations mineures.
Z02,S01,2017-09-06,1005.59,1022.93,Variations mineures.
Z02,S01,2017-09-07,1002.69,1027.07,Variations mineures.
Z02,S01,2017-09-08,999.61,1011.43,Variations mineures.
Z02,S01,2017-09-09,990.73,1023.57,Variations mineures.
Z02,S01,2017-09-10,1002.54,1025.00,Variations mineures.
Z02,S01,2017-09-11,1001.72,1018.90,Journée représentative.
Z02,S01,2017-09-12,996.52,1024.29,Variations mineures.
Z02,S01,2017-09-13,994.74,1022.27,Conditions stables.
Z02,S01,2017-09-14,1005.99,1013.94,Journée représentative.
Z02,S01,2017-09-15,1003.89,1027.52,Journée représentative.
Z02,S01,2017-09-16,1005.94,1014.01,Variations mineures.
Z02,S01,2017-09-17,1003.44,1029.32,Journée représentative.
Z02,S01,2017-09-18,990.81,1019.88,Journée représentative.
Z02,S01,2017-09-19,1006.88,1020.22,Journée représentative.
Z02,S01,2017-09-20,1009.83,1025.62,Journée représentative.
Z02,S01,2017-09-21,996.07,1022.49,Variations mineures.
Z02,S01,2017-09-22,996.45,1020.15,Variations mineures.
Z02,S01,2017-09-23,1008.30,1020.33,Variations mineures.
Z02,S01,2017-09-24,990.71,1014.86,Variations mineures.
Z02,S01,2017-09-25,1003.55,1025.72,Variations mineures.
Z02,S01,2017-09-26,993.08,1022.86,Conditions stables.
Z02,S01,2017-09-27,1005.39,1022.44,Variations mineures.
Z02,S01,2017-09-28,997.16,1015.43,Journée représentative.
Z02,S01,2017-09-29,991.50,1019.59,Journée représentative.
Z02,S01,2017-09-30,1007.87,1023.52,Conditions stables.
Z02,S01,2017-10-01,1009.38,1020.05,Variations mineures.
Z02,S01,2017-10-02,1006.74,1022.17,Conditions stables.
Z02,S01,2017-10-03,990.80,1014.86,Variations mineures.
Z02,S01,2017-10-04,1009.24,1029.14,Variations mineures.
Z02,S01,2017-10-05,995.82,1018.24,Conditions stables.
Z02,S01,2017-10-06,994.34,1024.14,Conditions stables.
Z02,S01,2017-10-07,993.92,1012.48,Variations mineures.
Z02,S01,2017-10-08,992.43,1021.12,Variations mineures.
Z02,S01,2017-10-09,1003.05,1027.45,Conditions stables.
Z02,S01,2017-10-10,1000.02,1028.42,Variations mineures.
Z02,S01,2017-10-11,1002.31,1023.99,Variations mineures.
Z02,S01,2017-10-12,995.42,1022.61,Variations mineures.
Z02,S01,2017-10-13,996.12,1022.91,Journée représentative.
Z02,S01,2017-10-14,995.30,1010.44,Variations mineures.
Z02,S01,2017-10-15,1006.25,1018.49,Conditions stables.
Z02,S01,2017-10-16,1001.80,1029.08,Variations mineures.
Z02,S01,2017-10-17,1008.43,1028.85,Journée représentative.
Z02,S01,2017-10-18,1002.66,1011.36,Variations mineures.
Z02,S01,2017-10-19,990.15,1013.34,Variations mineures.
Z02,S01,2017-10-20,1007.66,1025.89,Journée représentative.
Z02,S01,2017-10-21,992.31,1029.18,Variations mineures.
Z02,S01,2017-10-22,1000.08,1027.97,Conditions stables.
Z02,S01,2017-10-23,1009.30,1020.97,Variations mineures.
Z02,S01,2017-10-24,1009.12,1024.78,Variations mineures.
Z02,S01,2017-10-25,1002.74,1011.28,Variations mineures.
Z02,S01,2017-10-26,1007.04,1010.78,Conditions stables.
Z02,S01,2017-10-27,1006.97,1026.68,Conditions stables.
Z02,S01,2017-10-28,999.52,1024.91,Variations mineures.
Z02,S01,2017-10-29,1004.08,1024.58,Variations mineures.
Z02,S01,2017-10-30,1000.74,1017.95,Journée représentative.
Z02,S01,2017-10-31,1003.99,1017.07,Conditions stables.
