zoneid,siteid,dateobservation,ventmin,ventmax,note
Z01,S01,2017-06-16,3.46,11.71,Conditions stables.
Z01,S01,2017-06-17,0.14,18.76,Conditions stables.
Z01,S01,2017-06-18,0.60,16.21,Variations mineures.
Z01,S01,2017-06-19,4.41,10.83,Variations mineures.
Z01,S01,2017-06-20,4.65,14.24,Conditions stables.
Z01,S01,2017-06-21,3.05,23.99,Conditions stables.
Z01,S01,2017-06-22,3.94,16.05,Journée représentative.
Z01,S01,2017-06-23,4.40,14.61,Variations mineures.
Z01,S01,2017-06-24,4.18,10.75,Conditions stables.
Z01,S01,2017-06-25,4.65,19.08,Journée représentative.
Z01,S01,2017-06-26,0.23,29.48,Journée représentative.
Z01,S01,2017-06-27,3.67,11.64,Conditions stables.
Z01,S01,2017-06-28,4.77,10.64,Variations mineures.
Z01,S01,2017-06-29,0.03,10.60,Journée représentative.
Z01,S01,2017-06-30,4.39,25.51,Conditions stables.
Z01,S01,2017-07-01,0.84,13.94,Journée représentative.
Z01,S01,2017-07-02,2.62,14.37,Journée représentative.
Z01,S01,2017-07-03,1.00,17.53,Variations mineures.
Z01,S01,2017-07-04,3.26,15.63,Journée représentative.
Z01,S01,2017-07-05,1.84,11.86,Journée représentative.
Z01,S01,2017-07-06,0.10,28.41,Variations mineures.
Z01,S01,2017-07-07,0.94,12.41,Variations mineures.
Z01,S01,2017-07-08,0.80,17.09,Journée représentative.
Z01,S01,2017-07-09,4.14,24.85,Variations mineures.
Z01,S01,2017-07-10,1.77,25.01,Variations mineures.
Z01,S01,2017-07-11,0.11,15.58,Journée représentative.
Z01,S01,2017-07-12,1.40,15.48,Conditions stables.
Z01,S01,2017-07-13,3.37,24.95,Variations mineures.
Z01,S01,2017-07-14,3.93,17.93,Conditions stables.
Z01,S01,2017-07-15,0.82,11.03,Variations mineures.
Z01,S01,2017-07-16,0.49,19.51,Conditions stables.
Z01,S01,2017-07-17,1.85,12.80,Variations mineures.
Z01,S01,2017-07-18,1.45,15.65,Variations mineures.
Z01,S01,2017-07-19,3.59,24.62,Conditions stables.
Z01,S01,2017-07-20,4.84,28.42,Journée représentative.
Z01,S01,2017-07-21,0.25,25.59,Variations mineures.
Z01,S01,2017-07-22,0.46,29.21,Variations mineures.
Z01,S01,2017-07-23,1.25,27.34,Conditions stables.
Z01,S01,2017-07-24,2.67,18.59,Variations mineures.
Z01,S01,2017-07-25,3.28,20.07,Journée représentative.
Z01,S01,2017-07-26,0.22,28.44,Variations mineures.
Z01,S01,2017-07-27,1.90,22.79,Variations mineures.
Z01,S01,2017-07-28,1.44,26.19,Conditions stables.
Z01,S01,2017-07-29,2.87,24.53,Variations mineures.
Z01,S01,2017-07-30,1.30,12.14,Conditions stables.
Z01,S01,2017-07-31,4.01,29.00,Variations mineures.
Z01,S01,2017-08-01,0.38,28.53,Variations mineures.
Z01,S01,2017-08-02,0.28,27.43,Conditions stables.
Z01,S01,2017-08-03,0.10,14.36,Journée représentative.
Z01,S01,2017-08-04,2.11,25.26,Variations mineures.
Z01,S01,2017-08-05,0.74,10.41,Variations mineures.
Z01,S01,2017-08-06,2.97,19.85,Variations mineures.
Z01,S01,2017-08-07,1.84,16.94,Variations mineures.
Z01,S01,2017-08-08,3.04,24.14,Conditions stables.
Z01,S01,2017-08-09,2.00,21.23,Journée représentative.
Z01,S01,2017-08-10,2.05,12.97,Conditions stables.
Z01,S01,2017-08-11,1.54,12.76,Journée représentative.
Z01,S01,2017-08-12,3.42,18.26,Conditions stables.
Z01,S01,2017-08-13,3.97,29.17,Variations mineures.
Z01,S01,2017-08-14,4.81,24.61,Variations mineures.
Z01,S01,2017-08-15,1.14,20.48,Journée représentative.
Z01,S01,2017-08-16,0.20,23.39,Variations mineures.
Z01,S01,2017-08-17,3.20,14.41,Journée représentative.
Z01,S01,2017-08-18,4.98,19.57,Variations mineures.
Z01,S01,2017-08-19,4.44,13.65,Variations mineures.
Z01,S01,2017-08-20,2.39,21.18,Variations mineures.
Z01,S01,2017-08-21,1.10,21.73,Variations mineures.
Z01,S01,2017-08-22,2.15,13.74,Variations mineures.
Z01,S01,2017-08-23,0.17,26.17,Variations mineures.
Z01,S01,2017-08-24,4.14,27.53,Variations mineures.
Z01,S01,2017-08-25,3.69,11.93,Variations mineures.
Z01,S01,2017-08-26,2.15,10.90,Variations mineures.
Z01,S01,2017-08-27,4.95,13.71,Variations mineures.
Z01,S01,2017-08-28,0.31,14.60,Variations mineures.
Z01,S01,2017-08-29,3.79,10.94,Conditions stables.
Z01,S01,2017-08-30,4.01,25.80,Variations mineures.
Z01,S01,2017-08-31,4.02,17.68,Variations mineures.
Z01,S01,2017-09-01,0.69,20.17,Variations mineures.
Z01,S01,2017-09-02,0.30,19.34,Journée représentative.
Z01,S01,2017-09-03,2.47,29.97,Conditions stables.
Z01,S01,2017-09-04,2.50,11.52,Conditions stables.
Z01,S01,2017-09-05,0.02,23.66,Variations mineures.
Z01,S01,2017-09-06,1.62,18.05,Journée représentative.
Z01,S01,2017-09-07,3.79,21.63,Journée représentative.
Z01,S01,2017-09-08,4.74,26.95,Conditions stables.
Z01,S01,2017-09-09,1.89,19.03,Conditions stables.
Z01,S01,2017-09-10,4.71,29.34,Variations mineures.
Z01,S01,2017-09-11,0.45,23.66,Variations mineures.
Z01,S01,2017-09-12,4.26,16.55,Variations mineures.
Z01,S01,2017-09-13,1.85,28.67,Variations mineures.
Z01,S01,2017-09-14,4.53,13.70,Variations mineures.
Z01,S01,2017-09-15,1.81,29.67,Variations mineures.
Z01,S01,2017-09-16,3.52,15.50,Conditions stables.
Z01,S01,2017-09-17,3.68,10.83,Variations mineures.
Z01,S01,2017-09-18,0.58,21.87,Variations mineures.
Z01,S01,2017-09-19,4.59,23.31,Journée représentative.
Z01,S01,2017-09-20,4.14,28.67,Variations mineures.
Z01,S01,2017-09-21,4.60,11.72,Variations mineures.
Z01,S01,2017-09-22,4.21,24.01,Variations mineures.
Z01,S01,2017-09-23,1.29,27.90,Variations mineures.
Z01,S01,2017-09-24,3.34,15.46,Variations mineures.
Z01,S01,2017-09-25,2.37,22.64,Variations mineures.
Z01,S01,2017-09-26,4.23,19.13,Journée représentative.
Z01,S01,2017-09-27,2.33,25.69,Variations mineures.
Z01,S01,2017-09-28,2.13,27.69,Conditions stables.
Z01,S01,2017-09-29,1.36,26.91,Variations mineures.
Z01,S01,2017-09-30,2.47,16.09,Journée représentative.
Z01,S01,2017-10-01,3.23,14.98,Conditions stables.
Z01,S01,2017-10-02,1.00,20.86,Journée représentative.
Z01,S01,2017-10-03,1.81,12.76,Variations mineures.
Z01,S01,2017-10-04,3.39,23.60,Conditions stables.
Z01,S01,2017-10-05,0.04,12.09,Journée représentative.
Z01,S01,2017-10-06,3.69,28.03,Conditions stables.
Z01,S01,2017-10-07,0.08,22.94,Conditions stables.
Z01,S01,2017-10-08,4.30,17.87,Variations mineures.
Z01,S01,2017-10-09,1.56,19.99,Variations mineures.
Z01,S01,2017-10-10,3.31,13.19,Variations mineures.
Z01,S01,2017-10-11,1.24,23.20,Conditions stables.
Z01,S01,2017-10-12,0.74,23.05,Journée représentative.
Z01,S01,2017-10-13,0.30,22.83,Variations mineures.
Z01,S01,2017-10-14,4.83,24.20,Variations mineures.
Z01,S01,2017-10-15,2.53,29.71,Journée représentative.
Z01,S01,2017-10-16,3.42,26.64,Variations mineures.
Z01,S01,2017-10-17,1.39,10.09,Journée représentative.
Z01,S01,2017-10-18,4.47,28.76,Conditions stables.
Z01,S01,2017-10-19,2.77,27.23,Variations mineures.
Z01,S01,2017-10-20,0.67,12.89,Conditions stables.
Z01,S01,2017-10-21,1.29,20.97,Journée représentative.
Z01,S01,2017-10-22,0.60,26.48,Journée représentative.
Z01,S01,2017-10-23,4.25,29.29,Variations mineures.
Z01,S01,2017-10-24,3.07,16.14,Journée représentative.
Z01,S01,2017-10-25,1.88,11.44,Variations mineures.
Z01,S01,2017-10-26,1.15,22.72,Journée représentative.
Z01,S01,2017-10-27,2.84,11.74,Variations mineures.
Z01,S01,2017-10-28,4.59,12.61,Variations mineures.
Z01,S01,2017-10-29,2.13,21.96,Conditions stables.
Z01,S01,2017-10-30,2.58,29.87,Variations mineures.
Z01,S01,2017-10-31,4.67,16.29,Conditions stables.
Z02,S01,2017-05-01,3.11,21.32,Variations mineures.
Z02,S01,2017-05-02,0.65,27.53,Conditions stables.
Z02,S01,2017-05-03,4.86,23.91,Conditions stables.
Z02,S01,2017-05-04,2.81,17.19,Journée représentative.
Z02,S01,2017-05-05,4.99,23.88,Variations mineures.
Z02,S01,2017-05-06,4.44,21.69,Variations mineures.
Z02,S01,2017-05-07,3.98,21.56,Variations mineures.
Z02,S01,2017-05-08,0.08,17.72,Journée représentative.
Z02,S01,2017-05-09,1.41,28.61,Variations mineures.
Z02,S01,2017-05-10,1.91,17.11,Conditions stables.
Z02,S01,2017-05-11,1.28,20.71,Conditions stables.
Z02,S01,2017-05-12,1.27,16.68,Conditions stables.
Z02,S01,2017-05-13,0.57,15.19,Variations mineures.
Z02,S01,2017-05-14,2.53,14.16,Conditions stables.
Z02,S01,2017-05-15,3.14,17.99,Variations mineures.
Z02,S01,2017-05-16,1.50,20.60,Conditions stables.
Z02,S01,2017-05-17,3.84,18.00,Variations mineures.
Z02,S01,2017-05-18,1.75,12.18,Conditions stables.
Z02,S01,2017-05-19,2.82,14.36,Journée représentative.
Z02,S01,2017-05-20,0.82,29.49,Variations mineures.
Z02,S01,2017-05-21,1.68,21.09,Conditions stables.
Z02,S01,2017-05-22,2.06,26.17,Journée représentative.
Z02,S01,2017-05-23,4.39,11.61,Variations mineures.
Z02,S01,2017-05-24,2.32,27.96,Conditions stables.
Z02,S01,2017-05-25,4.31,11.04,Conditions stables.
Z02,S01,2017-05-26,4.08,27.58,Conditions stables.
Z02,S01,2017-05-27,3.32,12.24,Variations mineures.
Z02,S01,2017-05-28,3.52,14.96,Conditions stables.
Z02,S01,2017-05-29,3.40,12.26,Conditions stables.
Z02,S01,2017-05-30,2.31,12.98,Conditions stables.
Z02,S01,2017-05-31,1.20,18.19,Journée représentative.
Z02,S01,2017-06-01,0.98,23.73,Conditions stables.
Z02,S01,2017-06-02,3.15,13.56,Journée représentative.
Z02,S01,2017-06-03,1.45,12.00,Variations mineures.
Z02,S01,2017-06-04,4.71,13.91,Journée représentative.
Z02,S01,2017-06-05,3.11,24.48,Conditions stables.
Z02,S01,2017-06-06,2.16,27.71,Journée représentative.
Z02,S01,2017-06-07,2.64,16.96,Conditions stables.
Z02,S01,2017-06-08,0.04,19.60,Variations mineures.
Z02,S01,2017-06-09,0.18,12.80,Journée représentative.
Z02,S01,2017-06-10,3.58,28.45,Variations mineures.
Z02,S01,2017-06-11,1.19,25.70,Variations mineures.
Z02,S01,2017-06-12,2.56,24.30,Conditions stables.
Z02,S01,2017-06-13,1.92,16.51,Journée représentative.
Z02,S01,2017-06-14,2.82,22.24,Conditions stables.
Z02,S01,2017-06-15,1.93,29.05,Conditions stables.
Z02,S01,2017-06-16,0.59,29.10,Variations mineures.
Z02,S01,2017-06-17,2.54,12.21,Variations mineures.
Z02,S01,2017-06-18,1.75,22.56,Variations mineures.
Z02,S01,2017-06-19,3.53,18.93,Variations mineures.
Z02,S01,2017-06-20,4.00,26.56,Conditions stables.
Z02,S01,2017-06-21,3.89,18.97,Conditions stables.
Z02,S01,2017-06-22,4.89,26.84,Variations mineures.
Z02,S01,2017-06-23,0.73,21.58,Variations mineures.
Z02,S01,2017-06-24,1.33,20.56,Variations mineures.
Z02,S01,2017-06-25,2.06,21.05,Variations mineures.
Z02,S01,2017-06-26,3.38,18.91,Conditions stables.
Z02,S01,2017-06-27,4.87,15.31,Variations mineures.
Z02,S01,2017-06-28,1.34,23.05,Variations mineures.
Z02,S01,2017-06-29,0.36,15.12,Conditions stables.
Z02,S01,2017-06-30,2.26,11.39,Conditions stables.
Z02,S01,2017-07-01,4.52,22.23,Variations mineures.
Z02,S01,2017-07-02,3.89,10.18,Conditions stables.
Z02,S01,2017-07-03,0.75,19.94,Variations mineures.
Z02,S01,2017-07-04,0.11,17.47,Conditions stables.
Z02,S01,2017-07-05,4.15,14.02,Variations mineures.
Z02,S01,2017-07-06,2.30,22.43,Conditions stables.
Z02,S01,2017-07-07,2.83,12.18,Journée représentative.
Z02,S01,2017-07-08,4.75,15.34,Journée représentative.
Z02,S01,2017-07-09,3.30,21.66,Journée représentative.
Z02,S01,2017-07-10,2.20,21.25,Journée représentative.
Z02,S01,2017-07-11,2.66,29.61,Variations mineures.
Z02,S01,2017-07-12,4.48,16.29,Journée représentative.
Z02,S01,2017-07-13,4.41,27.77,Variations mineures.
Z02,S01,2017-07-14,1.20,24.81,Variations mineures.
Z02,S01,2017-07-15,3.68,14.22,Variations mineures.
Z02,S01,2017-07-16,1.57,21.55,Variations mineures.
Z02,S01,2017-07-17,4.06,22.70,Journée représentative.
Z02,S01,2017-07-18,3.99,14.73,Variations mineures.
Z02,S01,2017-07-19,2.80,15.76,Variations mineures.
Z02,S01,2017-07-20,4.15,29.73,Variations mineures.
Z02,S01,2017-07-21,0.66,23.80,Variations mineures.
Z02,S01,2017-07-22,2.89,22.86,Conditions stables.
Z02,S01,2017-07-23,2.44,12.21,Journée représentative.
Z02,S01,2017-07-24,1.10,10.48,Conditions stables.
Z02,S01,2017-07-25,0.79,12.16,Journée représentative.
Z02,S01,2017-07-26,1.67,10.18,Variations mineures.
Z02,S01,2017-07-27,2.48,22.37,Variations mineures.
Z02,S01,2017-07-28,1.40,12.82,Conditions stables.
Z02,S01,2017-07-29,3.13,26.17,Variations mineures.
Z02,S01,2017-07-30,3.51,17.82,Journée représentative.
Z02,S01,2017-07-31,4.44,27.13,Conditions stables.
Z02,S01,2017-08-01,3.43,25.13,Variations mineures.
Z02,S01,2017-08-02,4.62,16.84,Variations mineures.
Z02,S01,2017-08-03,3.51,14.79,Conditions stables.
Z02,S01,2017-08-04,1.54,26.26,Conditions stables.
Z02,S01,2017-08-05,2.73,11.95,Conditions stables.
Z02,S01,2017-08-06,1.08,20.12,Variations mineures.
Z02,S01,2017-08-07,0.01,25.74,Variations mineures.
Z02,S01,2017-08-08,3.45,12.94,Conditions stables.
Z02,S01,2017-08-09,3.37,20.48,Conditions stables.
Z02,S01,2017-08-10,1.11,26.56,Variations mineures.
Z02,S01,2017-08-11,1.00,22.94,Variations mineures.
Z02,S01,2017-08-12,4.28,12.52,Variations mineures.
Z02,S01,2017-08-13,1.06,13.98,Journée représentative.
Z02,S01,2017-08-14,3.96,23.82,Variations mineures.
Z02,S01,2017-08-15,1.05,16.12,Journée représentative.
Z02,S01,2017-08-16,2.58,18.99,Variations mineures.
Z02,S01,2017-08-17,0.10,27.07,Variations mineures.
Z02,S01,2017-08-18,0.03,22.32,Conditions stables.
Z02,S01,2017-08-19,3.84,22.83,Variations mineures.
Z02,S01,2017-08-20,0.39,11.79,Journée représentative.
Z02,S01,2017-08-21,0.48,18.89,Journée représentative.
Z02,S01,2017-08-22,2.37,12.02,Conditions stables.
Z02,S01,2017-08-23,0.58,22.21,Journée représentative.
Z02,S01,2017-08-24,2.30,16.76,Variations mineures.
Z02,S01,2017-08-25,1.39,18.24,Variations mineures.
Z02,S01,2017-08-26,1.54,21.04,Variations mineures.
Z02,S01,2017-08-27,3.61,13.12,Variations mineures.
Z02,S01,2017-08-28,0.50,29.49,Variations mineures.
Z02,S01,2017-08-29,1.97,20.86,Journée représentative.
Z02,S01,2017-08-30,0.87,10.86,Journée représentative.
Z02,S01,2017-08-31,0.76,13.35,Variations mineures.
Z02,S01,2017-09-01,0.59,29.97,Variations mineures.
Z02,S01,2017-09-02,2.16,27.12,Variations mineures.
Z02,S01,2017-09-03,2.02,18.47,Journée représentative.
Z02,S01,2017-09-04,3.18,19.45,Variations mineures.
Z02,S01,2017-09-05,1.70,10.61,Conditions stables.
Z02,S01,2017-09-06,3.46,19.27,Variations mineures.
Z02,S01,2017-09-07,2.19,19.12,Conditions stables.
Z02,S01,2017-09-08,2.74,10.19,Variations mineures.
Z02,S01,2017-09-09,3.26,21.38,Variations mineures.
Z02,S01,2017-09-10,0.06,28.45,Conditions stables.
Z02,S01,2017-09-11,3.17,10.88,Journée représentative.
Z02,S01,2017-09-12,1.99,23.00,Conditions stables.
Z02,S01,2017-09-13,0.71,14.73,Variations mineures.
Z02,S01,2017-09-14,2.33,14.19,Variations mineures.
Z02,S01,2017-09-15,3.49,23.36,Journée représentative.
Z02,S01,2017-09-16,1.81,29.27,Variations mineures.
Z02,S01,2017-09-17,4.67,23.87,Variations mineures.
Z02,S01,2017-09-18,0.82,14.26,Variations mineures.
Z02,S01,2017-09-19,1.52,27.62,Variations mineures.
Z02,S01,2017-09-20,2.39,29.68,Variations mineures.
Z02,S01,2017-09-21,1.84,18.54,Variations mineures.
Z02,S01,2017-09-22,2.30,28.62,Conditions stables.
Z02,S01,2017-09-23,3.16,23.44,Variations mineures.
Z02,S01,2017-09-24,3.45,20.06,Variations mineures.
Z02,S01,2017-09-25,3.07,13.64,Variations mineures.
Z02,S01,2017-09-26,2.02,29.69,Conditions stables.
Z02,S01,2017-09-27,3.88,14.21,Conditions stables.
Z02,S01,2017-09-28,2.97,23.30,Variations mineures.
Z02,S01,2017-09-29,4.38,22.39,Journée représentative.
Z02,S01,2017-09-30,1.50,25.11,Variations mineures.
Z02,S01,2017-10-01,1.09,20.91,Conditions stables.
Z02,S01,2017-10-02,4.79,23.50,Variations mineures.
Z02,S01,2017-10-03,0.11,15.54,Variations mineures.
Z02,S01,2017-10-04,1.70,19.06,Journée représentative.
Z02,S01,2017-10-05,2.65,13.52,Conditions stables.
Z02,S01,2017-10-06,0.37,21.52,Variations mineures.
Z02,S01,2017-10-07,4.72,27.23,Conditions stables.
Z02,S01,2017-10-08,0.30,21.12,Variations mineures.
Z02,S01,2017-10-09,3.92,16.99,Journée représentative.
Z02,S01,2017-10-10,3.48,21.53,Journée représentative.
Z02,S01,2017-10-11,4.09,21.19,Journée représentative.
Z02,S01,2017-10-12,1.03,19.89,Variations mineures.
Z02,S01,2017-10-13,0.10,26.13,Variations mineures.
Z02,S01,2017-10-14,2.48,21.37,Journée représentative.
Z02,S01,2017-10-15,0.09,10.44,Variations mineures.
Z02,S01,2017-10-16,0.22,29.79,Journée représentative.
Z02,S01,2017-10-17,2.78,26.44,Variations mineures.
Z02,S01,2017-10-18,1.40,24.17,Journée représentative.
Z02,S01,2017-10-19,3.36,19.65,Variations mineures.
Z02,S01,2017-10-20,4.54,28.28,Variations mineures.
Z02,S01,2017-10-21,1.12,24.19,Variations mineures.
Z02,S01,2017-10-22,3.00,12.93,Variations mineures.
Z02,S01,2017-10-23,0.30,11.26,Conditions stables.
Z02,S01,2017-10-24,1.90,22.03,Conditions stables.
Z02,S01,2017-10-25,3.90,16.23,Conditions stables.
Z02,S01,2017-10-26,3.24,17.16,Conditions stables.
Z02,S01,2017-10-27,4.05,22.19,Journée représentative.
Z02,S01,2017-10-28,0.87,17.85,Variations mineures.
Z02,S01,2017-10-29,3.55,22.30,Journée représentative.
Z02,S01,2017-10-30,3.54,29.66,Journée représentative.
Z02,S01,2017-10-31,3.15,17.52,Journée représentative.
