zoneid,siteid,dateobservation,typeprecipitation,precipitationtotale,note
Z02,S01,2017-08-08,P,7.27,Variations mineures.
Z02,S01,2017-08-09,P,10.74,Variations mineures.
Z02,S01,2017-08-10,P,4.21,Variations mineures.
Z02,S01,2017-08-11,P,9.81,Variations mineures.
Z02,S01,2017-08-12,P,8.31,Variations mineures.
Z02,S01,2017-08-13,P,14.82,Conditions stables.
Z02,S01,2017-08-14,P,4.79,Variations mineures.
Z02,S01,2017-08-15,P,7.63,Conditions stables.
Z02,S01,2017-08-16,P,5.26,Journée représentative.
Z02,S01,2017-08-17,P,10.33,Variations mineures.
Z02,S01,2017-08-18,P,10.89,Variations mineures.
Z02,S01,2017-08-19,P,4.46,Conditions stables.
Z02,S01,2017-08-20,P,7.67,Conditions stables.
Z02,S01,2017-08-21,P,10.70,Journée représentative.
Z02,S01,2017-08-22,P,5.63,Variations mineures.
Z02,S01,2017-08-23,P,13.58,Journée représentative.
Z02,S01,2017-08-24,P,3.87,Variations mineures.
Z02,S01,2017-08-25,P,7.93,Journée représentative.
Z02,S01,2017-08-26,P,4.46,Conditions stables.
Z02,S01,2017-08-27,P,3.63,Variations mineures.
Z02,S01,2017-08-28,P,14.11,Conditions stables.
Z02,S01,2017-08-29,P,7.44,Journée représentative.
Z02,S01,2017-08-30,P,11.22,Variations mineures.
Z02,S01,2017-08-31,P,6.67,Journée représentative.
Z02,S01,2017-09-01,P,13.25,Conditions stables.
Z02,S01,2017-09-02,P,2.33,Conditions stables.
Z02,S01,2017-09-03,P,9.99,Journée représentative.
Z02,S01,2017-09-04,P,4.23,Conditions stables.
Z02,S01,2017-09-05,P,3.39,Journée représentative.
Z02,S01,2017-09-06,P,9.96,Variations mineures.
Z02,S01,2017-09-07,P,4.72,Variations mineures.
Z02,S01,2017-09-08,P,10.42,Variations mineures.
Z02,S01,2017-09-09,P,6.42,Conditions stables.
Z02,S01,2017-09-10,P,6.35,Journée représentative.
Z02,S01,2017-09-11,P,9.22,Conditions stables.
Z02,S01,2017-09-12,P,7.14,Variations mineures.
Z02,S01,2017-09-13,P,12.34,Journée représentative.
Z02,S01,2017-09-14,P,0.65,Conditions stables.
Z02,S01,2017-09-15,P,4.86,Variations mineures.
Z02,S01,2017-09-16,P,9.67,Variations mineures.
Z02,S01,2017-09-17,P,4.31,Variations mineures.
Z02,S01,2017-09-18,P,1.71,Journée représentative.
Z02,S01,2017-09-19,P,1.73,Variations mineures.
Z02,S01,2017-09-20,P,10.47,Variations mineures.
Z02,S01,2017-09-21,P,8.80,Variations mineures.
Z02,S01,2017-09-22,P,1.73,Variations mineures.
Z02,S01,2017-09-23,P,8.73,Journée représentative.
Z02,S01,2017-09-24,P,1.70,Conditions stables.
Z02,S01,2017-09-25,P,4.67,Variations mineures.
Z02,S01,2017-09-26,P,4.09,Variations mineures.
Z02,S01,2017-09-27,P,3.70,Journée représentative.
Z02,S01,2017-09-28,P,6.39,Variations mineures.
Z02,S01,2017-09-29,P,1.49,Variations mineures.
Z02,S01,2017-09-30,P,3.37,Variations mineures.
Z02,S01,2017-10-01,P,7.73,Variations mineures.
Z02,S01,2017-10-02,P,9.66,Variations mineures.
Z02,S01,2017-10-03,P,12.94,Variations mineures.
Z02,S01,2017-10-04,P,6.09,Variations mineures.
Z02,S01,2017-10-05,P,6.90,Variations mineures.
Z02,S01,2017-10-06,P,6.52,Variations mineures.
Z02,S01,2017-10-07,P,11.32,Conditions stables.
Z02,S01,2017-10-08,P,10.53,Conditions stables.
Z02,S01,2017-10-09,P,0.22,Conditions stables.
Z02,S01,2017-10-10,P,8.79,Variations mineures.
Z02,S01,2017-10-11,P,9.99,Conditions stables.
Z02,S01,2017-10-12,P,0.73,Variations mineures.
Z02,S01,2017-10-13,P,1.59,Journée représentative.
Z02,S01,2017-10-14,P,7.62,Variations mineures.
Z02,S01,2017-10-15,P,3.24,Journée représentative.
Z02,S01,2017-10-16,P,1.50,Variations mineures.
Z02,S01,2017-10-17,P,0.33,Journée représentative.
Z02,S01,2017-10-18,P,4.42,Variations mineures.
Z02,S01,2017-10-19,P,3.70,Journée représentative.
Z02,S01,2017-10-20,P,9.09,Variations mineures.
Z02,S01,2017-10-21,P,12.20,Conditions stables.
Z02,S01,2017-10-22,P,6.31,Variations mineures.
Z02,S01,2017-10-23,P,0.73,Variations mineures.
Z02,S01,2017-10-24,P,1.16,Variations mineures.
Z02,S01,2017-10-25,P,5.69,Journée représentative.
Z02,S01,2017-10-26,P,6.24,Variations mineures.
Z02,S01,2017-10-27,P,12.41,Journée représentative.
Z02,S01,2017-10-28,P,14.11,Variations mineures.
Z02,S01,2017-10-29,P,13.75,Variations mineures.
Z02,S01,2017-10-30,P,2.31,Variations mineures.
Z02,S01,2017-10-31,P,9.39,Journée représentative.
