placetteid,zoneid,siteid,dateobservation,hauteur,tauxfeuillu,tauxconifere,note
B1,Z02,S01,2017-09-15,1,32.61,37.41,Légère densité de sous-bois.
B1,Z02,S01,2017-09-15,2,30.14,14.71,Légère densité de sous-bois.
B1,Z02,S01,2017-10-15,1,11.78,48.58,Conditions typiques du secteur.
B1,Z02,S01,2017-10-15,2,16.74,37.93,Légère densité de sous-bois.
B2,Z02,S01,2017-05-15,1,20.17,37.88,Légère densité de sous-bois.
B2,Z02,S01,2017-05-15,2,34.99,26.81,Légère densité de sous-bois.
B2,Z02,S01,2017-06-15,1,36.13,43.59,Légère densité de sous-bois.
B2,Z02,S01,2017-06-15,2,30.49,18.25,Légère densité de sous-bois.
B2,Z02,S01,2017-07-15,1,43.88,38.80,Légère densité de sous-bois.
B2,Z02,S01,2017-07-15,2,29.18,20.12,Conditions typiques du secteur.
B2,Z02,S01,2017-08-15,1,42.84,44.33,Structure homogène.
B2,Z02,S01,2017-08-15,2,44.32,41.29,Légère densité de sous-bois.
B2,Z02,S01,2017-09-15,1,37.41,32.79,Conditions typiques du secteur.
B2,Z02,S01,2017-09-15,2,47.12,21.21,Légère densité de sous-bois.
B2,Z02,S01,2017-10-15,1,22.84,14.69,Légère densité de sous-bois.
B2,Z02,S01,2017-10-15,2,10.66,22.75,Conditions typiques du secteur.
B3,Z02,S01,2017-05-15,1,24.65,47.60,Légère densité de sous-bois.
B3,Z02,S01,2017-05-15,2,28.76,27.66,Conditions typiques du secteur.
B3,Z02,S01,2017-06-15,1,49.01,44.33,Structure homogène.
B3,Z02,S01,2017-06-15,2,21.83,15.43,Légère densité de sous-bois.
B3,Z02,S01,2017-07-15,1,26.44,42.21,Structure homogène.
B3,Z02,S01,2017-07-15,2,15.53,40.94,Conditions typiques du secteur.
B3,Z02,S01,2017-08-15,1,22.37,10.20,Conditions typiques du secteur.
B3,Z02,S01,2017-08-15,2,19.84,33.01,Structure homogène.
B3,Z02,S01,2017-09-15,1,13.68,26.26,Légère densité de sous-bois.
B3,Z02,S01,2017-09-15,2,45.69,25.18,Conditions typiques du secteur.
B3,Z02,S01,2017-10-15,1,44.92,13.27,Structure homogène.
B3,Z02,S01,2017-10-15,2,28.34,25.63,Structure homogène.
B4,Z02,S01,2017-05-15,1,36.81,32.20,Conditions typiques du secteur.
B4,Z02,S01,2017-05-15,2,39.26,24.71,Légère densité de sous-bois.
B4,Z02,S01,2017-06-15,1,29.05,11.77,Structure homogène.
B4,Z02,S01,2017-06-15,2,45.44,19.26,Conditions typiques du secteur.
B4,Z02,S01,2017-07-15,1,36.54,37.04,Structure homogène.
B4,Z02,S01,2017-07-15,2,16.20,36.80,Légère densité de sous-bois.
B4,Z02,S01,2017-08-15,1,45.21,16.84,Légère densité de sous-bois.
B4,Z02,S01,2017-08-15,2,12.35,13.87,Structure homogène.
B4,Z02,S01,2017-09-15,1,31.14,14.73,Légère densité de sous-bois.
B4,Z02,S01,2017-09-15,2,33.03,32.82,Conditions typiques du secteur.
B4,Z02,S01,2017-10-15,1,28.15,24.30,Légère densité de sous-bois.
B4,Z02,S01,2017-10-15,2,36.22,11.98,Légère densité de sous-bois.
