zoneid,siteid,dateobservation,temperaturemin,temperaturemax,note
Z01,S01,2017-09-09,7.75,29.21,Variations mineures.
Z01,S01,2017-09-10,13.91,22.60,Variations mineures.
Z01,S01,2017-09-11,8.62,25.70,Journée représentative.
Z01,S01,2017-09-12,14.03,31.56,Variations mineures.
Z01,S01,2017-09-13,6.65,24.51,Variations mineures.
Z01,S01,2017-09-14,6.83,20.69,Variations mineures.
Z01,S01,2017-09-15,14.59,23.83,Journée représentative.
Z01,S01,2017-09-16,8.95,20.12,Variations mineures.
Z01,S01,2017-09-17,11.29,31.19,Variations mineures.
Z01,S01,2017-09-18,8.74,24.91,Variations mineures.
Z01,S01,2017-09-19,11.12,25.26,Conditions stables.
Z01,S01,2017-09-20,13.96,31.31,Conditions stables.
Z01,S01,2017-09-21,11.73,29.78,Variations mineures.
Z01,S01,2017-09-22,8.35,23.20,Conditions stables.
Z01,S01,2017-09-23,11.99,34.75,Variations mineures.
Z01,S01,2017-09-24,11.96,32.29,Journée représentative.
Z01,S01,2017-09-25,13.33,22.28,Journée représentative.
Z01,S01,2017-09-26,12.38,26.00,Variations mineures.
Z01,S01,2017-09-27,12.54,26.61,Variations mineures.
Z01,S01,2017-09-28,9.09,21.31,Variations mineures.
Z01,S01,2017-09-29,14.53,24.35,Journée représentative.
Z01,S01,2017-09-30,14.01,23.60,Conditions stables.
Z01,S01,2017-10-01,13.65,32.86,Conditions stables.
Z01,S01,2017-10-02,7.52,32.03,Variations mineures.
Z01,S01,2017-10-03,9.48,28.96,Journée représentative.
Z01,S01,2017-10-04,6.37,34.84,Journée représentative.
Z01,S01,2017-10-05,8.53,25.77,Conditions stables.
Z01,S01,2017-10-06,14.60,20.22,Variations mineures.
Z01,S01,2017-10-07,10.03,20.76,Variations mineures.
Z01,S01,2017-10-08,12.83,25.21,Variations mineures.
Z01,S01,2017-10-09,6.34,28.99,Conditions stables.
Z01,S01,2017-10-10,7.31,29.72,Conditions stables.
Z01,S01,2017-10-11,14.93,23.26,Variations mineures.
Z01,S01,2017-10-12,7.48,30.28,Conditions stables.
Z01,S01,2017-10-13,5.37,20.15,Variations mineures.
Z01,S01,2017-10-14,8.69,34.28,Conditions stables.
Z01,S01,2017-10-15,5.37,28.73,Variations mineures.
Z01,S01,2017-10-16,6.20,24.24,Variations mineures.
Z01,S01,2017-10-17,9.06,24.67,Journée représentative.
Z01,S01,2017-10-18,13.45,24.73,Journée représentative.
Z01,S01,2017-10-19,12.26,24.62,Variations mineures.
Z01,S01,2017-10-20,8.90,24.60,Conditions stables.
Z01,S01,2017-10-21,8.61,25.53,Variations mineures.
Z01,S01,2017-10-22,14.26,33.47,Variations mineures.
Z01,S01,2017-10-23,6.76,20.05,Variations mineures.
Z01,S01,2017-10-24,14.19,25.12,Variations mineures.
Z01,S01,2017-10-25,5.79,20.84,Variations mineures.
Z01,S01,2017-10-26,13.00,25.76,Variations mineures.
Z01,S01,2017-10-27,13.16,25.53,Journée représentative.
Z01,S01,2017-10-28,10.65,26.47,Variations mineures.
Z01,S01,2017-10-29,10.65,22.18,Variations mineures.
Z01,S01,2017-10-30,6.21,29.90,Variations mineures.
Z01,S01,2017-10-31,5.53,23.13,Conditions stables.
Z02,S01,2017-05-01,12.42,27.22,Variations mineures.
Z02,S01,2017-05-02,10.26,29.15,Conditions stables.
Z02,S01,2017-05-03,5.33,33.80,Variations mineures.
Z02,S01,2017-05-04,10.80,21.86,Variations mineures.
Z02,S01,2017-05-05,11.39,25.21,Variations mineures.
Z02,S01,2017-05-06,14.34,31.81,Variations mineures.
Z02,S01,2017-05-07,13.86,29.60,Journée représentative.
Z02,S01,2017-05-08,13.61,28.13,Variations mineures.
Z02,S01,2017-05-09,12.42,29.15,Conditions stables.
Z02,S01,2017-05-10,8.00,28.43,Variations mineures.
Z02,S01,2017-05-11,11.90,24.39,Variations mineures.
Z02,S01,2017-05-12,5.67,24.36,Conditions stables.
Z02,S01,2017-05-13,13.09,28.81,Variations mineures.
Z02,S01,2017-05-14,5.33,24.97,Variations mineures.
Z02,S01,2017-05-15,9.24,28.30,Conditions stables.
Z02,S01,2017-05-16,12.46,28.69,Variations mineures.
Z02,S01,2017-05-17,11.60,20.91,Variations mineures.
Z02,S01,2017-05-18,11.47,29.27,Journée représentative.
Z02,S01,2017-05-19,6.49,33.34,Conditions stables.
Z02,S01,2017-05-20,13.74,20.90,Variations mineures.
Z02,S01,2017-05-21,9.65,25.34,Variations mineures.
Z02,S01,2017-05-22,13.05,24.35,Variations mineures.
Z02,S01,2017-05-23,13.80,23.81,Conditions stables.
Z02,S01,2017-05-24,7.18,22.84,Variations mineures.
Z02,S01,2017-05-25,10.75,30.42,Journée représentative.
Z02,S01,2017-05-26,13.29,27.92,Conditions stables.
Z02,S01,2017-05-27,6.68,34.18,Conditions stables.
Z02,S01,2017-05-28,13.20,20.89,Variations mineures.
Z02,S01,2017-05-29,6.44,34.08,Variations mineures.
Z02,S01,2017-05-30,8.65,31.09,Journée représentative.
Z02,S01,2017-05-31,5.95,31.14,Journée représentative.
Z02,S01,2017-06-01,11.42,33.30,Journée représentative.
Z02,S01,2017-06-02,5.23,34.66,Variations mineures.
Z02,S01,2017-06-03,5.64,33.71,Variations mineures.
Z02,S01,2017-06-04,13.47,21.36,Conditions stables.
Z02,S01,2017-06-05,13.97,28.72,Variations mineures.
Z02,S01,2017-06-06,12.95,32.21,Journée représentative.
Z02,S01,2017-06-07,14.99,30.30,Journée représentative.
Z02,S01,2017-06-08,5.46,21.15,Variations mineures.
Z02,S01,2017-06-09,6.37,30.55,Journée représentative.
Z02,S01,2017-06-10,5.23,32.88,Conditions stables.
Z02,S01,2017-06-11,12.71,34.21,Journée représentative.
Z02,S01,2017-06-12,10.52,30.82,Journée représentative.
Z02,S01,2017-06-13,10.37,34.32,Variations mineures.
Z02,S01,2017-06-14,8.13,21.70,Variations mineures.
Z02,S01,2017-06-15,6.61,24.07,Variations mineures.
Z02,S01,2017-06-16,8.09,26.95,Conditions stables.
Z02,S01,2017-06-17,9.56,28.71,Journée représentative.
Z02,S01,2017-06-18,11.71,21.04,Conditions stables.
Z02,S01,2017-06-19,12.08,26.73,Variations mineures.
Z02,S01,2017-06-20,14.13,24.08,Conditions stables.
Z02,S01,2017-06-21,12.88,29.67,Conditions stables.
Z02,S01,2017-06-22,11.13,32.25,Conditions stables.
Z02,S01,2017-06-23,11.36,29.98,Journée représentative.
Z02,S01,2017-06-24,13.52,29.52,Conditions stables.
Z02,S01,2017-06-25,7.30,28.90,Variations mineures.
Z02,S01,2017-06-26,14.23,32.46,Variations mineures.
Z02,S01,2017-06-27,5.20,31.82,Conditions stables.
Z02,S01,2017-06-28,14.53,34.56,Variations mineures.
Z02,S01,2017-06-29,8.87,29.28,Conditions stables.
Z02,S01,2017-06-30,8.47,20.45,Journée représentative.
Z02,S01,2017-07-01,8.72,31.10,Variations mineures.
Z02,S01,2017-07-02,14.20,31.47,Conditions stables.
Z02,S01,2017-07-03,9.69,28.84,Variations mineures.
Z02,S01,2017-07-04,12.97,30.39,Variations mineures.
Z02,S01,2017-07-05,12.37,31.56,Conditions stables.
Z02,S01,2017-07-06,12.43,28.27,Variations mineures.
Z02,S01,2017-07-07,15.00,33.25,Variations mineures.
Z02,S01,2017-07-08,12.58,27.24,Variations mineures.
Z02,S01,2017-07-09,11.47,32.38,Journée représentative.
Z02,S01,2017-07-10,10.14,23.51,Variations mineures.
Z02,S01,2017-07-11,14.27,20.31,Conditions stables.
Z02,S01,2017-07-12,5.84,22.64,Journée représentative.
Z02,S01,2017-07-13,11.79,30.49,Conditions stables.
Z02,S01,2017-07-14,9.20,22.56,Conditions stables.
Z02,S01,2017-07-15,12.37,29.03,Conditions stables.
Z02,S01,2017-07-16,9.27,31.65,Conditions stables.
Z02,S01,2017-07-17,8.61,32.85,Variations mineures.
Z02,S01,2017-07-18,13.86,33.46,Variations mineures.
Z02,S01,2017-07-19,8.20,20.38,Variations mineures.
Z02,S01,2017-07-20,14.30,26.46,Variations mineures.
Z02,S01,2017-07-21,9.92,32.96,Variations mineures.
Z02,S01,2017-07-22,10.07,24.36,Journée représentative.
Z02,S01,2017-07-23,13.22,31.58,Variations mineures.
Z02,S01,2017-07-24,14.89,32.66,Journée représentative.
Z02,S01,2017-07-25,13.57,24.77,Variations mineures.
Z02,S01,2017-07-26,13.53,27.56,Journée représentative.
Z02,S01,2017-07-27,14.75,28.54,Conditions stables.
Z02,S01,2017-07-28,13.10,29.80,Variations mineures.
Z02,S01,2017-07-29,13.73,26.31,Variations mineures.
Z02,S01,2017-07-30,5.66,31.45,Variations mineures.
Z02,S01,2017-07-31,5.45,20.69,Variations mineures.
Z02,S01,2017-08-01,12.87,22.53,Variations mineures.
Z02,S01,2017-08-02,12.18,33.79,Conditions stables.
Z02,S01,2017-08-03,7.59,22.51,Journée représentative.
Z02,S01,2017-08-04,8.57,23.60,Journée représentative.
Z02,S01,2017-08-05,14.74,26.06,Variations mineures.
Z02,S01,2017-08-06,10.43,34.20,Journée représentative.
Z02,S01,2017-08-07,8.37,33.30,Conditions stables.
Z02,S01,2017-08-08,7.91,23.28,Variations mineures.
Z02,S01,2017-08-09,10.72,29.84,Journée représentative.
Z02,S01,2017-08-10,10.44,26.79,Journée représentative.
Z02,S01,2017-08-11,6.50,23.39,Variations mineures.
Z02,S01,2017-08-12,6.32,23.74,Journée représentative.
Z02,S01,2017-08-13,12.17,27.53,Variations mineures.
Z02,S01,2017-08-14,13.61,21.69,Variations mineures.
Z02,S01,2017-08-15,14.44,34.86,Journée représentative.
Z02,S01,2017-08-16,6.22,29.36,Journée représentative.
Z02,S01,2017-08-17,9.32,24.76,Variations mineures.
Z02,S01,2017-08-18,8.54,30.66,Journée représentative.
Z02,S01,2017-08-19,8.85,32.70,Variations mineures.
Z02,S01,2017-08-20,8.24,23.97,Variations mineures.
Z02,S01,2017-08-21,5.12,32.88,Journée représentative.
Z02,S01,2017-08-22,6.13,26.45,Variations mineures.
Z02,S01,2017-08-23,5.69,24.33,Journée représentative.
Z02,S01,2017-08-24,12.43,20.14,Variations mineures.
Z02,S01,2017-08-25,9.77,32.88,Journée représentative.
Z02,S01,2017-08-26,12.59,34.21,Variations mineures.
Z02,S01,2017-08-27,5.17,34.72,Conditions stables.
Z02,S01,2017-08-28,11.03,33.68,Variations mineures.
Z02,S01,2017-08-29,13.27,26.66,Variations mineures.
Z02,S01,2017-08-30,13.61,31.16,Variations mineures.
Z02,S01,2017-08-31,13.62,31.35,Variations mineures.
Z02,S01,2017-09-01,6.35,23.19,Variations mineures.
Z02,S01,2017-09-02,9.39,28.19,Variations mineures.
Z02,S01,2017-09-03,12.55,27.43,Variations mineures.
Z02,S01,2017-09-04,5.35,33.43,Journée représentative.
Z02,S01,2017-09-05,13.68,30.44,Journée représentative.
Z02,S01,2017-09-06,5.76,34.76,Journée représentative.
Z02,S01,2017-09-07,7.44,24.93,Variations mineures.
Z02,S01,2017-09-08,10.25,32.35,Journée représentative.
Z02,S01,2017-09-09,7.83,26.27,Variations mineures.
Z02,S01,2017-09-10,10.37,23.54,Conditions stables.
Z02,S01,2017-09-11,13.25,32.91,Journée représentative.
Z02,S01,2017-09-12,5.45,23.52,Variations mineures.
Z02,S01,2017-09-13,10.21,25.12,Conditions stables.
Z02,S01,2017-09-14,9.40,28.39,Variations mineures.
Z02,S01,2017-09-15,10.20,30.86,Variations mineures.
Z02,S01,2017-09-16,12.43,21.73,Variations mineures.
Z02,S01,2017-09-17,5.31,31.78,Journée représentative.
Z02,S01,2017-09-18,12.90,33.07,Variations mineures.
Z02,S01,2017-09-19,13.94,28.83,Variations mineures.
Z02,S01,2017-09-20,14.92,23.25,Variations mineures.
Z02,S01,2017-09-21,9.60,25.35,Conditions stables.
Z02,S01,2017-09-22,12.67,28.32,Conditions stables.
Z02,S01,2017-09-23,5.65,20.24,Variations mineures.
Z02,S01,2017-09-24,11.20,33.23,Journée représentative.
Z02,S01,2017-09-25,8.14,27.09,Journée représentative.
Z02,S01,2017-09-26,7.18,26.93,Variations mineures.
Z02,S01,2017-09-27,6.82,30.03,Variations mineures.
Z02,S01,2017-09-28,10.61,34.98,Conditions stables.
Z02,S01,2017-09-29,13.92,22.45,Conditions stables.
Z02,S01,2017-09-30,14.29,21.99,Conditions stables.
Z02,S01,2017-10-01,10.05,23.35,Journée représentative.
Z02,S01,2017-10-02,7.98,31.49,Conditions stables.
Z02,S01,2017-10-03,13.36,25.41,Variations mineures.
Z02,S01,2017-10-04,14.57,29.41,Conditions stables.
Z02,S01,2017-10-05,8.14,21.46,Conditions stables.
Z02,S01,2017-10-06,6.31,28.54,Conditions stables.
Z02,S01,2017-10-07,10.25,25.47,Variations mineures.
Z02,S01,2017-10-08,8.31,20.31,Journée représentative.
Z02,S01,2017-10-09,6.60,28.76,Conditions stables.
Z02,S01,2017-10-10,8.65,26.64,Conditions stables.
Z02,S01,2017-10-11,13.24,30.29,Journée représentative.
Z02,S01,2017-10-12,11.86,34.23,Variations mineures.
Z02,S01,2017-10-13,11.21,28.81,Conditions stables.
Z02,S01,2017-10-14,12.14,22.45,Variations mineures.
Z02,S01,2017-10-15,8.72,23.33,Variations mineures.
Z02,S01,2017-10-16,14.39,28.73,Variations mineures.
Z02,S01,2017-10-17,6.05,31.59,Variations mineures.
Z02,S01,2017-10-18,6.63,20.22,Variations mineures.
Z02,S01,2017-10-19,13.40,23.36,Journée représentative.
Z02,S01,2017-10-20,10.71,22.04,Conditions stables.
Z02,S01,2017-10-21,12.76,21.63,Variations mineures.
Z02,S01,2017-10-22,13.45,23.35,Journée représentative.
Z02,S01,2017-10-23,13.84,21.38,Variations mineures.
Z02,S01,2017-10-24,9.86,23.35,Variations mineures.
Z02,S01,2017-10-25,8.05,23.66,Variations mineures.
Z02,S01,2017-10-26,10.67,20.84,Journée représentative.
Z02,S01,2017-10-27,11.43,21.04,Variations mineures.
Z02,S01,2017-10-28,14.28,26.46,Journée représentative.
Z02,S01,2017-10-29,14.59,21.74,Conditions stables.
Z02,S01,2017-10-30,9.93,21.41,Variations mineures.
Z02,S01,2017-10-31,12.23,27.32,Variations mineures.
