plantid,dateobservation,etat,note
MMA1050,2017-07-15,O,Condition normale pour la saison.
MMA1051,2017-07-15,O,Rien à signaler.
MMA1052,2017-07-15,O,Rien à signaler.
MMA1053,2017-07-15,O,Légère variabilité observée.
MMA1054,2017-07-15,O,Rien à signaler.
MMA1055,2017-07-15,O,Condition normale pour la saison.
MMA1056,2017-07-15,O,Condition normale pour la saison.
MMA1057,2017-07-15,O,Légère variabilité observée.
MMA1058,2017-07-15,O,Légère variabilité observée.
MMA1059,2017-07-15,O,Condition normale pour la saison.
MMA1060,2017-07-15,O,Légère variabilité observée.
MMA1061,2017-07-15,O,Rien à signaler.
MMA1062,2017-07-15,O,Condition normale pour la saison.
MMA1063,2017-07-15,O,Condition normale pour la saison.
MMA1064,2017-07-15,O,Condition normale pour la saison.
MMA1065,2017-07-15,O,Condition normale pour la saison.
MMA1066,2017-07-15,O,Condition normale pour la saison.
MMA1067,2017-07-15,O,Légère variabilité observée.
MMA1068,2017-07-15,O,Rien à signaler.
MMA1069,2017-07-15,O,Légère variabilité observée.
MMA1070,2017-07-15,O,Légère variabilité observée.
MMA1071,2017-07-15,O,Rien à signaler.
MMA1072,2017-07-15,O,Légère variabilité observée.
MMA1073,2017-07-15,O,Rien à signaler.
MMA1074,2017-07-15,O,Rien à signaler.
MMA1075,2017-07-15,O,Condition normale pour la saison.
MMA1076,2017-07-15,O,Rien à signaler.
MMA1077,2017-07-15,O,Condition normale pour la saison.
MMA1078,2017-07-15,O,Condition normale pour la saison.
MMA1079,2017-07-15,O,Légère variabilité observée.
MMA1080,2017-07-15,O,Condition normale pour la saison.
MMA1081,2017-07-15,O,Rien à signaler.
MMA1082,2017-07-15,O,Condition normale pour la saison.
MMA1083,2017-07-15,O,Condition normale pour la saison.
MMA1084,2017-07-15,O,Légère variabilité observée.
MMA1085,2017-07-15,O,Légère variabilité observée.
MMA1086,2017-07-15,O,Condition normale pour la saison.
MMA1087,2017-07-15,O,Rien à signaler.
MMA1088,2017-07-15,O,Condition normale pour la saison.
MMA1089,2017-07-15,O,Condition normale pour la saison.
MMA1090,2017-07-15,O,Rien à signaler.
MMA1091,2017-07-15,O,Légère variabilité observée.
MMA1092,2017-07-15,O,Condition normale pour la saison.
MMA1093,2017-07-15,O,Condition normale pour la saison.
MMA1094,2017-07-15,O,Rien à signaler.
MMA1095,2017-07-15,O,Légère variabilité observée.
MMA1096,2017-07-15,O,Rien à signaler.
MMA1097,2017-07-15,O,Légère variabilité observée.
MMA1098,2017-07-15,O,Rien à signaler.
MMA1099,2017-07-15,O,Légère variabilité observée.
MMA1100,2017-07-15,O,Légère variabilité observée.
MMA2001,2017-07-15,O,Rien à signaler.
MMA2002,2017-07-15,O,Légère variabilité observée.
MMA2003,2017-07-15,O,Légère variabilité observée.
MMA2004,2017-07-15,O,Rien à signaler.
MMA2005,2017-07-15,O,Rien à signaler.
MMA2006,2017-07-15,O,Condition normale pour la saison.
MMA2007,2017-07-15,O,Légère variabilité observée.
MMA2008,2017-07-15,O,Légère variabilité observée.
MMA2009,2017-07-15,O,Légère variabilité observée.
MMA2010,2017-07-15,O,Légère variabilité observée.
MMA2011,2017-07-15,O,Condition normale pour la saison.
MMA2012,2017-07-15,O,Rien à signaler.
MMA2013,2017-07-15,O,Condition normale pour la saison.
MMA2014,2017-07-15,O,Condition normale pour la saison.
MMA2015,2017-07-15,O,Légère variabilité observée.
MMA2016,2017-07-15,O,Condition normale pour la saison.
MMA2017,2017-07-15,O,Rien à signaler.
MMA2018,2017-07-15,O,Condition normale pour la saison.
MMA2019,2017-07-15,O,Légère variabilité observée.
MMA2020,2017-07-15,O,Condition normale pour la saison.
MMA2021,2017-07-15,O,Légère variabilité observée.
MMA2022,2017-07-15,O,Légère variabilité observée.
MMA2023,2017-07-15,O,Condition normale pour la saison.
MMA2024,2017-07-15,O,Rien à signaler.
MMA2025,2017-07-15,O,Rien à signaler.
MMA2026,2017-07-15,O,Rien à signaler.
MMA2027,2017-07-15,O,Rien à signaler.
MMA2028,2017-07-15,O,Légère variabilité observée.
MMA2029,2017-07-15,O,Condition normale pour la saison.
MMA2030,2017-07-15,O,Condition normale pour la saison.
MMA2031,2017-07-15,O,Rien à signaler.
MMA2032,2017-07-15,O,Rien à signaler.
MMA2033,2017-07-15,O,Condition normale pour la saison.
MMA2034,2017-07-15,O,Condition normale pour la saison.
MMA2035,2017-07-15,O,Légère variabilité observée.
MMA2036,2017-07-15,O,Légère variabilité observée.
MMA2037,2017-07-15,O,Condition normale pour la saison.
MMA2038,2017-07-15,O,Condition normale pour la saison.
MMA2039,2017-07-15,O,Rien à signaler.
MMA2040,2017-07-15,O,Condition normale pour la saison.
MMA2041,2017-07-15,O,Condition normale pour la saison.
MMA2042,2017-07-15,O,Condition normale pour la saison.
MMA2043,2017-07-15,O,Condition normale pour la saison.
MMA2044,2017-07-15,O,Légère variabilité observée.
MMA2045,2017-07-15,O,Rien à signaler.
MMA2046,2017-07-15,O,Condition normale pour la saison.
MMA2047,2017-07-15,O,Rien à signaler.
MMA2048,2017-07-15,O,Condition normale pour la saison.
MMA2049,2017-07-15,O,Légère variabilité observée.
MMA2050,2017-07-15,O,Rien à signaler.
MMA2051,2017-07-15,O,Condition normale pour la saison.
MMA2052,2017-07-15,O,Condition normale pour la saison.
MMA2053,2017-07-15,O,Condition normale pour la saison.
MMA2054,2017-07-15,O,Rien à signaler.
MMA2055,2017-07-15,O,Condition normale pour la saison.
MMA2056,2017-07-15,O,Rien à signaler.
MMA2057,2017-07-15,O,Rien à signaler.
MMA2058,2017-07-15,O,Condition normale pour la saison.
MMA2059,2017-07-15,O,Légère variabilité observée.
MMA2060,2017-07-15,O,Légère variabilité observée.
MMA2061,2017-07-15,O,Condition normale pour la saison.
MMA2062,2017-07-15,O,Condition normale pour la saison.
MMA2063,2017-07-15,O,Rien à signaler.
MMA2064,2017-07-15,O,Condition normale pour la saison.
MMA2065,2017-07-15,O,Rien à signaler.
MMA2066,2017-07-15,O,Condition normale pour la saison.
MMA2067,2017-07-15,O,Condition normale pour la saison.
MMA2068,2017-07-15,O,Rien à signaler.
MMA2069,2017-07-15,O,Condition normale pour la saison.
MMA2070,2017-07-15,O,Condition normale pour la saison.
MMA2071,2017-07-15,O,Condition normale pour la saison.
MMA2072,2017-07-15,O,Condition normale pour la saison.
MMA2073,2017-07-15,O,Condition normale pour la saison.
MMA2074,2017-07-15,O,Condition normale pour la saison.
MMA2075,2017-07-15,O,Condition normale pour la saison.
MMA2076,2017-07-15,O,Légère variabilité observée.
MMA2077,2017-07-15,O,Légère variabilité observée.
MMA2078,2017-07-15,O,Condition normale pour la saison.
MMA2079,2017-07-15,O,Condition normale pour la saison.
MMA2080,2017-07-15,O,Légère variabilité observée.
MMA2081,2017-07-15,O,Condition normale pour la saison.
MMA2082,2017-07-15,O,Rien à signaler.
MMA2083,2017-07-15,O,Condition normale pour la saison.
MMA2084,2017-07-15,O,Condition normale pour la saison.
MMA2085,2017-07-15,O,Condition normale pour la saison.
MMA2086,2017-07-15,O,Rien à signaler.
MMA2087,2017-07-15,O,Condition normale pour la saison.
MMA2088,2017-07-15,O,Rien à signaler.
MMA2089,2017-07-15,O,Condition normale pour la saison.
MMA2090,2017-07-15,O,Rien à signaler.
MMA2091,2017-07-15,O,Rien à signaler.
MMA2092,2017-07-15,O,Condition normale pour la saison.
MMA2093,2017-07-15,O,Condition normale pour la saison.
MMA2094,2017-07-15,O,Condition normale pour la saison.
MMA2095,2017-07-15,O,Légère variabilité observée.
MMA2096,2017-07-15,O,Condition normale pour la saison.
MMA2097,2017-07-15,O,Condition normale pour la saison.
MMA2098,2017-07-15,O,Légère variabilité observée.
MMA2099,2017-07-15,O,Rien à signaler.
MMA2100,2017-07-15,O,Légère variabilité observée.
MMA3001,2017-07-15,O,Condition normale pour la saison.
MMA3002,2017-07-15,O,Condition normale pour la saison.
MMA3003,2017-07-15,O,Légère variabilité observée.
MMA3004,2017-07-15,O,Légère variabilité observée.
MMA3005,2017-07-15,O,Légère variabilité observée.
MMA3006,2017-07-15,O,Condition normale pour la saison.
MMA3007,2017-07-15,O,Rien à signaler.
MMA3008,2017-07-15,O,Condition normale pour la saison.
MMA3009,2017-07-15,O,Condition normale pour la saison.
MMA3010,2017-07-15,O,Rien à signaler.
MMA3011,2017-07-15,O,Légère variabilité observée.
MMA3012,2017-07-15,O,Condition normale pour la saison.
MMA3013,2017-07-15,O,Condition normale pour la saison.
MMA3014,2017-07-15,O,Rien à signaler.
MMA3015,2017-07-15,O,Condition normale pour la saison.
MMA3016,2017-07-15,O,Légère variabilité observée.
MMA3017,2017-07-15,O,Condition normale pour la saison.
MMA3018,2017-07-15,O,Légère variabilité observée.
MMA3019,2017-07-15,O,Condition normale pour la saison.
MMA3020,2017-07-15,O,Condition normale pour la saison.
MMA3021,2017-07-15,O,Condition normale pour la saison.
MMA3022,2017-07-15,O,Condition normale pour la saison.
MMA3023,2017-07-15,O,Rien à signaler.
MMA3024,2017-07-15,O,Légère variabilité observée.
MMA3025,2017-07-15,O,Condition normale pour la saison.
MMA3026,2017-07-15,O,Condition normale pour la saison.
MMA3027,2017-07-15,O,Condition normale pour la saison.
MMA3028,2017-07-15,O,Condition normale pour la saison.
MMA3029,2017-07-15,O,Condition normale pour la saison.
MMA3030,2017-07-15,O,Rien à signaler.
MMA3031,2017-07-15,O,Légère variabilité observée.
MMA3032,2017-07-15,O,Condition normale pour la saison.
MMA3033,2017-07-15,O,Légère variabilité observée.
MMA3034,2017-07-15,O,Légère variabilité observée.
MMA3035,2017-07-15,O,Condition normale pour la saison.
MMA3036,2017-07-15,O,Condition normale pour la saison.
MMA3037,2017-07-15,O,Légère variabilité observée.
MMA3038,2017-07-15,O,Légère variabilité observée.
MMA3039,2017-07-15,O,Condition normale pour la saison.
MMA3040,2017-07-15,O,Légère variabilité observée.
MMA3041,2017-07-15,O,Légère variabilité observée.
MMA3042,2017-07-15,O,Condition normale pour la saison.
MMA3043,2017-07-15,O,Condition normale pour la saison.
MMA3044,2017-07-15,O,Rien à signaler.
MMA3045,2017-07-15,O,Rien à signaler.
MMA3046,2017-07-15,O,Condition normale pour la saison.
MMA3047,2017-07-15,O,Légère variabilité observée.
MMA3048,2017-07-15,O,Légère variabilité observée.
MMA3049,2017-07-15,O,Rien à signaler.
MMA3050,2017-07-15,O,Condition normale pour la saison.
MMA3051,2017-07-15,O,Légère variabilité observée.
MMA3052,2017-07-15,O,Condition normale pour la saison.
MMA3053,2017-07-15,O,Condition normale pour la saison.
MMA3054,2017-07-15,O,Condition normale pour la saison.
MMA3055,2017-07-15,O,Rien à signaler.
MMA3056,2017-07-15,O,Légère variabilité observée.
MMA3057,2017-07-15,O,Rien à signaler.
MMA3058,2017-07-15,O,Condition normale pour la saison.
MMA3059,2017-07-15,O,Rien à signaler.
MMA3060,2017-07-15,O,Légère variabilité observée.
MMA3061,2017-07-15,O,Condition normale pour la saison.
MMA3062,2017-07-15,O,Condition normale pour la saison.
MMA3063,2017-07-15,O,Condition normale pour la saison.
MMA3064,2017-07-15,O,Condition normale pour la saison.
MMA3065,2017-07-15,O,Condition normale pour la saison.
MMA3066,2017-07-15,O,Légère variabilité observée.
MMA3067,2017-07-15,O,Condition normale pour la saison.
MMA3068,2017-07-15,O,Condition normale pour la saison.
MMA3069,2017-07-15,O,Légère variabilité observée.
MMA3070,2017-07-15,O,Condition normale pour la saison.
MMA3071,2017-07-15,O,Condition normale pour la saison.
MMA3072,2017-07-15,O,Rien à signaler.
MMA3073,2017-07-15,O,Rien à signaler.
MMA3074,2017-07-15,O,Légère variabilité observée.
MMA3075,2017-07-15,O,Condition normale pour la saison.
MMA3076,2017-07-15,O,Légère variabilité observée.
MMA3077,2017-07-15,O,Légère variabilité observée.
MMA3078,2017-07-15,O,Rien à signaler.
MMA3079,2017-07-15,O,Condition normale pour la saison.
MMA3080,2017-07-15,O,Condition normale pour la saison.
MMA3081,2017-07-15,O,Rien à signaler.
MMA3082,2017-07-15,O,Rien à signaler.
MMA3083,2017-07-15,O,Légère variabilité observée.
MMA3084,2017-07-15,O,Condition normale pour la saison.
MMA3085,2017-07-15,O,Rien à signaler.
MMA3086,2017-07-15,O,Légère variabilité observée.
MMA3087,2017-07-15,O,Condition normale pour la saison.
MMA3088,2017-07-15,O,Condition normale pour la saison.
MMA3089,2017-07-15,O,Légère variabilité observée.
MMA3090,2017-07-15,O,Condition normale pour la saison.
MMA3091,2017-07-15,O,Condition normale pour la saison.
MMA3092,2017-07-15,O,Condition normale pour la saison.
MMA3093,2017-07-15,O,Rien à signaler.
MMA3094,2017-07-15,O,Condition normale pour la saison.
MMA3095,2017-07-15,O,Condition normale pour la saison.
MMA3096,2017-07-15,O,Rien à signaler.
MMA3097,2017-07-15,O,Rien à signaler.
MMA3098,2017-07-15,O,Légère variabilité observée.
MMA3099,2017-07-15,O,Condition normale pour la saison.
MMA3100,2017-07-15,O,Légère variabilité observée.
MMA4001,2017-07-15,O,Légère variabilité observée.
MMA4002,2017-07-15,O,Rien à signaler.
MMA4003,2017-07-15,O,Condition normale pour la saison.
MMA4004,2017-07-15,O,Condition normale pour la saison.
MMA4005,2017-07-15,O,Condition normale pour la saison.
MMA4006,2017-07-15,O,Légère variabilité observée.
MMA4007,2017-07-15,O,Condition normale pour la saison.
MMA4008,2017-07-15,O,Condition normale pour la saison.
MMA4009,2017-07-15,O,Légère variabilité observée.
MMA4010,2017-07-15,O,Condition normale pour la saison.
MMA4011,2017-07-15,O,Légère variabilité observée.
MMA4012,2017-07-15,O,Condition normale pour la saison.
MMA4013,2017-07-15,O,Rien à signaler.
MMA4014,2017-07-15,O,Rien à signaler.
MMA4015,2017-07-15,O,Légère variabilité observée.
MMA4016,2017-07-15,O,Condition normale pour la saison.
MMA4017,2017-07-15,O,Rien à signaler.
MMA4018,2017-07-15,O,Condition normale pour la saison.
MMA4019,2017-07-15,O,Condition normale pour la saison.
MMA4020,2017-07-15,O,Légère variabilité observée.
MMA4021,2017-07-15,O,Condition normale pour la saison.
MMA4022,2017-07-15,O,Légère variabilité observée.
MMA4023,2017-07-15,O,Rien à signaler.
MMA4024,2017-07-15,O,Condition normale pour la saison.
MMA4025,2017-07-15,O,Légère variabilité observée.
MMA4026,2017-07-15,O,Rien à signaler.
MMA4027,2017-07-15,O,Condition normale pour la saison.
MMA4028,2017-07-15,O,Condition normale pour la saison.
MMA4029,2017-07-15,O,Condition normale pour la saison.
MMA4030,2017-07-15,O,Rien à signaler.
MMA4031,2017-07-15,O,Condition normale pour la saison.
MMA4032,2017-07-15,O,Condition normale pour la saison.
MMA4033,2017-07-15,O,Condition normale pour la saison.
MMA4034,2017-07-15,O,Condition normale pour la saison.
MMA4035,2017-07-15,O,Rien à signaler.
MMA4036,2017-07-15,O,Condition normale pour la saison.
MMA4037,2017-07-15,O,Légère variabilité observée.
MMA4038,2017-07-15,O,Légère variabilité observée.
MMA4039,2017-07-15,O,Condition normale pour la saison.
MMA4040,2017-07-15,O,Légère variabilité observée.
MMA4041,2017-07-15,O,Rien à signaler.
MMA4042,2017-07-15,O,Condition normale pour la saison.
MMA4043,2017-07-15,O,Légère variabilité observée.
MMA4044,2017-07-15,O,Condition normale pour la saison.
MMA4045,2017-07-15,O,Rien à signaler.
MMA4046,2017-07-15,O,Condition normale pour la saison.
MMA4047,2017-07-15,O,Condition normale pour la saison.
MMA4048,2017-07-15,O,Rien à signaler.
MMA4049,2017-07-15,O,Condition normale pour la saison.
MMA4050,2017-07-15,O,Rien à signaler.
MMA4051,2017-07-15,O,Légère variabilité observée.
MMA4052,2017-07-15,O,Rien à signaler.
MMA4053,2017-07-15,O,Légère variabilité observée.
MMA4054,2017-07-15,O,Légère variabilité observée.
MMA4055,2017-07-15,O,Condition normale pour la saison.
MMA4056,2017-07-15,O,Condition normale pour la saison.
MMA4057,2017-07-15,O,Légère variabilité observée.
MMA4058,2017-07-15,O,Légère variabilité observée.
MMA4059,2017-07-15,O,Légère variabilité observée.
MMA4060,2017-07-15,O,Légère variabilité observée.
MMA4061,2017-07-15,O,Condition normale pour la saison.
MMA4062,2017-07-15,O,Légère variabilité observée.
MMA4063,2017-07-15,O,Condition normale pour la saison.
MMA4064,2017-07-15,O,Condition normale pour la saison.
MMA4065,2017-07-15,O,Rien à signaler.
MMA4066,2017-07-15,O,Légère variabilité observée.
MMA4067,2017-07-15,O,Légère variabilité observée.
MMA4068,2017-07-15,O,Condition normale pour la saison.
MMA4069,2017-07-15,O,Légère variabilité observée.
MMA4070,2017-07-15,O,Condition normale pour la saison.
MMA4071,2017-07-15,O,Condition normale pour la saison.
MMA4072,2017-07-15,O,Condition normale pour la saison.
MMA4073,2017-07-15,O,Condition normale pour la saison.
MMA4074,2017-07-15,O,Légère variabilité observée.
MMA4075,2017-07-15,O,Condition normale pour la saison.
MMA4076,2017-07-15,O,Rien à signaler.
MMA4077,2017-07-15,O,Légère variabilité observée.
MMA4078,2017-07-15,O,Légère variabilité observée.
MMA4079,2017-07-15,O,Légère variabilité observée.
MMA4080,2017-07-15,O,Légère variabilité observée.
MMA4081,2017-07-15,O,Condition normale pour la saison.
MMA4082,2017-07-15,O,Condition normale pour la saison.
MMA4083,2017-07-15,O,Légère variabilité observée.
MMA4084,2017-07-15,O,Rien à signaler.
MMA4085,2017-07-15,O,Légère variabilité observée.
MMA4086,2017-07-15,O,Condition normale pour la saison.
MMA4087,2017-07-15,O,Condition normale pour la saison.
MMA4088,2017-07-15,O,Condition normale pour la saison.
MMA4089,2017-07-15,O,Condition normale pour la saison.
MMA4090,2017-07-15,O,Condition normale pour la saison.
MMA4091,2017-07-15,O,Légère variabilité observée.
MMA4092,2017-07-15,O,Légère variabilité observée.
MMA4093,2017-07-15,O,Rien à signaler.
MMA4094,2017-07-15,O,Condition normale pour la saison.
MMA4095,2017-07-15,O,Condition normale pour la saison.
MMA4096,2017-07-15,O,Légère variabilité observée.
MMA4097,2017-07-15,O,Condition normale pour la saison.
MMA4098,2017-07-15,O,Légère variabilité observée.
MMA4099,2017-07-15,O,Rien à signaler.
MMA4100,2017-07-15,O,Rien à signaler.
MMB1001,2017-07-15,O,Condition normale pour la saison.
MMB1002,2017-07-15,O,Condition normale pour la saison.
MMB1003,2017-07-15,O,Condition normale pour la saison.
MMB1004,2017-07-15,O,Rien à signaler.
MMB1005,2017-07-15,O,Légère variabilité observée.
MMB1006,2017-07-15,O,Rien à signaler.
MMB1007,2017-07-15,O,Condition normale pour la saison.
MMB1008,2017-07-15,O,Condition normale pour la saison.
MMB1009,2017-07-15,O,Condition normale pour la saison.
MMB1010,2017-07-15,O,Condition normale pour la saison.
MMB1011,2017-07-15,O,Condition normale pour la saison.
MMB1012,2017-07-15,O,Rien à signaler.
MMB1013,2017-07-15,O,Condition normale pour la saison.
MMB1014,2017-07-15,O,Rien à signaler.
MMB1015,2017-07-15,O,Rien à signaler.
MMB1016,2017-07-15,O,Condition normale pour la saison.
MMB1017,2017-07-15,O,Rien à signaler.
MMB1018,2017-07-15,O,Condition normale pour la saison.
MMB1019,2017-07-15,O,Condition normale pour la saison.
MMB1020,2017-07-15,O,Condition normale pour la saison.
MMB1021,2017-07-15,O,Condition normale pour la saison.
MMB1022,2017-07-15,O,Condition normale pour la saison.
MMB1023,2017-07-15,O,Légère variabilité observée.
MMB1024,2017-07-15,O,Rien à signaler.
MMB1025,2017-07-15,O,Condition normale pour la saison.
MMB1026,2017-07-15,O,Condition normale pour la saison.
MMB1027,2017-07-15,O,Rien à signaler.
MMB1028,2017-07-15,O,Rien à signaler.
MMB1029,2017-07-15,O,Condition normale pour la saison.
MMB1030,2017-07-15,O,Condition normale pour la saison.
MMB1031,2017-07-15,O,Rien à signaler.
MMB1032,2017-07-15,O,Condition normale pour la saison.
MMB1033,2017-07-15,O,Légère variabilité observée.
MMB1034,2017-07-15,O,Condition normale pour la saison.
MMB1035,2017-07-15,O,Condition normale pour la saison.
MMB1036,2017-07-15,O,Rien à signaler.
MMB1037,2017-07-15,O,Légère variabilité observée.
MMB1038,2017-07-15,O,Condition normale pour la saison.
MMB1039,2017-07-15,O,Rien à signaler.
MMB1040,2017-07-15,O,Légère variabilité observée.
MMB1041,2017-07-15,O,Légère variabilité observée.
MMB1042,2017-07-15,O,Rien à signaler.
MMB1043,2017-07-15,O,Légère variabilité observée.
MMB1044,2017-07-15,O,Condition normale pour la saison.
MMB1045,2017-07-15,O,Condition normale pour la saison.
MMB1046,2017-07-15,O,Condition normale pour la saison.
MMB1047,2017-07-15,O,Condition normale pour la saison.
MMB1048,2017-07-15,O,Condition normale pour la saison.
MMB1049,2017-07-15,O,Condition normale pour la saison.
MMB1050,2017-07-15,O,Condition normale pour la saison.
MMB1051,2017-07-15,O,Légère variabilité observée.
MMB1052,2017-07-15,O,Condition normale pour la saison.
MMB1053,2017-07-15,O,Condition normale pour la saison.
MMB1054,2017-07-15,O,Légère variabilité observée.
MMB1055,2017-07-15,O,Condition normale pour la saison.
MMB1056,2017-07-15,O,Condition normale pour la saison.
MMB1057,2017-07-15,O,Condition normale pour la saison.
MMB1058,2017-07-15,O,Condition normale pour la saison.
MMB1059,2017-07-15,O,Condition normale pour la saison.
MMB1060,2017-07-15,O,Condition normale pour la saison.
MMB1061,2017-07-15,O,Rien à signaler.
MMB1062,2017-07-15,O,Légère variabilité observée.
MMB1063,2017-07-15,O,Condition normale pour la saison.
MMB1064,2017-07-15,O,Légère variabilité observée.
MMB1065,2017-07-15,O,Condition normale pour la saison.
MMB1066,2017-07-15,O,Condition normale pour la saison.
MMB1067,2017-07-15,O,Condition normale pour la saison.
MMB1068,2017-07-15,O,Légère variabilité observée.
MMB1069,2017-07-15,O,Légère variabilité observée.
MMB1070,2017-07-15,O,Légère variabilité observée.
MMB1071,2017-07-15,O,Condition normale pour la saison.
MMB1072,2017-07-15,O,Condition normale pour la saison.
MMB1073,2017-07-15,O,Condition normale pour la saison.
MMB1074,2017-07-15,O,Condition normale pour la saison.
MMB1075,2017-07-15,O,Condition normale pour la saison.
MMB1076,2017-07-15,O,Légère variabilité observée.
MMB1077,2017-07-15,O,Condition normale pour la saison.
MMB1078,2017-07-15,O,Rien à signaler.
MMB1079,2017-07-15,O,Rien à signaler.
MMB1080,2017-07-15,O,Rien à signaler.
MMB1081,2017-07-15,O,Condition normale pour la saison.
MMB1082,2017-07-15,O,Rien à signaler.
MMB1083,2017-07-15,O,Rien à signaler.
MMB1084,2017-07-15,O,Légère variabilité observée.
MMB1085,2017-07-15,O,Condition normale pour la saison.
MMB1086,2017-07-15,O,Rien à signaler.
MMB1087,2017-07-15,O,Condition normale pour la saison.
MMB1088,2017-07-15,O,Légère variabilité observée.
MMB1089,2017-07-15,O,Rien à signaler.
MMB1090,2017-07-15,O,Condition normale pour la saison.
MMB1091,2017-07-15,O,Condition normale pour la saison.
MMB1092,2017-07-15,O,Condition normale pour la saison.
MMB1093,2017-07-15,O,Condition normale pour la saison.
MMB1094,2017-07-15,O,Condition normale pour la saison.
MMB1095,2017-07-15,O,Condition normale pour la saison.
MMB1096,2017-07-15,O,Condition normale pour la saison.
MMB1097,2017-07-15,O,Rien à signaler.
MMB1098,2017-07-15,O,Rien à signaler.
MMB1099,2017-07-15,O,Rien à signaler.
MMB1100,2017-07-15,O,Condition normale pour la saison.
MMB2001,2017-07-15,O,Légère variabilité observée.
MMB2002,2017-07-15,O,Rien à signaler.
MMB2003,2017-07-15,O,Condition normale pour la saison.
MMB2004,2017-07-15,O,Légère variabilité observée.
MMB2005,2017-07-15,O,Condition normale pour la saison.
MMB2006,2017-07-15,O,Rien à signaler.
MMB2007,2017-07-15,O,Légère variabilité observée.
MMB2008,2017-07-15,O,Condition normale pour la saison.
MMB2009,2017-07-15,O,Légère variabilité observée.
MMB2010,2017-07-15,O,Condition normale pour la saison.
MMB2011,2017-07-15,O,Condition normale pour la saison.
MMB2012,2017-07-15,O,Légère variabilité observée.
MMB2013,2017-07-15,O,Légère variabilité observée.
MMB2014,2017-07-15,O,Condition normale pour la saison.
MMB2015,2017-07-15,O,Condition normale pour la saison.
MMB2016,2017-07-15,O,Condition normale pour la saison.
MMB2017,2017-07-15,O,Légère variabilité observée.
MMB2018,2017-07-15,O,Légère variabilité observée.
MMB2019,2017-07-15,O,Rien à signaler.
MMB2020,2017-07-15,O,Condition normale pour la saison.
MMB2021,2017-07-15,O,Rien à signaler.
MMB2022,2017-07-15,O,Condition normale pour la saison.
MMB2023,2017-07-15,O,Légère variabilité observée.
MMB2024,2017-07-15,O,Légère variabilité observée.
MMB2025,2017-07-15,O,Légère variabilité observée.
MMB2026,2017-07-15,O,Légère variabilité observée.
MMB2027,2017-07-15,O,Condition normale pour la saison.
MMB2028,2017-07-15,O,Condition normale pour la saison.
MMB2029,2017-07-15,O,Légère variabilité observée.
MMB2030,2017-07-15,O,Rien à signaler.
MMB2031,2017-07-15,O,Condition normale pour la saison.
MMB2032,2017-07-15,O,Légère variabilité observée.
MMB2033,2017-07-15,O,Légère variabilité observée.
MMB2034,2017-07-15,O,Condition normale pour la saison.
MMB2035,2017-07-15,O,Légère variabilité observée.
MMB2036,2017-07-15,O,Rien à signaler.
