date,site_id,zone_id,vent_min,vent_max
2024-06-17,MF,B,5,10
2024-06-18,MF,A,3,12
2024-06-18,MF,B,0,15
2024-06-19,MF,A,5,15
2024-06-19,MF,B,1,14
2024-06-20,MF,A,2,10
2024-06-20,MF,B,5,12
2024-06-21,MF,A,4,10
2024-06-21,MF,B,5,11
2024-06-22,MF,A,3,11
2024-06-22,MF,B,1,12
2024-06-23,MF,A,3,10
2024-06-23,MF,B,3,11
2024-06-24,MF,A,5,11
2024-06-24,MF,B,0,10
2024-06-25,MF,A,2,13
2024-06-25,MF,B,4,13
2024-06-26,MF,A,0,13
2024-06-26,MF,B,3,11
2024-06-27,MF,A,3,10
2024-06-27,MF,B,4,12
2024-06-28,MF,A,2,12
2024-06-28,MF,B,1,14
2024-06-29,MF,A,0,10
2024-06-29,MF,B,5,10
2024-06-30,MF,A,4,15
2024-06-30,MF,B,5,12
2024-07-01,MF,A,2,11
2024-07-01,MF,B,4,12
2024-07-02,MF,A,4,11
2024-07-02,MF,B,2,10
2024-07-03,MF,A,4,15
2024-07-03,MF,B,2,11
2024-07-04,MF,A,2,11
2024-07-04,MF,B,3,14
2024-07-05,MF,A,4,14
2024-07-05,MF,B,4,13
2024-07-06,MF,A,5,15
2024-07-06,MF,B,0,11
2024-07-07,MF,A,2,15
2024-07-07,MF,B,4,12
2024-07-08,MF,A,5,13
2024-07-08,MF,B,5,14
2024-07-09,MF,A,2,14
2024-07-09,MF,B,4,11
2024-07-10,MF,A,5,14
2024-07-10,MF,B,4,11
2024-07-11,MF,A,2,14
2024-07-11,MF,B,5,12
2024-07-12,MF,A,2,11
2024-07-12,MF,B,5,13
2024-07-13,MF,A,3,14
2024-07-13,MF,B,4,14
2024-07-14,MF,A,2,15
2024-07-14,MF,B,4,11
2024-07-15,MF,A,3,14
2024-07-15,MF,B,2,14
2024-07-16,MF,A,2,13
2024-07-16,MF,B,2,11
2024-07-17,MF,A,1,12
2024-07-17,MF,B,4,14
2024-07-18,MF,A,3,13
2024-07-18,MF,B,0,14
2024-07-19,MF,A,5,11
2024-07-19,MF,B,4,10
2024-07-20,MF,A,4,12
2024-07-20,MF,B,4,15
2024-07-21,MF,A,0,12
2024-07-21,MF,B,4,11
2024-07-22,MF,A,3,14
2024-07-22,MF,B,3,13
2024-07-23,MF,A,5,12
2024-07-23,MF,B,0,15
2024-07-24,MF,A,4,10
2024-07-24,MF,B,2,12
2024-07-25,MF,A,2,15
2024-07-25,MF,B,5,15
2024-07-26,MF,A,4,10
2024-07-26,MF,B,0,13
2024-07-27,MF,A,3,14
2024-07-27,MF,B,3,12
2024-07-28,MF,A,5,11
2024-07-28,MF,B,0,13
2024-07-29,MF,A,0,13
2024-07-29,MF,B,2,12
2024-07-30,MF,A,4,13
2024-07-30,MF,B,3,10
2024-07-31,MF,A,3,15
2024-07-31,MF,B,1,14
2024-08-01,MF,A,0,13
2024-08-01,MF,B,3,10
2024-08-02,MF,A,3,12
2024-08-02,MF,B,2,10
2024-08-03,MF,A,5,14
2024-08-03,MF,B,3,10
2024-08-04,MF,A,2,15
2024-08-04,MF,B,4,12
2024-08-05,MF,A,4,12
2024-08-05,MF,B,0,12
2024-08-06,MF,A,3,14
2024-08-06,MF,B,2,15
2024-08-07,MF,A,0,11
2024-08-07,MF,B,3,10
2024-08-08,MF,A,4,14
2024-08-08,MF,B,1,14
2024-08-09,MF,A,3,14
2024-08-09,MF,B,4,11
2024-08-10,MF,A,0,12
2024-08-10,MF,B,2,14
2024-08-11,MF,A,1,10
2024-08-11,MF,B,4,12
2024-08-12,MF,A,1,14
2024-08-12,MF,B,1,15
2024-08-13,MF,A,5,13
2024-08-13,MF,B,4,12
2024-08-14,MF,A,0,13
2024-08-14,MF,B,1,12
2024-08-15,MF,A,4,15
2024-08-15,MF,B,5,14
2024-08-16,MF,A,1,14
2024-08-16,MF,B,4,13
2024-08-17,MF,A,3,13
2024-08-17,MF,B,4,12
2024-08-18,MF,A,0,10
2024-08-18,MF,B,1,14
2024-08-19,MF,A,0,10
2024-08-19,MF,B,1,11
2024-08-20,MF,A,4,10
2024-08-20,MF,B,0,10
2024-08-21,MF,A,3,13
2024-08-21,MF,B,2,15
2024-08-22,MF,A,5,14
2024-08-22,MF,B,1,12
2024-08-23,MF,A,1,15
2024-08-23,MF,B,1,11
2024-08-24,MF,A,1,14
2024-08-24,MF,B,1,10
2024-08-25,MF,A,2,12
2024-08-25,MF,B,4,11
2024-08-26,MF,A,5,13
2024-08-26,MF,B,4,11
2024-08-27,MF,A,0,13
2024-08-27,MF,B,2,15
2024-08-28,MF,A,1,15
2024-08-28,MF,B,2,12
2024-08-29,MF,A,3,10
2024-08-29,MF,B,1,15
2024-08-30,MF,A,1,11
2024-08-30,MF,B,5,12
2024-08-31,MF,A,3,11
2024-08-31,MF,B,0,15
2024-09-01,MF,A,9,29
2024-09-01,MF,B,10,29
2024-09-02,MF,A,8,27
2024-09-02,MF,B,7,26
2024-09-03,MF,A,8,25
2024-09-03,MF,B,10,26
2024-09-04,MF,A,6,25
2024-09-04,MF,B,5,26
2024-09-05,MF,A,9,28
2024-09-05,MF,B,6,26
2024-09-06,MF,A,8,25
2024-09-06,MF,B,9,27
2024-09-07,MF,A,6,30
2024-09-07,MF,B,7,28
2024-09-08,MF,A,9,29
2024-09-08,MF,B,10,30
2024-09-09,MF,A,8,29
2024-09-09,MF,B,10,25
2024-09-10,MF,A,10,27
2024-09-10,MF,B,10,25
2024-09-11,MF,A,5,28
2024-09-11,MF,B,8,25
2024-09-12,MF,A,6,26
2024-09-12,MF,B,5,25
2024-09-13,MF,A,9,28
2024-09-13,MF,B,6,28
2024-09-14,MF,A,8,30
2024-09-14,MF,B,8,26
2024-09-15,MF,A,10,25
2024-09-15,MF,B,10,28
2024-09-16,MF,A,5,29
2024-09-16,MF,B,7,28
2024-09-17,MF,A,7,27
2024-09-17,MF,B,7,29
2024-09-18,MF,A,10,28
2024-09-18,MF,B,9,27
2024-09-19,MF,A,9,28
2024-09-19,MF,B,9,25
2024-09-20,MF,A,5,28
2024-09-20,MF,B,9,28
2024-09-21,MF,A,9,30
2024-09-21,MF,B,10,28
2024-09-22,MF,A,10,28
2024-09-22,MF,B,6,30
2024-09-23,MF,A,9,30
2024-09-23,MF,B,7,26
2024-09-24,MF,A,10,29
2024-09-24,MF,B,6,29
2024-09-25,MF,A,8,25
2024-09-25,MF,B,9,29
2024-09-26,MF,A,6,27
2024-09-26,MF,B,5,28
2024-09-27,MF,A,7,26
2024-09-27,MF,B,5,28
2024-09-28,MF,A,10,26
2024-09-28,MF,B,7,25
2024-09-29,MF,A,10,26
2024-09-29,MF,B,6,25
2024-09-30,MF,A,9,25
2024-09-30,MF,B,5,25
