date,site_id,zone_id,note
2024-06-05,MF,B,Observation meteo du 2024-06-05 (ete)
2024-06-06,MF,A,Observation meteo du 2024-06-06 (ete)
2024-06-06,MF,B,Observation meteo du 2024-06-06 (ete)
2024-06-07,MF,A,Observation meteo du 2024-06-07 (ete)
2024-06-07,MF,B,Observation meteo du 2024-06-07 (ete)
2024-06-08,MF,A,Observation meteo du 2024-06-08 (ete)
2024-06-08,MF,B,Observation meteo du 2024-06-08 (ete)
2024-06-09,MF,A,Observation meteo du 2024-06-09 (ete)
2024-06-09,MF,B,Observation meteo du 2024-06-09 (ete)
2024-06-10,MF,A,Observation meteo du 2024-06-10 (ete)
2024-06-10,MF,B,Observation meteo du 2024-06-10 (ete)
2024-06-11,MF,A,Observation meteo du 2024-06-11 (ete)
2024-06-11,MF,B,Observation meteo du 2024-06-11 (ete)
2024-06-12,MF,A,Observation meteo du 2024-06-12 (ete)
2024-06-12,MF,B,Observation meteo du 2024-06-12 (ete)
2024-06-13,MF,A,Observation meteo du 2024-06-13 (ete)
2024-06-13,MF,B,Observation meteo du 2024-06-13 (ete)
2024-06-14,MF,A,Observation meteo du 2024-06-14 (ete)
2024-06-14,MF,B,Observation meteo du 2024-06-14 (ete)
2024-06-15,MF,A,Observation meteo du 2024-06-15 (ete)
2024-06-15,MF,B,Observation meteo du 2024-06-15 (ete)
2024-06-16,MF,A,Observation meteo du 2024-06-16 (ete)
2024-06-16,MF,B,Observation meteo du 2024-06-16 (ete)
2024-06-17,MF,A,Observation meteo du 2024-06-17 (ete)
2024-06-17,MF,B,Observation meteo du 2024-06-17 (ete)
2024-06-18,MF,A,Observation meteo du 2024-06-18 (ete)
2024-06-18,MF,B,Observation meteo du 2024-06-18 (ete)
2024-06-19,MF,A,Observation meteo du 2024-06-19 (ete)
2024-06-19,MF,B,Observation meteo du 2024-06-19 (ete)
2024-06-20,MF,A,Observation meteo du 2024-06-20 (ete)
2024-06-20,MF,B,Observation meteo du 2024-06-20 (ete)
2024-06-21,MF,A,Observation meteo du 2024-06-21 (ete)
2024-06-21,MF,B,Observation meteo du 2024-06-21 (ete)
2024-06-22,MF,A,Observation meteo du 2024-06-22 (ete)
2024-06-22,MF,B,Observation meteo du 2024-06-22 (ete)
2024-06-23,MF,A,Observation meteo du 2024-06-23 (ete)
2024-06-23,MF,B,Observation meteo du 2024-06-23 (ete)
2024-06-24,MF,A,Observation meteo du 2024-06-24 (ete)
2024-06-24,MF,B,Observation meteo du 2024-06-24 (ete)
2024-06-25,MF,A,Observation meteo du 2024-06-25 (ete)
2024-06-25,MF,B,Observation meteo du 2024-06-25 (ete)
2024-06-26,MF,A,Observation meteo du 2024-06-26 (ete)
2024-06-26,MF,B,Observation meteo du 2024-06-26 (ete)
2024-06-27,MF,A,Observation meteo du 2024-06-27 (ete)
2024-06-27,MF,B,Observation meteo du 2024-06-27 (ete)
2024-06-28,MF,A,Observation meteo du 2024-06-28 (ete)
2024-06-28,MF,B,Observation meteo du 2024-06-28 (ete)
2024-06-29,MF,A,Observation meteo du 2024-06-29 (ete)
2024-06-29,MF,B,Observation meteo du 2024-06-29 (ete)
2024-06-30,MF,A,Observation meteo du 2024-06-30 (ete)
2024-06-30,MF,B,Observation meteo du 2024-06-30 (ete)
2024-07-01,MF,A,Observation meteo du 2024-07-01 (ete)
2024-07-01,MF,B,Observation meteo du 2024-07-01 (ete)
2024-07-02,MF,A,Observation meteo du 2024-07-02 (ete)
2024-07-02,MF,B,Observation meteo du 2024-07-02 (ete)
2024-07-03,MF,A,Observation meteo du 2024-07-03 (ete)
2024-07-03,MF,B,Observation meteo du 2024-07-03 (ete)
2024-07-04,MF,A,Observation meteo du 2024-07-04 (ete)
2024-07-04,MF,B,Observation meteo du 2024-07-04 (ete)
2024-07-05,MF,A,Observation meteo du 2024-07-05 (ete)
2024-07-05,MF,B,Observation meteo du 2024-07-05 (ete)
2024-07-06,MF,A,Observation meteo du 2024-07-06 (ete)
2024-07-06,MF,B,Observation meteo du 2024-07-06 (ete)
2024-07-07,MF,A,Observation meteo du 2024-07-07 (ete)
2024-07-07,MF,B,Observation meteo du 2024-07-07 (ete)
2024-07-08,MF,A,Observation meteo du 2024-07-08 (ete)
2024-07-08,MF,B,Observation meteo du 2024-07-08 (ete)
2024-07-09,MF,A,Observation meteo du 2024-07-09 (ete)
2024-07-09,MF,B,Observation meteo du 2024-07-09 (ete)
2024-07-10,MF,A,Observation meteo du 2024-07-10 (ete)
2024-07-10,MF,B,Observation meteo du 2024-07-10 (ete)
2024-07-11,MF,A,Observation meteo du 2024-07-11 (ete)
2024-07-11,MF,B,Observation meteo du 2024-07-11 (ete)
2024-07-12,MF,A,Observation meteo du 2024-07-12 (ete)
2024-07-12,MF,B,Observation meteo du 2024-07-12 (ete)
2024-07-13,MF,A,Observation meteo du 2024-07-13 (ete)
2024-07-13,MF,B,Observation meteo du 2024-07-13 (ete)
2024-07-14,MF,A,Observation meteo du 2024-07-14 (ete)
2024-07-14,MF,B,Observation meteo du 2024-07-14 (ete)
2024-07-15,MF,A,Observation meteo du 2024-07-15 (ete)
2024-07-15,MF,B,Observation meteo du 2024-07-15 (ete)
2024-07-16,MF,A,Observation meteo du 2024-07-16 (ete)
2024-07-16,MF,B,Observation meteo du 2024-07-16 (ete)
2024-07-17,MF,A,Observation meteo du 2024-07-17 (ete)
2024-07-17,MF,B,Observation meteo du 2024-07-17 (ete)
2024-07-18,MF,A,Observation meteo du 2024-07-18 (ete)
2024-07-18,MF,B,Observation meteo du 2024-07-18 (ete)
2024-07-19,MF,A,Observation meteo du 2024-07-19 (ete)
2024-07-19,MF,B,Observation meteo du 2024-07-19 (ete)
2024-07-20,MF,A,Observation meteo du 2024-07-20 (ete)
2024-07-20,MF,B,Observation meteo du 2024-07-20 (ete)
2024-07-21,MF,A,Observation meteo du 2024-07-21 (ete)
2024-07-21,MF,B,Observation meteo du 2024-07-21 (ete)
2024-07-22,MF,A,Observation meteo du 2024-07-22 (ete)
2024-07-22,MF,B,Observation meteo du 2024-07-22 (ete)
2024-07-23,MF,A,Observation meteo du 2024-07-23 (ete)
2024-07-23,MF,B,Observation meteo du 2024-07-23 (ete)
2024-07-24,MF,A,Observation meteo du 2024-07-24 (ete)
2024-07-24,MF,B,Observation meteo du 2024-07-24 (ete)
2024-07-25,MF,A,Observation meteo du 2024-07-25 (ete)
2024-07-25,MF,B,Observation meteo du 2024-07-25 (ete)
2024-07-26,MF,A,Observation meteo du 2024-07-26 (ete)
2024-07-26,MF,B,Observation meteo du 2024-07-26 (ete)
2024-07-27,MF,A,Observation meteo du 2024-07-27 (ete)
2024-07-27,MF,B,Observation meteo du 2024-07-27 (ete)
2024-07-28,MF,A,Observation meteo du 2024-07-28 (ete)
2024-07-28,MF,B,Observation meteo du 2024-07-28 (ete)
2024-07-29,MF,A,Observation meteo du 2024-07-29 (ete)
2024-07-29,MF,B,Observation meteo du 2024-07-29 (ete)
2024-07-30,MF,A,Observation meteo du 2024-07-30 (ete)
2024-07-30,MF,B,Observation meteo du 2024-07-30 (ete)
2024-07-31,MF,A,Observation meteo du 2024-07-31 (ete)
2024-07-31,MF,B,Observation meteo du 2024-07-31 (ete)
2024-08-01,MF,A,Observation meteo du 2024-08-01 (ete)
2024-08-01,MF,B,Observation meteo du 2024-08-01 (ete)
2024-08-02,MF,A,Observation meteo du 2024-08-02 (ete)
2024-08-02,MF,B,Observation meteo du 2024-08-02 (ete)
2024-08-03,MF,A,Observation meteo du 2024-08-03 (ete)
2024-08-03,MF,B,Observation meteo du 2024-08-03 (ete)
2024-08-04,MF,A,Observation meteo du 2024-08-04 (ete)
2024-08-04,MF,B,Observation meteo du 2024-08-04 (ete)
2024-08-05,MF,A,Observation meteo du 2024-08-05 (ete)
2024-08-05,MF,B,Observation meteo du 2024-08-05 (ete)
2024-08-06,MF,A,Observation meteo du 2024-08-06 (ete)
2024-08-06,MF,B,Observation meteo du 2024-08-06 (ete)
2024-08-07,MF,A,Observation meteo du 2024-08-07 (ete)
2024-08-07,MF,B,Observation meteo du 2024-08-07 (ete)
2024-08-08,MF,A,Observation meteo du 2024-08-08 (ete)
2024-08-08,MF,B,Observation meteo du 2024-08-08 (ete)
2024-08-09,MF,A,Observation meteo du 2024-08-09 (ete)
2024-08-09,MF,B,Observation meteo du 2024-08-09 (ete)
2024-08-10,MF,A,Observation meteo du 2024-08-10 (ete)
2024-08-10,MF,B,Observation meteo du 2024-08-10 (ete)
2024-08-11,MF,A,Observation meteo du 2024-08-11 (ete)
2024-08-11,MF,B,Observation meteo du 2024-08-11 (ete)
2024-08-12,MF,A,Observation meteo du 2024-08-12 (ete)
2024-08-12,MF,B,Observation meteo du 2024-08-12 (ete)
2024-08-13,MF,A,Observation meteo du 2024-08-13 (ete)
2024-08-13,MF,B,Observation meteo du 2024-08-13 (ete)
2024-08-14,MF,A,Observation meteo du 2024-08-14 (ete)
2024-08-14,MF,B,Observation meteo du 2024-08-14 (ete)
2024-08-15,MF,A,Observation meteo du 2024-08-15 (ete)
2024-08-15,MF,B,Observation meteo du 2024-08-15 (ete)
2024-08-16,MF,A,Observation meteo du 2024-08-16 (ete)
2024-08-16,MF,B,Observation meteo du 2024-08-16 (ete)
2024-08-17,MF,A,Observation meteo du 2024-08-17 (ete)
2024-08-17,MF,B,Observation meteo du 2024-08-17 (ete)
2024-08-18,MF,A,Observation meteo du 2024-08-18 (ete)
2024-08-18,MF,B,Observation meteo du 2024-08-18 (ete)
2024-08-19,MF,A,Observation meteo du 2024-08-19 (ete)
2024-08-19,MF,B,Observation meteo du 2024-08-19 (ete)
2024-08-20,MF,A,Observation meteo du 2024-08-20 (ete)
2024-08-20,MF,B,Observation meteo du 2024-08-20 (ete)
2024-08-21,MF,A,Observation meteo du 2024-08-21 (ete)
2024-08-21,MF,B,Observation meteo du 2024-08-21 (ete)
2024-08-22,MF,A,Observation meteo du 2024-08-22 (ete)
2024-08-22,MF,B,Observation meteo du 2024-08-22 (ete)
2024-08-23,MF,A,Observation meteo du 2024-08-23 (ete)
2024-08-23,MF,B,Observation meteo du 2024-08-23 (ete)
2024-08-24,MF,A,Observation meteo du 2024-08-24 (ete)
2024-08-24,MF,B,Observation meteo du 2024-08-24 (ete)
2024-08-25,MF,A,Observation meteo du 2024-08-25 (ete)
2024-08-25,MF,B,Observation meteo du 2024-08-25 (ete)
2024-08-26,MF,A,Observation meteo du 2024-08-26 (ete)
2024-08-26,MF,B,Observation meteo du 2024-08-26 (ete)
2024-08-27,MF,A,Observation meteo du 2024-08-27 (ete)
2024-08-27,MF,B,Observation meteo du 2024-08-27 (ete)
2024-08-28,MF,A,Observation meteo du 2024-08-28 (ete)
2024-08-28,MF,B,Observation meteo du 2024-08-28 (ete)
2024-08-29,MF,A,Observation meteo du 2024-08-29 (ete)
2024-08-29,MF,B,Observation meteo du 2024-08-29 (ete)
2024-08-30,MF,A,Observation meteo du 2024-08-30 (ete)
2024-08-30,MF,B,Observation meteo du 2024-08-30 (ete)
2024-08-31,MF,A,Observation meteo du 2024-08-31 (ete)
2024-08-31,MF,B,Observation meteo du 2024-08-31 (ete)
2024-09-01,MF,A,Observation meteo du 2024-09-01 (automne)
2024-09-01,MF,B,Observation meteo du 2024-09-01 (automne)
2024-09-02,MF,A,Observation meteo du 2024-09-02 (automne)
2024-09-02,MF,B,Observation meteo du 2024-09-02 (automne)
2024-09-03,MF,A,Observation meteo du 2024-09-03 (automne)
2024-09-03,MF,B,Observation meteo du 2024-09-03 (automne)
2024-09-04,MF,A,Observation meteo du 2024-09-04 (automne)
2024-09-04,MF,B,Observation meteo du 2024-09-04 (automne)
2024-09-05,MF,A,Observation meteo du 2024-09-05 (automne)
2024-09-05,MF,B,Observation meteo du 2024-09-05 (automne)
2024-09-06,MF,A,Observation meteo du 2024-09-06 (automne)
2024-09-06,MF,B,Observation meteo du 2024-09-06 (automne)
2024-09-07,MF,A,Observation meteo du 2024-09-07 (automne)
2024-09-07,MF,B,Observation meteo du 2024-09-07 (automne)
2024-09-08,MF,A,Observation meteo du 2024-09-08 (automne)
2024-09-08,MF,B,Observation meteo du 2024-09-08 (automne)
2024-09-09,MF,A,Observation meteo du 2024-09-09 (automne)
2024-09-09,MF,B,Observation meteo du 2024-09-09 (automne)
2024-09-10,MF,A,Observation meteo du 2024-09-10 (automne)
2024-09-10,MF,B,Observation meteo du 2024-09-10 (automne)
2024-09-11,MF,A,Observation meteo du 2024-09-11 (automne)
2024-09-11,MF,B,Observation meteo du 2024-09-11 (automne)
2024-09-12,MF,A,Observation meteo du 2024-09-12 (automne)
2024-09-12,MF,B,Observation meteo du 2024-09-12 (automne)
2024-09-13,MF,A,Observation meteo du 2024-09-13 (automne)
2024-09-13,MF,B,Observation meteo du 2024-09-13 (automne)
2024-09-14,MF,A,Observation meteo du 2024-09-14 (automne)
2024-09-14,MF,B,Observation meteo du 2024-09-14 (automne)
2024-09-15,MF,A,Observation meteo du 2024-09-15 (automne)
2024-09-15,MF,B,Observation meteo du 2024-09-15 (automne)
2024-09-16,MF,A,Observation meteo du 2024-09-16 (automne)
2024-09-16,MF,B,Observation meteo du 2024-09-16 (automne)
2024-09-17,MF,A,Observation meteo du 2024-09-17 (automne)
2024-09-17,MF,B,Observation meteo du 2024-09-17 (automne)
2024-09-18,MF,A,Observation meteo du 2024-09-18 (automne)
2024-09-18,MF,B,Observation meteo du 2024-09-18 (automne)
2024-09-19,MF,A,Observation meteo du 2024-09-19 (automne)
2024-09-19,MF,B,Observation meteo du 2024-09-19 (automne)
2024-09-20,MF,A,Observation meteo du 2024-09-20 (automne)
2024-09-20,MF,B,Observation meteo du 2024-09-20 (automne)
2024-09-21,MF,A,Observation meteo du 2024-09-21 (automne)
2024-09-21,MF,B,Observation meteo du 2024-09-21 (automne)
2024-09-22,MF,A,Observation meteo du 2024-09-22 (automne)
2024-09-22,MF,B,Observation meteo du 2024-09-22 (automne)
2024-09-23,MF,A,Observation meteo du 2024-09-23 (automne)
2024-09-23,MF,B,Observation meteo du 2024-09-23 (automne)
2024-09-24,MF,A,Observation meteo du 2024-09-24 (automne)
2024-09-24,MF,B,Observation meteo du 2024-09-24 (automne)
2024-09-25,MF,A,Observation meteo du 2024-09-25 (automne)
2024-09-25,MF,B,Observation meteo du 2024-09-25 (automne)
2024-09-26,MF,A,Observation meteo du 2024-09-26 (automne)
2024-09-26,MF,B,Observation meteo du 2024-09-26 (automne)
2024-09-27,MF,A,Observation meteo du 2024-09-27 (automne)
2024-09-27,MF,B,Observation meteo du 2024-09-27 (automne)
2024-09-28,MF,A,Observation meteo du 2024-09-28 (automne)
2024-09-28,MF,B,Observation meteo du 2024-09-28 (automne)
2024-09-29,MF,A,Observation meteo du 2024-09-29 (automne)
2024-09-29,MF,B,Observation meteo du 2024-09-29 (automne)
2024-09-30,MF,A,Observation meteo du 2024-09-30 (automne)
2024-09-30,MF,B,Observation meteo du 2024-09-30 (automne)
