id,date_observation,longueur,largeur
1014,2024-08-08,102,172
1014,2024-08-09,122,164
1014,2024-08-11,260,75
1014,2024-08-13,195,250
1015,2024-05-16,200,63
1015,2024-05-19,55,96
1015,2024-05-21,149,137
1015,2024-05-23,137,60
1015,2024-05-25,152,46
1015,2024-05-26,112,85
1015,2024-05-31,55,86
1015,2024-06-01,137,223
1015,2024-06-10,168,178
1015,2024-06-18,220,243
1015,2024-06-19,155,101
1015,2024-06-25,218,198
1015,2024-06-29,216,243
1015,2024-07-02,308,222
1015,2024-07-04,336,94
1015,2024-07-05,89,145
1015,2024-07-08,185,93
1015,2024-07-12,338,184
1015,2024-07-13,240,118
1015,2024-07-23,217,230
1015,2024-08-04,259,58
1015,2024-08-05,138,194
1015,2024-08-12,174,54
1015,2024-08-14,210,213
1015,2024-08-17,251,53
1015,2024-08-20,184,119
1015,2024-08-23,269,195
1015,2024-08-30,317,176
1015,2024-08-31,198,167
1015,2024-09-10,154,168
1016,2024-05-15,96,23
1016,2024-05-17,48,149
1016,2024-05-18,142,121
1016,2024-05-19,80,96
1016,2024-05-20,48,70
1016,2024-05-21,102,53
1016,2024-05-23,169,116
1016,2024-05-29,74,80
1016,2024-05-30,73,21
1016,2024-06-01,246,202
1016,2024-06-13,311,136
1016,2024-06-17,335,106
1016,2024-06-20,327,242
1016,2024-06-22,314,185
1016,2024-06-26,189,147
1016,2024-06-27,101,172
1016,2024-06-28,257,62
1016,2024-06-30,155,88
1016,2024-07-03,186,204
1016,2024-07-06,128,87
1016,2024-07-08,146,173
1016,2024-07-14,158,160
1016,2024-07-16,290,225
1016,2024-07-21,91,73
1016,2024-07-22,331,226
1016,2024-07-23,224,64
1016,2024-08-03,281,201
1016,2024-08-05,263,224
1016,2024-08-08,330,76
1016,2024-08-12,276,189
1016,2024-08-15,265,119
1016,2024-08-16,236,225
1016,2024-08-18,187,134
1016,2024-08-19,262,175
1016,2024-08-23,250,230
1016,2024-08-24,83,161
1017,2024-05-17,162,69
1017,2024-05-20,64,31
1017,2024-05-21,71,147
1017,2024-05-24,177,97
1017,2024-05-25,172,99
1017,2024-05-31,192,78
1017,2024-06-02,171,225
1017,2024-06-11,345,173
1017,2024-06-16,105,54
1017,2024-06-19,101,139
1017,2024-06-20,262,74
1017,2024-06-23,290,225
1017,2024-07-02,122,192
1017,2024-07-05,286,171
1017,2024-07-09,275,86
1017,2024-07-10,136,127
1017,2024-07-13,314,157
1017,2024-07-18,149,177
1017,2024-07-29,137,128
1017,2024-07-31,185,115
1017,2024-08-03,175,208
1017,2024-08-04,279,77
1017,2024-08-06,322,178
1017,2024-08-11,224,211
1017,2024-08-14,149,134
1017,2024-08-20,325,111
1017,2024-08-25,280,239
1017,2024-08-26,90,148
1017,2024-08-28,315,222
1017,2024-09-11,217,161
1017,2024-09-14,138,154
1017,2024-09-19,260,122
1017,2024-09-21,206,163
1018,2024-05-18,128,145
1018,2024-05-27,166,30
1018,2024-05-29,120,136
1018,2024-05-30,90,30
1018,2024-06-01,100,134
1018,2024-06-02,184,177
1018,2024-06-07,304,210
1018,2024-06-08,185,105
1018,2024-06-09,143,115
1018,2024-06-10,197,159
1018,2024-06-22,218,208
1018,2024-06-26,256,125
1018,2024-06-28,81,62
1018,2024-06-29,174,203
1019,2024-05-14,83,86
1019,2024-05-16,96,114
1019,2024-05-21,114,91
1019,2024-05-22,118,132
1019,2024-05-27,59,67
1019,2024-05-29,173,49
1019,2024-05-31,135,130
1019,2024-06-08,350,95
1019,2024-06-11,168,61
1019,2024-06-12,196,195
1019,2024-06-14,299,141
1019,2024-06-16,161,228
1019,2024-06-17,264,240
1019,2024-06-30,283,201
1019,2024-07-01,139,87
1019,2024-07-03,200,164
1019,2024-07-05,348,245
1019,2024-07-07,110,249
1019,2024-07-11,106,190
1019,2024-07-13,229,244
1019,2024-07-14,319,80
1020,2024-05-17,190,70
1020,2024-05-19,133,64
1020,2024-05-21,187,108
1020,2024-05-24,141,94
1020,2024-05-28,42,101
1020,2024-05-29,157,59
1020,2024-06-01,333,125
1020,2024-06-06,248,89
1020,2024-06-12,252,102
1020,2024-06-13,251,100
1020,2024-06-29,238,250
1020,2024-07-03,169,160
1020,2024-07-04,262,63
1020,2024-07-07,220,154
1020,2024-07-08,287,215
1020,2024-07-21,294,184
1020,2024-07-22,215,231
1020,2024-07-26,104,81
1020,2024-08-07,243,181
1020,2024-08-14,183,98
1020,2024-08-15,198,59
1020,2024-08-19,212,185
1020,2024-08-21,248,234
1020,2024-08-23,271,82
1020,2024-08-25,312,150
1020,2024-08-29,83,67
1020,2024-09-04,266,122
1020,2024-09-05,179,106
1020,2024-09-06,292,173
1021,2024-05-12,89,73
1021,2024-05-18,161,122
1021,2024-05-21,154,50
1021,2024-05-28,100,113
1021,2024-05-29,115,122
1021,2024-05-30,42,22
1021,2024-06-03,146,73
1021,2024-06-04,161,191
1021,2024-06-10,102,138
1021,2024-06-22,243,55
1021,2024-06-25,120,202
1021,2024-07-02,304,74
1021,2024-07-04,274,135
1021,2024-07-08,273,242
1021,2024-07-10,166,174
1021,2024-07-11,121,206
1021,2024-07-13,237,203
1021,2024-07-16,272,218
1021,2024-07-17,87,91
1021,2024-07-18,348,182
1021,2024-07-19,246,60
1021,2024-07-20,313,141
1021,2024-07-21,332,103
1021,2024-07-26,297,192
1021,2024-07-29,237,50
1021,2024-07-31,254,122
1021,2024-08-01,122,55
1021,2024-08-06,231,220
1021,2024-08-07,156,135
1021,2024-08-11,318,167
1021,2024-08-27,288,54
1022,2024-05-16,53,86
1022,2024-05-17,52,48
1022,2024-05-18,118,122
1022,2024-05-21,126,100
1022,2024-05-22,157,94
1022,2024-05-24,102,40
1022,2024-05-25,154,140
1022,2024-05-29,65,122
1022,2024-06-01,135,209
1022,2024-06-08,113,115
1022,2024-06-10,81,54
1022,2024-06-11,93,123
1022,2024-06-28,112,187
1022,2024-07-07,248,160
1022,2024-07-08,205,111
1022,2024-07-12,155,53
1022,2024-07-13,250,134
1022,2024-07-17,142,155
1022,2024-07-18,273,171
1022,2024-07-24,221,221
1022,2024-07-26,134,103
1022,2024-07-29,304,158
1022,2024-08-04,154,236
1022,2024-08-10,122,198
1022,2024-08-11,205,232
1023,2024-05-17,175,35
1023,2024-05-20,190,39
1023,2024-05-24,173,95
1023,2024-05-25,69,67
1023,2024-05-27,176,140
1023,2024-05-29,74,149
1023,2024-05-30,179,94
1023,2024-05-31,98,93
1023,2024-06-04,271,95
1023,2024-06-07,163,116
1023,2024-06-18,251,123
1023,2024-06-21,287,182
1023,2024-06-23,215,96
1023,2024-06-25,307,108
1023,2024-06-27,228,197
1023,2024-06-29,212,195
1023,2024-07-01,96,183
1023,2024-07-06,186,212
1023,2024-07-08,287,240
1023,2024-07-09,143,174
1023,2024-07-13,329,207
1023,2024-07-18,285,62
1023,2024-07-19,199,249
1023,2024-07-25,291,81
1024,2024-05-16,46,107
1024,2024-05-17,137,86
1024,2024-05-21,113,96
1024,2024-05-25,99,143
1024,2024-05-30,186,48
1024,2024-05-31,114,107
1024,2024-06-10,254,229
1024,2024-06-11,85,60
1024,2024-06-14,227,103
1024,2024-06-15,294,73
1024,2024-06-22,260,207
1024,2024-06-25,149,91
1024,2024-06-27,331,178
1024,2024-07-05,348,104
1024,2024-07-06,262,203
1024,2024-07-08,116,119
1024,2024-07-12,154,137
1024,2024-07-16,140,80
1024,2024-07-17,201,198
1024,2024-07-26,205,65
1024,2024-07-28,271,247
1024,2024-08-12,198,223
1024,2024-08-13,135,138
1024,2024-08-20,301,197
1024,2024-08-22,236,224
1024,2024-09-01,115,171
1024,2024-09-04,101,185
1025,2024-05-20,183,134
1025,2024-05-28,168,110
1025,2024-06-06,350,109
1025,2024-06-07,309,205
1025,2024-06-13,225,250
1025,2024-06-15,293,170
1025,2024-06-25,128,124
1025,2024-06-27,174,105
1025,2024-06-28,208,62
1025,2024-07-02,333,54
1025,2024-07-05,217,181
1025,2024-07-16,211,187
1025,2024-07-26,181,101
1025,2024-07-28,254,59
1025,2024-07-29,311,176
1025,2024-07-31,86,228
1025,2024-08-03,269,241
1025,2024-08-07,349,250
1025,2024-08-10,248,137
1025,2024-08-14,123,60
1025,2024-08-16,273,55
1025,2024-08-18,282,130
1026,2024-05-16,67,94
1026,2024-05-17,193,137
1026,2024-05-18,196,78
1026,2024-05-22,126,125
1026,2024-05-23,42,53
1026,2024-05-24,179,144
1026,2024-05-26,150,42
1026,2024-05-29,178,102
1026,2024-05-30,165,92
1026,2024-06-01,281,212
1026,2024-06-05,163,157
1026,2024-06-15,189,166
1026,2024-06-16,139,152
1026,2024-06-18,291,88
1026,2024-06-28,221,162
1026,2024-07-02,345,153
1026,2024-07-03,258,115
1026,2024-07-04,288,124
1026,2024-07-05,100,185
1026,2024-07-09,142,208
1026,2024-07-12,304,193
1026,2024-07-13,296,156
1026,2024-07-18,167,53
1026,2024-07-19,107,208
1026,2024-07-20,104,75
1026,2024-07-21,143,69
1026,2024-07-22,190,225
1026,2024-07-23,152,196
1027,2024-05-15,82,135
1027,2024-05-16,193,130
1027,2024-05-19,160,139
1027,2024-05-21,91,33
1027,2024-05-22,185,30
1027,2024-05-27,126,56
1027,2024-05-29,115,105
1027,2024-06-02,104,119
1027,2024-06-08,270,133
1027,2024-06-14,309,58
1027,2024-06-15,106,222
1027,2024-06-16,240,139
1027,2024-06-24,169,94
1027,2024-06-26,174,192
1027,2024-06-30,217,114
1027,2024-07-01,291,208
1027,2024-07-02,244,74
1027,2024-07-09,224,250
1027,2024-07-13,195,154
1028,2024-05-12,103,87
1028,2024-05-15,118,92
1028,2024-05-22,50,61
1028,2024-05-25,85,143
1028,2024-05-28,150,43
1028,2024-06-04,290,192
1028,2024-06-05,159,120
1028,2024-06-09,226,237
1030,2024-05-11,129,46
1030,2024-05-12,152,142
1030,2024-05-14,177,68
1030,2024-05-17,98,45
1030,2024-05-18,190,100
1030,2024-05-20,166,128
1030,2024-05-21,78,34
1030,2024-05-23,173,101
1030,2024-05-25,121,127
1030,2024-05-28,167,59
1030,2024-05-29,131,47
1030,2024-05-31,68,72
1030,2024-06-06,181,119
1030,2024-06-07,119,168
1031,2024-05-22,154,25
1031,2024-05-23,117,20
1031,2024-05-24,197,24
1031,2024-05-25,90,94
1031,2024-05-27,137,56
1031,2024-05-30,64,45
1031,2024-06-02,87,211
1031,2024-06-12,349,78
1031,2024-06-14,177,213
1031,2024-06-15,176,68
1031,2024-06-19,154,52
1031,2024-06-26,341,190
1031,2024-06-30,194,245
1031,2024-07-05,158,195
1031,2024-07-09,310,113
1031,2024-07-10,147,119
1031,2024-07-12,175,70
1031,2024-07-23,250,230
1031,2024-07-24,322,135
1031,2024-07-27,92,54
1031,2024-07-29,206,80
1033,2024-05-16,44,122
1033,2024-05-17,196,128
1033,2024-05-21,96,62
1033,2024-05-22,91,139
1033,2024-05-25,48,85
1033,2024-05-27,122,83
1033,2024-05-28,46,59
1033,2024-05-29,103,136
1033,2024-05-30,69,85
1033,2024-06-08,81,198
1033,2024-06-13,239,140
1033,2024-06-16,251,125
1033,2024-06-23,201,111
1033,2024-06-24,164,129
1033,2024-06-29,206,199
1033,2024-07-06,242,51
1033,2024-07-10,300,50
1033,2024-07-18,281,62
1033,2024-07-22,130,68
1033,2024-08-09,268,67
1033,2024-08-11,151,97
1033,2024-08-12,226,170
1033,2024-08-18,246,116
1033,2024-08-20,88,133
1033,2024-09-03,106,62
1033,2024-09-08,288,129
1033,2024-09-13,136,181
1033,2024-09-14,275,91
1033,2024-09-23,297,88
1033,2024-09-24,117,168
1033,2024-09-27,202,185
1037,2024-05-11,173,80
1037,2024-05-12,98,138
1037,2024-05-20,163,83
1037,2024-05-23,115,135
1037,2024-05-30,197,106
1037,2024-06-17,329,193
1037,2024-06-22,345,228
1037,2024-06-25,163,193
1037,2024-07-01,118,79
1037,2024-07-06,89,247
1037,2024-07-09,137,210
1037,2024-07-12,102,236
1037,2024-07-16,191,220
1037,2024-07-17,200,82
1038,2024-05-11,167,131
1038,2024-05-17,185,70
1038,2024-05-18,182,108
1038,2024-05-25,94,125
1038,2024-05-27,160,43
1038,2024-06-01,143,185
1038,2024-06-02,170,132
1038,2024-06-09,90,139
1038,2024-06-16,123,180
1038,2024-07-13,110,174
1038,2024-07-17,168,132
1038,2024-07-19,311,215
1038,2024-07-21,283,98
1038,2024-07-26,221,176
1038,2024-08-09,303,196
1038,2024-08-12,104,171
1038,2024-08-13,196,212
1038,2024-08-19,330,198
1038,2024-08-28,333,97
1038,2024-09-03,220,157
1038,2024-09-10,205,74
1038,2024-09-11,131,174
1038,2024-09-14,188,105
1038,2024-09-15,176,168
1038,2024-09-17,164,130
1038,2024-09-25,106,95
1038,2024-09-27,151,145
1038,2024-09-28,252,64
1038,2024-09-29,225,134
1040,2024-05-21,198,96
1040,2024-05-22,78,126
1040,2024-05-23,171,56
1040,2024-05-26,97,100
1040,2024-05-28,42,108
1040,2024-05-30,102,131
1040,2024-06-01,139,143
1040,2024-06-03,123,130
1040,2024-06-05,269,132
1040,2024-06-09,157,185
1040,2024-06-13,279,165
1040,2024-06-14,305,131
1040,2024-06-15,194,66
1040,2024-06-16,144,200
1040,2024-06-17,130,250
1040,2024-06-18,301,167
1040,2024-06-22,211,190
1040,2024-06-24,345,196
1040,2024-06-25,263,72
1042,2024-05-14,54,85
1042,2024-05-16,140,21
1042,2024-05-17,104,53
1042,2024-05-20,147,82
1042,2024-05-21,61,44
1042,2024-05-25,177,116
1042,2024-05-27,200,63
1042,2024-05-29,127,42
1042,2024-06-06,181,102
1042,2024-06-07,285,199
1042,2024-06-09,137,230
1042,2024-06-12,284,160
1042,2024-06-13,81,190
1042,2024-06-14,89,205
1042,2024-06-16,243,113
1042,2024-06-22,82,213
1042,2024-06-24,223,214
1042,2024-07-08,156,237
1042,2024-07-11,119,215
1042,2024-07-13,125,216
1042,2024-07-17,184,140
1042,2024-07-20,152,121
1042,2024-07-24,314,210
1042,2024-07-31,185,189
1042,2024-08-01,206,235
1042,2024-08-02,330,206
1042,2024-08-04,219,90
1042,2024-08-06,185,192
1042,2024-08-13,200,210
1042,2024-08-20,324,249
1042,2024-08-21,169,112
1042,2024-08-25,108,121
1042,2024-08-26,110,98
1042,2024-09-02,259,79
1042,2024-09-05,169,99
1042,2024-09-06,142,80
1042,2024-09-11,139,77
1042,2024-09-13,259,189
1042,2024-09-14,129,110
1043,2024-05-11,133,38
1043,2024-05-17,72,28
1043,2024-05-24,171,103
1043,2024-05-25,140,94
1043,2024-05-28,199,114
1043,2024-06-02,128,115
1043,2024-06-06,84,67
1043,2024-06-07,93,230
1043,2024-06-11,83,166
1043,2024-06-12,100,111
1043,2024-06-14,174,164
1043,2024-06-16,289,97
1043,2024-06-18,205,222
1043,2024-06-20,337,91
1043,2024-06-21,191,148
1043,2024-06-23,176,84
1043,2024-06-30,153,117
1043,2024-07-01,143,196
1043,2024-07-06,209,227
1043,2024-07-08,119,143
1043,2024-07-13,332,235
1043,2024-07-19,122,215
1044,2024-05-15,156,61
1044,2024-05-19,140,45
1044,2024-05-22,93,54
1044,2024-05-27,195,115
1044,2024-05-29,43,22
1044,2024-05-31,61,42
1044,2024-06-03,282,215
1044,2024-06-04,197,133
1044,2024-06-06,292,105
1044,2024-06-11,134,200
1044,2024-06-12,223,203
1044,2024-06-21,81,178
1044,2024-06-22,287,144
1044,2024-06-24,171,223
1044,2024-06-27,110,224
1044,2024-06-28,245,115
1044,2024-06-29,179,114
1044,2024-06-30,290,238
1044,2024-07-01,126,200
1044,2024-07-03,138,101
1044,2024-07-04,198,190
1044,2024-07-06,262,184
1044,2024-07-11,164,128
1044,2024-07-16,194,97
1044,2024-07-18,350,150
1044,2024-08-05,180,224
1044,2024-08-07,148,202
1044,2024-08-08,149,92
1044,2024-08-09,184,58
1044,2024-08-18,235,143
1044,2024-08-20,226,221
1044,2024-08-22,176,206
1044,2024-08-23,122,113
1045,2024-05-11,58,92
1045,2024-05-13,109,149
1045,2024-05-15,125,106
1045,2024-05-17,195,76
1045,2024-05-19,161,49
1045,2024-05-20,145,97
1045,2024-05-22,77,131
1045,2024-05-23,121,49
1045,2024-05-26,133,144
1045,2024-05-27,48,86
1045,2024-06-01,327,172
1045,2024-06-07,293,96
1045,2024-06-09,322,200
1045,2024-06-15,232,177
1045,2024-06-16,199,209
1045,2024-06-18,268,82
1046,2024-05-09,82,76
1046,2024-05-12,41,50
1046,2024-05-17,177,115
1046,2024-05-18,140,32
1046,2024-05-19,114,68
1046,2024-05-20,90,67
1046,2024-05-22,127,31
1046,2024-05-23,94,77
1046,2024-05-25,153,110
1046,2024-05-26,184,27
1046,2024-06-01,315,224
1046,2024-06-13,300,124
1046,2024-06-21,108,76
1046,2024-06-22,154,219
1046,2024-06-24,164,125
1046,2024-06-26,80,195
1046,2024-07-01,180,164
1046,2024-07-11,99,197
1046,2024-07-14,288,205
1046,2024-07-15,253,116
1046,2024-07-21,326,100
1046,2024-07-26,252,112
1046,2024-08-01,264,218
1046,2024-08-04,267,169
1046,2024-08-11,273,245
1046,2024-08-19,330,201
1046,2024-08-20,100,118
1046,2024-08-26,258,136
1046,2024-08-31,268,176
1046,2024-09-01,171,86
1046,2024-09-06,201,151
1046,2024-09-08,212,139
1046,2024-09-10,132,184
1047,2024-05-17,102,72
1047,2024-05-21,141,72
1047,2024-05-22,184,43
1047,2024-05-24,64,78
1047,2024-05-27,167,44
1047,2024-05-29,76,53
1047,2024-06-09,271,172
1047,2024-06-11,203,181
1047,2024-06-12,169,207
1047,2024-07-06,270,242
1047,2024-07-09,137,55
1047,2024-07-10,245,180
1047,2024-07-15,123,116
1047,2024-07-24,287,127
1047,2024-07-25,279,206
1047,2024-07-28,349,111
1047,2024-07-30,142,121
1047,2024-08-03,207,172
1047,2024-08-04,221,212
1047,2024-08-08,103,120
1047,2024-08-11,155,83
1047,2024-08-14,286,201
1047,2024-08-16,219,193
1047,2024-08-21,226,102
1047,2024-08-22,189,134
1047,2024-08-26,176,135
1047,2024-08-29,241,93
1047,2024-08-31,169,220
1047,2024-09-01,141,80
1047,2024-09-05,102,101
1047,2024-09-08,247,176
1048,2024-05-11,114,128
1048,2024-05-14,125,106
1048,2024-05-20,103,148
1048,2024-05-22,111,46
1048,2024-05-24,91,83
1048,2024-06-03,188,195
1048,2024-06-08,325,178
1048,2024-06-09,288,133
1048,2024-06-12,94,70
1048,2024-06-13,208,237
1048,2024-06-15,220,129
1048,2024-06-16,333,121
1048,2024-06-19,138,231
1048,2024-06-23,324,121
1048,2024-06-24,250,135
1048,2024-06-25,253,183
1048,2024-06-26,150,81
1048,2024-06-28,199,210
1048,2024-06-30,130,231
1048,2024-07-15,200,245
1048,2024-07-18,276,186
1048,2024-07-19,327,76
1048,2024-07-24,176,212
1048,2024-07-28,190,190
1048,2024-08-04,270,141
1050,2024-05-13,85,53
1050,2024-05-14,159,147
1050,2024-05-15,54,121
1050,2024-05-16,148,136
1050,2024-05-23,84,85
1050,2024-05-28,179,119
1050,2024-05-29,154,121
1050,2024-06-02,248,69
1050,2024-06-05,136,87
1050,2024-06-15,119,174
1050,2024-06-23,217,221
1050,2024-06-26,195,109
1050,2024-06-28,94,212
1050,2024-07-01,148,51
1050,2024-07-10,164,129
1050,2024-07-11,95,210
1050,2024-07-13,105,57
1050,2024-07-20,250,130
1050,2024-07-21,152,242
1050,2024-07-22,171,216
1050,2024-07-24,229,149
1050,2024-07-28,299,201
1050,2024-07-30,111,177
1050,2024-07-31,338,109
1050,2024-08-11,225,153
1050,2024-08-15,163,115
1050,2024-08-17,211,201
1050,2024-08-20,143,195
1050,2024-08-23,213,58
1050,2024-08-25,253,116
1050,2024-08-26,276,204
1050,2024-08-27,313,160
1050,2024-09-02,289,176
1050,2024-09-06,267,82
1050,2024-09-08,283,96
1051,2024-05-16,156,49
1051,2024-05-17,58,87
1051,2024-05-21,43,83
1051,2024-05-24,154,129
1051,2024-05-30,126,65
1051,2024-06-03,86,148
1051,2024-06-07,339,127
1051,2024-06-09,151,178
1051,2024-06-10,295,67
1051,2024-06-11,330,114
1051,2024-06-15,325,153
1051,2024-06-17,154,111
1051,2024-06-19,104,54
1051,2024-06-29,151,95
1051,2024-07-03,263,248
1051,2024-07-05,120,213
1051,2024-07-07,109,169
1051,2024-07-11,344,203
1052,2024-05-18,155,44
1052,2024-05-19,144,111
1052,2024-05-21,88,93
1052,2024-05-22,80,143
1052,2024-05-27,74,118
1052,2024-05-29,182,85
1052,2024-05-30,82,24
1052,2024-06-05,340,215
1052,2024-06-06,102,103
1052,2024-06-07,257,101
1052,2024-06-09,167,247
1052,2024-06-14,326,51
1052,2024-06-17,198,246
1052,2024-06-27,192,229
1052,2024-07-07,229,90
1052,2024-07-11,256,103
1052,2024-07-17,333,151
1052,2024-07-23,258,137
