date,site_id,zone_id,pres_min,pres_max
2024-07-05,MF,A,964,1027
2024-07-05,MF,B,999,1035
2024-07-06,MF,A,952,962
2024-07-06,MF,B,999,1019
2024-07-07,MF,A,950,989
2024-07-07,MF,B,990,1009
2024-07-08,MF,A,952,1011
2024-07-08,MF,B,952,975
2024-07-09,MF,A,969,990
2024-07-09,MF,B,996,1030
2024-07-10,MF,A,962,1037
2024-07-10,MF,B,977,1010
2024-07-11,MF,A,953,1044
2024-07-11,MF,B,983,1019
2024-07-12,MF,A,975,1043
2024-07-12,MF,B,975,1037
2024-07-13,MF,A,985,995
2024-07-13,MF,B,981,1022
2024-07-14,MF,A,998,1022
2024-07-14,MF,B,994,1034
2024-07-15,MF,A,998,1048
2024-07-15,MF,B,994,1021
2024-07-16,MF,A,993,1006
2024-07-16,MF,B,954,1010
2024-07-17,MF,A,952,1044
2024-07-17,MF,B,973,1022
2024-07-18,MF,A,988,1030
2024-07-18,MF,B,991,1012
2024-07-19,MF,A,968,984
2024-07-19,MF,B,999,1036
2024-07-20,MF,A,989,1047
2024-07-20,MF,B,986,1005
2024-07-21,MF,A,961,1001
2024-07-21,MF,B,981,1047
2024-07-22,MF,A,976,1016
2024-07-22,MF,B,957,984
2024-07-23,MF,A,989,1008
2024-07-23,MF,B,994,1030
2024-07-24,MF,A,960,1000
2024-07-24,MF,B,961,986
2024-07-25,MF,A,980,1006
2024-07-25,MF,B,970,1024
2024-07-26,MF,A,971,1004
2024-07-26,MF,B,960,1024
2024-07-27,MF,A,950,1047
2024-07-27,MF,B,996,1014
2024-07-28,MF,A,995,1015
2024-07-28,MF,B,983,1032
2024-07-29,MF,A,957,1045
2024-07-29,MF,B,967,1047
2024-07-30,MF,A,991,1026
2024-07-30,MF,B,975,1007
2024-07-31,MF,A,973,1014
2024-07-31,MF,B,981,1012
2024-08-01,MF,A,958,1040
2024-08-01,MF,B,986,1044
2024-08-02,MF,A,963,996
2024-08-02,MF,B,955,1021
2024-08-03,MF,A,1000,1010
2024-08-03,MF,B,967,1043
2024-08-04,MF,A,969,1019
2024-08-04,MF,B,960,1007
2024-08-05,MF,A,953,1033
2024-08-05,MF,B,952,1008
2024-08-06,MF,A,973,997
2024-08-06,MF,B,992,1004
2024-08-07,MF,A,984,1050
2024-08-07,MF,B,967,979
2024-08-08,MF,A,972,1000
2024-08-08,MF,B,989,1019
2024-08-09,MF,A,951,978
2024-08-09,MF,B,962,984
2024-08-10,MF,A,958,979
2024-08-10,MF,B,969,1045
2024-08-11,MF,A,994,1025
2024-08-11,MF,B,973,1038
2024-08-12,MF,A,990,1025
2024-08-12,MF,B,958,980
2024-08-13,MF,A,969,980
2024-08-13,MF,B,985,1020
2024-08-14,MF,A,958,974
2024-08-14,MF,B,978,1048
2024-08-15,MF,A,988,1011
2024-08-15,MF,B,951,1001
2024-08-16,MF,A,972,987
2024-08-16,MF,B,986,1026
2024-08-17,MF,A,950,1013
2024-08-17,MF,B,969,992
2024-08-18,MF,A,975,1032
2024-08-18,MF,B,1000,1028
2024-08-19,MF,A,965,1043
2024-08-19,MF,B,986,1034
2024-08-20,MF,A,984,995
2024-08-20,MF,B,1000,1037
2024-08-21,MF,A,990,1006
2024-08-21,MF,B,960,992
2024-08-22,MF,A,957,1020
2024-08-22,MF,B,967,1012
2024-08-23,MF,A,975,993
2024-08-23,MF,B,981,994
2024-08-24,MF,A,998,1027
2024-08-24,MF,B,957,1035
2024-08-25,MF,A,973,993
2024-08-25,MF,B,961,1000
2024-08-26,MF,A,975,1034
2024-08-26,MF,B,965,1011
2024-08-27,MF,A,988,1021
2024-08-27,MF,B,983,1004
2024-08-28,MF,A,996,1018
2024-08-28,MF,B,956,1043
2024-08-29,MF,A,960,986
2024-08-29,MF,B,965,1024
2024-08-30,MF,A,954,975
2024-08-30,MF,B,954,1030
2024-08-31,MF,A,988,1015
2024-08-31,MF,B,990,1019
2024-09-01,MF,A,966,979
2024-09-01,MF,B,977,990
2024-09-02,MF,A,956,1050
2024-09-02,MF,B,985,1025
2024-09-03,MF,A,1000,1026
2024-09-03,MF,B,972,998
2024-09-04,MF,A,975,1046
2024-09-04,MF,B,995,1034
2024-09-05,MF,A,1000,1025
2024-09-05,MF,B,973,1042
2024-09-06,MF,A,978,1006
2024-09-06,MF,B,986,1016
2024-09-07,MF,A,961,973
2024-09-07,MF,B,980,1018
2024-09-08,MF,A,968,1041
2024-09-08,MF,B,989,1028
2024-09-09,MF,A,951,1030
2024-09-09,MF,B,968,991
2024-09-10,MF,A,985,1026
2024-09-10,MF,B,989,1014
2024-09-11,MF,A,991,1030
2024-09-11,MF,B,999,1045
2024-09-12,MF,A,958,1048
2024-09-12,MF,B,959,1027
2024-09-13,MF,A,983,1016
2024-09-13,MF,B,994,1036
2024-09-14,MF,A,968,1042
2024-09-14,MF,B,969,1045
2024-09-15,MF,A,990,1034
2024-09-15,MF,B,957,989
2024-09-16,MF,A,951,984
2024-09-16,MF,B,966,1028
2024-09-17,MF,A,950,968
2024-09-17,MF,B,984,1018
2024-09-18,MF,A,988,1023
2024-09-18,MF,B,978,1045
2024-09-19,MF,A,960,1042
2024-09-19,MF,B,957,1036
2024-09-20,MF,A,956,1041
2024-09-20,MF,B,988,1013
2024-09-21,MF,A,974,991
2024-09-21,MF,B,996,1016
2024-09-22,MF,A,978,1050
2024-09-22,MF,B,962,1017
2024-09-23,MF,A,971,1027
2024-09-23,MF,B,961,1035
2024-09-24,MF,A,977,1011
2024-09-24,MF,B,997,1012
2024-09-25,MF,A,990,1017
2024-09-25,MF,B,993,1042
2024-09-26,MF,A,963,1026
2024-09-26,MF,B,995,1035
2024-09-27,MF,A,983,1015
2024-09-27,MF,B,954,1003
2024-09-28,MF,A,988,1040
2024-09-28,MF,B,979,992
2024-09-29,MF,A,995,1016
2024-09-29,MF,B,986,1014
2024-09-30,MF,A,968,990
2024-09-30,MF,B,983,1030
