site_id,zone_id,placette_numero,peuplement_id,date_placette,hauteur,obstruction_type,taux_obstruction,couverture_type,taux_couverture,rang_arbre,arbre_id
MF,A,4,SAPI,2024-05-07,,,,graminees,25,,
MF,A,4,SAPI,2024-05-07,,,,mousses,32,,
MF,A,4,SAPI,2024-05-07,,,,fougeres,43,,
MF,A,4,SAPI,2024-05-07,,,,,,1,BETALL
MF,A,4,SAPI,2024-05-07,,,,,,2,ABIBAL
MF,A,4,SAPI,2024-05-07,,,,,,3,FAGGRA
MF,B,1,SAPI,2024-05-12,1,F,16,,,,
MF,B,1,SAPI,2024-05-12,1,C,28,,,,
MF,B,1,SAPI,2024-05-12,1,T,50,,,,
MF,B,1,SAPI,2024-05-12,2,F,16,,,,
MF,B,1,SAPI,2024-05-12,2,C,23,,,,
MF,B,1,SAPI,2024-05-12,2,T,73,,,,
MF,B,1,SAPI,2024-05-12,,,,graminees,38,,
MF,B,1,SAPI,2024-05-12,,,,mousses,22,,
MF,B,1,SAPI,2024-05-12,,,,fougeres,52,,
MF,B,1,SAPI,2024-05-12,,,,,,1,BETALL
MF,B,1,SAPI,2024-05-12,,,,,,2,BETCOR
MF,B,1,SAPI,2024-05-12,,,,,,3,ACESAC
MF,B,2,SABO,2024-05-08,1,F,39,,,,
MF,B,2,SABO,2024-05-08,1,C,25,,,,
MF,B,2,SABO,2024-05-08,1,T,99,,,,
MF,B,2,SABO,2024-05-08,2,F,30,,,,
MF,B,2,SABO,2024-05-08,2,C,27,,,,
MF,B,2,SABO,2024-05-08,2,T,58,,,,
MF,B,2,SABO,2024-05-08,,,,graminees,32,,
MF,B,2,SABO,2024-05-08,,,,mousses,38,,
MF,B,2,SABO,2024-05-08,,,,fougeres,23,,
MF,B,2,SABO,2024-05-08,,,,,,1,SORSSP
MF,B,2,SABO,2024-05-08,,,,,,2,PICMAR
MF,B,2,SABO,2024-05-08,,,,,,3,BETPAP
MF,B,3,ERHE,2024-05-16,1,F,29,,,,
MF,B,3,ERHE,2024-05-16,1,C,36,,,,
MF,B,3,ERHE,2024-05-16,1,T,87,,,,
MF,B,3,ERHE,2024-05-16,2,F,18,,,,
MF,B,3,ERHE,2024-05-16,2,C,36,,,,
MF,B,3,ERHE,2024-05-16,2,T,84,,,,
MF,B,3,ERHE,2024-05-16,,,,graminees,34,,
MF,B,3,ERHE,2024-05-16,,,,mousses,60,,
MF,B,3,ERHE,2024-05-16,,,,fougeres,24,,
MF,B,3,ERHE,2024-05-16,,,,,,1,BETCOR
MF,B,3,ERHE,2024-05-16,,,,,,2,FAGGRA
MF,B,3,ERHE,2024-05-16,,,,,,3,SORSSP
MF,B,4,BEMI,2024-05-02,1,F,26,,,,
MF,B,4,BEMI,2024-05-02,1,C,11,,,,
MF,B,4,BEMI,2024-05-02,1,T,57,,,,
MF,B,4,BEMI,2024-05-02,2,F,22,,,,
MF,B,4,BEMI,2024-05-02,2,C,33,,,,
MF,B,4,BEMI,2024-05-02,2,T,92,,,,
MF,B,4,BEMI,2024-05-02,,,,graminees,52,,
MF,B,4,BEMI,2024-05-02,,,,mousses,18,,
MF,B,4,BEMI,2024-05-02,,,,fougeres,39,,
MF,B,4,BEMI,2024-05-02,,,,,,1,BETCOR
MF,B,4,BEMI,2024-05-02,,,,,,2,BETPAP
MF,B,4,BEMI,2024-05-02,,,,,,3,SORSSP
