site_id,zone_id,date,temp_min,temp_max,hum_min,hum_max,vent_min,vent_max,pres_min,pres_max,prec_tot,prec_nat,note
MF,B,2024-05-12,-1,12,59,73,7,22,960,975,,,Observation meteo du 2024-05-12 (printemps)
MF,A,2024-05-13,-5,13,53,71,5,24,977,1006,,,Observation meteo du 2024-05-13 (printemps)
MF,B,2024-05-13,-3,10,59,73,5,23,956,1027,11,P,Observation meteo du 2024-05-13 (printemps)
MF,A,2024-05-14,-2,13,51,79,8,25,969,1040,17,P,Observation meteo du 2024-05-14 (printemps)
MF,B,2024-05-14,-5,15,55,78,9,23,986,1006,,,Observation meteo du 2024-05-14 (printemps)
MF,A,2024-05-15,-4,12,52,78,6,23,999,1027,,,Observation meteo du 2024-05-15 (printemps)
MF,B,2024-05-15,-4,13,59,80,5,22,986,1042,13,P,Observation meteo du 2024-05-15 (printemps)
MF,A,2024-05-16,-5,15,59,75,7,21,952,1027,,,Observation meteo du 2024-05-16 (printemps)
MF,B,2024-05-16,-2,15,54,79,7,20,980,1027,16,P,Observation meteo du 2024-05-16 (printemps)
MF,A,2024-05-17,-4,14,55,80,6,21,990,1036,27,P,Observation meteo du 2024-05-17 (printemps)
MF,B,2024-05-17,-2,14,50,79,9,24,958,1027,,,Observation meteo du 2024-05-17 (printemps)
MF,A,2024-05-18,-2,13,57,74,5,23,959,995,,,Observation meteo du 2024-05-18 (printemps)
MF,B,2024-05-18,-3,11,54,74,7,23,965,1050,19,B,Observation meteo du 2024-05-18 (printemps)
MF,A,2024-05-19,-1,12,52,80,8,22,1000,1028,10,B,Observation meteo du 2024-05-19 (printemps)
MF,B,2024-05-19,-5,13,59,77,7,23,986,996,,,Observation meteo du 2024-05-19 (printemps)
MF,A,2024-05-20,-5,13,54,74,7,20,981,995,,,Observation meteo du 2024-05-20 (printemps)
MF,B,2024-05-20,-1,10,58,77,9,21,988,1007,9,B,Observation meteo du 2024-05-20 (printemps)
MF,A,2024-05-21,-4,15,58,77,6,22,970,1027,15,P,Observation meteo du 2024-05-21 (printemps)
MF,B,2024-05-21,-2,12,58,77,10,21,996,1025,,,Observation meteo du 2024-05-21 (printemps)
MF,A,2024-05-22,-5,14,60,73,5,25,965,978,,,Observation meteo du 2024-05-22 (printemps)
MF,B,2024-05-22,-4,14,57,75,9,21,998,1016,,,Observation meteo du 2024-05-22 (printemps)
MF,A,2024-05-23,-4,15,50,76,5,25,1000,1046,28,B,Observation meteo du 2024-05-23 (printemps)
MF,B,2024-05-23,-4,13,59,79,6,21,990,1031,,,Observation meteo du 2024-05-23 (printemps)
MF,A,2024-05-24,-1,15,56,76,8,21,983,1000,,,Observation meteo du 2024-05-24 (printemps)
MF,B,2024-05-24,0,11,58,77,7,23,996,1010,,,Observation meteo du 2024-05-24 (printemps)
MF,A,2024-05-25,-2,15,53,74,10,22,1000,1039,24,B,Observation meteo du 2024-05-25 (printemps)
MF,B,2024-05-25,0,14,52,77,7,24,967,1029,15,B,Observation meteo du 2024-05-25 (printemps)
MF,A,2024-05-26,-4,13,53,77,8,23,986,1044,28,B,Observation meteo du 2024-05-26 (printemps)
MF,B,2024-05-26,-1,11,55,76,8,21,977,989,23,P,Observation meteo du 2024-05-26 (printemps)
MF,A,2024-05-27,-2,12,53,80,10,21,980,1002,6,P,Observation meteo du 2024-05-27 (printemps)
MF,B,2024-05-27,-2,11,54,74,8,20,974,1027,,,Observation meteo du 2024-05-27 (printemps)
MF,A,2024-05-28,0,13,55,75,7,23,988,1032,7,P,Observation meteo du 2024-05-28 (printemps)
MF,B,2024-05-28,-3,12,52,77,5,25,977,1002,7,B,Observation meteo du 2024-05-28 (printemps)
MF,A,2024-05-29,-5,15,50,80,6,22,958,996,25,P,Observation meteo du 2024-05-29 (printemps)
MF,B,2024-05-29,-5,10,58,73,7,21,981,1010,,,Observation meteo du 2024-05-29 (printemps)
MF,A,2024-05-30,0,14,60,74,10,22,972,1018,20,P,Observation meteo du 2024-05-30 (printemps)
MF,B,2024-05-30,-5,11,58,76,8,22,983,1022,,,Observation meteo du 2024-05-30 (printemps)
MF,A,2024-05-31,-2,14,50,77,5,21,974,1012,28,B,Observation meteo du 2024-05-31 (printemps)
MF,B,2024-05-31,-1,15,50,72,10,20,954,1035,9,P,Observation meteo du 2024-05-31 (printemps)
MF,A,2024-06-01,15,29,43,60,2,12,982,1025,,,Observation meteo du 2024-06-01 (ete)
MF,B,2024-06-01,14,26,49,67,1,11,959,1050,,,Observation meteo du 2024-06-01 (ete)
MF,A,2024-06-02,11,30,43,70,4,10,972,1019,,,Observation meteo du 2024-06-02 (ete)
MF,B,2024-06-02,12,27,45,68,0,14,973,1044,,,Observation meteo du 2024-06-02 (ete)
MF,A,2024-06-03,11,29,43,63,1,15,997,1021,,,Observation meteo du 2024-06-03 (ete)
MF,B,2024-06-03,10,27,43,65,4,12,983,1007,,,Observation meteo du 2024-06-03 (ete)
MF,A,2024-06-04,11,26,44,69,1,14,962,991,,,Observation meteo du 2024-06-04 (ete)
MF,B,2024-06-04,13,25,40,64,5,13,979,998,,,Observation meteo du 2024-06-04 (ete)
MF,A,2024-06-05,13,26,41,67,0,14,975,1030,11,P,Observation meteo du 2024-06-05 (ete)
MF,B,2024-06-05,10,28,46,60,0,12,968,1029,11,B,Observation meteo du 2024-06-05 (ete)
MF,A,2024-06-06,10,29,45,67,5,12,980,1022,17,B,Observation meteo du 2024-06-06 (ete)
MF,B,2024-06-06,12,26,46,61,4,15,959,1023,,,Observation meteo du 2024-06-06 (ete)
MF,A,2024-06-07,13,26,44,70,3,15,986,1047,23,B,Observation meteo du 2024-06-07 (ete)
MF,B,2024-06-07,10,29,40,64,5,15,982,1033,17,B,Observation meteo du 2024-06-07 (ete)
MF,A,2024-06-08,10,27,47,63,4,10,983,994,,,Observation meteo du 2024-06-08 (ete)
MF,B,2024-06-08,13,25,47,62,2,11,962,993,18,P,Observation meteo du 2024-06-08 (ete)
MF,A,2024-06-09,13,29,42,60,2,10,979,1050,,,Observation meteo du 2024-06-09 (ete)
MF,B,2024-06-09,13,27,49,60,2,12,977,995,,,Observation meteo du 2024-06-09 (ete)
MF,A,2024-06-10,10,29,46,65,0,11,993,1024,,,Observation meteo du 2024-06-10 (ete)
MF,B,2024-06-10,15,30,42,62,2,10,973,1000,,,Observation meteo du 2024-06-10 (ete)
MF,A,2024-06-11,13,28,40,68,5,12,995,1010,,,Observation meteo du 2024-06-11 (ete)
MF,B,2024-06-11,11,27,43,65,2,15,972,1043,14,P,Observation meteo du 2024-06-11 (ete)
MF,A,2024-06-12,14,28,44,60,5,13,983,1012,21,P,Observation meteo du 2024-06-12 (ete)
MF,B,2024-06-12,15,29,40,68,3,14,986,1014,,,Observation meteo du 2024-06-12 (ete)
MF,A,2024-06-13,13,28,41,62,0,13,997,1025,19,P,Observation meteo du 2024-06-13 (ete)
MF,B,2024-06-13,12,25,42,60,4,12,984,998,9,P,Observation meteo du 2024-06-13 (ete)
MF,A,2024-06-14,15,27,44,61,3,13,991,1043,,,Observation meteo du 2024-06-14 (ete)
MF,B,2024-06-14,11,25,44,70,1,10,983,1045,,,Observation meteo du 2024-06-14 (ete)
MF,A,2024-06-15,11,29,44,66,5,14,995,1029,,,Observation meteo du 2024-06-15 (ete)
MF,B,2024-06-15,15,28,42,60,3,15,981,1048,8,P,Observation meteo du 2024-06-15 (ete)
MF,A,2024-06-16,10,29,44,66,1,11,993,1019,,,Observation meteo du 2024-06-16 (ete)
MF,B,2024-06-16,11,27,49,65,2,13,977,1008,5,P,Observation meteo du 2024-06-16 (ete)
MF,A,2024-06-17,13,30,41,69,2,12,984,1025,,,Observation meteo du 2024-06-17 (ete)
MF,B,2024-06-17,13,26,41,66,5,10,960,1024,,,Observation meteo du 2024-06-17 (ete)
MF,A,2024-06-18,15,25,46,60,3,12,961,1002,,,Observation meteo du 2024-06-18 (ete)
MF,B,2024-06-18,12,25,44,64,0,15,992,1038,,,Observation meteo du 2024-06-18 (ete)
MF,A,2024-06-19,15,26,44,68,5,15,971,1011,16,P,Observation meteo du 2024-06-19 (ete)
MF,B,2024-06-19,14,30,48,62,1,14,966,976,,,Observation meteo du 2024-06-19 (ete)
MF,A,2024-06-20,15,29,43,63,2,10,996,1026,,,Observation meteo du 2024-06-20 (ete)
MF,B,2024-06-20,12,25,43,69,5,12,978,1030,,,Observation meteo du 2024-06-20 (ete)
MF,A,2024-06-21,12,26,42,65,4,10,982,992,13,B,Observation meteo du 2024-06-21 (ete)
MF,B,2024-06-21,12,30,42,67,5,11,953,994,,,Observation meteo du 2024-06-21 (ete)
MF,A,2024-06-22,10,26,44,65,3,11,956,991,23,B,Observation meteo du 2024-06-22 (ete)
MF,B,2024-06-22,14,25,45,63,1,12,997,1009,,,Observation meteo du 2024-06-22 (ete)
MF,A,2024-06-23,12,29,49,65,3,10,951,1000,,,Observation meteo du 2024-06-23 (ete)
MF,B,2024-06-23,10,28,48,66,3,11,970,992,,,Observation meteo du 2024-06-23 (ete)
MF,A,2024-06-24,14,29,43,66,5,11,993,1047,,,Observation meteo du 2024-06-24 (ete)
MF,B,2024-06-24,11,26,42,64,0,10,959,1013,,,Observation meteo du 2024-06-24 (ete)
MF,A,2024-06-25,15,26,47,60,2,13,988,1029,,,Observation meteo du 2024-06-25 (ete)
MF,B,2024-06-25,10,26,40,65,4,13,960,1049,,,Observation meteo du 2024-06-25 (ete)
MF,A,2024-06-26,10,26,42,61,0,13,989,1037,22,B,Observation meteo du 2024-06-26 (ete)
MF,B,2024-06-26,15,26,40,67,3,11,985,1005,,,Observation meteo du 2024-06-26 (ete)
MF,A,2024-06-27,10,28,41,66,3,10,982,1017,,,Observation meteo du 2024-06-27 (ete)
MF,B,2024-06-27,14,30,40,64,4,12,986,1031,,,Observation meteo du 2024-06-27 (ete)
MF,A,2024-06-28,14,29,45,63,2,12,987,1033,,,Observation meteo du 2024-06-28 (ete)
MF,B,2024-06-28,11,27,40,69,1,14,976,1047,,,Observation meteo du 2024-06-28 (ete)
MF,A,2024-06-29,12,25,41,66,0,10,986,1016,11,B,Observation meteo du 2024-06-29 (ete)
MF,B,2024-06-29,15,25,45,70,5,10,957,984,11,B,Observation meteo du 2024-06-29 (ete)
MF,A,2024-06-30,15,28,49,61,4,15,990,1044,,,Observation meteo du 2024-06-30 (ete)
MF,B,2024-06-30,15,28,50,60,5,12,993,1034,,,Observation meteo du 2024-06-30 (ete)
MF,A,2024-07-01,13,29,44,60,2,11,981,1003,,,Observation meteo du 2024-07-01 (ete)
MF,B,2024-07-01,11,25,50,61,4,12,965,1000,,,Observation meteo du 2024-07-01 (ete)
MF,A,2024-07-02,15,27,43,60,4,11,980,992,,,Observation meteo du 2024-07-02 (ete)
MF,B,2024-07-02,12,28,40,64,2,10,951,1019,,,Observation meteo du 2024-07-02 (ete)
MF,A,2024-07-03,10,26,45,62,4,15,958,1019,,,Observation meteo du 2024-07-03 (ete)
MF,B,2024-07-03,13,26,47,70,2,11,952,974,,,Observation meteo du 2024-07-03 (ete)
MF,A,2024-07-04,14,27,49,64,2,11,955,1019,,,Observation meteo du 2024-07-04 (ete)
MF,B,2024-07-04,12,28,42,60,3,14,992,1016,8,P,Observation meteo du 2024-07-04 (ete)
MF,A,2024-07-05,10,28,48,69,4,14,964,1027,,,Observation meteo du 2024-07-05 (ete)
MF,B,2024-07-05,12,30,45,61,4,13,999,1035,,,Observation meteo du 2024-07-05 (ete)
MF,A,2024-07-06,15,27,46,70,5,15,952,962,,,Observation meteo du 2024-07-06 (ete)
MF,B,2024-07-06,10,29,43,67,0,11,999,1019,,,Observation meteo du 2024-07-06 (ete)
MF,A,2024-07-07,11,27,43,69,2,15,950,989,,,Observation meteo du 2024-07-07 (ete)
MF,B,2024-07-07,10,30,47,65,4,12,990,1009,,,Observation meteo du 2024-07-07 (ete)
MF,A,2024-07-08,14,28,41,69,5,13,952,1011,,,Observation meteo du 2024-07-08 (ete)
MF,B,2024-07-08,11,29,50,68,5,14,952,975,,,Observation meteo du 2024-07-08 (ete)
MF,A,2024-07-09,12,26,46,63,2,14,969,990,19,P,Observation meteo du 2024-07-09 (ete)
MF,B,2024-07-09,10,29,48,68,4,11,996,1030,,,Observation meteo du 2024-07-09 (ete)
MF,A,2024-07-10,14,25,41,60,5,14,962,1037,,,Observation meteo du 2024-07-10 (ete)
MF,B,2024-07-10,15,27,45,62,4,11,977,1010,,,Observation meteo du 2024-07-10 (ete)
MF,A,2024-07-11,11,30,42,65,2,14,953,1044,,,Observation meteo du 2024-07-11 (ete)
MF,B,2024-07-11,13,27,48,69,5,12,983,1019,,,Observation meteo du 2024-07-11 (ete)
MF,A,2024-07-12,15,28,49,70,2,11,975,1043,,,Observation meteo du 2024-07-12 (ete)
MF,B,2024-07-12,13,27,44,67,5,13,975,1037,25,B,Observation meteo du 2024-07-12 (ete)
MF,A,2024-07-13,10,26,43,66,3,14,985,995,,,Observation meteo du 2024-07-13 (ete)
MF,B,2024-07-13,14,25,49,67,4,14,981,1022,,,Observation meteo du 2024-07-13 (ete)
MF,A,2024-07-14,15,27,46,67,2,15,998,1022,,,Observation meteo du 2024-07-14 (ete)
MF,B,2024-07-14,10,28,48,68,4,11,994,1034,,,Observation meteo du 2024-07-14 (ete)
MF,A,2024-07-15,11,27,47,65,3,14,998,1048,8,B,Observation meteo du 2024-07-15 (ete)
MF,B,2024-07-15,15,28,49,67,2,14,994,1021,,,Observation meteo du 2024-07-15 (ete)
MF,A,2024-07-16,12,26,46,62,2,13,993,1006,,,Observation meteo du 2024-07-16 (ete)
MF,B,2024-07-16,14,30,43,70,2,11,954,1010,,,Observation meteo du 2024-07-16 (ete)
MF,A,2024-07-17,14,26,49,69,1,12,952,1044,,,Observation meteo du 2024-07-17 (ete)
MF,B,2024-07-17,15,28,46,64,4,14,973,1022,,,Observation meteo du 2024-07-17 (ete)
MF,A,2024-07-18,12,28,40,61,3,13,988,1030,,,Observation meteo du 2024-07-18 (ete)
MF,B,2024-07-18,10,25,43,62,0,14,991,1012,,,Observation meteo du 2024-07-18 (ete)
MF,A,2024-07-19,10,26,46,67,5,11,968,984,,,Observation meteo du 2024-07-19 (ete)
MF,B,2024-07-19,13,28,45,62,4,10,999,1036,,,Observation meteo du 2024-07-19 (ete)
MF,A,2024-07-20,14,26,50,62,4,12,989,1047,,,Observation meteo du 2024-07-20 (ete)
MF,B,2024-07-20,10,26,48,63,4,15,986,1005,,,Observation meteo du 2024-07-20 (ete)
MF,A,2024-07-21,10,29,44,60,0,12,961,1001,10,P,Observation meteo du 2024-07-21 (ete)
MF,B,2024-07-21,11,28,49,64,4,11,981,1047,,,Observation meteo du 2024-07-21 (ete)
MF,A,2024-07-22,13,27,43,62,3,14,976,1016,,,Observation meteo du 2024-07-22 (ete)
MF,B,2024-07-22,15,28,40,62,3,13,957,984,,,Observation meteo du 2024-07-22 (ete)
MF,A,2024-07-23,12,29,44,67,5,12,989,1008,16,P,Observation meteo du 2024-07-23 (ete)
MF,B,2024-07-23,15,29,49,62,0,15,994,1030,,,Observation meteo du 2024-07-23 (ete)
MF,A,2024-07-24,14,26,40,70,4,10,960,1000,,,Observation meteo du 2024-07-24 (ete)
MF,B,2024-07-24,14,28,48,66,2,12,961,986,,,Observation meteo du 2024-07-24 (ete)
MF,A,2024-07-25,14,28,42,62,2,15,980,1006,8,B,Observation meteo du 2024-07-25 (ete)
MF,B,2024-07-25,15,26,45,67,5,15,970,1024,,,Observation meteo du 2024-07-25 (ete)
MF,A,2024-07-26,12,26,43,69,4,10,971,1004,,,Observation meteo du 2024-07-26 (ete)
MF,B,2024-07-26,10,29,48,68,0,13,960,1024,,,Observation meteo du 2024-07-26 (ete)
MF,A,2024-07-27,15,26,47,61,3,14,950,1047,,,Observation meteo du 2024-07-27 (ete)
MF,B,2024-07-27,14,26,49,60,3,12,996,1014,,,Observation meteo du 2024-07-27 (ete)
MF,A,2024-07-28,12,30,49,68,5,11,995,1015,,,Observation meteo du 2024-07-28 (ete)
MF,B,2024-07-28,10,30,49,66,0,13,983,1032,,,Observation meteo du 2024-07-28 (ete)
MF,A,2024-07-29,15,30,41,60,0,13,957,1045,,,Observation meteo du 2024-07-29 (ete)
MF,B,2024-07-29,15,25,47,68,2,12,967,1047,22,B,Observation meteo du 2024-07-29 (ete)
MF,A,2024-07-30,14,30,48,68,4,13,991,1026,15,B,Observation meteo du 2024-07-30 (ete)
MF,B,2024-07-30,13,29,46,70,3,10,975,1007,,,Observation meteo du 2024-07-30 (ete)
MF,A,2024-07-31,10,26,40,67,3,15,973,1014,,,Observation meteo du 2024-07-31 (ete)
MF,B,2024-07-31,10,26,40,67,1,14,981,1012,,,Observation meteo du 2024-07-31 (ete)
MF,A,2024-08-01,14,26,40,67,0,13,958,1040,,,Observation meteo du 2024-08-01 (ete)
MF,B,2024-08-01,13,28,46,60,3,10,986,1044,,,Observation meteo du 2024-08-01 (ete)
MF,A,2024-08-02,14,30,44,63,3,12,963,996,,,Observation meteo du 2024-08-02 (ete)
MF,B,2024-08-02,10,29,50,64,2,10,955,1021,,,Observation meteo du 2024-08-02 (ete)
MF,A,2024-08-03,11,29,49,70,5,14,1000,1010,,,Observation meteo du 2024-08-03 (ete)
MF,B,2024-08-03,12,25,47,68,3,10,967,1043,,,Observation meteo du 2024-08-03 (ete)
MF,A,2024-08-04,12,27,48,64,2,15,969,1019,,,Observation meteo du 2024-08-04 (ete)
MF,B,2024-08-04,10,25,41,63,4,12,960,1007,,,Observation meteo du 2024-08-04 (ete)
MF,A,2024-08-05,13,26,44,60,4,12,953,1033,10,B,Observation meteo du 2024-08-05 (ete)
MF,B,2024-08-05,10,26,49,68,0,12,952,1008,,,Observation meteo du 2024-08-05 (ete)
MF,A,2024-08-06,14,29,50,62,3,14,973,997,,,Observation meteo du 2024-08-06 (ete)
MF,B,2024-08-06,11,26,48,70,2,15,992,1004,,,Observation meteo du 2024-08-06 (ete)
MF,A,2024-08-07,10,26,47,65,0,11,984,1050,,,Observation meteo du 2024-08-07 (ete)
MF,B,2024-08-07,10,29,46,69,3,10,967,979,,,Observation meteo du 2024-08-07 (ete)
MF,A,2024-08-08,10,26,43,66,4,14,972,1000,10,B,Observation meteo du 2024-08-08 (ete)
MF,B,2024-08-08,13,26,43,64,1,14,989,1019,,,Observation meteo du 2024-08-08 (ete)
MF,A,2024-08-09,10,30,48,66,3,14,951,978,,,Observation meteo du 2024-08-09 (ete)
MF,B,2024-08-09,11,25,49,63,4,11,962,984,,,Observation meteo du 2024-08-09 (ete)
MF,A,2024-08-10,15,26,44,67,0,12,958,979,,,Observation meteo du 2024-08-10 (ete)
MF,B,2024-08-10,11,29,50,62,2,14,969,1045,,,Observation meteo du 2024-08-10 (ete)
MF,A,2024-08-11,12,25,49,64,1,10,994,1025,19,B,Observation meteo du 2024-08-11 (ete)
MF,B,2024-08-11,14,25,40,61,4,12,973,1038,,,Observation meteo du 2024-08-11 (ete)
MF,A,2024-08-12,14,27,46,61,1,14,990,1025,,,Observation meteo du 2024-08-12 (ete)
MF,B,2024-08-12,10,28,40,66,1,15,958,980,,,Observation meteo du 2024-08-12 (ete)
MF,A,2024-08-13,14,27,45,65,5,13,969,980,,,Observation meteo du 2024-08-13 (ete)
MF,B,2024-08-13,12,27,41,70,4,12,985,1020,,,Observation meteo du 2024-08-13 (ete)
MF,A,2024-08-14,10,30,50,66,0,13,958,974,,,Observation meteo du 2024-08-14 (ete)
MF,B,2024-08-14,12,27,45,63,1,12,978,1048,23,P,Observation meteo du 2024-08-14 (ete)
MF,A,2024-08-15,13,29,49,64,4,15,988,1011,,,Observation meteo du 2024-08-15 (ete)
MF,B,2024-08-15,10,28,45,65,5,14,951,1001,,,Observation meteo du 2024-08-15 (ete)
MF,A,2024-08-16,13,25,46,63,1,14,972,987,5,B,Observation meteo du 2024-08-16 (ete)
MF,B,2024-08-16,15,30,41,61,4,13,986,1026,,,Observation meteo du 2024-08-16 (ete)
MF,A,2024-08-17,14,26,41,63,3,13,950,1013,,,Observation meteo du 2024-08-17 (ete)
MF,B,2024-08-17,12,28,47,69,4,12,969,992,6,B,Observation meteo du 2024-08-17 (ete)
MF,A,2024-08-18,15,29,46,61,0,10,975,1032,,,Observation meteo du 2024-08-18 (ete)
MF,B,2024-08-18,12,26,50,61,1,14,1000,1028,,,Observation meteo du 2024-08-18 (ete)
MF,A,2024-08-19,10,28,48,68,0,10,965,1043,17,B,Observation meteo du 2024-08-19 (ete)
MF,B,2024-08-19,13,25,41,67,1,11,986,1034,,,Observation meteo du 2024-08-19 (ete)
MF,A,2024-08-20,15,27,48,66,4,10,984,995,,,Observation meteo du 2024-08-20 (ete)
MF,B,2024-08-20,14,25,44,60,0,10,1000,1037,,,Observation meteo du 2024-08-20 (ete)
MF,A,2024-08-21,14,28,44,67,3,13,990,1006,,,Observation meteo du 2024-08-21 (ete)
MF,B,2024-08-21,12,25,40,61,2,15,960,992,22,P,Observation meteo du 2024-08-21 (ete)
MF,A,2024-08-22,15,26,48,61,5,14,957,1020,,,Observation meteo du 2024-08-22 (ete)
MF,B,2024-08-22,12,28,41,70,1,12,967,1012,5,P,Observation meteo du 2024-08-22 (ete)
MF,A,2024-08-23,12,28,47,65,1,15,975,993,,,Observation meteo du 2024-08-23 (ete)
MF,B,2024-08-23,12,30,48,63,1,11,981,994,,,Observation meteo du 2024-08-23 (ete)
MF,A,2024-08-24,15,28,45,62,1,14,998,1027,,,Observation meteo du 2024-08-24 (ete)
MF,B,2024-08-24,15,29,43,60,1,10,957,1035,14,B,Observation meteo du 2024-08-24 (ete)
MF,A,2024-08-25,14,26,50,69,2,12,973,993,12,P,Observation meteo du 2024-08-25 (ete)
MF,B,2024-08-25,13,27,43,64,4,11,961,1000,12,P,Observation meteo du 2024-08-25 (ete)
MF,A,2024-08-26,12,30,44,66,5,13,975,1034,,,Observation meteo du 2024-08-26 (ete)
MF,B,2024-08-26,15,25,41,65,4,11,965,1011,21,P,Observation meteo du 2024-08-26 (ete)
MF,A,2024-08-27,11,28,48,62,0,13,988,1021,,,Observation meteo du 2024-08-27 (ete)
MF,B,2024-08-27,15,27,44,66,2,15,983,1004,,,Observation meteo du 2024-08-27 (ete)
MF,A,2024-08-28,15,27,41,64,1,15,996,1018,,,Observation meteo du 2024-08-28 (ete)
MF,B,2024-08-28,13,26,45,70,2,12,956,1043,,,Observation meteo du 2024-08-28 (ete)
MF,A,2024-08-29,12,28,41,67,3,10,960,986,,,Observation meteo du 2024-08-29 (ete)
MF,B,2024-08-29,11,29,45,67,1,15,965,1024,,,Observation meteo du 2024-08-29 (ete)
MF,A,2024-08-30,11,27,50,61,1,11,954,975,,,Observation meteo du 2024-08-30 (ete)
MF,B,2024-08-30,11,25,40,64,5,12,954,1030,22,P,Observation meteo du 2024-08-30 (ete)
MF,A,2024-08-31,11,26,41,69,3,11,988,1015,,,Observation meteo du 2024-08-31 (ete)
MF,B,2024-08-31,15,29,40,67,0,15,990,1019,,,Observation meteo du 2024-08-31 (ete)
MF,A,2024-09-01,4,20,68,79,9,29,966,979,26,P,Observation meteo du 2024-09-01 (automne)
MF,B,2024-09-01,4,19,68,81,10,29,977,990,,,Observation meteo du 2024-09-01 (automne)
MF,A,2024-09-02,4,20,63,76,8,27,956,1050,21,B,Observation meteo du 2024-09-02 (automne)
MF,B,2024-09-02,0,17,63,79,7,26,985,1025,18,P,Observation meteo du 2024-09-02 (automne)
MF,A,2024-09-03,1,19,68,75,8,25,1000,1026,24,B,Observation meteo du 2024-09-03 (automne)
MF,B,2024-09-03,1,20,63,84,10,26,972,998,,,Observation meteo du 2024-09-03 (automne)
MF,A,2024-09-04,2,20,68,77,6,25,975,1046,18,P,Observation meteo du 2024-09-04 (automne)
MF,B,2024-09-04,0,16,62,77,5,26,995,1034,12,B,Observation meteo du 2024-09-04 (automne)
MF,A,2024-09-05,3,19,68,81,9,28,1000,1025,,,Observation meteo du 2024-09-05 (automne)
MF,B,2024-09-05,4,15,62,85,6,26,973,1042,19,B,Observation meteo du 2024-09-05 (automne)
MF,A,2024-09-06,3,16,67,75,8,25,978,1006,8,B,Observation meteo du 2024-09-06 (automne)
MF,B,2024-09-06,5,18,66,75,9,27,986,1016,,,Observation meteo du 2024-09-06 (automne)
MF,A,2024-09-07,3,20,63,77,6,30,961,973,,,Observation meteo du 2024-09-07 (automne)
MF,B,2024-09-07,4,16,65,85,7,28,980,1018,9,B,Observation meteo du 2024-09-07 (automne)
MF,A,2024-09-08,4,17,61,76,9,29,968,1041,4,P,Observation meteo du 2024-09-08 (automne)
MF,B,2024-09-08,3,17,63,83,10,30,989,1028,26,B,Observation meteo du 2024-09-08 (automne)
MF,A,2024-09-09,5,18,65,84,8,29,951,1030,,,Observation meteo du 2024-09-09 (automne)
MF,B,2024-09-09,4,20,64,79,10,25,968,991,,,Observation meteo du 2024-09-09 (automne)
MF,A,2024-09-10,0,17,69,78,10,27,985,1026,,,Observation meteo du 2024-09-10 (automne)
MF,B,2024-09-10,5,16,60,85,10,25,989,1014,28,P,Observation meteo du 2024-09-10 (automne)
MF,A,2024-09-11,2,18,66,84,5,28,991,1030,,,Observation meteo du 2024-09-11 (automne)
