date,site_id,zone_id,hum_min,hum_max
2024-06-27,MF,A,41,66
2024-06-27,MF,B,40,64
2024-06-28,MF,A,45,63
2024-06-28,MF,B,40,69
2024-06-29,MF,A,41,66
2024-06-29,MF,B,45,70
2024-06-30,MF,A,49,61
2024-06-30,MF,B,50,60
2024-07-01,MF,A,44,60
2024-07-01,MF,B,50,61
2024-07-02,MF,A,43,60
2024-07-02,MF,B,40,64
2024-07-03,MF,A,45,62
2024-07-03,MF,B,47,70
2024-07-04,MF,A,49,64
2024-07-04,MF,B,42,60
2024-07-05,MF,A,48,69
2024-07-05,MF,B,45,61
2024-07-06,MF,A,46,70
2024-07-06,MF,B,43,67
2024-07-07,MF,A,43,69
2024-07-07,MF,B,47,65
2024-07-08,MF,A,41,69
2024-07-08,MF,B,50,68
2024-07-09,MF,A,46,63
2024-07-09,MF,B,48,68
2024-07-10,MF,A,41,60
2024-07-10,MF,B,45,62
2024-07-11,MF,A,42,65
2024-07-11,MF,B,48,69
2024-07-12,MF,A,49,70
2024-07-12,MF,B,44,67
2024-07-13,MF,A,43,66
2024-07-13,MF,B,49,67
2024-07-14,MF,A,46,67
2024-07-14,MF,B,48,68
2024-07-15,MF,A,47,65
2024-07-15,MF,B,49,67
2024-07-16,MF,A,46,62
2024-07-16,MF,B,43,70
2024-07-17,MF,A,49,69
2024-07-17,MF,B,46,64
2024-07-18,MF,A,40,61
2024-07-18,MF,B,43,62
2024-07-19,MF,A,46,67
2024-07-19,MF,B,45,62
2024-07-20,MF,A,50,62
2024-07-20,MF,B,48,63
2024-07-21,MF,A,44,60
2024-07-21,MF,B,49,64
2024-07-22,MF,A,43,62
2024-07-22,MF,B,40,62
2024-07-23,MF,A,44,67
2024-07-23,MF,B,49,62
2024-07-24,MF,A,40,70
2024-07-24,MF,B,48,66
2024-07-25,MF,A,42,62
2024-07-25,MF,B,45,67
2024-07-26,MF,A,43,69
2024-07-26,MF,B,48,68
2024-07-27,MF,A,47,61
2024-07-27,MF,B,49,60
2024-07-28,MF,A,49,68
2024-07-28,MF,B,49,66
2024-07-29,MF,A,41,60
2024-07-29,MF,B,47,68
2024-07-30,MF,A,48,68
2024-07-30,MF,B,46,70
2024-07-31,MF,A,40,67
2024-07-31,MF,B,40,67
2024-08-01,MF,A,40,67
2024-08-01,MF,B,46,60
2024-08-02,MF,A,44,63
2024-08-02,MF,B,50,64
2024-08-03,MF,A,49,70
2024-08-03,MF,B,47,68
2024-08-04,MF,A,48,64
2024-08-04,MF,B,41,63
2024-08-05,MF,A,44,60
2024-08-05,MF,B,49,68
2024-08-06,MF,A,50,62
2024-08-06,MF,B,48,70
2024-08-07,MF,A,47,65
2024-08-07,MF,B,46,69
2024-08-08,MF,A,43,66
2024-08-08,MF,B,43,64
2024-08-09,MF,A,48,66
2024-08-09,MF,B,49,63
2024-08-10,MF,A,44,67
2024-08-10,MF,B,50,62
2024-08-11,MF,A,49,64
2024-08-11,MF,B,40,61
2024-08-12,MF,A,46,61
2024-08-12,MF,B,40,66
2024-08-13,MF,A,45,65
2024-08-13,MF,B,41,70
2024-08-14,MF,A,50,66
2024-08-14,MF,B,45,63
2024-08-15,MF,A,49,64
2024-08-15,MF,B,45,65
2024-08-16,MF,A,46,63
2024-08-16,MF,B,41,61
2024-08-17,MF,A,41,63
2024-08-17,MF,B,47,69
2024-08-18,MF,A,46,61
2024-08-18,MF,B,50,61
2024-08-19,MF,A,48,68
2024-08-19,MF,B,41,67
2024-08-20,MF,A,48,66
2024-08-20,MF,B,44,60
2024-08-21,MF,A,44,67
2024-08-21,MF,B,40,61
2024-08-22,MF,A,48,61
2024-08-22,MF,B,41,70
2024-08-23,MF,A,47,65
2024-08-23,MF,B,48,63
2024-08-24,MF,A,45,62
2024-08-24,MF,B,43,60
2024-08-25,MF,A,50,69
2024-08-25,MF,B,43,64
2024-08-26,MF,A,44,66
2024-08-26,MF,B,41,65
2024-08-27,MF,A,48,62
2024-08-27,MF,B,44,66
2024-08-28,MF,A,41,64
2024-08-28,MF,B,45,70
2024-08-29,MF,A,41,67
2024-08-29,MF,B,45,67
2024-08-30,MF,A,50,61
2024-08-30,MF,B,40,64
2024-08-31,MF,A,41,69
2024-08-31,MF,B,40,67
2024-09-01,MF,A,68,79
2024-09-01,MF,B,68,81
2024-09-02,MF,A,63,76
2024-09-02,MF,B,63,79
2024-09-03,MF,A,68,75
2024-09-03,MF,B,63,84
2024-09-04,MF,A,68,77
2024-09-04,MF,B,62,77
2024-09-05,MF,A,68,81
2024-09-05,MF,B,62,85
2024-09-06,MF,A,67,75
2024-09-06,MF,B,66,75
2024-09-07,MF,A,63,77
2024-09-07,MF,B,65,85
2024-09-08,MF,A,61,76
2024-09-08,MF,B,63,83
2024-09-09,MF,A,65,84
2024-09-09,MF,B,64,79
2024-09-10,MF,A,69,78
2024-09-10,MF,B,60,85
2024-09-11,MF,A,66,84
2024-09-11,MF,B,63,83
2024-09-12,MF,A,69,75
2024-09-12,MF,B,60,80
2024-09-13,MF,A,65,80
2024-09-13,MF,B,66,79
2024-09-14,MF,A,68,75
2024-09-14,MF,B,68,78
2024-09-15,MF,A,70,83
2024-09-15,MF,B,65,81
2024-09-16,MF,A,70,84
2024-09-16,MF,B,63,83
2024-09-17,MF,A,64,85
2024-09-17,MF,B,64,78
2024-09-18,MF,A,63,75
2024-09-18,MF,B,69,80
2024-09-19,MF,A,70,77
2024-09-19,MF,B,61,78
2024-09-20,MF,A,65,79
2024-09-20,MF,B,63,75
2024-09-21,MF,A,65,77
2024-09-21,MF,B,63,79
2024-09-22,MF,A,63,76
2024-09-22,MF,B,64,83
2024-09-23,MF,A,69,79
2024-09-23,MF,B,64,76
2024-09-24,MF,A,61,77
2024-09-24,MF,B,61,81
2024-09-25,MF,A,62,79
2024-09-25,MF,B,61,83
2024-09-26,MF,A,62,82
2024-09-26,MF,B,65,85
2024-09-27,MF,A,62,82
2024-09-27,MF,B,65,76
2024-09-28,MF,A,60,81
2024-09-28,MF,B,63,81
2024-09-29,MF,A,67,78
2024-09-29,MF,B,66,81
2024-09-30,MF,A,67,81
2024-09-30,MF,B,70,83
