id_interne_placette,date,type_obstruction,hauteur,taux
19,2017-05-15,Conifère,1,32.20
20,2017-10-15,Conifère,2,22.75
20,2017-10-15,Conifère,1,14.69
20,2017-09-15,Conifère,2,21.21
20,2017-09-15,Conifère,1,32.79
20,2017-08-15,Conifère,2,41.29
20,2017-08-15,Conifère,1,44.33
20,2017-07-15,Conifère,2,20.12
20,2017-07-15,Conifère,1,38.80
20,2017-06-15,Conifère,2,18.25
20,2017-06-15,Conifère,1,43.59
20,2017-05-15,Conifère,2,26.81
20,2017-05-15,Conifère,1,37.88
22,2017-10-15,Conifère,2,15.88
22,2017-10-15,Conifère,1,49.98
22,2017-09-15,Conifère,2,30.76
22,2017-09-15,Conifère,1,12.24
22,2017-08-15,Conifère,2,22.73
22,2017-08-15,Conifère,1,21.01
22,2017-07-15,Conifère,2,19.41
22,2017-07-15,Conifère,1,12.71
22,2017-06-15,Conifère,2,22.70
22,2017-06-15,Conifère,1,32.95
22,2017-05-15,Conifère,2,27.56
22,2017-05-15,Conifère,1,12.74
23,2017-10-15,Conifère,2,25.63
23,2017-10-15,Conifère,1,13.27
23,2017-09-15,Conifère,2,25.18
23,2017-09-15,Conifère,1,26.26
23,2017-08-15,Conifère,2,33.01
23,2017-08-15,Conifère,1,10.20
23,2017-07-15,Conifère,2,40.94
23,2017-07-15,Conifère,1,42.21
23,2017-06-15,Conifère,2,15.43
23,2017-06-15,Conifère,1,44.33
23,2017-05-15,Conifère,2,27.66
23,2017-05-15,Conifère,1,47.60
24,2017-10-15,Conifère,2,37.93
24,2017-10-15,Conifère,1,48.58
24,2017-09-15,Conifère,2,14.71
24,2017-09-15,Conifère,1,37.41
24,2017-08-15,Conifère,2,29.37
24,2017-08-15,Conifère,1,26.51
24,2017-07-15,Conifère,2,35.66
24,2017-07-15,Conifère,1,32.48
24,2017-06-15,Conifère,2,21.07
24,2017-06-15,Conifère,1,47.80
24,2017-05-15,Conifère,2,18.94
24,2017-05-15,Conifère,1,10.64
25,2017-10-15,Conifère,2,10.53
25,2017-10-15,Conifère,1,38.35
25,2017-09-15,Conifère,2,47.01
25,2017-09-15,Conifère,1,15.69
25,2017-08-15,Conifère,2,24.80
25,2017-08-15,Conifère,1,45.79
25,2017-07-15,Conifère,2,38.40
25,2017-07-15,Conifère,1,22.58
25,2017-06-15,Conifère,2,31.19
25,2017-06-15,Conifère,1,30.12
25,2017-05-15,Conifère,2,40.82
25,2017-05-15,Conifère,1,13.33
