plant_id,date_decouverte
MMB3035,2017-05-15
MMA1011,2017-05-15
MMA3096,2017-05-15
MMB3045,2017-05-15
MMB2056,2017-05-15
MMB2029,2017-05-15
MMB3098,2017-05-15
MMB4097,2017-05-15
MMA4099,2017-05-15
MMA2028,2017-05-15
MMA4022,2017-05-15
MMB3087,2017-05-15
MMB2100,2017-05-15
MMB2008,2017-05-15
MMB4072,2017-05-15
MMB4084,2017-05-15
MMB4045,2017-05-15
MMA1075,2017-05-15
MMA2032,2017-05-15
MMB1052,2017-05-15
MMB4031,2017-05-15
MMB3071,2017-05-15
MMB3018,2017-05-15
MMB2028,2017-05-15
MMA4063,2017-05-15
MMA3062,2017-05-15
MMA3086,2017-05-15
MMB4087,2017-05-15
MMB4080,2017-05-15
MMB2048,2017-05-15
MMB1006,2017-05-15
MMA1066,2017-05-15
MMA1041,2017-05-15
MMB4096,2017-05-15
MMA2093,2017-05-15
MMA2089,2017-05-15
MMA1009,2017-05-15
MMA2013,2017-05-15
MMB2052,2017-05-15
MMA2034,2017-05-15
MMB3093,2017-05-15
MMA2004,2017-05-15
MMA4014,2017-05-15
MMA2042,2017-05-15
MMA1071,2017-05-15
MMA3093,2017-05-15
MMA3011,2017-05-15
MMA2014,2017-05-15
MMA2018,2017-05-15
MMA4055,2017-05-15
MMA3017,2017-05-15
MMA4039,2017-05-15
MMB2040,2017-05-15
MMA3063,2017-05-15
MMB3099,2017-05-15
MMB1083,2017-05-15
MMA1016,2017-05-15
MMA3055,2017-05-15
MMA2011,2017-05-15
MMA3100,2017-05-15
MMB1089,2017-05-15
MMA4011,2017-05-15
MMB3077,2017-05-15
MMA4040,2017-05-15
MMB4063,2017-05-15
MMB2035,2017-05-15
MMB4008,2017-05-15
MMA3060,2017-05-15
MMA1047,2017-05-15
MMB4036,2017-05-15
MMB3090,2017-05-15
MMB3049,2017-05-15
MMA1003,2017-05-15
MMB2081,2017-05-15
MMB3036,2017-05-15
MMB1003,2017-05-15
MMB3069,2017-05-15
MMB2009,2017-05-15
MMB2053,2017-05-15
MMB2016,2017-05-15
MMB3041,2017-05-15
MMA2016,2017-05-15
MMB2078,2017-05-15
MMA1054,2017-05-15
MMB3050,2017-05-15
MMB3044,2017-05-15
MMA1094,2017-05-15
MMB2060,2017-05-15
MMB4032,2017-05-15
MMB3002,2017-05-15
MMB4013,2017-05-15
MMB4037,2017-05-15
MMB3001,2017-05-15
MMB1020,2017-05-15
MMB4041,2017-05-15
MMB2089,2017-05-15
MMB2082,2017-05-15
MMB1012,2017-05-15
MMA1081,2017-05-15
MMB1039,2017-05-15
MMA4042,2017-05-15
MMA2061,2017-05-15
MMB1011,2017-05-15
MMA1077,2017-05-15
MMB2036,2017-05-15
MMA3098,2017-05-15
MMB2094,2017-05-15
MMB2032,2017-05-15
MMB1045,2017-05-15
MMA1072,2017-05-15
MMB3061,2017-05-15
MMB4074,2017-05-15
MMA3097,2017-05-15
MMA3045,2017-05-15
MMB1063,2017-05-15
MMB1015,2017-05-15
MMA4052,2017-05-15
MMB4068,2017-05-15
MMA2049,2017-05-15
MMA1042,2017-05-15
MMB4035,2017-05-15
MMA3032,2017-05-15
MMA3019,2017-05-15
MMA3010,2017-05-15
MMB4051,2017-05-15
MMB1041,2017-05-15
MMB2093,2017-05-15
MMA4076,2017-05-15
MMB4048,2017-05-15
MMB3051,2017-05-15
MMB2067,2017-05-15
MMB1062,2017-05-15
MMB2086,2017-05-15
MMB2030,2017-05-15
MMB3015,2017-05-15
MMB1092,2017-05-15
MMB2012,2017-05-15
MMA2070,2017-05-15
MMA1021,2017-05-15
MMB2021,2017-05-15
MMA1024,2017-05-15
MMA3021,2017-05-15
MMA3008,2017-05-15
MMB3092,2017-05-15
MMB1005,2017-05-15
MMA2092,2017-05-15
MMB4098,2017-05-15
MMB4015,2017-05-15
MMA2007,2017-05-15
MMB2042,2017-05-15
MMB2039,2017-05-15
MMB1087,2017-05-15
MMA3044,2017-05-15
MMA1097,2017-05-15
MMA3061,2017-05-15
MMA3051,2017-05-15
MMB2031,2017-05-15
MMA3069,2017-05-15
MMA4091,2017-05-15
MMA2020,2017-05-15
MMB3022,2017-05-15
MMB2068,2017-05-15
MMB4040,2017-05-15
MMA4029,2017-05-15
MMB3082,2017-05-15
MMA4054,2017-05-15
MMA3091,2017-05-15
MMB2073,2017-05-15
MMB1016,2017-05-15
MMB3033,2017-05-15
MMB1082,2017-05-15
MMB4003,2017-05-15
MMB2043,2017-05-15
MMA1089,2017-05-15
MMB1076,2017-05-15
MMA1074,2017-05-15
MMB3072,2017-05-15
MMB4083,2017-05-15
MMB3006,2017-05-15
MMB2059,2017-05-15
MMB2091,2017-05-15
MMB4054,2017-05-15
MMB1057,2017-05-15
MMB4044,2017-05-15
MMA4027,2017-05-15
MMB4021,2017-05-15
MMA3002,2017-05-15
MMA4021,2017-05-15
MMA1020,2017-05-15
MMA4025,2017-05-15
MMA3040,2017-05-15
MMB2046,2017-05-15
MMA2084,2017-05-15
MMB3096,2017-05-15
MMA1045,2017-05-15
MMB4078,2017-05-15
MMB4019,2017-05-15
MMB3067,2017-05-15
MMA4057,2017-05-15
MMB2004,2017-05-15
MMB1008,2017-05-15
MMB3063,2017-05-15
MMA3072,2017-05-15
MMB3091,2017-05-15
MMA3049,2017-05-15
MMB4011,2017-05-15
MMA1039,2017-05-15
MMA2035,2017-05-15
MMB2027,2017-05-15
MMB1031,2017-05-15
MMB1002,2017-05-15
MMB4009,2017-05-15
MMA1100,2017-05-15
MMB4027,2017-05-15
MMA1002,2017-05-15
MMA3050,2017-05-15
MMA2050,2017-05-15
MMA2012,2017-05-15
MMA4086,2017-05-15
MMB2099,2017-05-15
MMA3089,2017-05-15
MMB3079,2017-05-15
MMB2050,2017-05-15
MMA1040,2017-05-15
MMB3064,2017-05-15
MMB2092,2017-05-15
MMB1004,2017-05-15
MMA3078,2017-05-15
MMA4075,2017-05-15
MMB3043,2017-05-15
MMA1033,2017-05-15
MMA3003,2017-05-15
MMA1006,2017-05-15
MMB3010,2017-05-15
MMA3079,2017-05-15
MMB3056,2017-05-15
MMA1095,2017-05-15
MMA4031,2017-05-15
MMB2017,2017-05-15
MMB1040,2017-05-15
MMA3034,2017-05-15
MMB3048,2017-05-15
MMB3034,2017-05-15
MMB2084,2017-05-15
MMA4071,2017-05-15
MMA3077,2017-05-15
MMA3073,2017-05-15
MMB2058,2017-05-15
MMA1098,2017-05-15
MMA4061,2017-05-15
MMA4001,2017-05-15
MMB1007,2017-05-15
MMA1001,2017-05-15
MMB4004,2017-05-15
MMB2076,2017-05-15
MMB1096,2017-05-15
MMA3092,2017-05-15
MMB3047,2017-05-15
MMB4100,2017-05-15
MMA2090,2017-05-15
MMA3014,2017-05-15
MMB4026,2017-05-15
MMA1053,2017-05-15
MMA3094,2017-05-15
MMB4006,2017-05-15
MMA2091,2017-05-15
MMB1036,2017-05-15
MMA4074,2017-05-15
MMA1052,2017-05-15
MMB4024,2017-05-15
MMA1090,2017-05-15
MMA1030,2017-05-15
MMB2049,2017-05-15
MMA3064,2017-05-15
MMB2077,2017-05-15
MMA1056,2017-05-15
MMA3009,2017-05-15
MMB4010,2017-05-15
MMB3089,2017-05-15
MMB1079,2017-05-15
MMB1001,2017-05-15
MMB1027,2017-05-15
MMA4059,2017-05-15
MMA2045,2017-05-15
MMB3014,2017-05-15
MMB2014,2017-05-15
MMA4096,2017-05-15
MMA4089,2017-05-15
MMA1060,2017-05-15
MMB4065,2017-05-15
MMB2005,2017-05-15
MMB1070,2017-05-15
MMB4059,2017-05-15
MMB1058,2017-05-15
MMA3067,2017-05-15
MMA2053,2017-05-15
MMB1042,2017-05-15
MMA2060,2017-05-15
MMB1074,2017-05-15
MMA4058,2017-05-15
MMA1059,2017-05-15
MMA2065,2017-05-15
MMB4060,2017-05-15
MMB3054,2017-05-15
MMA4078,2017-05-15
MMB2023,2017-05-15
MMA3071,2017-05-15
MMB2045,2017-05-15
MMA4070,2017-05-15
MMA1073,2017-05-15
MMB3031,2017-05-15
MMA3001,2017-05-15
MMB4052,2017-05-15
MMB1078,2017-05-15
MMA2094,2017-05-15
MMA2033,2017-05-15
MMB3057,2017-05-15
MMB1080,2017-05-15
MMA1058,2017-05-15
MMB2015,2017-05-15
MMA4060,2017-05-15
MMB2064,2017-05-15
MMB1046,2017-05-15
MMA2072,2017-05-15
MMB4089,2017-05-15
MMA1031,2017-05-15
MMB2034,2017-05-15
MMB4050,2017-05-15
MMA2068,2017-05-15
MMB2037,2017-05-15
MMA1091,2017-05-15
MMB1035,2017-05-15
MMA3080,2017-05-15
MMA3030,2017-05-15
MMB3038,2017-05-15
MMA1034,2017-05-15
MMA4047,2017-05-15
MMA3059,2017-05-15
MMA3081,2017-05-15
MMB4082,2017-05-15
MMA1007,2017-05-15
MMA1084,2017-05-15
MMA1076,2017-05-15
MMA2019,2017-05-15
MMB4067,2017-05-15
MMB1048,2017-05-15
MMA3087,2017-05-15
MMA3068,2017-05-15
MMB4069,2017-05-15
MMA2006,2017-05-15
MMB1072,2017-05-15
MMA2055,2017-05-15
MMA4085,2017-05-15
MMA4004,2017-05-15
MMB4091,2017-05-15
MMA1083,2017-05-15
MMB1050,2017-05-15
MMA2079,2017-05-15
MMB1090,2017-05-15
MMA1018,2017-05-15
MMA1013,2017-05-15
MMB3023,2017-05-15
MMB2003,2017-05-15
MMA4053,2017-05-15
MMB1029,2017-05-15
MMB2054,2017-05-15
MMB1086,2017-05-15
MMB1049,2017-05-15
MMB1066,2017-05-15
MMA2009,2017-05-15
MMA1015,2017-05-15
MMB2098,2017-05-15
MMB1051,2017-05-15
MMA3012,2017-05-15
MMB4043,2017-05-15
MMB2095,2017-05-15
MMA2043,2017-05-15
MMB3097,2017-05-15
MMB3032,2017-05-15
MMB3012,2017-05-15
MMB4020,2017-05-15
MMB4092,2017-05-15
MMA4016,2017-05-15
MMA2008,2017-05-15
MMB4088,2017-05-15
MMB2051,2017-05-15
MMA2097,2017-05-15
MMB3055,2017-05-15
MMA4090,2017-05-15
MMA4072,2017-05-15
MMA3058,2017-05-15
MMA2038,2017-05-15
MMA1038,2017-05-15
MMB2010,2017-05-15
MMA2081,2017-05-15
MMA1087,2017-05-15
MMA3028,2017-05-15
MMA4003,2017-05-15
MMB1030,2017-05-15
MMA2059,2017-05-15
MMA4049,2017-05-15
MMB4005,2017-05-15
MMB4061,2017-05-15
MMA2037,2017-05-15
MMB1098,2017-05-15
MMA4036,2017-05-15
MMB4094,2017-05-15
MMB3027,2017-05-15
MMA2022,2017-05-15
MMA3007,2017-05-15
MMA2095,2017-05-15
MMB3080,2017-05-15
MMA3005,2017-05-15
MMB3065,2017-05-15
MMA1099,2017-05-15
MMA1049,2017-05-15
MMB4030,2017-05-15
MMB4017,2017-05-15
MMB3026,2017-05-15
MMA4024,2017-05-15
MMB4090,2017-05-15
MMA2088,2017-05-15
MMA3013,2017-05-15
MMA4023,2017-05-15
MMB2074,2017-05-15
MMA3033,2017-05-15
MMB2044,2017-05-15
MMA3023,2017-05-15
MMB2001,2017-05-15
MMA1096,2017-05-15
MMB3073,2017-05-15
MMB1023,2017-05-15
MMA1029,2017-05-15
MMB1071,2017-05-15
MMA1037,2017-05-15
MMA3065,2017-05-15
MMA2030,2017-05-15
MMB1073,2017-05-15
MMB3017,2017-05-15
MMB1010,2017-05-15
MMA3025,2017-05-15
MMB2063,2017-05-15
MMB4071,2017-05-15
MMA2098,2017-05-15
MMA2073,2017-05-15
MMA2066,2017-05-15
MMA1085,2017-05-15
MMA1008,2017-05-15
MMA1022,2017-05-15
MMB4085,2017-05-15
MMA1032,2017-05-15
MMA1044,2017-05-15
MMA2085,2017-05-15
MMA3075,2017-05-15
MMA2058,2017-05-15
MMA3022,2017-05-15
MMB2065,2017-05-15
MMB3066,2017-05-15
MMB1025,2017-05-15
MMA4100,2017-05-15
MMA4092,2017-05-15
MMB4075,2017-05-15
MMA4087,2017-05-15
MMB2024,2017-05-15
MMB3008,2017-05-15
MMA4019,2017-05-15
MMB4099,2017-05-15
MMB4066,2017-05-15
MMB3088,2017-05-15
MMA4050,2017-05-15
MMB1038,2017-05-15
MMA2026,2017-05-15
MMB3059,2017-05-15
MMB2072,2017-05-15
MMB3024,2017-05-15
MMB4079,2017-05-15
MMB3074,2017-05-15
MMA2083,2017-05-15
MMB1055,2017-05-15
MMA4028,2017-05-15
MMA2069,2017-05-15
MMA4017,2017-05-15
MMA1088,2017-05-15
MMA1046,2017-05-15
MMA2078,2017-05-15
MMA2021,2017-05-15
MMB4002,2017-05-15
MMA2056,2017-05-15
MMA3018,2017-05-15
MMA1070,2017-05-15
MMA4026,2017-05-15
MMB3005,2017-05-15
MMB4038,2017-05-15
MMA4038,2017-05-15
MMB1060,2017-05-15
MMA3038,2017-05-15
MMA2071,2017-05-15
MMB4049,2017-05-15
MMB3068,2017-05-15
MMA3031,2017-05-15
MMA3052,2017-05-15
MMA1082,2017-05-15
MMA1067,2017-05-15
MMB2041,2017-05-15
MMA1017,2017-05-15
MMB4007,2017-05-15
MMB2018,2017-05-15
MMB1065,2017-05-15
MMB4012,2017-05-15
MMB2022,2017-05-15
MMA4037,2017-05-15
MMB1085,2017-05-15
MMB1028,2017-05-15
MMA2077,2017-05-15
MMA3066,2017-05-15
MMA2041,2017-05-15
MMA1019,2017-05-15
MMB1069,2017-05-15
MMA4006,2017-05-15
MMA1036,2017-05-15
MMA1025,2017-05-15
MMA4094,2017-05-15
MMB2075,2017-05-15
MMA1035,2017-05-15
MMB3011,2017-05-15
MMB2069,2017-05-15
MMB2066,2017-05-15
MMB4081,2017-05-15
MMB4073,2017-05-15
MMA2074,2017-05-15
MMB2085,2017-05-15
MMB2006,2017-05-15
MMA3083,2017-05-15
MMA1005,2017-05-15
MMB1077,2017-05-15
MMA1010,2017-05-15
MMA1014,2017-05-15
MMA3047,2017-05-15
MMB2087,2017-05-15
MMB4029,2017-05-15
MMB2025,2017-05-15
MMB1043,2017-05-15
MMA2003,2017-05-15
MMB3078,2017-05-15
MMA4048,2017-05-15
MMA2052,2017-05-15
MMA2046,2017-05-15
MMB1088,2017-05-15
MMB3020,2017-05-15
MMB4062,2017-05-15
MMB4014,2017-05-15
MMA3056,2017-05-15
MMB3070,2017-05-15
MMA3006,2017-05-15
MMA1048,2017-05-15
MMB1022,2017-05-15
MMB2088,2017-05-15
MMB2083,2017-05-15
MMA1063,2017-05-15
MMA1023,2017-05-15
MMB4057,2017-05-15
MMB4046,2017-05-15
MMA4068,2017-05-15
MMB1059,2017-05-15
MMA4008,2017-05-15
MMA2040,2017-05-15
MMB3004,2017-05-15
MMA3046,2017-05-15
MMB4018,2017-05-15
MMB1067,2017-05-15
MMA3016,2017-05-15
MMB4086,2017-05-15
MMA1051,2017-05-15
MMA3076,2017-05-15
MMA4046,2017-05-15
MMA3054,2017-05-15
MMB3028,2017-05-15
MMB1053,2017-05-15
MMA3020,2017-05-15
MMB1009,2017-05-15
MMB4053,2017-05-15
MMA2015,2017-05-15
MMB2080,2017-05-15
MMB1084,2017-05-15
MMA2017,2017-05-15
MMA3090,2017-05-15
MMB3039,2017-05-15
MMB3007,2017-05-15
MMA2067,2017-05-15
MMB2055,2017-05-15
MMB2062,2017-05-15
MMB1094,2017-05-15
MMA3057,2017-05-15
MMB3030,2017-05-15
MMB4076,2017-05-15
MMA1065,2017-05-15
MMA4065,2017-05-15
MMA4010,2017-05-15
MMB3081,2017-05-15
MMA4013,2017-05-15
MMA1069,2017-05-15
MMA1028,2017-05-15
MMB3086,2017-05-15
MMA4093,2017-05-15
MMA4020,2017-05-15
MMB3062,2017-05-15
MMB3040,2017-05-15
MMB1099,2017-05-15
MMA3026,2017-05-15
MMB3003,2017-05-15
MMB1081,2017-05-15
MMB1013,2017-05-15
MMB1033,2017-05-15
MMA4043,2017-05-15
MMB4047,2017-05-15
MMA4077,2017-05-15
MMB2096,2017-05-15
MMA1057,2017-05-15
MMB4033,2017-05-15
MMA2027,2017-05-15
MMA3053,2017-05-15
MMA1050,2017-05-15
MMA4051,2017-05-15
MMA2096,2017-05-15
MMA4002,2017-05-15
MMA3015,2017-05-15
MMB4056,2017-05-15
MMB2047,2017-05-15
MMB2038,2017-05-15
MMA3085,2017-05-15
MMA2031,2017-05-15
MMA4032,2017-05-15
MMB4025,2017-05-15
MMA3037,2017-05-15
MMB3016,2017-05-15
MMA3043,2017-05-15
MMB4055,2017-05-15
MMB1093,2017-05-15
MMA3041,2017-05-15
MMA2087,2017-05-15
MMB1075,2017-05-15
MMA4073,2017-05-15
MMA4098,2017-05-15
MMA2075,2017-05-15
MMA1086,2017-05-15
MMB3052,2017-05-15
MMA1093,2017-05-15
MMB2013,2017-05-15
MMB4064,2017-05-15
MMA4081,2017-05-15
MMA3074,2017-05-15
MMB1054,2017-05-15
MMB4095,2017-05-15
MMA2023,2017-05-15
MMA4062,2017-05-15
MMA2099,2017-05-15
MMB1047,2017-05-15
MMA4044,2017-05-15
MMA3024,2017-05-15
MMB1064,2017-05-15
MMA4035,2017-05-15
MMB3083,2017-05-15
MMB4001,2017-05-15
MMA1027,2017-05-15
MMB3009,2017-05-15
MMB4077,2017-05-15
MMA2044,2017-05-15
MMB1061,2017-05-15
MMB3058,2017-05-15
MMA1004,2017-05-15
MMA3036,2017-05-15
MMA4015,2017-05-15
MMA1080,2017-05-15
MMA3042,2017-05-15
MMA4067,2017-05-15
MMA4041,2017-05-15
MMB1068,2017-05-15
MMB1017,2017-05-15
MMA2029,2017-05-15
MMB1100,2017-05-15
MMA2048,2017-05-15
MMA4007,2017-05-15
MMA2064,2017-05-15
