id,id_plant,date_eco,note
132,MCB9637,2025-11-19,Feuilles abîmées
133,MCB9637,2025-07-28,Feuilles abîmées
134,MCC4048,2025-11-29,Feuilles abîmées
135,MCC4048,2025-09-08,Insectes observés
136,MCC4048,2025-08-30,Signes de stress hydrique
137,MCC4048,2025-10-23,Feuilles abîmées
138,MCC4048,2025-06-24,Insectes observés
139,MCA2429,2025-11-09,Insectes observés
140,MCA2429,2025-06-24,Plante en bonne santé
141,MCA2429,2025-06-11,Signes de stress hydrique
142,MCA2429,2025-11-28,Feuilles abîmées
143,MCA2429,2025-09-11,Feuilles abîmées
144,MCC3469,2025-09-17,Croissance rapide
145,MCC3469,2025-06-26,Croissance rapide
146,MCA0271,2025-10-09,Feuilles abîmées
147,MCA0271,2025-11-22,Signes de stress hydrique
148,MCC3107,2025-12-17,Signes de stress hydrique
149,MCC6240,2025-12-18,Croissance rapide
150,MCC6240,2025-07-01,Feuilles abîmées
151,MCC6240,2025-07-02,Signes de stress hydrique
152,MCC2114,2025-10-11,Feuilles abîmées
153,MCC2114,2025-12-13,Signes de stress hydrique
154,MCC2114,2025-11-13,Signes de stress hydrique
155,MCB1587,2025-06-06,Signes de stress hydrique
156,MCB1587,2025-10-17,Plante en bonne santé
157,MCB1587,2025-06-18,Insectes observés
158,MCB1587,2025-12-07,Croissance rapide
159,MCC4834,2025-11-24,Croissance rapide
160,MCC4834,2025-07-30,Insectes observés
161,MCC0546,2025-06-01,Plante en bonne santé
162,MCC0546,2025-08-03,Signes de stress hydrique
163,MCC0546,2025-10-04,Croissance rapide
164,MCC0546,2025-09-27,Plante en bonne santé
165,MCA5744,2025-09-18,Plante en bonne santé
166,MCA7285,2025-06-05,Insectes observés
167,MCA7285,2025-06-12,Plante en bonne santé
168,MCA7285,2025-06-26,Insectes observés
169,MCC8602,2025-09-30,Plante en bonne santé
170,MCC8602,2025-07-23,Croissance rapide
171,MCC8602,2025-08-06,Croissance rapide
172,MCB2789,2025-10-18,Croissance rapide
173,MCC0896,2025-11-06,Plante en bonne santé
174,MCC0896,2025-09-21,Croissance rapide
175,MCC0896,2025-06-03,Feuilles abîmées
176,MCC2291,2025-07-31,Plante en bonne santé
177,MCC2291,2025-07-02,Feuilles abîmées
178,MCC2291,2025-11-13,Plante en bonne santé
179,MCC2291,2025-06-14,Signes de stress hydrique
180,MCB0025,2025-07-22,Insectes observés
181,MCB0025,2025-09-19,Feuilles abîmées
182,MCA9919,2025-07-27,Feuilles abîmées
183,MCA9919,2025-08-22,Signes de stress hydrique
184,MCC4038,2025-12-28,Plante en bonne santé
185,MCC2544,2025-10-28,Feuilles abîmées
186,MCC2544,2025-11-03,Plante en bonne santé
187,MCA1298,2025-11-15,Insectes observés
188,MCA1298,2025-12-03,Plante en bonne santé
189,MCA1298,2025-11-11,Insectes observés
190,MCC4194,2025-06-17,Plante en bonne santé
191,MCA1429,2025-10-10,Feuilles abîmées
192,MCA1429,2025-11-07,Plante en bonne santé
193,MCA1429,2025-06-23,Signes de stress hydrique
194,MCA1429,2025-08-06,Croissance rapide
195,MCB8222,2025-10-10,Signes de stress hydrique
196,MCB8222,2025-06-07,Signes de stress hydrique
197,MCC7650,2025-08-11,Plante en bonne santé
198,MCC7650,2025-11-18,Plante en bonne santé
199,MCC3680,2025-10-30,Plante en bonne santé
200,MCA6840,2025-08-13,Croissance rapide
201,MCB0521,2025-12-01,Feuilles abîmées
202,MCB0521,2025-08-30,Plante en bonne santé
203,MCB0521,2025-11-15,Croissance rapide
204,MCB0521,2025-07-11,Signes de stress hydrique
205,MCB3999,2025-10-26,Plante en bonne santé
206,MCB3999,2025-06-11,Insectes observés
207,MCA9565,2025-11-11,Insectes observés
208,MCA9565,2025-10-07,Feuilles abîmées
209,MCC7514,2025-11-23,Plante en bonne santé
210,MCA0314,2025-06-29,Insectes observés
211,MCA0314,2025-11-19,Croissance rapide
212,MCA0314,2025-06-16,Insectes observés
213,MCA0314,2025-10-23,Plante en bonne santé
214,MCB4583,2025-10-06,Plante en bonne santé
215,MCB4583,2025-10-28,Signes de stress hydrique
216,MCB4583,2025-12-05,Insectes observés
217,MCC7303,2025-11-26,Insectes observés
218,MCC7303,2025-07-28,Croissance rapide
219,MCC7303,2025-07-15,Insectes observés
220,MCC7303,2025-10-31,Feuilles abîmées
221,MCC0276,2025-08-16,Feuilles abîmées
222,MCC0276,2025-09-03,Plante en bonne santé
223,MCA4213,2025-11-03,Insectes observés
224,MCC6764,2025-12-24,Insectes observés
225,MCC6764,2025-10-16,Feuilles abîmées
226,MCB0595,2025-10-11,Signes de stress hydrique
227,MCB0595,2025-11-03,Feuilles abîmées
228,MCB0595,2025-10-07,Insectes observés
229,MCB0595,2025-06-12,Insectes observés
230,MCB0595,2025-11-28,Insectes observés
231,MCB7997,2025-12-30,Signes de stress hydrique
232,MCB7997,2025-09-18,Insectes observés
233,MCB7997,2025-12-01,Signes de stress hydrique
234,MCA2167,2025-06-28,Croissance rapide
235,MCA2167,2025-07-08,Signes de stress hydrique
236,MCB1790,2025-06-25,Insectes observés
237,MCA5183,2025-10-24,Signes de stress hydrique
238,MCA5183,2025-06-19,Croissance rapide
239,MCA5183,2025-10-27,Insectes observés
240,MCA5183,2025-11-14,Croissance rapide
241,MCA5183,2025-08-02,Insectes observés
242,MCA1797,2025-12-16,Croissance rapide
243,MCA1797,2025-08-22,Signes de stress hydrique
244,MCA1797,2025-10-22,Signes de stress hydrique
245,MCA1797,2025-06-29,Croissance rapide
246,MCA1797,2025-11-21,Croissance rapide
247,MCC6697,2025-10-02,Signes de stress hydrique
248,MCC6697,2025-12-20,Signes de stress hydrique
249,MCC6697,2025-11-23,Signes de stress hydrique
250,MCC6697,2025-12-04,Signes de stress hydrique
251,MCC3634,2025-06-08,Signes de stress hydrique
252,MCC3634,2025-06-15,Feuilles abîmées
253,MCA7266,2025-12-11,Croissance rapide
254,MCA7266,2025-09-11,Plante en bonne santé
255,MCA7266,2025-12-02,Insectes observés
256,MCA7266,2025-11-11,Feuilles abîmées
257,MCA7266,2025-12-24,Insectes observés
258,MCC9868,2025-06-23,Plante en bonne santé
259,MCC9868,2025-09-10,Signes de stress hydrique
260,MCA5829,2025-11-09,Insectes observés
261,MCA5829,2025-12-19,Plante en bonne santé
262,MCA5829,2025-07-26,Croissance rapide
263,MCB4768,2025-06-09,Plante en bonne santé
264,MCB4768,2025-07-10,Plante en bonne santé
265,MCB4768,2025-11-09,Plante en bonne santé
266,MCB4768,2025-06-17,Signes de stress hydrique
267,MCA0055,2025-12-21,Feuilles abîmées
268,MCA0055,2025-10-05,Plante en bonne santé
269,MCB4364,2025-08-28,Signes de stress hydrique
270,MCB4364,2025-07-01,Feuilles abîmées
271,MCB4364,2025-11-20,Insectes observés
272,MCB4364,2025-09-27,Feuilles abîmées
273,MCB4364,2025-12-29,Feuilles abîmées
274,MCB7508,2025-07-12,Insectes observés
275,MCB7508,2025-09-14,Feuilles abîmées
276,MCB7508,2025-09-05,Plante en bonne santé
277,MCB7508,2025-09-15,Signes de stress hydrique
278,MCB7508,2025-08-09,Insectes observés
279,MCC9340,2025-12-08,Insectes observés
280,MCC9340,2025-07-09,Insectes observés
281,MCC9340,2025-11-29,Signes de stress hydrique
282,MCB3504,2025-11-09,Signes de stress hydrique
283,MCC4251,2025-06-08,Plante en bonne santé
284,MCC4251,2025-06-29,Insectes observés
285,MCC4251,2025-06-17,Insectes observés
286,MCC4251,2025-11-27,Insectes observés
287,MCC5519,2025-08-20,Signes de stress hydrique
288,MCC5519,2025-08-23,Feuilles abîmées
289,MCC5519,2025-12-14,Plante en bonne santé
290,MCC5519,2025-12-21,Insectes observés
291,MCA1538,2025-10-25,Signes de stress hydrique
292,MCA1538,2025-10-16,Plante en bonne santé
293,MCA9259,2025-09-07,Plante en bonne santé
294,MCA9259,2025-12-10,Signes de stress hydrique
295,MCA9259,2025-07-13,Signes de stress hydrique
296,MCA9259,2025-08-13,Signes de stress hydrique
297,MCA9259,2025-07-28,Insectes observés
298,MCC0153,2025-07-13,Plante en bonne santé
299,MCC0153,2025-09-09,Feuilles abîmées
300,MCC0153,2025-07-14,Plante en bonne santé
301,MCB5159,2025-09-12,Croissance rapide
302,MCB6952,2025-11-21,Insectes observés
303,MCB6952,2025-06-20,Plante en bonne santé
304,MCA6922,2025-09-16,Insectes observés
305,MCA6922,2025-09-21,Plante en bonne santé
306,MCA6922,2025-12-05,Feuilles abîmées
307,MCB7618,2025-12-29,Feuilles abîmées
308,MCB7618,2025-11-13,Plante en bonne santé
309,MCB7618,2025-11-06,Feuilles abîmées
310,MCB7618,2025-06-27,Feuilles abîmées
311,MCA6040,2025-11-02,Insectes observés
312,MCC9511,2025-08-03,Croissance rapide
313,MCB9977,2025-07-06,Croissance rapide
314,MCB9977,2025-09-25,Insectes observés
315,MCB9977,2025-09-21,Plante en bonne santé
316,MCC0605,2025-07-09,Croissance rapide
317,MCC0605,2025-06-27,Insectes observés
318,MCC0605,2025-12-17,Feuilles abîmées
319,MCC3094,2025-09-30,Feuilles abîmées
320,MCC3094,2025-06-27,Plante en bonne santé
321,MCC3094,2025-09-16,Plante en bonne santé
322,MCC3094,2025-09-05,Feuilles abîmées
323,MCC3094,2025-10-17,Feuilles abîmées
324,MCA8196,2025-10-19,Feuilles abîmées
325,MCA8196,2025-07-16,Plante en bonne santé
326,MCC8486,2025-08-25,Croissance rapide
327,MCC8486,2025-06-08,Signes de stress hydrique
328,MCA2551,2025-07-15,Plante en bonne santé
329,MCA2551,2025-11-10,Feuilles abîmées
330,MCC3356,2025-09-22,Insectes observés
331,MCA6232,2025-09-26,Insectes observés
332,MCA6232,2025-06-14,Signes de stress hydrique
333,MCA6232,2025-10-11,Signes de stress hydrique
334,MCB8021,2025-07-26,Insectes observés
335,MCB8021,2025-06-13,Insectes observés
336,MCB8021,2025-06-21,Feuilles abîmées
337,MCB8021,2025-08-22,Feuilles abîmées
338,MCB5781,2025-09-24,Feuilles abîmées
339,MCB5781,2025-11-09,Signes de stress hydrique
340,MCB5781,2025-08-25,Plante en bonne santé
341,MCB5781,2025-07-15,Croissance rapide
342,MCB5781,2025-07-08,Feuilles abîmées
343,MCB4841,2025-06-08,Signes de stress hydrique
344,MCB4841,2025-12-14,Feuilles abîmées
345,MCB4841,2025-10-24,Plante en bonne santé
346,MCB4841,2025-12-23,Plante en bonne santé
347,MCB4841,2025-06-05,Plante en bonne santé
348,MCB6464,2025-08-15,Croissance rapide
349,MCB6464,2025-11-04,Plante en bonne santé
350,MCB6464,2025-11-24,Signes de stress hydrique
351,MCB6464,2025-09-16,Croissance rapide
352,MCB9072,2025-10-18,Plante en bonne santé
353,MCC4810,2025-08-16,Insectes observés
354,MCC4810,2025-11-03,Croissance rapide
355,MCC4810,2025-11-06,Signes de stress hydrique
356,MCC8915,2025-07-16,Feuilles abîmées
357,MCC8915,2025-12-21,Plante en bonne santé
358,MCC8915,2025-06-25,Insectes observés
359,MCC8915,2025-12-23,Plante en bonne santé
360,MCC8915,2025-11-25,Feuilles abîmées
361,MCA9756,2025-08-30,Feuilles abîmées
362,MCA9756,2025-10-14,Insectes observés
363,MCA9756,2025-07-07,Insectes observés
364,MCA9756,2025-06-17,Plante en bonne santé
365,MCB1219,2025-10-05,Signes de stress hydrique
366,MCB1219,2025-07-28,Feuilles abîmées
367,MCB1219,2025-07-18,Croissance rapide
368,MCA9307,2025-10-03,Plante en bonne santé
369,MCA9307,2025-12-07,Croissance rapide
370,MCA9307,2025-08-17,Croissance rapide
371,MCA9307,2025-11-12,Insectes observés
372,MCA7287,2025-12-08,Croissance rapide
373,MCC9739,2025-06-24,Croissance rapide
374,MCC9739,2025-08-30,Plante en bonne santé
375,MCA0707,2025-09-25,Insectes observés
376,MCA0707,2025-12-26,Croissance rapide
377,MCA0707,2025-08-03,Plante en bonne santé
378,MCB0662,2025-07-12,Insectes observés
379,MCB0662,2025-08-18,Croissance rapide
380,MCB6171,2025-08-22,Croissance rapide
381,MCB6171,2025-09-28,Insectes observés
382,MCB6171,2025-12-29,Croissance rapide
383,MCB6171,2025-09-16,Croissance rapide
384,MCB6171,2025-11-11,Plante en bonne santé
385,MCB6346,2025-12-28,Plante en bonne santé
386,MCB6346,2025-10-22,Insectes observés
387,MCB6346,2025-09-06,Feuilles abîmées
388,MCB6346,2025-07-13,Signes de stress hydrique
389,MCB6346,2025-08-12,Feuilles abîmées
390,MCA8353,2025-12-01,Feuilles abîmées
391,MCA6516,2025-06-08,Croissance rapide
392,MCA6516,2025-06-06,Croissance rapide
393,MCA6516,2025-08-30,Insectes observés
394,MCA6516,2025-10-23,Feuilles abîmées
395,MCA6516,2025-08-17,Feuilles abîmées
396,MCA7526,2025-07-12,Croissance rapide
397,MCA7526,2025-10-06,Insectes observés
398,MCC9450,2025-06-08,Feuilles abîmées
399,MCC9450,2025-07-01,Signes de stress hydrique
400,MCC9450,2025-07-31,Feuilles abîmées
401,MCC4116,2025-12-17,Signes de stress hydrique
402,MCC4116,2025-07-17,Feuilles abîmées
403,MCA2856,2025-11-23,Insectes observés
404,MCA2856,2025-08-22,Plante en bonne santé
405,MCB2907,2025-08-04,Feuilles abîmées
406,MCB2907,2025-11-26,Signes de stress hydrique
407,MCB2907,2025-10-31,Plante en bonne santé
408,MCB2907,2025-12-25,Insectes observés
409,MCB2907,2025-10-07,Croissance rapide
410,MCC6986,2025-10-09,Insectes observés
411,MCC6986,2025-08-08,Insectes observés
412,MCC6986,2025-11-22,Insectes observés
413,MCC8808,2025-06-15,Insectes observés
414,MCC8808,2025-10-23,Croissance rapide
415,MCC4869,2025-06-20,Plante en bonne santé
416,MCC4869,2025-12-22,Insectes observés
417,MCC4869,2025-06-23,Croissance rapide
418,MCC4869,2025-09-30,Signes de stress hydrique
419,MCC4869,2025-09-09,Insectes observés
420,MCC1340,2025-12-06,Feuilles abîmées
421,MCA6914,2025-07-13,Signes de stress hydrique
422,MCC1714,2025-07-12,Plante en bonne santé
423,MCC1714,2025-12-28,Plante en bonne santé
424,MCC1714,2025-07-23,Insectes observés
425,MCC1714,2025-07-04,Insectes observés
426,MCC0749,2025-10-04,Signes de stress hydrique
427,MCC0749,2025-06-03,Croissance rapide
428,MCC0749,2025-07-09,Signes de stress hydrique
429,MCC5385,2025-12-28,Insectes observés
430,MCC5385,2025-10-29,Insectes observés
431,MCC5385,2025-06-09,Insectes observés
432,MCC5385,2025-09-30,Croissance rapide
433,MCC3283,2025-12-01,Insectes observés
434,MCC3283,2025-11-17,Feuilles abîmées
435,MCC3283,2025-10-09,Croissance rapide
436,MCC3283,2025-08-23,Signes de stress hydrique
437,MCC3283,2025-08-07,Croissance rapide
438,MCB4095,2025-12-06,Croissance rapide
439,MCC0105,2025-12-25,Signes de stress hydrique
440,MCB0300,2025-06-05,Plante en bonne santé
441,MCB0300,2025-11-15,Insectes observés
442,MCB0300,2025-12-09,Insectes observés
443,MCB0300,2025-10-17,Plante en bonne santé
444,MCA5092,2025-12-08,Feuilles abîmées
445,MCA5092,2025-09-15,Plante en bonne santé
446,MCA5092,2025-07-14,Feuilles abîmées
447,MCA6753,2025-07-03,Feuilles abîmées
448,MCA6753,2025-10-28,Insectes observés
449,MCA6753,2025-07-09,Croissance rapide
450,MCA8740,2025-06-18,Feuilles abîmées
451,MCA8740,2025-09-02,Feuilles abîmées
452,MCB7333,2025-10-15,Croissance rapide
453,MCB7333,2025-12-12,Insectes observés
454,MCA5299,2025-11-15,Signes de stress hydrique
455,MCC3251,2025-11-11,Signes de stress hydrique
456,MCC3251,2025-08-01,Feuilles abîmées
457,MCC3251,2025-06-10,Feuilles abîmées
458,MCA2486,2025-12-03,Insectes observés
459,MCA2486,2025-07-29,Feuilles abîmées
460,MCA2486,2025-10-12,Plante en bonne santé
461,MCA2486,2025-10-26,Croissance rapide
462,MCA2486,2025-11-23,Signes de stress hydrique
463,MCB5439,2025-08-14,Insectes observés
464,MCB5439,2025-09-02,Croissance rapide
465,MCB9178,2025-12-02,Insectes observés
466,MCB9178,2025-06-03,Plante en bonne santé
467,MCB9178,2025-11-20,Feuilles abîmées
468,MCB9178,2025-12-20,Feuilles abîmées
469,MCC9485,2025-06-18,Signes de stress hydrique
470,MCC9485,2025-09-22,Plante en bonne santé
471,MCB9471,2025-12-29,Feuilles abîmées
472,MCC8645,2025-10-11,Insectes observés
473,MCC8645,2025-10-08,Croissance rapide
474,MCA1724,2025-11-27,Plante en bonne santé
475,MCC3774,2025-11-19,Croissance rapide
476,MCC3774,2025-10-26,Croissance rapide
477,MCC3774,2025-10-20,Croissance rapide
478,MCC3774,2025-07-20,Plante en bonne santé
479,MCB9969,2025-12-30,Signes de stress hydrique
480,MCB9969,2025-09-12,Feuilles abîmées
481,MCB9969,2025-08-09,Plante en bonne santé
482,MCB9969,2025-09-14,Signes de stress hydrique
483,MCA4590,2025-12-15,Plante en bonne santé
484,MCA4590,2025-10-16,Plante en bonne santé
485,MCA4590,2025-06-07,Feuilles abîmées
486,MCA4590,2025-10-04,Feuilles abîmées
487,MCA1687,2025-06-02,Signes de stress hydrique
488,MCA4932,2025-10-15,Insectes observés
489,MCA4932,2025-09-01,Plante en bonne santé
490,MCA4932,2025-12-04,Feuilles abîmées
491,MCA4932,2025-12-19,Plante en bonne santé
492,MCA4932,2025-09-24,Feuilles abîmées
493,MCB9373,2025-07-13,Insectes observés
494,MCB9373,2025-09-07,Insectes observés
495,MCB9373,2025-07-27,Feuilles abîmées
496,MCB9373,2025-11-19,Signes de stress hydrique
497,MCA7866,2025-11-24,Croissance rapide
498,MCA7866,2025-11-25,Plante en bonne santé
499,MCA7866,2025-10-06,Signes de stress hydrique
500,MCA1821,2025-08-21,Signes de stress hydrique
501,MCA1821,2025-06-24,Feuilles abîmées
502,MCA1821,2025-06-07,Signes de stress hydrique
503,MCB3534,2025-08-30,Croissance rapide
504,MCB3534,2025-10-27,Croissance rapide
505,MCB3534,2025-06-16,Signes de stress hydrique
506,MCB3534,2025-11-24,Feuilles abîmées
507,MCA3247,2025-08-23,Croissance rapide
508,MCA3247,2025-07-25,Croissance rapide
509,MCA3247,2025-09-02,Feuilles abîmées
510,MCA3247,2025-06-15,Signes de stress hydrique
511,MCA3247,2025-09-01,Croissance rapide
512,MCB8718,2025-09-27,Signes de stress hydrique
513,MCB8718,2025-12-16,Plante en bonne santé
514,MCB8718,2025-07-28,Feuilles abîmées
515,MCB8718,2025-11-14,Croissance rapide
516,MCB8718,2025-12-21,Insectes observés
517,MCC8181,2025-06-22,Signes de stress hydrique
518,MCC8181,2025-07-28,Croissance rapide
519,MCC8181,2025-06-16,Feuilles abîmées
520,MCC8181,2025-10-21,Croissance rapide
521,MCC8181,2025-06-21,Insectes observés
522,MCA2289,2025-10-14,Feuilles abîmées
523,MCB1033,2025-10-26,Feuilles abîmées
524,MCC3433,2025-06-20,Plante en bonne santé
525,MCC3433,2025-12-23,Feuilles abîmées
526,MCC0461,2025-08-23,Croissance rapide
527,MCC0461,2025-10-15,Insectes observés
528,MCC0461,2025-11-24,Insectes observés
529,MCC0461,2025-06-14,Signes de stress hydrique
530,MCC0461,2025-10-10,Signes de stress hydrique
531,MCB6868,2025-07-26,Croissance rapide
532,MCA8853,2025-08-30,Plante en bonne santé
533,MCA8853,2025-07-29,Plante en bonne santé
534,MCA3474,2025-08-01,Croissance rapide
535,MCA3474,2025-06-06,Plante en bonne santé
536,MCA3474,2025-08-31,Feuilles abîmées
537,MCA3474,2025-08-08,Croissance rapide
538,MCC3415,2025-09-08,Signes de stress hydrique
539,MCC3415,2025-12-30,Feuilles abîmées
540,MCC3415,2025-06-17,Feuilles abîmées
541,MCC3415,2025-10-24,Feuilles abîmées
542,MCC5870,2025-11-27,Croissance rapide
543,MCC5870,2025-12-27,Signes de stress hydrique
544,MCC5870,2025-11-14,Feuilles abîmées
545,MCC5870,2025-08-19,Signes de stress hydrique
546,MCC0180,2025-10-19,Signes de stress hydrique
547,MCC0180,2025-09-08,Feuilles abîmées
548,MCC0180,2025-11-25,Plante en bonne santé
549,MCC0180,2025-11-15,Insectes observés
550,MCC0180,2025-09-28,Plante en bonne santé
551,MCA5358,2025-07-19,Signes de stress hydrique
552,MCA5358,2025-08-23,Feuilles abîmées
553,MCB6465,2025-07-30,Signes de stress hydrique
554,MCB6465,2025-08-24,Plante en bonne santé
555,MCB6465,2025-11-09,Signes de stress hydrique
556,MCB6465,2025-07-08,Feuilles abîmées
557,MCB0757,2025-11-05,Plante en bonne santé
558,MCB0757,2025-10-12,Croissance rapide
559,MCB0757,2025-08-29,Feuilles abîmées
560,MCB7317,2025-11-21,Insectes observés
561,MCB7317,2025-06-30,Plante en bonne santé
562,MCB7317,2025-09-19,Insectes observés
563,MCB0368,2025-08-05,Signes de stress hydrique
564,MCA4752,2025-11-27,Feuilles abîmées
565,MCC3338,2025-07-15,Feuilles abîmées
566,MCC3338,2025-12-07,Croissance rapide
567,MCC3338,2025-10-06,Croissance rapide
568,MCC3338,2025-11-11,Croissance rapide
569,MCB6454,2025-09-06,Signes de stress hydrique
570,MCB6454,2025-12-17,Croissance rapide
571,MCB6454,2025-12-03,Plante en bonne santé
572,MCB6454,2025-06-02,Croissance rapide
573,MCB6454,2025-06-21,Croissance rapide
574,MCC9647,2025-08-07,Plante en bonne santé
575,MCC9647,2025-06-06,Croissance rapide
576,MCC9647,2025-09-20,Croissance rapide
577,MCC9647,2025-10-17,Plante en bonne santé
578,MCA0491,2025-07-02,Croissance rapide
