temp_min,temp_max,hum_min,hum_max,prec_tot,prec_nat,vent_min,vent_max,pres_min,pres_max,date_eco,note,zone
-47,17,9,63,173,G,81,182,1085,993,2025-07-29,Observation automatique,VS
-6,11,28,70,77,N,59,271,1046,1066,2025-10-13,Observation automatique,VN
-26,15,41,51,349,N,145,151,1048,1033,2025-10-31,Observation automatique,VS
-18,22,7,89,495,G,135,242,952,913,2025-11-06,Observation automatique,VS
-47,13,2,79,178,P,66,247,902,1010,2025-07-17,Observation automatique,VS
-10,9,38,68,360,P,138,289,961,995,2025-08-21,Observation automatique,VS
-14,32,12,54,480,G,149,214,966,1026,2025-07-02,Observation automatique,VN
-28,1,37,54,271,G,88,222,1098,1020,2025-11-13,Observation automatique,VN
-33,4,7,96,397,G,135,292,900,990,2025-06-12,Observation automatique,VS
-26,6,9,57,359,G,76,262,962,928,2025-08-14,Observation automatique,VN
-18,50,20,86,329,P,136,210,961,1058,2025-12-25,Observation automatique,VN
-45,10,10,54,205,N,13,228,1095,1054,2025-08-26,Observation automatique,VN
-5,34,3,68,56,G,139,260,961,952,2025-11-28,Observation automatique,VS
-16,26,0,84,22,P,26,257,928,974,2025-10-06,Observation automatique,VS
-39,21,20,82,360,P,142,247,1014,1025,2025-08-27,Observation automatique,VS
-42,15,49,74,154,P,150,158,989,941,2025-12-11,Observation automatique,VS
-25,40,24,73,352,G,85,264,1073,949,2025-08-20,Observation automatique,VS
-4,1,48,80,66,N,1,257,1069,913,2025-06-29,Observation automatique,VS
-35,19,11,76,355,N,94,209,992,930,2025-07-14,Observation automatique,VN
-8,48,36,68,311,G,142,188,1061,1043,2025-06-01,Observation automatique,VS
-24,30,14,76,265,N,76,272,982,1099,2025-07-15,Observation automatique,VS
-47,23,22,55,264,P,35,198,914,1096,2025-09-03,Observation automatique,VS
-21,39,28,82,94,N,106,290,1006,997,2025-11-26,Observation automatique,VN
-17,39,3,80,377,N,97,197,954,996,2025-06-09,Observation automatique,VS
-22,46,30,55,214,G,127,162,1026,1047,2025-12-27,Observation automatique,VS
-21,35,1,78,431,G,108,214,1047,999,2025-09-24,Observation automatique,VS
-7,42,23,62,351,P,93,207,951,1077,2025-11-10,Observation automatique,VS
-7,9,4,98,104,N,100,241,983,992,2025-08-01,Observation automatique,VN
-9,17,20,79,172,P,130,209,1008,938,2025-06-11,Observation automatique,VN
-28,20,42,59,327,N,98,155,902,958,2025-08-12,Observation automatique,VN
-22,47,18,82,450,P,105,298,1020,1002,2025-06-29,Observation automatique,VN
-37,2,10,73,236,N,84,298,1039,1081,2025-10-27,Observation automatique,VN
-39,31,11,58,438,P,16,193,990,1037,2025-09-02,Observation automatique,VS
-4,13,7,51,205,N,47,185,1012,1073,2025-09-04,Observation automatique,VS
-30,7,32,87,64,N,85,263,1054,950,2025-12-01,Observation automatique,VS
-19,23,43,74,326,N,125,278,1099,1012,2025-12-07,Observation automatique,VN
-30,43,26,88,245,G,124,218,973,1048,2025-08-09,Observation automatique,VS
-9,17,26,55,486,G,76,280,980,972,2025-06-08,Observation automatique,VS
0,31,48,76,210,N,74,159,1083,1035,2025-07-03,Observation automatique,VN
-26,36,17,67,396,P,100,170,962,956,2025-10-18,Observation automatique,VS
-27,6,46,60,29,P,63,213,1009,972,2025-06-10,Observation automatique,VS
-5,27,19,64,450,G,86,174,1085,989,2025-12-07,Observation automatique,VS
-38,48,33,57,256,P,0,299,991,1079,2025-12-24,Observation automatique,VN
-21,24,6,93,398,G,98,247,1073,930,2025-12-29,Observation automatique,VS
-29,24,35,91,344,N,76,220,980,931,2025-07-26,Observation automatique,VN
-24,41,10,62,404,P,20,255,958,1010,2025-12-24,Observation automatique,VS
-20,46,25,80,303,P,123,276,1067,1006,2025-08-28,Observation automatique,VS
-47,26,3,50,405,P,14,288,1029,1034,2025-09-06,Observation automatique,VS
-24,43,11,85,54,G,50,250,929,916,2025-06-26,Observation automatique,VS
-32,9,20,82,402,N,116,170,928,994,2025-08-22,Observation automatique,VN
-48,31,2,92,270,G,52,259,1030,1079,2025-09-19,Observation automatique,VS
-5,4,13,53,297,P,82,192,953,906,2025-11-14,Observation automatique,VS
-28,3,43,57,334,P,125,271,904,928,2025-09-13,Observation automatique,VS
-26,26,40,68,378,N,53,190,925,1007,2025-08-10,Observation automatique,VN
-39,23,30,65,246,G,1,216,961,937,2025-12-19,Observation automatique,VN
-15,35,38,87,254,N,103,171,923,903,2025-10-11,Observation automatique,VS
-3,45,22,58,124,P,95,272,930,921,2025-06-24,Observation automatique,VN
-27,38,2,53,243,G,91,266,1007,1064,2025-12-14,Observation automatique,VN
-27,35,47,52,477,G,71,252,910,1035,2025-12-23,Observation automatique,VS
-40,44,35,87,434,G,0,173,945,1049,2025-08-08,Observation automatique,VN
-50,22,14,79,313,N,99,241,1011,1097,2025-11-11,Observation automatique,VS
-25,46,24,70,47,G,29,183,1048,1028,2025-06-20,Observation automatique,VN
-13,14,41,70,483,G,12,221,925,917,2025-10-16,Observation automatique,VS
-17,13,14,75,127,P,11,202,1084,977,2025-11-18,Observation automatique,VN
-44,30,40,64,375,G,67,177,962,915,2025-08-17,Observation automatique,VS
-28,31,3,81,270,P,109,278,1058,1074,2025-09-18,Observation automatique,VN
-12,49,22,91,281,N,68,269,1087,1070,2025-08-11,Observation automatique,VS
-43,3,0,84,429,N,111,191,1028,1028,2025-06-28,Observation automatique,VN
-23,0,22,52,431,N,43,156,1041,1030,2025-12-13,Observation automatique,VN
-15,35,24,60,31,N,31,157,1034,1029,2025-10-24,Observation automatique,VS
-48,15,24,83,216,G,9,287,925,912,2025-07-22,Observation automatique,VN
-18,6,19,59,109,G,110,175,1075,1070,2025-11-03,Observation automatique,VS
-27,37,34,62,334,P,144,246,978,1069,2025-08-29,Observation automatique,VS
-31,28,46,81,446,P,91,264,1021,934,2025-10-13,Observation automatique,VS
-36,28,12,85,490,N,55,195,1040,1093,2025-07-28,Observation automatique,VS
-22,25,42,86,35,G,30,188,1035,994,2025-07-25,Observation automatique,VN
0,11,32,60,219,N,124,291,953,1089,2025-07-06,Observation automatique,VN
-20,30,15,67,85,G,140,190,1070,910,2025-12-23,Observation automatique,VN
-22,23,29,71,267,P,55,224,962,1067,2025-07-17,Observation automatique,VN
-3,26,31,72,270,P,85,190,957,1098,2025-06-03,Observation automatique,VS
-32,6,46,68,300,N,101,300,1035,918,2025-12-11,Observation automatique,VN
-10,25,43,92,203,N,55,231,1084,1018,2025-10-30,Observation automatique,VN
-34,45,20,65,320,G,35,276,918,1052,2025-12-09,Observation automatique,VS
-46,41,37,79,408,N,105,203,938,1066,2025-10-04,Observation automatique,VN
-14,29,28,95,305,P,3,178,986,1033,2025-11-24,Observation automatique,VS
-5,11,33,66,320,G,75,187,931,976,2025-11-02,Observation automatique,VS
-31,2,10,94,231,G,6,215,1013,973,2025-10-29,Observation automatique,VS
-4,2,47,80,161,N,92,155,938,972,2025-08-10,Observation automatique,VS
-34,4,20,80,204,P,123,300,947,946,2025-07-31,Observation automatique,VN
-12,46,44,82,328,P,119,220,932,905,2025-07-10,Observation automatique,VN
-25,5,20,94,349,N,82,223,976,1024,2025-06-06,Observation automatique,VS
-14,12,36,87,355,P,39,184,1089,1015,2025-07-18,Observation automatique,VN
-6,31,46,65,36,P,21,233,937,1057,2025-08-23,Observation automatique,VN
-10,32,11,95,140,G,45,214,1047,1053,2025-07-12,Observation automatique,VS
-6,14,46,70,67,N,0,208,932,950,2025-09-07,Observation automatique,VN
-8,27,19,55,284,G,133,221,1007,1012,2025-10-05,Observation automatique,VN
-27,1,24,52,460,P,120,194,1034,907,2025-11-05,Observation automatique,VN
-48,8,0,99,399,N,67,278,973,1064,2025-11-20,Observation automatique,VN
-50,41,26,67,155,N,10,170,1024,1089,2025-08-05,Observation automatique,VN
-5,6,36,71,214,G,140,260,984,936,2025-07-07,Observation automatique,VN
-5,31,12,80,446,G,86,210,1013,1075,2025-08-03,Observation automatique,VS
-46,19,33,97,202,P,70,257,1072,1029,2025-11-24,Observation automatique,VN
-25,4,5,84,82,P,145,260,1077,969,2025-10-20,Observation automatique,VN
-2,40,43,52,463,N,27,238,946,1002,2025-12-22,Observation automatique,VN
-9,46,33,51,287,N,41,288,966,982,2025-06-14,Observation automatique,VN
-13,27,27,63,246,P,109,215,1017,1084,2025-11-15,Observation automatique,VN
-18,18,4,66,4,G,113,171,1044,979,2025-10-27,Observation automatique,VS
-23,41,26,97,95,N,87,247,985,1033,2025-12-06,Observation automatique,VN
-46,43,17,96,393,N,101,166,901,1064,2025-12-18,Observation automatique,VS
-20,2,17,88,340,P,5,207,1080,1057,2025-07-23,Observation automatique,VS
-31,10,9,84,75,P,1,193,1010,965,2025-11-28,Observation automatique,VN
-35,2,22,79,384,P,126,269,936,1019,2025-10-26,Observation automatique,VN
-4,31,41,60,362,P,71,286,1045,941,2025-07-21,Observation automatique,VS
-48,24,31,92,378,P,32,244,977,958,2025-11-09,Observation automatique,VS
-14,1,23,71,453,P,111,250,1009,1059,2025-12-26,Observation automatique,VS
-10,21,8,59,406,N,99,186,1097,1022,2025-08-02,Observation automatique,VS
-48,31,4,67,351,N,24,201,1088,935,2025-06-28,Observation automatique,VS
-48,22,4,84,245,G,75,228,917,1043,2025-09-01,Observation automatique,VS
-34,15,47,57,372,G,20,169,939,942,2025-12-02,Observation automatique,VN
-9,27,18,72,263,G,114,209,909,1061,2025-07-07,Observation automatique,VS
-4,18,46,78,325,P,127,282,1016,921,2025-10-14,Observation automatique,VS
-6,41,8,60,293,N,1,273,1017,980,2025-08-06,Observation automatique,VS
-17,25,13,66,7,N,94,255,974,911,2025-10-22,Observation automatique,VN
-8,16,33,69,32,N,0,288,1072,950,2025-07-10,Observation automatique,VS
-27,45,30,70,191,P,121,202,1033,1004,2025-10-03,Observation automatique,VN
-29,42,42,53,235,P,98,246,989,994,2025-11-27,Observation automatique,VN
-36,38,49,92,197,P,48,252,1045,945,2025-08-12,Observation automatique,VS
-33,6,16,88,489,N,4,207,1024,912,2025-12-13,Observation automatique,VS
-37,11,19,96,110,P,69,223,964,1041,2025-10-06,Observation automatique,VN
-21,46,29,69,384,P,118,267,1071,940,2025-07-16,Observation automatique,VN
-34,6,39,59,116,P,130,260,1034,1070,2025-07-09,Observation automatique,VN
-21,28,28,74,405,G,30,203,954,1059,2025-06-16,Observation automatique,VS
-40,4,14,98,499,P,71,172,973,1050,2025-12-20,Observation automatique,VS
0,1,3,54,440,G,82,235,1032,1093,2025-10-05,Observation automatique,VS
-40,42,6,50,392,N,61,205,1005,989,2025-08-21,Observation automatique,VN
-24,10,26,99,277,P,18,219,948,1020,2025-11-08,Observation automatique,VS
-34,30,49,77,176,N,143,295,1060,1062,2025-10-03,Observation automatique,VS
-24,19,27,77,244,N,133,210,907,1060,2025-07-20,Observation automatique,VS
-41,22,28,59,64,N,72,162,1060,954,2025-11-23,Observation automatique,VS
-18,13,34,62,164,G,101,187,930,1063,2025-08-22,Observation automatique,VS
-30,27,20,70,402,P,114,214,918,1078,2025-08-28,Observation automatique,VN
0,29,26,66,0,N,103,195,989,1066,2025-09-21,Observation automatique,VN
-19,7,48,51,230,G,103,229,1003,971,2025-10-18,Observation automatique,VN
-34,3,17,59,23,G,39,251,937,979,2025-11-15,Observation automatique,VS
-25,20,2,82,185,P,149,180,1060,917,2025-12-30,Observation automatique,VN
-46,40,36,78,276,G,28,191,920,916,2025-06-07,Observation automatique,VN
-43,14,30,59,95,P,77,202,954,1032,2025-11-03,Observation automatique,VN
-26,12,34,54,156,N,138,267,1041,1081,2025-10-25,Observation automatique,VN
-27,36,16,58,390,N,108,190,1062,919,2025-07-12,Observation automatique,VN
-34,5,0,56,429,G,51,299,961,1097,2025-11-06,Observation automatique,VN
-6,23,38,81,467,N,4,286,1034,938,2025-07-28,Observation automatique,VN
-22,39,9,97,13,P,71,283,967,918,2025-10-07,Observation automatique,VS
-8,30,4,55,113,G,84,232,984,1083,2025-08-27,Observation automatique,VN
-12,36,6,71,158,N,84,172,937,1096,2025-12-14,Observation automatique,VS
-44,6,34,89,245,N,34,216,970,960,2025-08-18,Observation automatique,VN
-15,50,2,86,202,N,140,265,1059,919,2025-07-21,Observation automatique,VN
-50,36,40,88,350,G,88,168,1048,1096,2025-09-26,Observation automatique,VS
-33,27,45,52,491,N,103,175,1002,945,2025-12-08,Observation automatique,VN
-44,29,47,69,29,P,79,252,997,1005,2025-09-08,Observation automatique,VS
-33,41,12,76,79,N,70,258,943,1024,2025-11-16,Observation automatique,VS
-23,27,13,78,350,G,74,172,967,1082,2025-10-20,Observation automatique,VS
-16,17,8,78,472,G,0,292,1010,1031,2025-10-26,Observation automatique,VS
-3,45,20,87,79,G,34,180,960,1073,2025-08-24,Observation automatique,VN
-28,24,29,64,390,G,117,226,934,1020,2025-09-14,Observation automatique,VS
-34,37,11,60,176,G,97,268,1004,1030,2025-08-23,Observation automatique,VS
-17,33,13,67,189,G,64,262,1061,1076,2025-09-16,Observation automatique,VN
-36,21,1,99,13,N,2,191,998,958,2025-11-27,Observation automatique,VS
-31,32,9,90,358,P,49,277,1038,1031,2025-06-21,Observation automatique,VN
-14,22,47,99,472,G,84,232,999,1083,2025-09-26,Observation automatique,VN
-18,11,10,61,350,N,87,274,986,951,2025-06-07,Observation automatique,VS
-25,10,22,73,265,G,102,248,945,1083,2025-06-04,Observation automatique,VN
-37,22,17,56,49,N,133,220,986,989,2025-08-01,Observation automatique,VS
-44,36,5,81,419,P,97,286,1042,1029,2025-06-13,Observation automatique,VS
-3,27,15,64,222,P,55,215,930,934,2025-06-15,Observation automatique,VN
-4,40,42,73,149,G,26,165,971,1044,2025-12-30,Observation automatique,VS
-28,34,46,69,36,N,77,191,975,1094,2025-07-24,Observation automatique,VS
-22,50,17,90,253,N,131,211,1029,1096,2025-10-12,Observation automatique,VN
-3,24,42,73,216,G,36,297,901,1025,2025-09-27,Observation automatique,VN
-24,3,33,60,377,P,20,191,973,996,2025-10-23,Observation automatique,VS
-19,29,0,80,29,G,24,289,901,1027,2025-08-30,Observation automatique,VS
-45,30,25,76,36,P,77,240,977,979,2025-09-12,Observation automatique,VN
-32,12,47,83,102,P,15,269,1070,926,2025-09-16,Observation automatique,VS
-29,6,30,73,11,G,132,225,902,995,2025-09-03,Observation automatique,VN
-29,16,17,83,65,G,63,196,922,943,2025-07-06,Observation automatique,VS
-12,8,24,76,108,G,136,216,998,930,2025-09-12,Observation automatique,VS
-46,24,39,59,340,G,73,288,1037,983,2025-07-24,Observation automatique,VN
-44,25,2,84,174,G,20,209,1050,934,2025-06-27,Observation automatique,VS
-26,14,48,97,136,G,148,232,1020,917,2025-07-22,Observation automatique,VS
-7,37,5,90,203,G,102,271,924,1079,2025-11-29,Observation automatique,VN
-23,44,18,60,312,G,32,296,996,973,2025-08-11,Observation automatique,VN
-34,35,7,66,102,N,83,155,904,985,2025-07-01,Observation automatique,VN
-31,22,41,70,474,P,125,154,1028,961,2025-11-07,Observation automatique,VN
-25,37,15,67,175,P,118,221,992,964,2025-12-28,Observation automatique,VS
-18,11,14,81,389,G,52,224,982,978,2025-09-05,Observation automatique,VS
-36,28,41,90,69,N,147,285,901,966,2025-06-26,Observation automatique,VN
-39,24,44,65,334,N,103,231,919,1012,2025-06-15,Observation automatique,VS
-8,47,33,80,305,G,28,201,1045,988,2025-07-29,Observation automatique,VN
-42,38,27,58,154,P,121,297,969,1035,2025-09-29,Observation automatique,VS
-50,49,38,57,125,N,5,163,1058,985,2025-09-27,Observation automatique,VS
0,4,32,62,57,P,12,291,933,924,2025-10-16,Observation automatique,VN
-31,12,18,82,31,P,77,298,945,923,2025-09-01,Observation automatique,VN
-17,27,31,96,72,G,25,220,1100,980,2025-09-06,Observation automatique,VN
-4,47,7,52,151,P,46,269,959,1041,2025-11-30,Observation automatique,VS
-20,8,18,62,15,P,6,279,906,1026,2025-10-14,Observation automatique,VN
-48,15,8,87,55,G,47,274,943,1028,2025-08-04,Observation automatique,VN
-33,35,38,91,101,G,131,161,933,1087,2025-08-15,Observation automatique,VS
0,30,42,95,18,P,32,185,911,1071,2025-11-10,Observation automatique,VN
-9,11,8,95,408,G,132,153,1004,979,2025-06-08,Observation automatique,VN
-17,31,4,77,251,G,67,252,916,993,2025-10-09,Observation automatique,VS
-1,48,4,79,292,G,112,293,977,1096,2025-10-29,Observation automatique,VN
-46,2,12,93,115,G,134,282,958,1037,2025-12-29,Observation automatique,VN
-4,29,7,52,395,G,60,232,1052,1047,2025-12-12,Observation automatique,VN
-11,33,41,90,202,N,3,270,936,953,2025-11-23,Observation automatique,VN
-12,10,34,93,177,G,108,298,1076,1044,2025-09-22,Observation automatique,VN
-13,46,35,60,305,G,61,236,974,1059,2025-11-14,Observation automatique,VN
-47,44,22,95,407,G,37,283,1066,1027,2025-07-09,Observation automatique,VS
0,17,23,88,401,P,52,197,1086,915,2025-07-31,Observation automatique,VS
-26,31,7,57,241,P,128,237,1095,947,2025-10-17,Observation automatique,VN
0,31,17,70,239,P,130,239,1052,1058,2025-08-24,Observation automatique,VS
-37,48,6,50,272,N,35,153,921,938,2025-10-28,Observation automatique,VN
-47,29,25,79,58,P,87,286,1100,1009,2025-06-09,Observation automatique,VN
-46,10,21,56,262,G,43,208,985,965,2025-12-05,Observation automatique,VN
-8,14,22,71,339,G,8,170,979,1023,2025-07-01,Observation automatique,VS
-47,10,37,94,65,P,9,184,1044,915,2025-11-08,Observation automatique,VN
-8,2,0,82,22,P,56,193,910,957,2025-10-31,Observation automatique,VN
-25,50,37,64,179,P,36,163,1004,950,2025-06-22,Observation automatique,VS
-3,28,40,95,177,N,110,169,919,1010,2025-06-10,Observation automatique,VN
-16,36,28,81,302,G,30,275,929,945,2025-09-05,Observation automatique,VN
-13,37,14,55,302,G,31,239,973,1015,2025-09-11,Observation automatique,VS
-31,17,35,60,330,G,58,175,930,930,2025-11-18,Observation automatique,VS
-43,5,4,73,0,G,73,183,997,900,2025-07-30,Observation automatique,VS
-43,47,12,80,114,P,44,211,1100,978,2025-06-18,Observation automatique,VS
-21,37,40,80,139,N,64,188,998,1072,2025-06-30,Observation automatique,VS
-8,19,13,75,226,P,71,255,1028,1069,2025-08-15,Observation automatique,VN
-40,44,47,96,265,G,95,255,1000,1020,2025-06-17,Observation automatique,VS
-43,32,47,81,191,N,54,264,993,1025,2025-08-06,Observation automatique,VN
-16,8,44,64,32,G,56,187,1094,1074,2025-11-09,Observation automatique,VN
-38,19,28,69,336,G,123,251,1082,1082,2025-11-19,Observation automatique,VS
-11,16,22,82,463,P,11,264,1038,1005,2025-12-04,Observation automatique,VN
-38,25,34,83,29,P,35,173,902,908,2025-09-17,Observation automatique,VS
-29,20,40,63,434,N,13,195,1043,1007,2025-06-02,Observation automatique,VS
-47,36,21,58,212,P,43,228,951,1079,2025-10-08,Observation automatique,VS
-25,49,44,66,483,N,1,174,949,999,2025-07-18,Observation automatique,VS
-21,8,10,69,228,N,93,172,1024,909,2025-12-03,Observation automatique,VN
-33,35,38,83,453,P,8,275,923,1049,2025-09-18,Observation automatique,VS
-22,37,20,91,18,P,112,248,1065,1032,2025-07-19,Observation automatique,VN
-30,30,8,52,212,N,65,272,945,932,2025-07-03,Observation automatique,VS
-12,8,16,52,77,G,69,182,1049,1078,2025-11-29,Observation automatique,VS
-36,12,16,52,275,G,68,273,938,1061,2025-07-08,Observation automatique,VS
-48,40,39,66,369,N,134,214,1056,931,2025-11-22,Observation automatique,VS
-22,36,6,88,486,G,64,161,969,929,2025-10-15,Observation automatique,VS
-19,7,41,95,20,N,86,163,925,1009,2025-08-25,Observation automatique,VS
-6,9,39,59,490,P,103,167,1095,950,2025-11-21,Observation automatique,VS
-22,18,27,52,427,N,97,179,1070,1043,2025-10-21,Observation automatique,VN
-40,22,18,87,206,N,34,249,1090,922,2025-09-23,Observation automatique,VN
-6,23,41,55,202,N,139,165,992,1099,2025-11-17,Observation automatique,VN
-29,9,27,68,216,G,69,153,998,1010,2025-11-12,Observation automatique,VN
-3,1,3,50,270,N,134,245,946,1033,2025-07-02,Observation automatique,VS
-24,7,17,70,332,P,108,235,1030,984,2025-10-19,Observation automatique,VS
-31,18,9,75,183,P,148,193,1052,963,2025-12-05,Observation automatique,VS
-17,47,32,90,496,G,17,180,975,931,2025-07-05,Observation automatique,VS
-36,20,34,95,54,P,93,269,989,1076,2025-06-01,Observation automatique,VN
-7,3,14,89,49,P,25,257,924,1078,2025-12-01,Observation automatique,VN
-44,41,19,92,189,P,71,237,1050,920,2025-09-25,Observation automatique,VN
-31,38,41,56,406,N,55,198,1061,964,2025-09-10,Observation automatique,VS
-29,38,13,61,14,P,97,251,925,998,2025-09-15,Observation automatique,VN
-10,37,39,72,92,N,40,191,915,1006,2025-11-05,Observation automatique,VS
-39,38,18,70,230,N,81,271,998,994,2025-10-28,Observation automatique,VS
-44,21,45,59,283,P,85,198,966,1000,2025-12-21,Observation automatique,VS
-41,14,7,88,334,P,62,167,1072,1034,2025-08-08,Observation automatique,VS
-13,8,23,70,249,N,127,257,1083,1071,2025-09-04,Observation automatique,VN
-18,45,48,51,79,N,30,174,1004,976,2025-08-19,Observation automatique,VS
-3,0,2,85,492,P,122,209,1057,1035,2025-12-03,Observation automatique,VS
-15,19,13,51,491,G,27,182,1041,1098,2025-06-24,Observation automatique,VS
-31,17,20,72,280,P,57,188,1030,929,2025-06-23,Observation automatique,VN
-40,3,29,66,192,G,23,172,1008,1062,2025-08-16,Observation automatique,VS
-45,44,3,85,173,P,138,160,1069,1049,2025-08-31,Observation automatique,VS
-19,4,18,63,321,G,61,217,1034,1068,2025-11-01,Observation automatique,VN
-23,7,18,63,74,N,106,249,904,1040,2025-11-22,Observation automatique,VN
-20,15,13,62,298,P,22,260,1006,1085,2025-09-02,Observation automatique,VN
-43,43,1,66,324,G,111,297,953,956,2025-06-11,Observation automatique,VS
-10,19,42,83,146,P,135,293,913,937,2025-12-17,Observation automatique,VN
-13,17,43,89,384,P,24,217,1013,1075,2025-06-16,Observation automatique,VN
-35,32,47,85,153,P,130,260,916,1062,2025-06-02,Observation automatique,VN
-18,12,1,52,425,N,54,300,923,1018,2025-06-22,Observation automatique,VN
-15,26,47,91,296,N,55,160,957,1038,2025-08-26,Observation automatique,VS
