id,date_eco,note
MCC8645,2025-07-02,Observation floraison automatique
MCA1724,2025-06-30,Observation floraison automatique
MCC3774,2025-08-28,Observation floraison automatique
MCB9969,2025-12-28,Observation floraison automatique
MCA4590,2025-08-12,Observation floraison automatique
MCA1687,2025-10-18,Observation floraison automatique
MCA4932,2025-12-25,Observation floraison automatique
MCB9373,2025-10-17,Observation floraison automatique
MCA7866,2025-10-09,Observation floraison automatique
MCA1821,2025-06-05,Observation floraison automatique
MCB3534,2025-10-04,Observation floraison automatique
MCA3247,2025-06-29,Observation floraison automatique
MCB8718,2025-10-28,Observation floraison automatique
MCC8181,2025-10-01,Observation floraison automatique
MCA2289,2025-06-20,Observation floraison automatique
MCB1033,2025-10-07,Observation floraison automatique
MCC3433,2025-06-07,Observation floraison automatique
MCC0461,2025-12-15,Observation floraison automatique
MCB6868,2025-06-09,Observation floraison automatique
MCA8853,2025-07-16,Observation floraison automatique
MCA3474,2025-06-27,Observation floraison automatique
MCC3415,2025-09-11,Observation floraison automatique
MCC5870,2025-12-14,Observation floraison automatique
MCC0180,2025-10-31,Observation floraison automatique
MCA5358,2025-11-03,Observation floraison automatique
MCB6465,2025-09-04,Observation floraison automatique
MCB0757,2025-12-29,Observation floraison automatique
MCB7317,2025-06-14,Observation floraison automatique
MCB0368,2025-10-11,Observation floraison automatique
MCA4752,2025-10-17,Observation floraison automatique
MCC3338,2025-11-04,Observation floraison automatique
MCB6454,2025-10-30,Observation floraison automatique
MCC9647,2025-12-30,Observation floraison automatique
MCA0491,2025-09-29,Observation floraison automatique
MCB5215,2025-10-23,Observation floraison automatique
MCC8311,2025-08-03,Observation floraison automatique
MCB7645,2025-10-21,Observation floraison automatique
MCB3112,2025-10-30,Observation floraison automatique
MCA4284,2025-06-07,Observation floraison automatique
MCC7659,2025-09-12,Observation floraison automatique
MCB1932,2025-09-19,Observation floraison automatique
MCC2923,2025-07-01,Observation floraison automatique
MCB5441,2025-07-17,Observation floraison automatique
MCA6892,2025-09-11,Observation floraison automatique
MCC0207,2025-08-23,Observation floraison automatique
MCA4796,2025-07-18,Observation floraison automatique
MCB1214,2025-12-05,Observation floraison automatique
MCC9676,2025-12-18,Observation floraison automatique
MCA1401,2025-11-19,Observation floraison automatique
MCC5661,2025-09-11,Observation floraison automatique
MCC0827,2025-11-28,Observation floraison automatique
MCC8719,2025-09-28,Observation floraison automatique
MCC7220,2025-10-24,Observation floraison automatique
MCB2520,2025-07-02,Observation floraison automatique
MCA7833,2025-12-15,Observation floraison automatique
MCC7701,2025-07-25,Observation floraison automatique
MCC7865,2025-11-04,Observation floraison automatique
MCB6360,2025-11-17,Observation floraison automatique
MCB1168,2025-10-04,Observation floraison automatique
MCA8625,2025-07-17,Observation floraison automatique
MCC4229,2025-11-15,Observation floraison automatique
MCB9568,2025-12-15,Observation floraison automatique
MCC0263,2025-07-15,Observation floraison automatique
MCA8298,2025-06-24,Observation floraison automatique
MCA5102,2025-10-21,Observation floraison automatique
MCA7575,2025-11-14,Observation floraison automatique
MCC8417,2025-11-14,Observation floraison automatique
MCC3099,2025-07-30,Observation floraison automatique
MCA6546,2025-10-21,Observation floraison automatique
MCA6054,2025-11-18,Observation floraison automatique
MCB6177,2025-07-05,Observation floraison automatique
MCA9489,2025-10-14,Observation floraison automatique
MCA2888,2025-12-19,Observation floraison automatique
MCC0477,2025-08-09,Observation floraison automatique
MCC1874,2025-09-02,Observation floraison automatique
MCC6444,2025-11-14,Observation floraison automatique
MCA9470,2025-11-26,Observation floraison automatique
MCC2201,2025-10-14,Observation floraison automatique
MCC1968,2025-11-27,Observation floraison automatique
MCB8678,2025-09-26,Observation floraison automatique
MCA6586,2025-10-20,Observation floraison automatique
MCB8471,2025-09-02,Observation floraison automatique
MCC1070,2025-10-16,Observation floraison automatique
MCC8215,2025-12-06,Observation floraison automatique
MCB1132,2025-10-14,Observation floraison automatique
MCC1358,2025-10-21,Observation floraison automatique
MCC6544,2025-09-13,Observation floraison automatique
MCB0943,2025-09-10,Observation floraison automatique
MCB6314,2025-11-16,Observation floraison automatique
MCA2221,2025-10-25,Observation floraison automatique
MCB0623,2025-09-17,Observation floraison automatique
MCB4022,2025-10-28,Observation floraison automatique
MCC6461,2025-09-29,Observation floraison automatique
MCA3411,2025-06-26,Observation floraison automatique
MCB9943,2025-08-19,Observation floraison automatique
MCB5240,2025-08-23,Observation floraison automatique
MCC4510,2025-11-11,Observation floraison automatique
MCB2346,2025-12-25,Observation floraison automatique
MCB2241,2025-09-04,Observation floraison automatique
MCA8384,2025-06-15,Observation floraison automatique
MCB2565,2025-09-03,Observation floraison automatique
MCC0331,2025-06-21,Observation floraison automatique
MCA9707,2025-11-17,Observation floraison automatique
MCC5056,2025-06-20,Observation floraison automatique
MCC5486,2025-10-23,Observation floraison automatique
MCA1517,2025-11-04,Observation floraison automatique
MCC4162,2025-07-01,Observation floraison automatique
MCC7968,2025-06-01,Observation floraison automatique
MCC4138,2025-12-28,Observation floraison automatique
MCA1063,2025-09-02,Observation floraison automatique
MCA4491,2025-06-27,Observation floraison automatique
MCC2980,2025-12-09,Observation floraison automatique
MCB1565,2025-08-11,Observation floraison automatique
MCA1161,2025-11-27,Observation floraison automatique
MCB8437,2025-11-01,Observation floraison automatique
MCC2134,2025-11-14,Observation floraison automatique
MCC1224,2025-09-21,Observation floraison automatique
MCB5904,2025-06-01,Observation floraison automatique
MCC3174,2025-11-04,Observation floraison automatique
MCC0427,2025-07-26,Observation floraison automatique
MCB2339,2025-12-10,Observation floraison automatique
MCC9443,2025-09-12,Observation floraison automatique
MCB9038,2025-08-01,Observation floraison automatique
MCB1789,2025-09-29,Observation floraison automatique
MCA4336,2025-10-21,Observation floraison automatique
MCA4818,2025-11-05,Observation floraison automatique
MCB9528,2025-09-09,Observation floraison automatique
MCB4091,2025-09-01,Observation floraison automatique
MCC0809,2025-08-27,Observation floraison automatique
MCC2734,2025-12-10,Observation floraison automatique
MCA9388,2025-07-17,Observation floraison automatique
MCA5286,2025-06-08,Observation floraison automatique
MCA9989,2025-07-31,Observation floraison automatique
MCB0106,2025-11-06,Observation floraison automatique
MCB2857,2025-11-15,Observation floraison automatique
MCC9032,2025-06-26,Observation floraison automatique
MCB2555,2025-11-20,Observation floraison automatique
MCC0407,2025-08-04,Observation floraison automatique
MCC3025,2025-12-11,Observation floraison automatique
MCC4898,2025-09-19,Observation floraison automatique
MCC0340,2025-07-31,Observation floraison automatique
MCB8245,2025-06-03,Observation floraison automatique
MCC7951,2025-07-07,Observation floraison automatique
MCA1926,2025-10-25,Observation floraison automatique
MCC3572,2025-11-21,Observation floraison automatique
MCC6017,2025-08-01,Observation floraison automatique
MCA2524,2025-10-04,Observation floraison automatique
MCC2169,2025-11-16,Observation floraison automatique
MCB0816,2025-06-11,Observation floraison automatique
MCA3573,2025-07-14,Observation floraison automatique
MCB9351,2025-10-19,Observation floraison automatique
MCB7867,2025-08-20,Observation floraison automatique
MCB0525,2025-12-25,Observation floraison automatique
MCA5032,2025-09-26,Observation floraison automatique
MCB8003,2025-06-13,Observation floraison automatique
MCB0622,2025-08-14,Observation floraison automatique
MCC6060,2025-10-16,Observation floraison automatique
MCC7729,2025-11-07,Observation floraison automatique
MCB7154,2025-12-02,Observation floraison automatique
MCB6498,2025-06-26,Observation floraison automatique
MCC4109,2025-11-16,Observation floraison automatique
MCA4592,2025-09-10,Observation floraison automatique
MCA0666,2025-06-16,Observation floraison automatique
MCB2410,2025-08-24,Observation floraison automatique
MCA7121,2025-06-12,Observation floraison automatique
MCA1931,2025-09-04,Observation floraison automatique
MCC0530,2025-08-04,Observation floraison automatique
MCB0305,2025-06-11,Observation floraison automatique
MCA3394,2025-06-29,Observation floraison automatique
MCB9660,2025-09-17,Observation floraison automatique
MCB6954,2025-11-04,Observation floraison automatique
MCB1749,2025-10-26,Observation floraison automatique
MCA0649,2025-06-10,Observation floraison automatique
MCA8918,2025-09-03,Observation floraison automatique
MCB5539,2025-12-06,Observation floraison automatique
MCA4064,2025-06-15,Observation floraison automatique
MCA6259,2025-07-13,Observation floraison automatique
MCC6144,2025-09-21,Observation floraison automatique
MCA9599,2025-11-08,Observation floraison automatique
MCB6490,2025-08-04,Observation floraison automatique
MCB3174,2025-12-18,Observation floraison automatique
MCA1731,2025-07-26,Observation floraison automatique
MCA8583,2025-07-18,Observation floraison automatique
MCB6698,2025-11-05,Observation floraison automatique
MCB5963,2025-06-10,Observation floraison automatique
MCA7782,2025-10-12,Observation floraison automatique
MCA1431,2025-10-02,Observation floraison automatique
MCA0705,2025-08-10,Observation floraison automatique
MCC2254,2025-11-09,Observation floraison automatique
MCB5121,2025-09-26,Observation floraison automatique
MCC3057,2025-12-15,Observation floraison automatique
MCA8034,2025-06-24,Observation floraison automatique
MCC2049,2025-12-24,Observation floraison automatique
MCB0545,2025-10-13,Observation floraison automatique
MCA1309,2025-07-26,Observation floraison automatique
MCC2297,2025-06-30,Observation floraison automatique
MCB9464,2025-08-10,Observation floraison automatique
MCC2638,2025-07-01,Observation floraison automatique
MCA1213,2025-12-01,Observation floraison automatique
MCC6087,2025-10-08,Observation floraison automatique
MCC8521,2025-08-21,Observation floraison automatique
MCC2101,2025-11-26,Observation floraison automatique
MCC8609,2025-11-21,Observation floraison automatique
MCA0077,2025-12-09,Observation floraison automatique
MCB5625,2025-11-19,Observation floraison automatique
MCC0904,2025-06-05,Observation floraison automatique
MCC8039,2025-11-12,Observation floraison automatique
MCA7532,2025-09-10,Observation floraison automatique
MCC9589,2025-08-22,Observation floraison automatique
MCA7421,2025-10-21,Observation floraison automatique
MCC7574,2025-09-15,Observation floraison automatique
MCC9174,2025-06-20,Observation floraison automatique
MCC0146,2025-08-11,Observation floraison automatique
MCB1328,2025-09-18,Observation floraison automatique
MCA7580,2025-08-18,Observation floraison automatique
MCA6272,2025-08-26,Observation floraison automatique
MCA2491,2025-09-09,Observation floraison automatique
MCC9390,2025-11-01,Observation floraison automatique
MCC7221,2025-12-15,Observation floraison automatique
MCA7818,2025-10-30,Observation floraison automatique
MCB1814,2025-11-02,Observation floraison automatique
MCB6884,2025-07-26,Observation floraison automatique
MCB2487,2025-07-13,Observation floraison automatique
MCB8783,2025-09-01,Observation floraison automatique
MCA8744,2025-09-23,Observation floraison automatique
MCC2653,2025-12-18,Observation floraison automatique
MCB3632,2025-06-15,Observation floraison automatique
MCB1519,2025-11-27,Observation floraison automatique
MCC7699,2025-09-04,Observation floraison automatique
MCC7513,2025-09-19,Observation floraison automatique
MCC1310,2025-07-15,Observation floraison automatique
MCB7913,2025-07-28,Observation floraison automatique
MCB7065,2025-09-13,Observation floraison automatique
MCC0389,2025-09-24,Observation floraison automatique
MCC9522,2025-09-13,Observation floraison automatique
MCC8662,2025-09-26,Observation floraison automatique
MCC1294,2025-10-12,Observation floraison automatique
MCA1458,2025-10-14,Observation floraison automatique
MCB0077,2025-09-04,Observation floraison automatique
MCB8451,2025-06-22,Observation floraison automatique
MCB1979,2025-07-03,Observation floraison automatique
MCB2326,2025-12-01,Observation floraison automatique
MCA8037,2025-08-11,Observation floraison automatique
MCB2572,2025-12-29,Observation floraison automatique
MCB7998,2025-11-06,Observation floraison automatique
MCC0152,2025-10-14,Observation floraison automatique
MCA5946,2025-11-01,Observation floraison automatique
MCB0676,2025-12-04,Observation floraison automatique
MCB4847,2025-08-12,Observation floraison automatique
MCA2291,2025-12-18,Observation floraison automatique
MCA2373,2025-06-16,Observation floraison automatique
MCB5525,2025-11-18,Observation floraison automatique
MCC9057,2025-06-19,Observation floraison automatique
MCB2974,2025-06-12,Observation floraison automatique
MCB4328,2025-11-24,Observation floraison automatique
MCC1704,2025-11-02,Observation floraison automatique
MCA6740,2025-08-18,Observation floraison automatique
MCA5362,2025-06-30,Observation floraison automatique
MCB5832,2025-10-28,Observation floraison automatique
MCB5611,2025-06-29,Observation floraison automatique
MCA6300,2025-12-10,Observation floraison automatique
MCC7696,2025-07-04,Observation floraison automatique
MCC3698,2025-08-13,Observation floraison automatique
MCA9266,2025-06-19,Observation floraison automatique
MCC2831,2025-12-28,Observation floraison automatique
MCC3337,2025-06-30,Observation floraison automatique
MCC9549,2025-07-29,Observation floraison automatique
MCC3406,2025-09-30,Observation floraison automatique
MCA5227,2025-08-30,Observation floraison automatique
MCA2402,2025-12-30,Observation floraison automatique
MCC5070,2025-08-15,Observation floraison automatique
MCB8530,2025-09-02,Observation floraison automatique
MCC6279,2025-12-06,Observation floraison automatique
MCB8758,2025-11-25,Observation floraison automatique
MCC6479,2025-10-25,Observation floraison automatique
MCC4787,2025-09-17,Observation floraison automatique
MCB9947,2025-10-08,Observation floraison automatique
MCC2786,2025-09-05,Observation floraison automatique
MCA8708,2025-10-06,Observation floraison automatique
MCC2554,2025-12-27,Observation floraison automatique
MCA7422,2025-07-27,Observation floraison automatique
MCC5833,2025-10-07,Observation floraison automatique
MCA4046,2025-06-25,Observation floraison automatique
MCB7047,2025-11-11,Observation floraison automatique
MCB9842,2025-12-22,Observation floraison automatique
MCC4088,2025-06-16,Observation floraison automatique
MCC5337,2025-06-28,Observation floraison automatique
MCC2288,2025-06-26,Observation floraison automatique
MCA6959,2025-09-23,Observation floraison automatique
MCB2928,2025-12-18,Observation floraison automatique
MCC1671,2025-09-20,Observation floraison automatique
MCA1346,2025-11-04,Observation floraison automatique
MCA2430,2025-07-07,Observation floraison automatique
MCA1375,2025-07-16,Observation floraison automatique
MCC1235,2025-10-04,Observation floraison automatique
MCB9501,2025-06-30,Observation floraison automatique
MCA6238,2025-10-05,Observation floraison automatique
MCB6600,2025-08-05,Observation floraison automatique
MCA0579,2025-08-14,Observation floraison automatique
MCA2109,2025-12-11,Observation floraison automatique
MCB8990,2025-08-11,Observation floraison automatique
MCC5430,2025-11-28,Observation floraison automatique
MCC5292,2025-10-14,Observation floraison automatique
MCA0210,2025-11-12,Observation floraison automatique
MCB3252,2025-12-02,Observation floraison automatique
MCA4695,2025-09-08,Observation floraison automatique
MCB9620,2025-07-02,Observation floraison automatique
MCC1900,2025-07-29,Observation floraison automatique
MCB7029,2025-07-11,Observation floraison automatique
MCB2531,2025-08-31,Observation floraison automatique
MCB3743,2025-10-09,Observation floraison automatique
MCA0245,2025-12-27,Observation floraison automatique
MCC8476,2025-11-08,Observation floraison automatique
MCA2146,2025-08-05,Observation floraison automatique
MCB6324,2025-12-23,Observation floraison automatique
MCA6035,2025-09-26,Observation floraison automatique
MCA3138,2025-12-05,Observation floraison automatique
MCB1062,2025-08-06,Observation floraison automatique
MCB6238,2025-10-20,Observation floraison automatique
MCC1954,2025-10-16,Observation floraison automatique
MCC2384,2025-06-26,Observation floraison automatique
MCB2310,2025-11-13,Observation floraison automatique
MCC5516,2025-08-22,Observation floraison automatique
MCA8528,2025-07-24,Observation floraison automatique
MCB4096,2025-07-15,Observation floraison automatique
MCC5958,2025-11-11,Observation floraison automatique
MCB1341,2025-06-14,Observation floraison automatique
MCA8951,2025-11-27,Observation floraison automatique
MCC8982,2025-10-29,Observation floraison automatique
MCA8491,2025-08-09,Observation floraison automatique
MCC6486,2025-07-31,Observation floraison automatique
MCB8940,2025-11-12,Observation floraison automatique
MCC5308,2025-09-06,Observation floraison automatique
MCC2089,2025-10-06,Observation floraison automatique
MCA8664,2025-08-05,Observation floraison automatique
MCC7620,2025-12-30,Observation floraison automatique
MCB6039,2025-12-21,Observation floraison automatique
MCC5186,2025-09-07,Observation floraison automatique
MCC2433,2025-06-27,Observation floraison automatique
MCA6435,2025-07-15,Observation floraison automatique
MCC8002,2025-11-28,Observation floraison automatique
MCB4750,2025-07-12,Observation floraison automatique
MCC6632,2025-09-02,Observation floraison automatique
MCB6878,2025-07-04,Observation floraison automatique
MCA7520,2025-10-15,Observation floraison automatique
MCC2157,2025-09-20,Observation floraison automatique
MCC0574,2025-07-13,Observation floraison automatique
MCB2140,2025-06-17,Observation floraison automatique
MCA3957,2025-06-02,Observation floraison automatique
MCB0162,2025-07-21,Observation floraison automatique
MCC5370,2025-12-11,Observation floraison automatique
MCB0680,2025-12-01,Observation floraison automatique
MCC8594,2025-06-06,Observation floraison automatique
MCA3364,2025-09-13,Observation floraison automatique
MCB7824,2025-08-14,Observation floraison automatique
MCA9412,2025-12-10,Observation floraison automatique
MCC1650,2025-07-05,Observation floraison automatique
MCB9673,2025-08-03,Observation floraison automatique
MCB8866,2025-08-24,Observation floraison automatique
MCA3182,2025-07-01,Observation floraison automatique
MCB3799,2025-09-24,Observation floraison automatique
MCB2619,2025-09-06,Observation floraison automatique
MCA0040,2025-11-09,Observation floraison automatique
MCA1011,2025-09-23,Observation floraison automatique
MCA3189,2025-08-03,Observation floraison automatique
MCA9248,2025-08-14,Observation floraison automatique
MCB0717,2025-07-01,Observation floraison automatique
MCC9221,2025-08-28,Observation floraison automatique
MCB9886,2025-07-07,Observation floraison automatique
MCA3329,2025-07-18,Observation floraison automatique
MCA2822,2025-12-14,Observation floraison automatique
MCA6289,2025-08-06,Observation floraison automatique
MCB2666,2025-06-20,Observation floraison automatique
MCC1964,2025-09-19,Observation floraison automatique
MCB5200,2025-08-17,Observation floraison automatique
MCB2570,2025-12-29,Observation floraison automatique
MCA9859,2025-12-05,Observation floraison automatique
MCA6595,2025-07-17,Observation floraison automatique
MCB3369,2025-06-20,Observation floraison automatique
MCA3765,2025-12-11,Observation floraison automatique
MCC1200,2025-11-13,Observation floraison automatique
MCA0371,2025-08-05,Observation floraison automatique
MCA2343,2025-09-05,Observation floraison automatique
MCB9768,2025-06-05,Observation floraison automatique
MCB6529,2025-06-16,Observation floraison automatique
MCB1154,2025-12-13,Observation floraison automatique
MCA2324,2025-09-18,Observation floraison automatique
MCB3483,2025-12-15,Observation floraison automatique
MCB5193,2025-06-17,Observation floraison automatique
MCC6039,2025-08-23,Observation floraison automatique
MCA2202,2025-11-23,Observation floraison automatique
MCB8575,2025-11-01,Observation floraison automatique
MCB4425,2025-08-28,Observation floraison automatique
MCB6448,2025-06-15,Observation floraison automatique
MCC4173,2025-09-23,Observation floraison automatique
MCC3654,2025-11-02,Observation floraison automatique
MCB7370,2025-11-12,Observation floraison automatique
MCB7124,2025-12-07,Observation floraison automatique
MCA8978,2025-08-10,Observation floraison automatique
MCC3591,2025-07-28,Observation floraison automatique
MCB5264,2025-10-23,Observation floraison automatique
MCC9125,2025-09-11,Observation floraison automatique
MCB2639,2025-12-04,Observation floraison automatique
MCA9906,2025-11-15,Observation floraison automatique
MCB3351,2025-09-08,Observation floraison automatique
MCA1226,2025-11-01,Observation floraison automatique
MCC8369,2025-06-13,Observation floraison automatique
MCB5070,2025-12-07,Observation floraison automatique
MCC1544,2025-09-25,Observation floraison automatique
MCC9916,2025-12-07,Observation floraison automatique
MCC9255,2025-07-17,Observation floraison automatique
MCB4211,2025-12-28,Observation floraison automatique
MCC1789,2025-10-29,Observation floraison automatique
MCA9815,2025-12-01,Observation floraison automatique
MCA0207,2025-09-11,Observation floraison automatique
MCC8644,2025-06-11,Observation floraison automatique
MCB2188,2025-09-08,Observation floraison automatique
MCB4007,2025-06-20,Observation floraison automatique
MCA3006,2025-06-02,Observation floraison automatique
MCA2711,2025-08-10,Observation floraison automatique
MCA4057,2025-11-17,Observation floraison automatique
MCB6927,2025-07-15,Observation floraison automatique
MCA1626,2025-12-29,Observation floraison automatique
MCA9868,2025-10-03,Observation floraison automatique
MCB0774,2025-08-10,Observation floraison automatique
MCC6359,2025-11-28,Observation floraison automatique
MCA1690,2025-06-01,Observation floraison automatique
MCB3513,2025-12-25,Observation floraison automatique
MCA2725,2025-07-14,Observation floraison automatique
MCC8461,2025-10-03,Observation floraison automatique
MCB3782,2025-10-04,Observation floraison automatique
MCA0362,2025-12-15,Observation floraison automatique
MCB8620,2025-10-25,Observation floraison automatique
MCA3760,2025-12-12,Observation floraison automatique
MCC9788,2025-07-15,Observation floraison automatique
MCB7523,2025-08-29,Observation floraison automatique
MCB7355,2025-08-26,Observation floraison automatique
MCB6614,2025-12-02,Observation floraison automatique
MCB4313,2025-06-01,Observation floraison automatique
MCC1411,2025-07-20,Observation floraison automatique
MCC2381,2025-08-16,Observation floraison automatique
MCB4212,2025-08-19,Observation floraison automatique
MCC1324,2025-09-01,Observation floraison automatique
MCB3779,2025-12-15,Observation floraison automatique
MCA9683,2025-11-09,Observation floraison automatique
MCC8269,2025-10-27,Observation floraison automatique
