id_interne_zone,date,vent_min,vent_max,temp_moyenne,variation,note
2,2024-06-04,5.00,13.00,9.00,8.00,Observation meteo du 2024-06-04 (ete)
1,2024-06-05,0.00,14.00,7.00,14.00,Observation meteo du 2024-06-05 (ete)
2,2024-06-05,0.00,12.00,6.00,12.00,Observation meteo du 2024-06-05 (ete)
1,2024-06-06,5.00,12.00,8.50,7.00,Observation meteo du 2024-06-06 (ete)
2,2024-06-06,4.00,15.00,9.50,11.00,Observation meteo du 2024-06-06 (ete)
1,2024-06-07,3.00,15.00,9.00,12.00,Observation meteo du 2024-06-07 (ete)
2,2024-06-07,5.00,15.00,10.00,10.00,Observation meteo du 2024-06-07 (ete)
1,2024-06-08,4.00,10.00,7.00,6.00,Observation meteo du 2024-06-08 (ete)
2,2024-06-08,2.00,11.00,6.50,9.00,Observation meteo du 2024-06-08 (ete)
1,2024-06-09,2.00,10.00,6.00,8.00,Observation meteo du 2024-06-09 (ete)
2,2024-06-09,2.00,12.00,7.00,10.00,Observation meteo du 2024-06-09 (ete)
1,2024-06-10,0.00,11.00,5.50,11.00,Observation meteo du 2024-06-10 (ete)
2,2024-06-10,2.00,10.00,6.00,8.00,Observation meteo du 2024-06-10 (ete)
1,2024-06-11,5.00,12.00,8.50,7.00,Observation meteo du 2024-06-11 (ete)
2,2024-06-11,2.00,15.00,8.50,13.00,Observation meteo du 2024-06-11 (ete)
1,2024-06-12,5.00,13.00,9.00,8.00,Observation meteo du 2024-06-12 (ete)
2,2024-06-12,3.00,14.00,8.50,11.00,Observation meteo du 2024-06-12 (ete)
1,2024-06-13,0.00,13.00,6.50,13.00,Observation meteo du 2024-06-13 (ete)
2,2024-06-13,4.00,12.00,8.00,8.00,Observation meteo du 2024-06-13 (ete)
1,2024-06-14,3.00,13.00,8.00,10.00,Observation meteo du 2024-06-14 (ete)
2,2024-06-14,1.00,10.00,5.50,9.00,Observation meteo du 2024-06-14 (ete)
1,2024-06-15,5.00,14.00,9.50,9.00,Observation meteo du 2024-06-15 (ete)
2,2024-06-15,3.00,15.00,9.00,12.00,Observation meteo du 2024-06-15 (ete)
1,2024-06-16,1.00,11.00,6.00,10.00,Observation meteo du 2024-06-16 (ete)
2,2024-06-16,2.00,13.00,7.50,11.00,Observation meteo du 2024-06-16 (ete)
1,2024-06-17,2.00,12.00,7.00,10.00,Observation meteo du 2024-06-17 (ete)
2,2024-06-17,5.00,10.00,7.50,5.00,Observation meteo du 2024-06-17 (ete)
1,2024-06-18,3.00,12.00,7.50,9.00,Observation meteo du 2024-06-18 (ete)
2,2024-06-18,0.00,15.00,7.50,15.00,Observation meteo du 2024-06-18 (ete)
1,2024-06-19,5.00,15.00,10.00,10.00,Observation meteo du 2024-06-19 (ete)
2,2024-06-19,1.00,14.00,7.50,13.00,Observation meteo du 2024-06-19 (ete)
1,2024-06-20,2.00,10.00,6.00,8.00,Observation meteo du 2024-06-20 (ete)
2,2024-06-20,5.00,12.00,8.50,7.00,Observation meteo du 2024-06-20 (ete)
1,2024-06-21,4.00,10.00,7.00,6.00,Observation meteo du 2024-06-21 (ete)
2,2024-06-21,5.00,11.00,8.00,6.00,Observation meteo du 2024-06-21 (ete)
1,2024-06-22,3.00,11.00,7.00,8.00,Observation meteo du 2024-06-22 (ete)
2,2024-06-22,1.00,12.00,6.50,11.00,Observation meteo du 2024-06-22 (ete)
1,2024-06-23,3.00,10.00,6.50,7.00,Observation meteo du 2024-06-23 (ete)
2,2024-06-23,3.00,11.00,7.00,8.00,Observation meteo du 2024-06-23 (ete)
1,2024-06-24,5.00,11.00,8.00,6.00,Observation meteo du 2024-06-24 (ete)
2,2024-06-24,0.00,10.00,5.00,10.00,Observation meteo du 2024-06-24 (ete)
1,2024-06-25,2.00,13.00,7.50,11.00,Observation meteo du 2024-06-25 (ete)
2,2024-06-25,4.00,13.00,8.50,9.00,Observation meteo du 2024-06-25 (ete)
1,2024-06-26,0.00,13.00,6.50,13.00,Observation meteo du 2024-06-26 (ete)
2,2024-06-26,3.00,11.00,7.00,8.00,Observation meteo du 2024-06-26 (ete)
1,2024-06-27,3.00,10.00,6.50,7.00,Observation meteo du 2024-06-27 (ete)
2,2024-06-27,4.00,12.00,8.00,8.00,Observation meteo du 2024-06-27 (ete)
1,2024-06-28,2.00,12.00,7.00,10.00,Observation meteo du 2024-06-28 (ete)
2,2024-06-28,1.00,14.00,7.50,13.00,Observation meteo du 2024-06-28 (ete)
1,2024-06-29,0.00,10.00,5.00,10.00,Observation meteo du 2024-06-29 (ete)
2,2024-06-29,5.00,10.00,7.50,5.00,Observation meteo du 2024-06-29 (ete)
1,2024-06-30,4.00,15.00,9.50,11.00,Observation meteo du 2024-06-30 (ete)
2,2024-06-30,5.00,12.00,8.50,7.00,Observation meteo du 2024-06-30 (ete)
1,2024-07-01,2.00,11.00,6.50,9.00,Observation meteo du 2024-07-01 (ete)
2,2024-07-01,4.00,12.00,8.00,8.00,Observation meteo du 2024-07-01 (ete)
1,2024-07-02,4.00,11.00,7.50,7.00,Observation meteo du 2024-07-02 (ete)
2,2024-07-02,2.00,10.00,6.00,8.00,Observation meteo du 2024-07-02 (ete)
1,2024-07-03,4.00,15.00,9.50,11.00,Observation meteo du 2024-07-03 (ete)
2,2024-07-03,2.00,11.00,6.50,9.00,Observation meteo du 2024-07-03 (ete)
1,2024-07-04,2.00,11.00,6.50,9.00,Observation meteo du 2024-07-04 (ete)
2,2024-07-04,3.00,14.00,8.50,11.00,Observation meteo du 2024-07-04 (ete)
1,2024-07-05,4.00,14.00,9.00,10.00,Observation meteo du 2024-07-05 (ete)
2,2024-07-05,4.00,13.00,8.50,9.00,Observation meteo du 2024-07-05 (ete)
1,2024-07-06,5.00,15.00,10.00,10.00,Observation meteo du 2024-07-06 (ete)
2,2024-07-06,0.00,11.00,5.50,11.00,Observation meteo du 2024-07-06 (ete)
1,2024-07-07,2.00,15.00,8.50,13.00,Observation meteo du 2024-07-07 (ete)
2,2024-07-07,4.00,12.00,8.00,8.00,Observation meteo du 2024-07-07 (ete)
1,2024-07-08,5.00,13.00,9.00,8.00,Observation meteo du 2024-07-08 (ete)
2,2024-07-08,5.00,14.00,9.50,9.00,Observation meteo du 2024-07-08 (ete)
1,2024-07-09,2.00,14.00,8.00,12.00,Observation meteo du 2024-07-09 (ete)
2,2024-07-09,4.00,11.00,7.50,7.00,Observation meteo du 2024-07-09 (ete)
1,2024-07-10,5.00,14.00,9.50,9.00,Observation meteo du 2024-07-10 (ete)
2,2024-07-10,4.00,11.00,7.50,7.00,Observation meteo du 2024-07-10 (ete)
1,2024-07-11,2.00,14.00,8.00,12.00,Observation meteo du 2024-07-11 (ete)
2,2024-07-11,5.00,12.00,8.50,7.00,Observation meteo du 2024-07-11 (ete)
1,2024-07-12,2.00,11.00,6.50,9.00,Observation meteo du 2024-07-12 (ete)
2,2024-07-12,5.00,13.00,9.00,8.00,Observation meteo du 2024-07-12 (ete)
1,2024-07-13,3.00,14.00,8.50,11.00,Observation meteo du 2024-07-13 (ete)
2,2024-07-13,4.00,14.00,9.00,10.00,Observation meteo du 2024-07-13 (ete)
1,2024-07-14,2.00,15.00,8.50,13.00,Observation meteo du 2024-07-14 (ete)
2,2024-07-14,4.00,11.00,7.50,7.00,Observation meteo du 2024-07-14 (ete)
1,2024-07-15,3.00,14.00,8.50,11.00,Observation meteo du 2024-07-15 (ete)
2,2024-07-15,2.00,14.00,8.00,12.00,Observation meteo du 2024-07-15 (ete)
1,2024-07-16,2.00,13.00,7.50,11.00,Observation meteo du 2024-07-16 (ete)
2,2024-07-16,2.00,11.00,6.50,9.00,Observation meteo du 2024-07-16 (ete)
1,2024-07-17,1.00,12.00,6.50,11.00,Observation meteo du 2024-07-17 (ete)
2,2024-07-17,4.00,14.00,9.00,10.00,Observation meteo du 2024-07-17 (ete)
1,2024-07-18,3.00,13.00,8.00,10.00,Observation meteo du 2024-07-18 (ete)
2,2024-07-18,0.00,14.00,7.00,14.00,Observation meteo du 2024-07-18 (ete)
1,2024-07-19,5.00,11.00,8.00,6.00,Observation meteo du 2024-07-19 (ete)
2,2024-07-19,4.00,10.00,7.00,6.00,Observation meteo du 2024-07-19 (ete)
1,2024-07-20,4.00,12.00,8.00,8.00,Observation meteo du 2024-07-20 (ete)
2,2024-07-20,4.00,15.00,9.50,11.00,Observation meteo du 2024-07-20 (ete)
1,2024-07-21,0.00,12.00,6.00,12.00,Observation meteo du 2024-07-21 (ete)
2,2024-07-21,4.00,11.00,7.50,7.00,Observation meteo du 2024-07-21 (ete)
1,2024-07-22,3.00,14.00,8.50,11.00,Observation meteo du 2024-07-22 (ete)
2,2024-07-22,3.00,13.00,8.00,10.00,Observation meteo du 2024-07-22 (ete)
1,2024-07-23,5.00,12.00,8.50,7.00,Observation meteo du 2024-07-23 (ete)
2,2024-07-23,0.00,15.00,7.50,15.00,Observation meteo du 2024-07-23 (ete)
1,2024-07-24,4.00,10.00,7.00,6.00,Observation meteo du 2024-07-24 (ete)
2,2024-07-24,2.00,12.00,7.00,10.00,Observation meteo du 2024-07-24 (ete)
1,2024-07-25,2.00,15.00,8.50,13.00,Observation meteo du 2024-07-25 (ete)
2,2024-07-25,5.00,15.00,10.00,10.00,Observation meteo du 2024-07-25 (ete)
1,2024-07-26,4.00,10.00,7.00,6.00,Observation meteo du 2024-07-26 (ete)
2,2024-07-26,0.00,13.00,6.50,13.00,Observation meteo du 2024-07-26 (ete)
1,2024-07-27,3.00,14.00,8.50,11.00,Observation meteo du 2024-07-27 (ete)
2,2024-07-27,3.00,12.00,7.50,9.00,Observation meteo du 2024-07-27 (ete)
1,2024-07-28,5.00,11.00,8.00,6.00,Observation meteo du 2024-07-28 (ete)
2,2024-07-28,0.00,13.00,6.50,13.00,Observation meteo du 2024-07-28 (ete)
1,2024-07-29,0.00,13.00,6.50,13.00,Observation meteo du 2024-07-29 (ete)
2,2024-07-29,2.00,12.00,7.00,10.00,Observation meteo du 2024-07-29 (ete)
1,2024-07-30,4.00,13.00,8.50,9.00,Observation meteo du 2024-07-30 (ete)
2,2024-07-30,3.00,10.00,6.50,7.00,Observation meteo du 2024-07-30 (ete)
1,2024-07-31,3.00,15.00,9.00,12.00,Observation meteo du 2024-07-31 (ete)
2,2024-07-31,1.00,14.00,7.50,13.00,Observation meteo du 2024-07-31 (ete)
1,2024-08-01,0.00,13.00,6.50,13.00,Observation meteo du 2024-08-01 (ete)
2,2024-08-01,3.00,10.00,6.50,7.00,Observation meteo du 2024-08-01 (ete)
1,2024-08-02,3.00,12.00,7.50,9.00,Observation meteo du 2024-08-02 (ete)
2,2024-08-02,2.00,10.00,6.00,8.00,Observation meteo du 2024-08-02 (ete)
1,2024-08-03,5.00,14.00,9.50,9.00,Observation meteo du 2024-08-03 (ete)
2,2024-08-03,3.00,10.00,6.50,7.00,Observation meteo du 2024-08-03 (ete)
1,2024-08-04,2.00,15.00,8.50,13.00,Observation meteo du 2024-08-04 (ete)
2,2024-08-04,4.00,12.00,8.00,8.00,Observation meteo du 2024-08-04 (ete)
1,2024-08-05,4.00,12.00,8.00,8.00,Observation meteo du 2024-08-05 (ete)
2,2024-08-05,0.00,12.00,6.00,12.00,Observation meteo du 2024-08-05 (ete)
1,2024-08-06,3.00,14.00,8.50,11.00,Observation meteo du 2024-08-06 (ete)
2,2024-08-06,2.00,15.00,8.50,13.00,Observation meteo du 2024-08-06 (ete)
1,2024-08-07,0.00,11.00,5.50,11.00,Observation meteo du 2024-08-07 (ete)
2,2024-08-07,3.00,10.00,6.50,7.00,Observation meteo du 2024-08-07 (ete)
1,2024-08-08,4.00,14.00,9.00,10.00,Observation meteo du 2024-08-08 (ete)
2,2024-08-08,1.00,14.00,7.50,13.00,Observation meteo du 2024-08-08 (ete)
1,2024-08-09,3.00,14.00,8.50,11.00,Observation meteo du 2024-08-09 (ete)
2,2024-08-09,4.00,11.00,7.50,7.00,Observation meteo du 2024-08-09 (ete)
1,2024-08-10,0.00,12.00,6.00,12.00,Observation meteo du 2024-08-10 (ete)
2,2024-08-10,2.00,14.00,8.00,12.00,Observation meteo du 2024-08-10 (ete)
1,2024-08-11,1.00,10.00,5.50,9.00,Observation meteo du 2024-08-11 (ete)
2,2024-08-11,4.00,12.00,8.00,8.00,Observation meteo du 2024-08-11 (ete)
1,2024-08-12,1.00,14.00,7.50,13.00,Observation meteo du 2024-08-12 (ete)
2,2024-08-12,1.00,15.00,8.00,14.00,Observation meteo du 2024-08-12 (ete)
1,2024-08-13,5.00,13.00,9.00,8.00,Observation meteo du 2024-08-13 (ete)
2,2024-08-13,4.00,12.00,8.00,8.00,Observation meteo du 2024-08-13 (ete)
1,2024-08-14,0.00,13.00,6.50,13.00,Observation meteo du 2024-08-14 (ete)
2,2024-08-14,1.00,12.00,6.50,11.00,Observation meteo du 2024-08-14 (ete)
1,2024-08-15,4.00,15.00,9.50,11.00,Observation meteo du 2024-08-15 (ete)
2,2024-08-15,5.00,14.00,9.50,9.00,Observation meteo du 2024-08-15 (ete)
1,2024-08-16,1.00,14.00,7.50,13.00,Observation meteo du 2024-08-16 (ete)
2,2024-08-16,4.00,13.00,8.50,9.00,Observation meteo du 2024-08-16 (ete)
1,2024-08-17,3.00,13.00,8.00,10.00,Observation meteo du 2024-08-17 (ete)
2,2024-08-17,4.00,12.00,8.00,8.00,Observation meteo du 2024-08-17 (ete)
1,2024-08-18,0.00,10.00,5.00,10.00,Observation meteo du 2024-08-18 (ete)
2,2024-08-18,1.00,14.00,7.50,13.00,Observation meteo du 2024-08-18 (ete)
1,2024-08-19,0.00,10.00,5.00,10.00,Observation meteo du 2024-08-19 (ete)
2,2024-08-19,1.00,11.00,6.00,10.00,Observation meteo du 2024-08-19 (ete)
1,2024-08-20,4.00,10.00,7.00,6.00,Observation meteo du 2024-08-20 (ete)
2,2024-08-20,0.00,10.00,5.00,10.00,Observation meteo du 2024-08-20 (ete)
1,2024-08-21,3.00,13.00,8.00,10.00,Observation meteo du 2024-08-21 (ete)
2,2024-08-21,2.00,15.00,8.50,13.00,Observation meteo du 2024-08-21 (ete)
1,2024-08-22,5.00,14.00,9.50,9.00,Observation meteo du 2024-08-22 (ete)
2,2024-08-22,1.00,12.00,6.50,11.00,Observation meteo du 2024-08-22 (ete)
1,2024-08-23,1.00,15.00,8.00,14.00,Observation meteo du 2024-08-23 (ete)
2,2024-08-23,1.00,11.00,6.00,10.00,Observation meteo du 2024-08-23 (ete)
1,2024-08-24,1.00,14.00,7.50,13.00,Observation meteo du 2024-08-24 (ete)
2,2024-08-24,1.00,10.00,5.50,9.00,Observation meteo du 2024-08-24 (ete)
1,2024-08-25,2.00,12.00,7.00,10.00,Observation meteo du 2024-08-25 (ete)
2,2024-08-25,4.00,11.00,7.50,7.00,Observation meteo du 2024-08-25 (ete)
1,2024-08-26,5.00,13.00,9.00,8.00,Observation meteo du 2024-08-26 (ete)
2,2024-08-26,4.00,11.00,7.50,7.00,Observation meteo du 2024-08-26 (ete)
1,2024-08-27,0.00,13.00,6.50,13.00,Observation meteo du 2024-08-27 (ete)
2,2024-08-27,2.00,15.00,8.50,13.00,Observation meteo du 2024-08-27 (ete)
1,2024-08-28,1.00,15.00,8.00,14.00,Observation meteo du 2024-08-28 (ete)
2,2024-08-28,2.00,12.00,7.00,10.00,Observation meteo du 2024-08-28 (ete)
1,2024-08-29,3.00,10.00,6.50,7.00,Observation meteo du 2024-08-29 (ete)
2,2024-08-29,1.00,15.00,8.00,14.00,Observation meteo du 2024-08-29 (ete)
1,2024-08-30,1.00,11.00,6.00,10.00,Observation meteo du 2024-08-30 (ete)
2,2024-08-30,5.00,12.00,8.50,7.00,Observation meteo du 2024-08-30 (ete)
1,2024-08-31,3.00,11.00,7.00,8.00,Observation meteo du 2024-08-31 (ete)
2,2024-08-31,0.00,15.00,7.50,15.00,Observation meteo du 2024-08-31 (ete)
1,2024-09-01,9.00,29.00,19.00,20.00,Observation meteo du 2024-09-01 (automne)
2,2024-09-01,10.00,29.00,19.50,19.00,Observation meteo du 2024-09-01 (automne)
1,2024-09-02,8.00,27.00,17.50,19.00,Observation meteo du 2024-09-02 (automne)
2,2024-09-02,7.00,26.00,16.50,19.00,Observation meteo du 2024-09-02 (automne)
1,2024-09-03,8.00,25.00,16.50,17.00,Observation meteo du 2024-09-03 (automne)
2,2024-09-03,10.00,26.00,18.00,16.00,Observation meteo du 2024-09-03 (automne)
1,2024-09-04,6.00,25.00,15.50,19.00,Observation meteo du 2024-09-04 (automne)
2,2024-09-04,5.00,26.00,15.50,21.00,Observation meteo du 2024-09-04 (automne)
1,2024-09-05,9.00,28.00,18.50,19.00,Observation meteo du 2024-09-05 (automne)
2,2024-09-05,6.00,26.00,16.00,20.00,Observation meteo du 2024-09-05 (automne)
1,2024-09-06,8.00,25.00,16.50,17.00,Observation meteo du 2024-09-06 (automne)
2,2024-09-06,9.00,27.00,18.00,18.00,Observation meteo du 2024-09-06 (automne)
1,2024-09-07,6.00,30.00,18.00,24.00,Observation meteo du 2024-09-07 (automne)
2,2024-09-07,7.00,28.00,17.50,21.00,Observation meteo du 2024-09-07 (automne)
1,2024-09-08,9.00,29.00,19.00,20.00,Observation meteo du 2024-09-08 (automne)
2,2024-09-08,10.00,30.00,20.00,20.00,Observation meteo du 2024-09-08 (automne)
1,2024-09-09,8.00,29.00,18.50,21.00,Observation meteo du 2024-09-09 (automne)
2,2024-09-09,10.00,25.00,17.50,15.00,Observation meteo du 2024-09-09 (automne)
1,2024-09-10,10.00,27.00,18.50,17.00,Observation meteo du 2024-09-10 (automne)
2,2024-09-10,10.00,25.00,17.50,15.00,Observation meteo du 2024-09-10 (automne)
1,2024-09-11,5.00,28.00,16.50,23.00,Observation meteo du 2024-09-11 (automne)
2,2024-09-11,8.00,25.00,16.50,17.00,Observation meteo du 2024-09-11 (automne)
1,2024-09-12,6.00,26.00,16.00,20.00,Observation meteo du 2024-09-12 (automne)
2,2024-09-12,5.00,25.00,15.00,20.00,Observation meteo du 2024-09-12 (automne)
1,2024-09-13,9.00,28.00,18.50,19.00,Observation meteo du 2024-09-13 (automne)
2,2024-09-13,6.00,28.00,17.00,22.00,Observation meteo du 2024-09-13 (automne)
1,2024-09-14,8.00,30.00,19.00,22.00,Observation meteo du 2024-09-14 (automne)
2,2024-09-14,8.00,26.00,17.00,18.00,Observation meteo du 2024-09-14 (automne)
1,2024-09-15,10.00,25.00,17.50,15.00,Observation meteo du 2024-09-15 (automne)
2,2024-09-15,10.00,28.00,19.00,18.00,Observation meteo du 2024-09-15 (automne)
1,2024-09-16,5.00,29.00,17.00,24.00,Observation meteo du 2024-09-16 (automne)
2,2024-09-16,7.00,28.00,17.50,21.00,Observation meteo du 2024-09-16 (automne)
1,2024-09-17,7.00,27.00,17.00,20.00,Observation meteo du 2024-09-17 (automne)
2,2024-09-17,7.00,29.00,18.00,22.00,Observation meteo du 2024-09-17 (automne)
1,2024-09-18,10.00,28.00,19.00,18.00,Observation meteo du 2024-09-18 (automne)
2,2024-09-18,9.00,27.00,18.00,18.00,Observation meteo du 2024-09-18 (automne)
1,2024-09-19,9.00,28.00,18.50,19.00,Observation meteo du 2024-09-19 (automne)
2,2024-09-19,9.00,25.00,17.00,16.00,Observation meteo du 2024-09-19 (automne)
1,2024-09-20,5.00,28.00,16.50,23.00,Observation meteo du 2024-09-20 (automne)
2,2024-09-20,9.00,28.00,18.50,19.00,Observation meteo du 2024-09-20 (automne)
1,2024-09-21,9.00,30.00,19.50,21.00,Observation meteo du 2024-09-21 (automne)
2,2024-09-21,10.00,28.00,19.00,18.00,Observation meteo du 2024-09-21 (automne)
1,2024-09-22,10.00,28.00,19.00,18.00,Observation meteo du 2024-09-22 (automne)
2,2024-09-22,6.00,30.00,18.00,24.00,Observation meteo du 2024-09-22 (automne)
1,2024-09-23,9.00,30.00,19.50,21.00,Observation meteo du 2024-09-23 (automne)
2,2024-09-23,7.00,26.00,16.50,19.00,Observation meteo du 2024-09-23 (automne)
1,2024-09-24,10.00,29.00,19.50,19.00,Observation meteo du 2024-09-24 (automne)
2,2024-09-24,6.00,29.00,17.50,23.00,Observation meteo du 2024-09-24 (automne)
1,2024-09-25,8.00,25.00,16.50,17.00,Observation meteo du 2024-09-25 (automne)
2,2024-09-25,9.00,29.00,19.00,20.00,Observation meteo du 2024-09-25 (automne)
1,2024-09-26,6.00,27.00,16.50,21.00,Observation meteo du 2024-09-26 (automne)
2,2024-09-26,5.00,28.00,16.50,23.00,Observation meteo du 2024-09-26 (automne)
1,2024-09-27,7.00,26.00,16.50,19.00,Observation meteo du 2024-09-27 (automne)
2,2024-09-27,5.00,28.00,16.50,23.00,Observation meteo du 2024-09-27 (automne)
1,2024-09-28,10.00,26.00,18.00,16.00,Observation meteo du 2024-09-28 (automne)
2,2024-09-28,7.00,25.00,16.00,18.00,Observation meteo du 2024-09-28 (automne)
1,2024-09-29,10.00,26.00,18.00,16.00,Observation meteo du 2024-09-29 (automne)
2,2024-09-29,6.00,25.00,15.50,19.00,Observation meteo du 2024-09-29 (automne)
1,2024-09-30,9.00,25.00,17.00,16.00,Observation meteo du 2024-09-30 (automne)
2,2024-09-30,5.00,25.00,15.00,20.00,Observation meteo du 2024-09-30 (automne)
