id_interne_zone,date,pres_min,pres_max,temp_moyenne,variation,note
1,2024-05-16,952.00,1027.00,989.50,75.00,Observation meteo du 2024-05-16 (printemps)
2,2024-05-16,980.00,1027.00,1003.50,47.00,Observation meteo du 2024-05-16 (printemps)
1,2024-05-17,990.00,1036.00,1013.00,46.00,Observation meteo du 2024-05-17 (printemps)
2,2024-05-17,958.00,1027.00,992.50,69.00,Observation meteo du 2024-05-17 (printemps)
1,2024-05-18,959.00,995.00,977.00,36.00,Observation meteo du 2024-05-18 (printemps)
2,2024-05-18,965.00,1050.00,1007.50,85.00,Observation meteo du 2024-05-18 (printemps)
1,2024-05-19,1000.00,1028.00,1014.00,28.00,Observation meteo du 2024-05-19 (printemps)
2,2024-05-19,986.00,996.00,991.00,10.00,Observation meteo du 2024-05-19 (printemps)
1,2024-05-20,981.00,995.00,988.00,14.00,Observation meteo du 2024-05-20 (printemps)
2,2024-05-20,988.00,1007.00,997.50,19.00,Observation meteo du 2024-05-20 (printemps)
1,2024-05-21,970.00,1027.00,998.50,57.00,Observation meteo du 2024-05-21 (printemps)
2,2024-05-21,996.00,1025.00,1010.50,29.00,Observation meteo du 2024-05-21 (printemps)
1,2024-05-22,965.00,978.00,971.50,13.00,Observation meteo du 2024-05-22 (printemps)
2,2024-05-22,998.00,1016.00,1007.00,18.00,Observation meteo du 2024-05-22 (printemps)
1,2024-05-23,1000.00,1046.00,1023.00,46.00,Observation meteo du 2024-05-23 (printemps)
2,2024-05-23,990.00,1031.00,1010.50,41.00,Observation meteo du 2024-05-23 (printemps)
1,2024-05-24,983.00,1000.00,991.50,17.00,Observation meteo du 2024-05-24 (printemps)
2,2024-05-24,996.00,1010.00,1003.00,14.00,Observation meteo du 2024-05-24 (printemps)
1,2024-05-25,1000.00,1039.00,1019.50,39.00,Observation meteo du 2024-05-25 (printemps)
2,2024-05-25,967.00,1029.00,998.00,62.00,Observation meteo du 2024-05-25 (printemps)
1,2024-05-26,986.00,1044.00,1015.00,58.00,Observation meteo du 2024-05-26 (printemps)
2,2024-05-26,977.00,989.00,983.00,12.00,Observation meteo du 2024-05-26 (printemps)
1,2024-05-27,980.00,1002.00,991.00,22.00,Observation meteo du 2024-05-27 (printemps)
2,2024-05-27,974.00,1027.00,1000.50,53.00,Observation meteo du 2024-05-27 (printemps)
1,2024-05-28,988.00,1032.00,1010.00,44.00,Observation meteo du 2024-05-28 (printemps)
2,2024-05-28,977.00,1002.00,989.50,25.00,Observation meteo du 2024-05-28 (printemps)
1,2024-05-29,958.00,996.00,977.00,38.00,Observation meteo du 2024-05-29 (printemps)
2,2024-05-29,981.00,1010.00,995.50,29.00,Observation meteo du 2024-05-29 (printemps)
1,2024-05-30,972.00,1018.00,995.00,46.00,Observation meteo du 2024-05-30 (printemps)
2,2024-05-30,983.00,1022.00,1002.50,39.00,Observation meteo du 2024-05-30 (printemps)
1,2024-05-31,974.00,1012.00,993.00,38.00,Observation meteo du 2024-05-31 (printemps)
2,2024-05-31,954.00,1035.00,994.50,81.00,Observation meteo du 2024-05-31 (printemps)
1,2024-06-01,982.00,1025.00,1003.50,43.00,Observation meteo du 2024-06-01 (ete)
2,2024-06-01,959.00,1050.00,1004.50,91.00,Observation meteo du 2024-06-01 (ete)
1,2024-06-02,972.00,1019.00,995.50,47.00,Observation meteo du 2024-06-02 (ete)
2,2024-06-02,973.00,1044.00,1008.50,71.00,Observation meteo du 2024-06-02 (ete)
1,2024-06-03,997.00,1021.00,1009.00,24.00,Observation meteo du 2024-06-03 (ete)
2,2024-06-03,983.00,1007.00,995.00,24.00,Observation meteo du 2024-06-03 (ete)
1,2024-06-04,962.00,991.00,976.50,29.00,Observation meteo du 2024-06-04 (ete)
2,2024-06-04,979.00,998.00,988.50,19.00,Observation meteo du 2024-06-04 (ete)
1,2024-06-05,975.00,1030.00,1002.50,55.00,Observation meteo du 2024-06-05 (ete)
2,2024-06-05,968.00,1029.00,998.50,61.00,Observation meteo du 2024-06-05 (ete)
1,2024-06-06,980.00,1022.00,1001.00,42.00,Observation meteo du 2024-06-06 (ete)
2,2024-06-06,959.00,1023.00,991.00,64.00,Observation meteo du 2024-06-06 (ete)
1,2024-06-07,986.00,1047.00,1016.50,61.00,Observation meteo du 2024-06-07 (ete)
2,2024-06-07,982.00,1033.00,1007.50,51.00,Observation meteo du 2024-06-07 (ete)
1,2024-06-08,983.00,994.00,988.50,11.00,Observation meteo du 2024-06-08 (ete)
2,2024-06-08,962.00,993.00,977.50,31.00,Observation meteo du 2024-06-08 (ete)
1,2024-06-09,979.00,1050.00,1014.50,71.00,Observation meteo du 2024-06-09 (ete)
2,2024-06-09,977.00,995.00,986.00,18.00,Observation meteo du 2024-06-09 (ete)
1,2024-06-10,993.00,1024.00,1008.50,31.00,Observation meteo du 2024-06-10 (ete)
2,2024-06-10,973.00,1000.00,986.50,27.00,Observation meteo du 2024-06-10 (ete)
1,2024-06-11,995.00,1010.00,1002.50,15.00,Observation meteo du 2024-06-11 (ete)
2,2024-06-11,972.00,1043.00,1007.50,71.00,Observation meteo du 2024-06-11 (ete)
1,2024-06-12,983.00,1012.00,997.50,29.00,Observation meteo du 2024-06-12 (ete)
2,2024-06-12,986.00,1014.00,1000.00,28.00,Observation meteo du 2024-06-12 (ete)
1,2024-06-13,997.00,1025.00,1011.00,28.00,Observation meteo du 2024-06-13 (ete)
2,2024-06-13,984.00,998.00,991.00,14.00,Observation meteo du 2024-06-13 (ete)
1,2024-06-14,991.00,1043.00,1017.00,52.00,Observation meteo du 2024-06-14 (ete)
2,2024-06-14,983.00,1045.00,1014.00,62.00,Observation meteo du 2024-06-14 (ete)
1,2024-06-15,995.00,1029.00,1012.00,34.00,Observation meteo du 2024-06-15 (ete)
2,2024-06-15,981.00,1048.00,1014.50,67.00,Observation meteo du 2024-06-15 (ete)
1,2024-06-16,993.00,1019.00,1006.00,26.00,Observation meteo du 2024-06-16 (ete)
2,2024-06-16,977.00,1008.00,992.50,31.00,Observation meteo du 2024-06-16 (ete)
1,2024-06-17,984.00,1025.00,1004.50,41.00,Observation meteo du 2024-06-17 (ete)
2,2024-06-17,960.00,1024.00,992.00,64.00,Observation meteo du 2024-06-17 (ete)
1,2024-06-18,961.00,1002.00,981.50,41.00,Observation meteo du 2024-06-18 (ete)
2,2024-06-18,992.00,1038.00,1015.00,46.00,Observation meteo du 2024-06-18 (ete)
1,2024-06-19,971.00,1011.00,991.00,40.00,Observation meteo du 2024-06-19 (ete)
2,2024-06-19,966.00,976.00,971.00,10.00,Observation meteo du 2024-06-19 (ete)
1,2024-06-20,996.00,1026.00,1011.00,30.00,Observation meteo du 2024-06-20 (ete)
2,2024-06-20,978.00,1030.00,1004.00,52.00,Observation meteo du 2024-06-20 (ete)
1,2024-06-21,982.00,992.00,987.00,10.00,Observation meteo du 2024-06-21 (ete)
2,2024-06-21,953.00,994.00,973.50,41.00,Observation meteo du 2024-06-21 (ete)
1,2024-06-22,956.00,991.00,973.50,35.00,Observation meteo du 2024-06-22 (ete)
2,2024-06-22,997.00,1009.00,1003.00,12.00,Observation meteo du 2024-06-22 (ete)
1,2024-06-23,951.00,1000.00,975.50,49.00,Observation meteo du 2024-06-23 (ete)
2,2024-06-23,970.00,992.00,981.00,22.00,Observation meteo du 2024-06-23 (ete)
1,2024-06-24,993.00,1047.00,1020.00,54.00,Observation meteo du 2024-06-24 (ete)
2,2024-06-24,959.00,1013.00,986.00,54.00,Observation meteo du 2024-06-24 (ete)
1,2024-06-25,988.00,1029.00,1008.50,41.00,Observation meteo du 2024-06-25 (ete)
2,2024-06-25,960.00,1049.00,1004.50,89.00,Observation meteo du 2024-06-25 (ete)
1,2024-06-26,989.00,1037.00,1013.00,48.00,Observation meteo du 2024-06-26 (ete)
2,2024-06-26,985.00,1005.00,995.00,20.00,Observation meteo du 2024-06-26 (ete)
1,2024-06-27,982.00,1017.00,999.50,35.00,Observation meteo du 2024-06-27 (ete)
2,2024-06-27,986.00,1031.00,1008.50,45.00,Observation meteo du 2024-06-27 (ete)
1,2024-06-28,987.00,1033.00,1010.00,46.00,Observation meteo du 2024-06-28 (ete)
2,2024-06-28,976.00,1047.00,1011.50,71.00,Observation meteo du 2024-06-28 (ete)
1,2024-06-29,986.00,1016.00,1001.00,30.00,Observation meteo du 2024-06-29 (ete)
2,2024-06-29,957.00,984.00,970.50,27.00,Observation meteo du 2024-06-29 (ete)
1,2024-06-30,990.00,1044.00,1017.00,54.00,Observation meteo du 2024-06-30 (ete)
2,2024-06-30,993.00,1034.00,1013.50,41.00,Observation meteo du 2024-06-30 (ete)
1,2024-07-01,981.00,1003.00,992.00,22.00,Observation meteo du 2024-07-01 (ete)
2,2024-07-01,965.00,1000.00,982.50,35.00,Observation meteo du 2024-07-01 (ete)
1,2024-07-02,980.00,992.00,986.00,12.00,Observation meteo du 2024-07-02 (ete)
2,2024-07-02,951.00,1019.00,985.00,68.00,Observation meteo du 2024-07-02 (ete)
1,2024-07-03,958.00,1019.00,988.50,61.00,Observation meteo du 2024-07-03 (ete)
2,2024-07-03,952.00,974.00,963.00,22.00,Observation meteo du 2024-07-03 (ete)
1,2024-07-04,955.00,1019.00,987.00,64.00,Observation meteo du 2024-07-04 (ete)
2,2024-07-04,992.00,1016.00,1004.00,24.00,Observation meteo du 2024-07-04 (ete)
1,2024-07-05,964.00,1027.00,995.50,63.00,Observation meteo du 2024-07-05 (ete)
2,2024-07-05,999.00,1035.00,1017.00,36.00,Observation meteo du 2024-07-05 (ete)
1,2024-07-06,952.00,962.00,957.00,10.00,Observation meteo du 2024-07-06 (ete)
2,2024-07-06,999.00,1019.00,1009.00,20.00,Observation meteo du 2024-07-06 (ete)
1,2024-07-07,950.00,989.00,969.50,39.00,Observation meteo du 2024-07-07 (ete)
2,2024-07-07,990.00,1009.00,999.50,19.00,Observation meteo du 2024-07-07 (ete)
1,2024-07-08,952.00,1011.00,981.50,59.00,Observation meteo du 2024-07-08 (ete)
2,2024-07-08,952.00,975.00,963.50,23.00,Observation meteo du 2024-07-08 (ete)
1,2024-07-09,969.00,990.00,979.50,21.00,Observation meteo du 2024-07-09 (ete)
2,2024-07-09,996.00,1030.00,1013.00,34.00,Observation meteo du 2024-07-09 (ete)
1,2024-07-10,962.00,1037.00,999.50,75.00,Observation meteo du 2024-07-10 (ete)
2,2024-07-10,977.00,1010.00,993.50,33.00,Observation meteo du 2024-07-10 (ete)
1,2024-07-11,953.00,1044.00,998.50,91.00,Observation meteo du 2024-07-11 (ete)
2,2024-07-11,983.00,1019.00,1001.00,36.00,Observation meteo du 2024-07-11 (ete)
1,2024-07-12,975.00,1043.00,1009.00,68.00,Observation meteo du 2024-07-12 (ete)
2,2024-07-12,975.00,1037.00,1006.00,62.00,Observation meteo du 2024-07-12 (ete)
1,2024-07-13,985.00,995.00,990.00,10.00,Observation meteo du 2024-07-13 (ete)
2,2024-07-13,981.00,1022.00,1001.50,41.00,Observation meteo du 2024-07-13 (ete)
1,2024-07-14,998.00,1022.00,1010.00,24.00,Observation meteo du 2024-07-14 (ete)
2,2024-07-14,994.00,1034.00,1014.00,40.00,Observation meteo du 2024-07-14 (ete)
1,2024-07-15,998.00,1048.00,1023.00,50.00,Observation meteo du 2024-07-15 (ete)
2,2024-07-15,994.00,1021.00,1007.50,27.00,Observation meteo du 2024-07-15 (ete)
1,2024-07-16,993.00,1006.00,999.50,13.00,Observation meteo du 2024-07-16 (ete)
2,2024-07-16,954.00,1010.00,982.00,56.00,Observation meteo du 2024-07-16 (ete)
1,2024-07-17,952.00,1044.00,998.00,92.00,Observation meteo du 2024-07-17 (ete)
2,2024-07-17,973.00,1022.00,997.50,49.00,Observation meteo du 2024-07-17 (ete)
1,2024-07-18,988.00,1030.00,1009.00,42.00,Observation meteo du 2024-07-18 (ete)
2,2024-07-18,991.00,1012.00,1001.50,21.00,Observation meteo du 2024-07-18 (ete)
1,2024-07-19,968.00,984.00,976.00,16.00,Observation meteo du 2024-07-19 (ete)
2,2024-07-19,999.00,1036.00,1017.50,37.00,Observation meteo du 2024-07-19 (ete)
1,2024-07-20,989.00,1047.00,1018.00,58.00,Observation meteo du 2024-07-20 (ete)
2,2024-07-20,986.00,1005.00,995.50,19.00,Observation meteo du 2024-07-20 (ete)
1,2024-07-21,961.00,1001.00,981.00,40.00,Observation meteo du 2024-07-21 (ete)
2,2024-07-21,981.00,1047.00,1014.00,66.00,Observation meteo du 2024-07-21 (ete)
1,2024-07-22,976.00,1016.00,996.00,40.00,Observation meteo du 2024-07-22 (ete)
2,2024-07-22,957.00,984.00,970.50,27.00,Observation meteo du 2024-07-22 (ete)
1,2024-07-23,989.00,1008.00,998.50,19.00,Observation meteo du 2024-07-23 (ete)
2,2024-07-23,994.00,1030.00,1012.00,36.00,Observation meteo du 2024-07-23 (ete)
1,2024-07-24,960.00,1000.00,980.00,40.00,Observation meteo du 2024-07-24 (ete)
2,2024-07-24,961.00,986.00,973.50,25.00,Observation meteo du 2024-07-24 (ete)
1,2024-07-25,980.00,1006.00,993.00,26.00,Observation meteo du 2024-07-25 (ete)
2,2024-07-25,970.00,1024.00,997.00,54.00,Observation meteo du 2024-07-25 (ete)
1,2024-07-26,971.00,1004.00,987.50,33.00,Observation meteo du 2024-07-26 (ete)
2,2024-07-26,960.00,1024.00,992.00,64.00,Observation meteo du 2024-07-26 (ete)
1,2024-07-27,950.00,1047.00,998.50,97.00,Observation meteo du 2024-07-27 (ete)
2,2024-07-27,996.00,1014.00,1005.00,18.00,Observation meteo du 2024-07-27 (ete)
1,2024-07-28,995.00,1015.00,1005.00,20.00,Observation meteo du 2024-07-28 (ete)
2,2024-07-28,983.00,1032.00,1007.50,49.00,Observation meteo du 2024-07-28 (ete)
1,2024-07-29,957.00,1045.00,1001.00,88.00,Observation meteo du 2024-07-29 (ete)
2,2024-07-29,967.00,1047.00,1007.00,80.00,Observation meteo du 2024-07-29 (ete)
1,2024-07-30,991.00,1026.00,1008.50,35.00,Observation meteo du 2024-07-30 (ete)
2,2024-07-30,975.00,1007.00,991.00,32.00,Observation meteo du 2024-07-30 (ete)
1,2024-07-31,973.00,1014.00,993.50,41.00,Observation meteo du 2024-07-31 (ete)
2,2024-07-31,981.00,1012.00,996.50,31.00,Observation meteo du 2024-07-31 (ete)
1,2024-08-01,958.00,1040.00,999.00,82.00,Observation meteo du 2024-08-01 (ete)
2,2024-08-01,986.00,1044.00,1015.00,58.00,Observation meteo du 2024-08-01 (ete)
1,2024-08-02,963.00,996.00,979.50,33.00,Observation meteo du 2024-08-02 (ete)
2,2024-08-02,955.00,1021.00,988.00,66.00,Observation meteo du 2024-08-02 (ete)
1,2024-08-03,1000.00,1010.00,1005.00,10.00,Observation meteo du 2024-08-03 (ete)
2,2024-08-03,967.00,1043.00,1005.00,76.00,Observation meteo du 2024-08-03 (ete)
1,2024-08-04,969.00,1019.00,994.00,50.00,Observation meteo du 2024-08-04 (ete)
2,2024-08-04,960.00,1007.00,983.50,47.00,Observation meteo du 2024-08-04 (ete)
1,2024-08-05,953.00,1033.00,993.00,80.00,Observation meteo du 2024-08-05 (ete)
2,2024-08-05,952.00,1008.00,980.00,56.00,Observation meteo du 2024-08-05 (ete)
1,2024-08-06,973.00,997.00,985.00,24.00,Observation meteo du 2024-08-06 (ete)
2,2024-08-06,992.00,1004.00,998.00,12.00,Observation meteo du 2024-08-06 (ete)
1,2024-08-07,984.00,1050.00,1017.00,66.00,Observation meteo du 2024-08-07 (ete)
2,2024-08-07,967.00,979.00,973.00,12.00,Observation meteo du 2024-08-07 (ete)
1,2024-08-08,972.00,1000.00,986.00,28.00,Observation meteo du 2024-08-08 (ete)
2,2024-08-08,989.00,1019.00,1004.00,30.00,Observation meteo du 2024-08-08 (ete)
1,2024-08-09,951.00,978.00,964.50,27.00,Observation meteo du 2024-08-09 (ete)
2,2024-08-09,962.00,984.00,973.00,22.00,Observation meteo du 2024-08-09 (ete)
1,2024-08-10,958.00,979.00,968.50,21.00,Observation meteo du 2024-08-10 (ete)
2,2024-08-10,969.00,1045.00,1007.00,76.00,Observation meteo du 2024-08-10 (ete)
1,2024-08-11,994.00,1025.00,1009.50,31.00,Observation meteo du 2024-08-11 (ete)
2,2024-08-11,973.00,1038.00,1005.50,65.00,Observation meteo du 2024-08-11 (ete)
1,2024-08-12,990.00,1025.00,1007.50,35.00,Observation meteo du 2024-08-12 (ete)
2,2024-08-12,958.00,980.00,969.00,22.00,Observation meteo du 2024-08-12 (ete)
1,2024-08-13,969.00,980.00,974.50,11.00,Observation meteo du 2024-08-13 (ete)
2,2024-08-13,985.00,1020.00,1002.50,35.00,Observation meteo du 2024-08-13 (ete)
1,2024-08-14,958.00,974.00,966.00,16.00,Observation meteo du 2024-08-14 (ete)
2,2024-08-14,978.00,1048.00,1013.00,70.00,Observation meteo du 2024-08-14 (ete)
1,2024-08-15,988.00,1011.00,999.50,23.00,Observation meteo du 2024-08-15 (ete)
2,2024-08-15,951.00,1001.00,976.00,50.00,Observation meteo du 2024-08-15 (ete)
1,2024-08-16,972.00,987.00,979.50,15.00,Observation meteo du 2024-08-16 (ete)
2,2024-08-16,986.00,1026.00,1006.00,40.00,Observation meteo du 2024-08-16 (ete)
1,2024-08-17,950.00,1013.00,981.50,63.00,Observation meteo du 2024-08-17 (ete)
2,2024-08-17,969.00,992.00,980.50,23.00,Observation meteo du 2024-08-17 (ete)
1,2024-08-18,975.00,1032.00,1003.50,57.00,Observation meteo du 2024-08-18 (ete)
2,2024-08-18,1000.00,1028.00,1014.00,28.00,Observation meteo du 2024-08-18 (ete)
1,2024-08-19,965.00,1043.00,1004.00,78.00,Observation meteo du 2024-08-19 (ete)
2,2024-08-19,986.00,1034.00,1010.00,48.00,Observation meteo du 2024-08-19 (ete)
1,2024-08-20,984.00,995.00,989.50,11.00,Observation meteo du 2024-08-20 (ete)
2,2024-08-20,1000.00,1037.00,1018.50,37.00,Observation meteo du 2024-08-20 (ete)
1,2024-08-21,990.00,1006.00,998.00,16.00,Observation meteo du 2024-08-21 (ete)
2,2024-08-21,960.00,992.00,976.00,32.00,Observation meteo du 2024-08-21 (ete)
1,2024-08-22,957.00,1020.00,988.50,63.00,Observation meteo du 2024-08-22 (ete)
2,2024-08-22,967.00,1012.00,989.50,45.00,Observation meteo du 2024-08-22 (ete)
1,2024-08-23,975.00,993.00,984.00,18.00,Observation meteo du 2024-08-23 (ete)
2,2024-08-23,981.00,994.00,987.50,13.00,Observation meteo du 2024-08-23 (ete)
1,2024-08-24,998.00,1027.00,1012.50,29.00,Observation meteo du 2024-08-24 (ete)
2,2024-08-24,957.00,1035.00,996.00,78.00,Observation meteo du 2024-08-24 (ete)
1,2024-08-25,973.00,993.00,983.00,20.00,Observation meteo du 2024-08-25 (ete)
2,2024-08-25,961.00,1000.00,980.50,39.00,Observation meteo du 2024-08-25 (ete)
1,2024-08-26,975.00,1034.00,1004.50,59.00,Observation meteo du 2024-08-26 (ete)
2,2024-08-26,965.00,1011.00,988.00,46.00,Observation meteo du 2024-08-26 (ete)
1,2024-08-27,988.00,1021.00,1004.50,33.00,Observation meteo du 2024-08-27 (ete)
2,2024-08-27,983.00,1004.00,993.50,21.00,Observation meteo du 2024-08-27 (ete)
1,2024-08-28,996.00,1018.00,1007.00,22.00,Observation meteo du 2024-08-28 (ete)
2,2024-08-28,956.00,1043.00,999.50,87.00,Observation meteo du 2024-08-28 (ete)
1,2024-08-29,960.00,986.00,973.00,26.00,Observation meteo du 2024-08-29 (ete)
2,2024-08-29,965.00,1024.00,994.50,59.00,Observation meteo du 2024-08-29 (ete)
1,2024-08-30,954.00,975.00,964.50,21.00,Observation meteo du 2024-08-30 (ete)
2,2024-08-30,954.00,1030.00,992.00,76.00,Observation meteo du 2024-08-30 (ete)
1,2024-08-31,988.00,1015.00,1001.50,27.00,Observation meteo du 2024-08-31 (ete)
2,2024-08-31,990.00,1019.00,1004.50,29.00,Observation meteo du 2024-08-31 (ete)
1,2024-09-01,966.00,979.00,972.50,13.00,Observation meteo du 2024-09-01 (automne)
2,2024-09-01,977.00,990.00,983.50,13.00,Observation meteo du 2024-09-01 (automne)
1,2024-09-02,956.00,1050.00,1003.00,94.00,Observation meteo du 2024-09-02 (automne)
2,2024-09-02,985.00,1025.00,1005.00,40.00,Observation meteo du 2024-09-02 (automne)
1,2024-09-03,1000.00,1026.00,1013.00,26.00,Observation meteo du 2024-09-03 (automne)
2,2024-09-03,972.00,998.00,985.00,26.00,Observation meteo du 2024-09-03 (automne)
1,2024-09-04,975.00,1046.00,1010.50,71.00,Observation meteo du 2024-09-04 (automne)
2,2024-09-04,995.00,1034.00,1014.50,39.00,Observation meteo du 2024-09-04 (automne)
1,2024-09-05,1000.00,1025.00,1012.50,25.00,Observation meteo du 2024-09-05 (automne)
2,2024-09-05,973.00,1042.00,1007.50,69.00,Observation meteo du 2024-09-05 (automne)
1,2024-09-06,978.00,1006.00,992.00,28.00,Observation meteo du 2024-09-06 (automne)
2,2024-09-06,986.00,1016.00,1001.00,30.00,Observation meteo du 2024-09-06 (automne)
1,2024-09-07,961.00,973.00,967.00,12.00,Observation meteo du 2024-09-07 (automne)
2,2024-09-07,980.00,1018.00,999.00,38.00,Observation meteo du 2024-09-07 (automne)
1,2024-09-08,968.00,1041.00,1004.50,73.00,Observation meteo du 2024-09-08 (automne)
2,2024-09-08,989.00,1028.00,1008.50,39.00,Observation meteo du 2024-09-08 (automne)
1,2024-09-09,951.00,1030.00,990.50,79.00,Observation meteo du 2024-09-09 (automne)
2,2024-09-09,968.00,991.00,979.50,23.00,Observation meteo du 2024-09-09 (automne)
1,2024-09-10,985.00,1026.00,1005.50,41.00,Observation meteo du 2024-09-10 (automne)
2,2024-09-10,989.00,1014.00,1001.50,25.00,Observation meteo du 2024-09-10 (automne)
1,2024-09-11,991.00,1030.00,1010.50,39.00,Observation meteo du 2024-09-11 (automne)
2,2024-09-11,999.00,1045.00,1022.00,46.00,Observation meteo du 2024-09-11 (automne)
1,2024-09-12,958.00,1048.00,1003.00,90.00,Observation meteo du 2024-09-12 (automne)
2,2024-09-12,959.00,1027.00,993.00,68.00,Observation meteo du 2024-09-12 (automne)
1,2024-09-13,983.00,1016.00,999.50,33.00,Observation meteo du 2024-09-13 (automne)
2,2024-09-13,994.00,1036.00,1015.00,42.00,Observation meteo du 2024-09-13 (automne)
1,2024-09-14,968.00,1042.00,1005.00,74.00,Observation meteo du 2024-09-14 (automne)
2,2024-09-14,969.00,1045.00,1007.00,76.00,Observation meteo du 2024-09-14 (automne)
1,2024-09-15,990.00,1034.00,1012.00,44.00,Observation meteo du 2024-09-15 (automne)
2,2024-09-15,957.00,989.00,973.00,32.00,Observation meteo du 2024-09-15 (automne)
1,2024-09-16,951.00,984.00,967.50,33.00,Observation meteo du 2024-09-16 (automne)
2,2024-09-16,966.00,1028.00,997.00,62.00,Observation meteo du 2024-09-16 (automne)
1,2024-09-17,950.00,968.00,959.00,18.00,Observation meteo du 2024-09-17 (automne)
2,2024-09-17,984.00,1018.00,1001.00,34.00,Observation meteo du 2024-09-17 (automne)
1,2024-09-18,988.00,1023.00,1005.50,35.00,Observation meteo du 2024-09-18 (automne)
2,2024-09-18,978.00,1045.00,1011.50,67.00,Observation meteo du 2024-09-18 (automne)
1,2024-09-19,960.00,1042.00,1001.00,82.00,Observation meteo du 2024-09-19 (automne)
2,2024-09-19,957.00,1036.00,996.50,79.00,Observation meteo du 2024-09-19 (automne)
1,2024-09-20,956.00,1041.00,998.50,85.00,Observation meteo du 2024-09-20 (automne)
2,2024-09-20,988.00,1013.00,1000.50,25.00,Observation meteo du 2024-09-20 (automne)
1,2024-09-21,974.00,991.00,982.50,17.00,Observation meteo du 2024-09-21 (automne)
2,2024-09-21,996.00,1016.00,1006.00,20.00,Observation meteo du 2024-09-21 (automne)
1,2024-09-22,978.00,1050.00,1014.00,72.00,Observation meteo du 2024-09-22 (automne)
2,2024-09-22,962.00,1017.00,989.50,55.00,Observation meteo du 2024-09-22 (automne)
1,2024-09-23,971.00,1027.00,999.00,56.00,Observation meteo du 2024-09-23 (automne)
2,2024-09-23,961.00,1035.00,998.00,74.00,Observation meteo du 2024-09-23 (automne)
1,2024-09-24,977.00,1011.00,994.00,34.00,Observation meteo du 2024-09-24 (automne)
2,2024-09-24,997.00,1012.00,1004.50,15.00,Observation meteo du 2024-09-24 (automne)
1,2024-09-25,990.00,1017.00,1003.50,27.00,Observation meteo du 2024-09-25 (automne)
2,2024-09-25,993.00,1042.00,1017.50,49.00,Observation meteo du 2024-09-25 (automne)
1,2024-09-26,963.00,1026.00,994.50,63.00,Observation meteo du 2024-09-26 (automne)
2,2024-09-26,995.00,1035.00,1015.00,40.00,Observation meteo du 2024-09-26 (automne)
1,2024-09-27,983.00,1015.00,999.00,32.00,Observation meteo du 2024-09-27 (automne)
