id_interne_zone,date,temp_min,temp_max,temp_moyenne,variation,note
2,2025-10-06,-37,11,-13.00,-48.00,Observation automatique
2,2025-07-16,-21,46,12.50,-67.00,Observation automatique
2,2025-07-09,-34,6,-14.00,-40.00,Observation automatique
1,2025-06-16,-21,28,3.50,-49.00,Observation automatique
1,2025-12-20,-40,4,-18.00,-44.00,Observation automatique
1,2025-10-05,0,1,0.50,-1.00,Observation automatique
2,2025-08-21,-40,42,1.00,-82.00,Observation automatique
1,2025-11-08,-24,10,-7.00,-34.00,Observation automatique
1,2025-10-03,-34,30,-2.00,-64.00,Observation automatique
1,2025-07-20,-24,19,-2.50,-43.00,Observation automatique
1,2025-11-23,-41,22,-9.50,-63.00,Observation automatique
1,2025-08-22,-18,13,-2.50,-31.00,Observation automatique
2,2025-08-28,-30,27,-1.50,-57.00,Observation automatique
2,2025-09-21,0,29,14.50,-29.00,Observation automatique
2,2025-10-18,-19,7,-6.00,-26.00,Observation automatique
1,2025-11-15,-34,3,-15.50,-37.00,Observation automatique
2,2025-12-30,-25,20,-2.50,-45.00,Observation automatique
2,2025-06-07,-46,40,-3.00,-86.00,Observation automatique
2,2025-11-03,-43,14,-14.50,-57.00,Observation automatique
2,2025-10-25,-26,12,-7.00,-38.00,Observation automatique
2,2025-07-12,-27,36,4.50,-63.00,Observation automatique
2,2025-11-06,-34,5,-14.50,-39.00,Observation automatique
2,2025-07-28,-6,23,8.50,-29.00,Observation automatique
1,2025-10-07,-22,39,8.50,-61.00,Observation automatique
2,2025-08-27,-8,30,11.00,-38.00,Observation automatique
1,2025-12-14,-12,36,12.00,-48.00,Observation automatique
2,2025-08-18,-44,6,-19.00,-50.00,Observation automatique
2,2025-07-21,-15,50,17.50,-65.00,Observation automatique
1,2025-09-26,-50,36,-7.00,-86.00,Observation automatique
2,2025-12-08,-33,27,-3.00,-60.00,Observation automatique
1,2025-09-08,-44,29,-7.50,-73.00,Observation automatique
1,2025-11-16,-33,41,4.00,-74.00,Observation automatique
1,2025-10-20,-23,27,2.00,-50.00,Observation automatique
1,2025-10-26,-16,17,0.50,-33.00,Observation automatique
2,2025-08-24,-3,45,21.00,-48.00,Observation automatique
1,2025-09-14,-28,24,-2.00,-52.00,Observation automatique
1,2025-08-23,-34,37,1.50,-71.00,Observation automatique
2,2025-09-16,-17,33,8.00,-50.00,Observation automatique
1,2025-11-27,-36,21,-7.50,-57.00,Observation automatique
2,2025-06-21,-31,32,0.50,-63.00,Observation automatique
2,2025-09-26,-14,22,4.00,-36.00,Observation automatique
1,2025-06-07,-18,11,-3.50,-29.00,Observation automatique
2,2025-06-04,-25,10,-7.50,-35.00,Observation automatique
1,2025-08-01,-37,22,-7.50,-59.00,Observation automatique
1,2025-06-13,-44,36,-4.00,-80.00,Observation automatique
2,2025-06-15,-3,27,12.00,-30.00,Observation automatique
1,2025-12-30,-4,40,18.00,-44.00,Observation automatique
1,2025-07-24,-28,34,3.00,-62.00,Observation automatique
2,2025-10-12,-22,50,14.00,-72.00,Observation automatique
2,2025-09-27,-3,24,10.50,-27.00,Observation automatique
1,2025-10-23,-24,3,-10.50,-27.00,Observation automatique
1,2025-08-30,-19,29,5.00,-48.00,Observation automatique
2,2025-09-12,-45,30,-7.50,-75.00,Observation automatique
1,2025-09-16,-32,12,-10.00,-44.00,Observation automatique
2,2025-09-03,-29,6,-11.50,-35.00,Observation automatique
1,2025-07-06,-29,16,-6.50,-45.00,Observation automatique
1,2025-09-12,-12,8,-2.00,-20.00,Observation automatique
2,2025-07-24,-46,24,-11.00,-70.00,Observation automatique
1,2025-06-27,-44,25,-9.50,-69.00,Observation automatique
1,2025-07-22,-26,14,-6.00,-40.00,Observation automatique
2,2025-11-29,-7,37,15.00,-44.00,Observation automatique
2,2025-08-11,-23,44,10.50,-67.00,Observation automatique
2,2025-07-01,-34,35,0.50,-69.00,Observation automatique
2,2025-11-07,-31,22,-4.50,-53.00,Observation automatique
1,2025-12-28,-25,37,6.00,-62.00,Observation automatique
1,2025-09-05,-18,11,-3.50,-29.00,Observation automatique
2,2025-06-26,-36,28,-4.00,-64.00,Observation automatique
1,2025-06-15,-39,24,-7.50,-63.00,Observation automatique
2,2025-07-29,-8,47,19.50,-55.00,Observation automatique
1,2025-09-29,-42,38,-2.00,-80.00,Observation automatique
1,2025-09-27,-50,49,-0.50,-99.00,Observation automatique
2,2025-10-16,0,4,2.00,-4.00,Observation automatique
2,2025-09-01,-31,12,-9.50,-43.00,Observation automatique
2,2025-09-06,-17,27,5.00,-44.00,Observation automatique
1,2025-11-30,-4,47,21.50,-51.00,Observation automatique
2,2025-10-14,-20,8,-6.00,-28.00,Observation automatique
2,2025-08-04,-48,15,-16.50,-63.00,Observation automatique
1,2025-08-15,-33,35,1.00,-68.00,Observation automatique
2,2025-11-10,0,30,15.00,-30.00,Observation automatique
2,2025-06-08,-9,11,1.00,-20.00,Observation automatique
1,2025-10-09,-17,31,7.00,-48.00,Observation automatique
2,2025-10-29,-1,48,23.50,-49.00,Observation automatique
2,2025-12-29,-46,2,-22.00,-48.00,Observation automatique
2,2025-12-12,-4,29,12.50,-33.00,Observation automatique
2,2025-11-23,-11,33,11.00,-44.00,Observation automatique
2,2025-09-22,-12,10,-1.00,-22.00,Observation automatique
2,2025-11-14,-13,46,16.50,-59.00,Observation automatique
1,2025-07-09,-47,44,-1.50,-91.00,Observation automatique
1,2025-07-31,0,17,8.50,-17.00,Observation automatique
2,2025-10-17,-26,31,2.50,-57.00,Observation automatique
1,2025-08-24,0,31,15.50,-31.00,Observation automatique
2,2025-10-28,-37,48,5.50,-85.00,Observation automatique
2,2025-06-09,-47,29,-9.00,-76.00,Observation automatique
2,2025-12-05,-46,10,-18.00,-56.00,Observation automatique
1,2025-07-01,-8,14,3.00,-22.00,Observation automatique
2,2025-11-08,-47,10,-18.50,-57.00,Observation automatique
2,2025-10-31,-8,2,-3.00,-10.00,Observation automatique
1,2025-06-22,-25,50,12.50,-75.00,Observation automatique
2,2025-06-10,-3,28,12.50,-31.00,Observation automatique
2,2025-09-05,-16,36,10.00,-52.00,Observation automatique
1,2025-09-11,-13,37,12.00,-50.00,Observation automatique
1,2025-11-18,-31,17,-7.00,-48.00,Observation automatique
1,2025-07-30,-43,5,-19.00,-48.00,Observation automatique
1,2025-06-18,-43,47,2.00,-90.00,Observation automatique
1,2025-06-30,-21,37,8.00,-58.00,Observation automatique
2,2025-08-15,-8,19,5.50,-27.00,Observation automatique
1,2025-06-17,-40,44,2.00,-84.00,Observation automatique
2,2025-08-06,-43,32,-5.50,-75.00,Observation automatique
2,2025-11-09,-16,8,-4.00,-24.00,Observation automatique
1,2025-11-19,-38,19,-9.50,-57.00,Observation automatique
2,2025-12-04,-11,16,2.50,-27.00,Observation automatique
1,2025-09-17,-38,25,-6.50,-63.00,Observation automatique
1,2025-06-02,-29,20,-4.50,-49.00,Observation automatique
1,2025-10-08,-47,36,-5.50,-83.00,Observation automatique
1,2025-07-18,-25,49,12.00,-74.00,Observation automatique
2,2025-12-03,-21,8,-6.50,-29.00,Observation automatique
1,2025-09-18,-33,35,1.00,-68.00,Observation automatique
2,2025-07-19,-22,37,7.50,-59.00,Observation automatique
1,2025-07-03,-30,30,0.00,-60.00,Observation automatique
1,2025-11-29,-12,8,-2.00,-20.00,Observation automatique
1,2025-07-08,-36,12,-12.00,-48.00,Observation automatique
1,2025-11-22,-48,40,-4.00,-88.00,Observation automatique
1,2025-10-15,-22,36,7.00,-58.00,Observation automatique
1,2025-08-25,-19,7,-6.00,-26.00,Observation automatique
1,2025-11-21,-6,9,1.50,-15.00,Observation automatique
2,2025-10-21,-22,18,-2.00,-40.00,Observation automatique
2,2025-09-23,-40,22,-9.00,-62.00,Observation automatique
2,2025-11-17,-6,23,8.50,-29.00,Observation automatique
2,2025-11-12,-29,9,-10.00,-38.00,Observation automatique
1,2025-07-02,-3,1,-1.00,-4.00,Observation automatique
1,2025-10-19,-24,7,-8.50,-31.00,Observation automatique
1,2025-12-05,-31,18,-6.50,-49.00,Observation automatique
1,2025-07-05,-17,47,15.00,-64.00,Observation automatique
2,2025-06-01,-36,20,-8.00,-56.00,Observation automatique
2,2025-12-01,-7,3,-2.00,-10.00,Observation automatique
2,2025-09-25,-44,41,-1.50,-85.00,Observation automatique
1,2025-09-10,-31,38,3.50,-69.00,Observation automatique
2,2025-09-15,-29,38,4.50,-67.00,Observation automatique
1,2025-11-05,-10,37,13.50,-47.00,Observation automatique
1,2025-10-28,-39,38,-0.50,-77.00,Observation automatique
1,2025-12-21,-44,21,-11.50,-65.00,Observation automatique
1,2025-08-08,-41,14,-13.50,-55.00,Observation automatique
2,2025-09-04,-13,8,-2.50,-21.00,Observation automatique
1,2025-08-19,-18,45,13.50,-63.00,Observation automatique
1,2025-12-03,-3,0,-1.50,-3.00,Observation automatique
1,2025-06-24,-15,19,2.00,-34.00,Observation automatique
2,2025-06-23,-31,17,-7.00,-48.00,Observation automatique
1,2025-08-16,-40,3,-18.50,-43.00,Observation automatique
1,2025-08-31,-45,44,-0.50,-89.00,Observation automatique
2,2025-11-01,-19,4,-7.50,-23.00,Observation automatique
2,2025-11-22,-23,7,-8.00,-30.00,Observation automatique
2,2025-09-02,-20,15,-2.50,-35.00,Observation automatique
1,2025-06-11,-43,43,0.00,-86.00,Observation automatique
2,2025-12-17,-10,19,4.50,-29.00,Observation automatique
2,2025-06-16,-13,17,2.00,-30.00,Observation automatique
2,2025-06-02,-35,32,-1.50,-67.00,Observation automatique
2,2025-06-22,-18,12,-3.00,-30.00,Observation automatique
1,2025-08-26,-15,26,5.50,-41.00,Observation automatique
1,2025-08-14,-32,2,-15.00,-34.00,Observation automatique
1,2025-12-25,-36,34,-1.00,-70.00,Observation automatique
2,2025-12-16,-22,5,-8.50,-27.00,Observation automatique
2,2025-11-21,-27,15,-6.00,-42.00,Observation automatique
2,2025-10-01,-25,16,-4.50,-41.00,Observation automatique
1,2025-12-17,-43,7,-18.00,-50.00,Observation automatique
2,2025-07-11,-29,43,7.00,-72.00,Observation automatique
1,2025-10-10,-8,22,7.00,-30.00,Observation automatique
2,2025-11-04,-13,23,5.00,-36.00,Observation automatique
2,2025-06-30,-24,49,12.50,-73.00,Observation automatique
2,2025-12-28,-8,3,-2.50,-11.00,Observation automatique
1,2025-09-15,-31,37,3.00,-68.00,Observation automatique
2,2025-12-09,-21,28,3.50,-49.00,Observation automatique
2,2025-11-16,-34,39,2.50,-73.00,Observation automatique
2,2025-07-05,-17,29,6.00,-46.00,Observation automatique
1,2025-09-28,-17,38,10.50,-55.00,Observation automatique
1,2025-10-02,-45,5,-20.00,-50.00,Observation automatique
2,2025-08-19,-49,12,-18.50,-61.00,Observation automatique
1,2025-07-16,-47,7,-20.00,-54.00,Observation automatique
1,2025-11-07,-46,32,-7.00,-78.00,Observation automatique
1,2025-10-25,-41,42,0.50,-83.00,Observation automatique
2,2025-07-30,-18,2,-8.00,-20.00,Observation automatique
1,2025-06-05,-31,18,-6.50,-49.00,Observation automatique
1,2025-12-04,-17,27,5.00,-44.00,Observation automatique
2,2025-12-18,-14,20,3.00,-34.00,Observation automatique
1,2025-08-05,-42,22,-10.00,-64.00,Observation automatique
2,2025-10-10,-27,17,-5.00,-44.00,Observation automatique
1,2025-10-22,-7,33,13.00,-40.00,Observation automatique
1,2025-06-14,-5,9,2.00,-14.00,Observation automatique
1,2025-12-15,-30,44,7.00,-74.00,Observation automatique
1,2025-08-07,-33,44,5.50,-77.00,Observation automatique
2,2025-12-10,-43,3,-20.00,-46.00,Observation automatique
2,2025-08-20,-5,18,6.50,-23.00,Observation automatique
2,2025-06-17,-40,25,-7.50,-65.00,Observation automatique
2,2025-08-16,-10,42,16.00,-52.00,Observation automatique
2,2025-12-15,-48,34,-7.00,-82.00,Observation automatique
2,2025-11-02,-14,13,-0.50,-27.00,Observation automatique
2,2025-07-04,-17,17,0.00,-34.00,Observation automatique
1,2025-07-26,-6,4,-1.00,-10.00,Observation automatique
1,2025-09-07,-36,45,4.50,-81.00,Observation automatique
2,2025-07-20,-2,17,7.50,-19.00,Observation automatique
2,2025-06-18,-9,14,2.50,-23.00,Observation automatique
1,2025-09-25,-20,2,-9.00,-22.00,Observation automatique
2,2025-12-26,-33,38,2.50,-71.00,Observation automatique
2,2025-09-11,-12,10,-1.00,-22.00,Observation automatique
1,2025-09-09,-14,24,5.00,-38.00,Observation automatique
1,2025-08-04,-15,38,11.50,-53.00,Observation automatique
2,2025-06-27,-16,10,-3.00,-26.00,Observation automatique
1,2025-10-30,-22,3,-9.50,-25.00,Observation automatique
1,2025-06-20,-1,1,0.00,-2.00,Observation automatique
1,2025-11-26,-31,31,0.00,-62.00,Observation automatique
2,2025-09-17,-20,43,11.50,-63.00,Observation automatique
2,2025-09-09,-1,14,6.50,-15.00,Observation automatique
1,2025-11-12,-39,20,-9.50,-59.00,Observation automatique
1,2025-07-14,-29,39,5.00,-68.00,Observation automatique
2,2025-08-17,-35,12,-11.50,-47.00,Observation automatique
1,2025-10-01,-14,14,0.00,-28.00,Observation automatique
1,2025-07-13,-31,48,8.50,-79.00,Observation automatique
1,2025-12-19,-20,30,5.00,-50.00,Observation automatique
1,2025-10-17,-9,2,-3.50,-11.00,Observation automatique
2,2025-09-13,-18,34,8.00,-52.00,Observation automatique
2,2025-09-29,-28,3,-12.50,-31.00,Observation automatique
1,2025-10-04,-48,47,-0.50,-95.00,Observation automatique
2,2025-10-02,-5,36,15.50,-41.00,Observation automatique
1,2025-11-13,-26,36,5.00,-62.00,Observation automatique
1,2025-12-02,-14,30,8.00,-44.00,Observation automatique
