id_interne_zone,date,hum_min,hum_max,hum_moyenne,variation,note
1,2025-07-10,33,69,51.00,36.00,Observation automatique
2,2025-10-03,30,70,50.00,40.00,Observation automatique
2,2025-11-27,42,53,47.50,11.00,Observation automatique
1,2025-08-12,49,92,70.50,43.00,Observation automatique
1,2025-12-13,16,88,52.00,72.00,Observation automatique
2,2025-10-06,19,96,57.50,77.00,Observation automatique
2,2025-07-16,29,69,49.00,40.00,Observation automatique
2,2025-07-09,39,59,49.00,20.00,Observation automatique
1,2025-06-16,28,74,51.00,46.00,Observation automatique
1,2025-12-20,14,98,56.00,84.00,Observation automatique
1,2025-10-05,3,54,28.50,51.00,Observation automatique
2,2025-08-21,6,50,28.00,44.00,Observation automatique
1,2025-11-08,26,99,62.50,73.00,Observation automatique
1,2025-10-03,49,77,63.00,28.00,Observation automatique
1,2025-07-20,27,77,52.00,50.00,Observation automatique
1,2025-11-23,28,59,43.50,31.00,Observation automatique
1,2025-08-22,34,62,48.00,28.00,Observation automatique
2,2025-08-28,20,70,45.00,50.00,Observation automatique
2,2025-09-21,26,66,46.00,40.00,Observation automatique
2,2025-10-18,48,51,49.50,3.00,Observation automatique
1,2025-11-15,17,59,38.00,42.00,Observation automatique
2,2025-12-30,2,82,42.00,80.00,Observation automatique
2,2025-06-07,36,78,57.00,42.00,Observation automatique
2,2025-11-03,30,59,44.50,29.00,Observation automatique
2,2025-10-25,34,54,44.00,20.00,Observation automatique
2,2025-07-12,16,58,37.00,42.00,Observation automatique
2,2025-11-06,0,56,28.00,56.00,Observation automatique
2,2025-07-28,38,81,59.50,43.00,Observation automatique
1,2025-10-07,9,97,53.00,88.00,Observation automatique
2,2025-08-27,4,55,29.50,51.00,Observation automatique
1,2025-12-14,6,71,38.50,65.00,Observation automatique
2,2025-08-18,34,89,61.50,55.00,Observation automatique
2,2025-07-21,2,86,44.00,84.00,Observation automatique
1,2025-09-26,40,88,64.00,48.00,Observation automatique
2,2025-12-08,45,52,48.50,7.00,Observation automatique
1,2025-09-08,47,69,58.00,22.00,Observation automatique
1,2025-11-16,12,76,44.00,64.00,Observation automatique
1,2025-10-20,13,78,45.50,65.00,Observation automatique
1,2025-10-26,8,78,43.00,70.00,Observation automatique
2,2025-08-24,20,87,53.50,67.00,Observation automatique
1,2025-09-14,29,64,46.50,35.00,Observation automatique
1,2025-08-23,11,60,35.50,49.00,Observation automatique
2,2025-09-16,13,67,40.00,54.00,Observation automatique
1,2025-11-27,1,99,50.00,98.00,Observation automatique
2,2025-06-21,9,90,49.50,81.00,Observation automatique
2,2025-09-26,47,99,73.00,52.00,Observation automatique
1,2025-06-07,10,61,35.50,51.00,Observation automatique
2,2025-06-04,22,73,47.50,51.00,Observation automatique
1,2025-08-01,17,56,36.50,39.00,Observation automatique
1,2025-06-13,5,81,43.00,76.00,Observation automatique
2,2025-06-15,15,64,39.50,49.00,Observation automatique
1,2025-12-30,42,73,57.50,31.00,Observation automatique
1,2025-07-24,46,69,57.50,23.00,Observation automatique
2,2025-10-12,17,90,53.50,73.00,Observation automatique
2,2025-09-27,42,73,57.50,31.00,Observation automatique
1,2025-10-23,33,60,46.50,27.00,Observation automatique
1,2025-08-30,0,80,40.00,80.00,Observation automatique
2,2025-09-12,25,76,50.50,51.00,Observation automatique
1,2025-09-16,47,83,65.00,36.00,Observation automatique
2,2025-09-03,30,73,51.50,43.00,Observation automatique
1,2025-07-06,17,83,50.00,66.00,Observation automatique
1,2025-09-12,24,76,50.00,52.00,Observation automatique
2,2025-07-24,39,59,49.00,20.00,Observation automatique
1,2025-06-27,2,84,43.00,82.00,Observation automatique
1,2025-07-22,48,97,72.50,49.00,Observation automatique
2,2025-11-29,5,90,47.50,85.00,Observation automatique
2,2025-08-11,18,60,39.00,42.00,Observation automatique
2,2025-07-01,7,66,36.50,59.00,Observation automatique
2,2025-11-07,41,70,55.50,29.00,Observation automatique
1,2025-12-28,15,67,41.00,52.00,Observation automatique
1,2025-09-05,14,81,47.50,67.00,Observation automatique
2,2025-06-26,41,90,65.50,49.00,Observation automatique
1,2025-06-15,44,65,54.50,21.00,Observation automatique
2,2025-07-29,33,80,56.50,47.00,Observation automatique
1,2025-09-29,27,58,42.50,31.00,Observation automatique
1,2025-09-27,38,57,47.50,19.00,Observation automatique
2,2025-10-16,32,62,47.00,30.00,Observation automatique
2,2025-09-01,18,82,50.00,64.00,Observation automatique
2,2025-09-06,31,96,63.50,65.00,Observation automatique
1,2025-11-30,7,52,29.50,45.00,Observation automatique
2,2025-10-14,18,62,40.00,44.00,Observation automatique
2,2025-08-04,8,87,47.50,79.00,Observation automatique
1,2025-08-15,38,91,64.50,53.00,Observation automatique
2,2025-11-10,42,95,68.50,53.00,Observation automatique
2,2025-06-08,8,95,51.50,87.00,Observation automatique
1,2025-10-09,4,77,40.50,73.00,Observation automatique
2,2025-10-29,4,79,41.50,75.00,Observation automatique
2,2025-12-29,12,93,52.50,81.00,Observation automatique
2,2025-12-12,7,52,29.50,45.00,Observation automatique
2,2025-11-23,41,90,65.50,49.00,Observation automatique
2,2025-09-22,34,93,63.50,59.00,Observation automatique
2,2025-11-14,35,60,47.50,25.00,Observation automatique
1,2025-07-09,22,95,58.50,73.00,Observation automatique
1,2025-07-31,23,88,55.50,65.00,Observation automatique
2,2025-10-17,7,57,32.00,50.00,Observation automatique
1,2025-08-24,17,70,43.50,53.00,Observation automatique
2,2025-10-28,6,50,28.00,44.00,Observation automatique
2,2025-06-09,25,79,52.00,54.00,Observation automatique
2,2025-12-05,21,56,38.50,35.00,Observation automatique
1,2025-07-01,22,71,46.50,49.00,Observation automatique
2,2025-11-08,37,94,65.50,57.00,Observation automatique
2,2025-10-31,0,82,41.00,82.00,Observation automatique
1,2025-06-22,37,64,50.50,27.00,Observation automatique
2,2025-06-10,40,95,67.50,55.00,Observation automatique
2,2025-09-05,28,81,54.50,53.00,Observation automatique
1,2025-09-11,14,55,34.50,41.00,Observation automatique
1,2025-11-18,35,60,47.50,25.00,Observation automatique
1,2025-07-30,4,73,38.50,69.00,Observation automatique
1,2025-06-18,12,80,46.00,68.00,Observation automatique
1,2025-06-30,40,80,60.00,40.00,Observation automatique
2,2025-08-15,13,75,44.00,62.00,Observation automatique
1,2025-06-17,47,96,71.50,49.00,Observation automatique
2,2025-08-06,47,81,64.00,34.00,Observation automatique
2,2025-11-09,44,64,54.00,20.00,Observation automatique
1,2025-11-19,28,69,48.50,41.00,Observation automatique
2,2025-12-04,22,82,52.00,60.00,Observation automatique
1,2025-09-17,34,83,58.50,49.00,Observation automatique
1,2025-06-02,40,63,51.50,23.00,Observation automatique
1,2025-10-08,21,58,39.50,37.00,Observation automatique
1,2025-07-18,44,66,55.00,22.00,Observation automatique
2,2025-12-03,10,69,39.50,59.00,Observation automatique
1,2025-09-18,38,83,60.50,45.00,Observation automatique
2,2025-07-19,20,91,55.50,71.00,Observation automatique
1,2025-07-03,8,52,30.00,44.00,Observation automatique
1,2025-11-29,16,52,34.00,36.00,Observation automatique
1,2025-07-08,16,52,34.00,36.00,Observation automatique
1,2025-11-22,39,66,52.50,27.00,Observation automatique
1,2025-10-15,6,88,47.00,82.00,Observation automatique
1,2025-08-25,41,95,68.00,54.00,Observation automatique
1,2025-11-21,39,59,49.00,20.00,Observation automatique
2,2025-10-21,27,52,39.50,25.00,Observation automatique
2,2025-09-23,18,87,52.50,69.00,Observation automatique
2,2025-11-17,41,55,48.00,14.00,Observation automatique
2,2025-11-12,27,68,47.50,41.00,Observation automatique
1,2025-07-02,3,50,26.50,47.00,Observation automatique
1,2025-10-19,17,70,43.50,53.00,Observation automatique
1,2025-12-05,9,75,42.00,66.00,Observation automatique
1,2025-07-05,32,90,61.00,58.00,Observation automatique
2,2025-06-01,34,95,64.50,61.00,Observation automatique
2,2025-12-01,14,89,51.50,75.00,Observation automatique
2,2025-09-25,19,92,55.50,73.00,Observation automatique
1,2025-09-10,41,56,48.50,15.00,Observation automatique
2,2025-09-15,13,61,37.00,48.00,Observation automatique
1,2025-11-05,39,72,55.50,33.00,Observation automatique
1,2025-10-28,18,70,44.00,52.00,Observation automatique
1,2025-12-21,45,59,52.00,14.00,Observation automatique
1,2025-08-08,7,88,47.50,81.00,Observation automatique
2,2025-09-04,23,70,46.50,47.00,Observation automatique
1,2025-08-19,48,51,49.50,3.00,Observation automatique
1,2025-12-03,2,85,43.50,83.00,Observation automatique
1,2025-06-24,13,51,32.00,38.00,Observation automatique
2,2025-06-23,20,72,46.00,52.00,Observation automatique
1,2025-08-16,29,66,47.50,37.00,Observation automatique
1,2025-08-31,3,85,44.00,82.00,Observation automatique
2,2025-11-01,18,63,40.50,45.00,Observation automatique
2,2025-11-22,18,63,40.50,45.00,Observation automatique
2,2025-09-02,13,62,37.50,49.00,Observation automatique
1,2025-06-11,1,66,33.50,65.00,Observation automatique
2,2025-12-17,42,83,62.50,41.00,Observation automatique
2,2025-06-16,43,89,66.00,46.00,Observation automatique
2,2025-06-02,47,85,66.00,38.00,Observation automatique
2,2025-06-22,1,52,26.50,51.00,Observation automatique
1,2025-08-26,47,91,69.00,44.00,Observation automatique
1,2025-08-14,47,79,63.00,32.00,Observation automatique
1,2025-12-25,34,97,65.50,63.00,Observation automatique
2,2025-12-16,8,98,53.00,90.00,Observation automatique
2,2025-11-21,44,50,47.00,6.00,Observation automatique
2,2025-10-01,34,99,66.50,65.00,Observation automatique
1,2025-12-17,13,75,44.00,62.00,Observation automatique
2,2025-07-11,30,50,40.00,20.00,Observation automatique
1,2025-10-10,7,61,34.00,54.00,Observation automatique
2,2025-11-04,42,61,51.50,19.00,Observation automatique
2,2025-06-30,39,74,56.50,35.00,Observation automatique
2,2025-12-28,40,81,60.50,41.00,Observation automatique
1,2025-09-15,39,87,63.00,48.00,Observation automatique
2,2025-12-09,13,63,38.00,50.00,Observation automatique
2,2025-11-16,44,72,58.00,28.00,Observation automatique
2,2025-07-05,31,59,45.00,28.00,Observation automatique
1,2025-09-28,8,55,31.50,47.00,Observation automatique
1,2025-10-02,11,56,33.50,45.00,Observation automatique
2,2025-08-19,43,81,62.00,38.00,Observation automatique
1,2025-07-16,5,71,38.00,66.00,Observation automatique
1,2025-11-07,29,57,43.00,28.00,Observation automatique
1,2025-10-25,27,98,62.50,71.00,Observation automatique
2,2025-07-30,47,77,62.00,30.00,Observation automatique
1,2025-06-05,42,58,50.00,16.00,Observation automatique
1,2025-12-04,38,74,56.00,36.00,Observation automatique
2,2025-12-18,12,86,49.00,74.00,Observation automatique
1,2025-08-05,25,94,59.50,69.00,Observation automatique
2,2025-10-10,0,85,42.50,85.00,Observation automatique
1,2025-10-22,18,89,53.50,71.00,Observation automatique
1,2025-06-14,19,90,54.50,71.00,Observation automatique
1,2025-12-15,17,62,39.50,45.00,Observation automatique
1,2025-08-07,15,71,43.00,56.00,Observation automatique
2,2025-12-10,2,94,48.00,92.00,Observation automatique
2,2025-08-20,18,92,55.00,74.00,Observation automatique
2,2025-06-17,23,58,40.50,35.00,Observation automatique
2,2025-08-16,12,85,48.50,73.00,Observation automatique
2,2025-12-15,10,68,39.00,58.00,Observation automatique
2,2025-11-02,17,79,48.00,62.00,Observation automatique
2,2025-07-04,36,71,53.50,35.00,Observation automatique
1,2025-07-26,32,67,49.50,35.00,Observation automatique
1,2025-09-07,7,96,51.50,89.00,Observation automatique
2,2025-07-20,32,64,48.00,32.00,Observation automatique
2,2025-06-18,36,74,55.00,38.00,Observation automatique
1,2025-09-25,19,95,57.00,76.00,Observation automatique
2,2025-12-26,35,92,63.50,57.00,Observation automatique
2,2025-09-11,38,86,62.00,48.00,Observation automatique
1,2025-09-09,5,97,51.00,92.00,Observation automatique
1,2025-08-04,11,72,41.50,61.00,Observation automatique
2,2025-06-27,26,88,57.00,62.00,Observation automatique
1,2025-10-30,33,99,66.00,66.00,Observation automatique
1,2025-06-20,4,77,40.50,73.00,Observation automatique
1,2025-11-26,47,62,54.50,15.00,Observation automatique
2,2025-09-17,13,52,32.50,39.00,Observation automatique
2,2025-09-09,25,67,46.00,42.00,Observation automatique
1,2025-11-12,40,55,47.50,15.00,Observation automatique
1,2025-07-14,6,52,29.00,46.00,Observation automatique
2,2025-08-17,35,86,60.50,51.00,Observation automatique
1,2025-10-01,12,79,45.50,67.00,Observation automatique
1,2025-07-13,49,74,61.50,25.00,Observation automatique
1,2025-12-19,46,95,70.50,49.00,Observation automatique
1,2025-10-17,28,92,60.00,64.00,Observation automatique
2,2025-09-13,11,57,34.00,46.00,Observation automatique
2,2025-09-29,5,64,34.50,59.00,Observation automatique
1,2025-10-04,22,59,40.50,37.00,Observation automatique
2,2025-10-02,40,86,63.00,46.00,Observation automatique
1,2025-11-13,24,59,41.50,35.00,Observation automatique
1,2025-12-02,25,89,57.00,64.00,Observation automatique
