plant_id,date_decouverte
MCB3090,2025-09-13
MCC3927,2025-07-26
MCB6698,2025-09-19
MCB2813,2025-07-10
MCC6961,2025-06-22
MCB6454,2025-08-06
MCC7637,2025-08-31
MCC6190,2025-09-25
MCA3760,2025-09-17
MCC8272,2025-08-22
MCC7514,2025-08-25
MCC8215,2025-10-19
MCB7790,2025-10-07
MCB1802,2025-08-15
MCC9868,2025-06-03
MCA0441,2025-09-21
MCB8574,2025-07-23
MCB5175,2025-10-20
MCA9938,2025-07-22
MCA1517,2025-07-14
MCC3893,2025-10-28
MCC3867,2025-06-02
MCA0649,2025-08-25
MCC0071,2025-07-12
MCA5110,2025-08-14
MCA2429,2025-08-07
MCB4313,2025-07-21
MCB9768,2025-10-25
MCC4162,2025-10-05
MCC9511,2025-08-02
MCB1985,2025-10-25
MCC4129,2025-06-04
MCC9404,2025-06-09
MCB6868,2025-10-09
MCA9301,2025-10-23
MCC5430,2025-10-05
MCA3087,2025-06-15
MCA6972,2025-08-01
MCA2343,2025-10-07
MCC6039,2025-07-07
MCC4038,2025-06-13
MCC7220,2025-07-30
MCB9471,2025-06-02
MCA2551,2025-07-25
MCC2169,2025-09-01
MCC0510,2025-10-13
MCB2332,2025-09-12
MCC5961,2025-10-08
MCB8451,2025-06-25
MCA4207,2025-07-15
MCB9339,2025-09-24
MCC7730,2025-10-13
MCC0263,2025-07-06
MCC1580,2025-06-08
MCC7455,2025-08-30
MCB9429,2025-06-04
MCB7026,2025-07-18
MCB5904,2025-08-27
MCB2468,2025-08-02
MCC6419,2025-09-03
MCA1687,2025-10-01
MCC4787,2025-09-27
MCA5358,2025-08-01
MCC2019,2025-08-04
MCC2297,2025-07-09
MCB0106,2025-10-17
MCB4095,2025-10-21
MCB4425,2025-07-18
MCC1021,2025-08-18
MCB2005,2025-09-17
MCA0859,2025-10-09
MCB3166,2025-07-16
MCA9989,2025-06-19
MCA5092,2025-07-22
MCC0904,2025-07-06
MCA5915,2025-07-02
MCC3698,2025-10-22
MCB9969,2025-07-05
MCA6627,2025-08-20
MCB4878,2025-08-22
MCC4173,2025-06-27
MCC9255,2025-08-23
MCC9799,2025-06-08
MCC4048,2025-08-01
MCC2395,2025-09-26
MCB5539,2025-07-08
MCB8944,2025-07-11
MCC6950,2025-09-01
MCB9673,2025-07-12
MCB6677,2025-08-27
MCB0846,2025-10-28
MCA3411,2025-07-16
MCC2563,2025-06-28
MCB2143,2025-07-25
MCB1003,2025-08-05
MCC8462,2025-06-16
MCA3741,2025-09-02
MCA4057,2025-10-16
MCB0368,2025-08-10
MCC6906,2025-10-12
MCB6529,2025-08-14
MCA5032,2025-06-27
MCB9568,2025-09-16
MCA5596,2025-10-25
MCC6716,2025-09-04
MCB1810,2025-06-08
MCA4290,2025-10-26
MCC8039,2025-08-17
MCB1790,2025-07-05
MCC7699,2025-09-08
MCC1698,2025-06-07
MCC6499,2025-07-26
MCA9435,2025-09-12
MCB0381,2025-10-05
MCB1219,2025-06-17
MCB1337,2025-08-15
MCA5946,2025-08-13
MCA0055,2025-09-03
MCB8420,2025-07-18
MCB4364,2025-10-26
MCA1489,2025-06-01
MCC6087,2025-07-03
MCB2570,2025-10-28
MCC6201,2025-09-22
MCB6858,2025-09-07
MCB4022,2025-10-04
MCB2897,2025-09-07
MCC2838,2025-07-03
MCA2711,2025-10-26
MCA9719,2025-06-10
MCC1789,2025-10-15
MCA6289,2025-10-18
MCC2831,2025-10-15
MCB5611,2025-10-20
MCC5385,2025-07-28
MCA9545,2025-07-06
MCC0827,2025-07-20
MCB1587,2025-08-24
MCC3774,2025-09-29
MCB4583,2025-07-01
MCC6983,2025-08-31
MCA6794,2025-10-20
MCC1900,2025-08-18
MCA4734,2025-07-15
MCB7029,2025-06-15
MCC8609,2025-06-04
MCA1736,2025-06-16
MCC5291,2025-09-27
MCC7901,2025-10-25
MCA0323,2025-10-08
MCB9239,2025-07-17
MCB2222,2025-07-20
MCC0973,2025-07-15
MCC6486,2025-09-14
MCC1874,2025-07-05
MCA4410,2025-08-17
MCA5485,2025-08-30
MCA0970,2025-10-20
MCB1328,2025-10-06
MCA2291,2025-06-05
MCA2433,2025-07-30
MCB4693,2025-07-26
MCA7526,2025-10-11
MCB2998,2025-10-01
MCC7951,2025-07-19
MCB4247,2025-06-11
MCB3550,2025-08-15
MCC3025,2025-06-26
MCA4818,2025-09-23
MCB3613,2025-08-08
MCB7867,2025-07-03
MCC3230,2025-06-09
MCB7363,2025-10-26
MCA8494,2025-06-23
MCB2857,2025-09-12
MCB2487,2025-10-16
MCB3425,2025-07-20
MCA1226,2025-08-25
MCC8476,2025-09-17
MCB1749,2025-10-04
MCB9726,2025-07-25
MCA2376,2025-10-05
MCA1440,2025-08-24
MCB5461,2025-06-04
MCA4466,2025-09-01
MCB7892,2025-07-20
MCA9756,2025-10-22
MCA6551,2025-07-22
MCC7221,2025-09-14
MCA9469,2025-06-01
MCA5626,2025-10-24
MCC9916,2025-09-01
MCC8306,2025-06-05
MCC7701,2025-06-28
MCB5159,2025-06-21
MCC3781,2025-08-11
MCC8982,2025-07-01
MCC6342,2025-08-05
MCC2157,2025-09-08
MCB4096,2025-09-30
MCA0579,2025-08-05
MCA9244,2025-09-12
MCA4848,2025-10-22
MCC7096,2025-10-25
MCB6614,2025-07-25
MCA6435,2025-10-24
MCB7333,2025-06-23
MCA9818,2025-07-06
MCA0314,2025-08-18
MCC3337,2025-07-01
MCA6914,2025-09-17
MCC3338,2025-06-07
MCB0757,2025-08-30
MCA8353,2025-07-16
MCA0268,2025-08-12
MCB5070,2025-07-26
MCC6764,2025-10-03
MCB8752,2025-09-08
MCA8688,2025-07-04
MCC0981,2025-10-11
MCC5857,2025-06-03
MCA6186,2025-07-19
MCA5829,2025-07-05
MCA0666,2025-09-07
MCB8678,2025-07-31
MCA0629,2025-08-28
MCA5784,2025-07-05
MCA0207,2025-09-20
MCC0105,2025-10-11
MCB7823,2025-09-08
MCC2329,2025-07-26
MCB2565,2025-07-17
MCC8264,2025-10-23
MCB0835,2025-06-04
MCB4054,2025-08-18
MCB9275,2025-08-29
MCB7929,2025-08-27
MCB6324,2025-09-24
MCB7171,2025-06-01
MCA7850,2025-08-19
MCA0992,2025-07-14
MCB5832,2025-06-02
MCA8384,2025-09-02
MCB2974,2025-07-15
MCC8602,2025-06-04
MCA2486,2025-06-19
MCB9464,2025-08-31
MCB5996,2025-07-08
MCA3690,2025-09-09
MCB6464,2025-07-28
MCA3867,2025-10-16
MCB2610,2025-07-01
MCB1064,2025-06-18
MCA0650,2025-06-01
MCB7057,2025-09-07
MCB4423,2025-10-24
MCA8848,2025-07-09
MCB0647,2025-09-16
MCC9519,2025-07-03
MCC3356,2025-10-17
MCB8530,2025-07-01
MCC9474,2025-07-02
MCB9200,2025-10-10
MCB9981,2025-10-06
MCC1968,2025-09-20
MCB5486,2025-06-22
MCC4810,2025-09-15
MCA9412,2025-08-17
MCC8993,2025-08-31
MCC0429,2025-09-21
MCB3933,2025-09-12
MCC0347,2025-07-18
MCB3632,2025-09-19
MCC1324,2025-09-21
MCC5388,2025-07-19
MCA6096,2025-10-23
MCB1953,2025-06-09
MCA4796,2025-08-24
MCC1671,2025-08-18
MCA1298,2025-08-22
MCA8424,2025-10-04
MCA5921,2025-07-10
MCB6245,2025-08-13
MCA5299,2025-06-05
MCA4841,2025-08-02
MCC0653,2025-06-28
MCA1063,2025-09-11
MCB0263,2025-09-15
MCB9528,2025-07-12
MCB8990,2025-07-14
MCB6498,2025-10-19
MCB2959,2025-08-01
MCC3406,2025-08-20
MCA9307,2025-07-26
MCC2776,2025-06-13
MCB7318,2025-08-29
MCC2201,2025-10-01
MCC3554,2025-07-11
MCA2111,2025-08-07
MCC8644,2025-07-14
MCB6954,2025-10-02
MCC9499,2025-07-14
MCB5688,2025-08-19
MCC6632,2025-09-09
MCB5441,2025-08-12
MCC8594,2025-06-10
MCA4574,2025-09-15
MCB0025,2025-06-17
MCB6447,2025-07-09
MCB0177,2025-09-01
MCB0295,2025-09-30
MCC7729,2025-06-16
MCB9373,2025-10-25
MCA4258,2025-07-15
MCC5718,2025-08-23
MCB8667,2025-09-24
MCB6980,2025-08-27
MCA1494,2025-08-18
MCA8037,2025-07-24
MCB5963,2025-09-22
MCA0607,2025-10-21
MCC3094,2025-07-18
MCA7921,2025-08-04
MCC8325,2025-06-08
MCB7824,2025-07-07
MCA9958,2025-07-05
MCA2087,2025-07-13
MCA6765,2025-08-24
MCC1872,2025-07-17
MCB6275,2025-08-21
MCB2555,2025-08-22
MCB2520,2025-08-12
MCA1213,2025-07-03
MCB7303,2025-06-10
MCB5439,2025-09-28
MCA2821,2025-07-23
MCB8060,2025-08-05
MCA4906,2025-06-27
MCA3878,2025-08-22
MCB6952,2025-08-23
MCC1340,2025-08-22
MCA8697,2025-07-28
MCA1797,2025-06-07
MCB1499,2025-10-26
MCC2254,2025-10-08
MCB2140,2025-09-24
MCB6221,2025-10-27
MCA1309,2025-08-12
MCA2626,2025-10-09
MCB8459,2025-09-11
MCA8641,2025-06-24
MCB4225,2025-06-28
MCA4113,2025-09-07
MCB2568,2025-07-29
MCA5075,2025-10-25
MCA7867,2025-07-25
MCC6020,2025-06-24
MCB8758,2025-10-20
MCC9962,2025-06-29
MCA3182,2025-09-08
MCC8408,2025-10-01
MCB0525,2025-08-23
MCB4091,2025-08-26
MCC5486,2025-08-28
MCC4441,2025-09-18
MCB5432,2025-06-08
MCC1294,2025-09-18
MCC1447,2025-08-25
MCC6479,2025-07-06
MCB4007,2025-07-08
MCC1224,2025-07-05
MCA5627,2025-07-04
MCC7695,2025-07-16
MCA9827,2025-07-05
MCC9032,2025-08-19
MCA9565,2025-08-18
MCA2491,2025-06-22
MCB8940,2025-10-03
MCC5519,2025-07-27
MCC2567,2025-09-13
MCC5833,2025-08-31
MCA9599,2025-09-30
MCC5331,2025-08-07
MCC0427,2025-07-12
MCC6612,2025-10-16
MCB0680,2025-09-14
MCB8153,2025-06-01
MCA4284,2025-06-01
MCC2257,2025-10-19
MCB2309,2025-06-07
MCB4328,2025-07-18
MCC2821,2025-08-09
MCA8564,2025-06-27
MCA6589,2025-08-01
MCA3329,2025-10-27
MCC7745,2025-07-09
MCC1070,2025-07-25
MCC7633,2025-07-28
MCA0322,2025-09-08
MCA7532,2025-08-03
MCB7931,2025-09-23
MCB7815,2025-08-02
MCB6870,2025-09-11
MCA7074,2025-08-28
MCC4834,2025-08-03
MCB0608,2025-07-07
MCC9522,2025-10-24
MCC9937,2025-08-16
MCC3251,2025-09-15
MCB9072,2025-09-09
MCB2346,2025-07-12
MCA4479,2025-10-24
MCB8770,2025-10-08
MCC9340,2025-06-13
MCC3654,2025-06-16
MCA4831,2025-08-04
MCC7536,2025-10-14
MCA2240,2025-07-20
MCB7729,2025-10-02
MCA0491,2025-08-31
MCB3279,2025-10-20
MCA9350,2025-07-03
MCB2045,2025-10-19
MCB7508,2025-10-05
MCC1185,2025-06-11
MCB9345,2025-10-13
MCA1926,2025-09-08
MCC3126,2025-08-08
MCA9683,2025-10-16
MCB0831,2025-07-16
MCA9365,2025-06-03
MCB2666,2025-09-20
MCC8192,2025-07-25
MCB4128,2025-08-30
MCB9842,2025-08-17
MCA2822,2025-10-08
MCC6586,2025-08-19
MCC0461,2025-07-19
MCA8099,2025-08-25
MCB9351,2025-08-10
MCB8245,2025-09-19
MCC9248,2025-08-18
MCC0459,2025-08-18
MCB7065,2025-10-14
MCC2134,2025-08-04
MCB7998,2025-06-14
MCA4491,2025-08-22
MCB8022,2025-06-12
MCA3178,2025-07-18
MCA5574,2025-08-04
MCB1214,2025-10-28
MCA1142,2025-10-02
MCB9629,2025-07-21
MCC3879,2025-10-11
MCC5370,2025-09-02
MCC0340,2025-08-22
MCA2400,2025-07-16
MCA7542,2025-08-12
MCA0040,2025-09-26
MCA1821,2025-06-23
MCA3394,2025-06-06
MCA9536,2025-09-23
MCC4251,2025-06-08
MCC9450,2025-09-17
MCC7865,2025-08-12
MCC9639,2025-09-07
MCB6238,2025-08-15
MCC2114,2025-09-26
MCA0466,2025-09-24
MCB9572,2025-09-18
MCA3573,2025-06-23
MCB2929,2025-10-05
MCA8665,2025-10-23
MCB2324,2025-07-05
MCA7966,2025-09-09
MCC3527,2025-07-06
MCC8486,2025-10-26
MCC6596,2025-07-11
MCC1292,2025-09-15
MCA7434,2025-07-30
MCB3974,2025-08-14
MCA8392,2025-09-28
MCA2725,2025-06-26
MCC9129,2025-09-30
MCC6697,2025-06-07
MCA4336,2025-07-07
MCB6420,2025-08-11
MCC4391,2025-06-16
MCB9947,2025-09-11
MCA3474,2025-07-14
MCC7099,2025-07-09
MCA0707,2025-09-08
MCA8664,2025-07-01
MCA3024,2025-07-28
MCA7310,2025-09-13
MCA2068,2025-07-30
MCC5516,2025-07-27
MCC2940,2025-09-29
MCC0809,2025-09-12
MCA4678,2025-07-30
MCB7913,2025-09-30
MCC2981,2025-08-21
MCB3513,2025-10-19
MCB1243,2025-08-01
MCB2391,2025-08-08
MCC2734,2025-08-21
MCC0574,2025-08-11
MCB8282,2025-08-10
MCC1044,2025-06-14
MCA2167,2025-07-30
MCB9178,2025-10-07
MCB3520,2025-08-06
MCB4768,2025-10-26
MCB2241,2025-09-14
MCA4752,2025-09-24
MCB5625,2025-10-15
MCA9654,2025-08-21
MCB3060,2025-07-21
MCC5775,2025-06-01
MCB9415,2025-10-20
MCB8910,2025-07-04
MCB1632,2025-06-22
MCC9676,2025-07-11
MCB8390,2025-10-21
MCB2188,2025-08-07
MCA6716,2025-07-10
MCA2888,2025-08-19
MCC9390,2025-08-07
MCB7837,2025-06-15
MCA2724,2025-08-13
MCB1341,2025-09-02
MCA0210,2025-08-18
MCA6035,2025-06-06
MCB8979,2025-07-02
MCA4865,2025-09-22
MCC7650,2025-06-13
MCA2407,2025-07-08
MCC8852,2025-10-02
MCA9259,2025-09-02
MCC0546,2025-09-11
MCA3198,2025-08-06
MCB3782,2025-07-21
MCC4565,2025-09-24
MCA2221,2025-06-19
MCA8921,2025-10-26
MCB0717,2025-08-29
MCB2531,2025-06-18
MCB8030,2025-10-02
MCB3424,2025-09-20
MCA5839,2025-07-04
MCC0407,2025-07-29
MCC0180,2025-09-23
MCC7880,2025-10-21
MCA2524,2025-10-23
MCB0968,2025-09-03
MCB3398,2025-06-28
MCC0605,2025-10-26
MCA9489,2025-08-08
MCA2013,2025-10-28
MCB5193,2025-06-28
MCB4851,2025-09-18
MCB6171,2025-06-29
MCA4150,2025-08-06
MCB0077,2025-08-14
MCB4191,2025-09-16
MCB8866,2025-09-24
MCB2907,2025-10-02
MCA4653,2025-08-08
MCB0676,2025-06-23
MCA2239,2025-07-21
MCC5661,2025-06-05
MCA8417,2025-09-29
MCA5183,2025-06-12
MCB6465,2025-07-05
MCC2381,2025-08-30
MCC0276,2025-09-02
MCA7919,2025-06-01
MCA9291,2025-07-13
MCB9886,2025-10-21
MCC5402,2025-09-02
MCB3504,2025-09-16
MCA5490,2025-09-29
MCC9911,2025-06-30
MCC5870,2025-07-06
MCA6321,2025-06-16
MCC9836,2025-10-04
MCB9943,2025-09-04
MCA6586,2025-08-26
MCB6589,2025-06-08
MCC4088,2025-09-04
MCC6193,2025-09-22
MCA8135,2025-08-07
MCC1317,2025-07-31
MCB5525,2025-07-11
MCA6546,2025-07-23
MCC0734,2025-10-13
MCA6469,2025-09-15
MCA2317,2025-07-17
MCC8369,2025-06-30
MCB0816,2025-10-09
MCA9906,2025-06-10
MCC7349,2025-09-13
MCB8117,2025-07-26
MCC0283,2025-06-02
MCC2384,2025-09-26
MCB6890,2025-09-18
MCA1401,2025-09-22
MCA6162,2025-10-15
MCC7641,2025-09-03
MCA2402,2025-09-08
MCC7968,2025-06-16
MCB5474,2025-09-27
MCB2639,2025-07-28
MCB5615,2025-07-26
MCB6406,2025-09-21
MCC1235,2025-07-11
MCA9868,2025-09-02
MCA2856,2025-08-30
MCB0497,2025-07-09
MCA7580,2025-08-12
MCB7618,2025-08-03
MCA3957,2025-07-25
MCC9057,2025-08-30
MCC0568,2025-07-27
MCB1560,2025-09-21
MCC5337,2025-07-30
MCB6314,2025-09-14
MCA4210,2025-08-26
MCC0278,2025-06-08
MCA3365,2025-08-03
MCC0152,2025-08-29
MCA5523,2025-06-30
MCA9886,2025-06-21
MCA8864,2025-08-28
MCC4564,2025-06-12
MCA1731,2025-09-20
MCB2407,2025-08-05
MCB0416,2025-09-08
MCA2289,2025-09-05
MCC2887,2025-10-03
MCA3966,2025-09-23
MCA6753,2025-09-23
MCB6506,2025-07-10
MCA9919,2025-09-17
MCC8247,2025-10-18
MCB0305,2025-08-19
MCA3046,2025-09-12
MCC2923,2025-09-02
MCB4505,2025-09-06
MCC3240,2025-10-24
MCA6147,2025-09-15
MCA7633,2025-07-29
MCB1154,2025-10-06
MCA9266,2025-07-16
MCC5852,2025-09-23
MCA5557,2025-10-22
MCB8266,2025-08-12
MCB7077,2025-09-22
MCC5308,2025-07-20
MCA3247,2025-09-24
MCA0458,2025-08-15
MCC8002,2025-10-11
MCA2045,2025-10-23
MCB1979,2025-09-09
MCC1544,2025-07-17
MCA2109,2025-07-07
MCB7764,2025-10-21
MCC8662,2025-07-10
MCB9458,2025-09-19
MCC3012,2025-08-05
MCC7620,2025-10-21
MCB8783,2025-09-23
MCB8620,2025-08-18
MCC1964,2025-07-13
MCC0833,2025-07-12
MCC3433,2025-08-24
MCA5911,2025-08-12
MCC5252,2025-10-11
MCB3712,2025-08-06
MCC2912,2025-09-10
MCC1704,2025-06-13
MCB6953,2025-08-25
MCA3765,2025-07-06
MCA8298,2025-09-11
MCA1458,2025-10-28
MCC3706,2025-10-02
MCA9470,2025-10-15
MCA7285,2025-08-01
MCA6238,2025-10-23
MCA3364,2025-06-04
MCC4116,2025-08-02
MCA6595,2025-08-19
MCC2049,2025-08-16
MCC6986,2025-08-07
MCA7287,2025-10-04
MCC2554,2025-07-02
MCA5227,2025-06-08
MCA7706,2025-09-12
MCC8808,2025-07-20
MCC6240,2025-07-03
MCB8021,2025-10-16
MCC2782,2025-07-13
MCC6144,2025-09-21
MCB0635,2025-07-23
MCC8980,2025-10-27
MCB5066,2025-09-30
MCB7169,2025-06-16
MCA6571,2025-07-17
MCC9125,2025-07-17
MCB6177,2025-07-10
MCC4210,2025-08-08
MCC8692,2025-06-14
MCA4087,2025-07-12
MCB8471,2025-07-23
MCB9925,2025-07-10
MCA2373,2025-09-04
MCB8916,2025-08-28
MCA9707,2025-09-23
MCC0729,2025-09-21
MCB1846,2025-09-10
MCC9788,2025-09-21
MCA3554,2025-06-08
MCB2339,2025-08-15
MCC8034,2025-09-03
MCA8918,2025-07-17
MCC0207,2025-08-17
MCB6144,2025-10-23
MCC8417,2025-10-25
MCB7317,2025-08-24
MCA2761,2025-08-28
MCC2161,2025-09-09
MCA8708,2025-09-01
MCB1375,2025-10-11
MCB6360,2025-10-03
MCC4703,2025-07-31
MCC2534,2025-07-28
MCC8886,2025-10-18
MCA4617,2025-10-20
MCB9060,2025-06-18
MCC6461,2025-09-28
MCC0961,2025-10-27
MCA7034,2025-06-21
MCC2433,2025-10-27
MCB2572,2025-06-04
MCC5070,2025-08-21
MCB9197,2025-06-06
MCB5151,2025-08-02
MCC5292,2025-07-11
MCB1132,2025-08-02
MCC8269,2025-07-20
MCA1690,2025-10-14
MCA2405,2025-06-19
MCB6839,2025-09-14
MCB7047,2025-09-20
MCB0774,2025-07-27
MCB3031,2025-08-06
MCB5809,2025-07-05
MCA4064,2025-09-16
MCA1724,2025-10-22
MCC2089,2025-10-11
MCB6346,2025-07-29
MCC1481,2025-07-07
